gene_name	chr	in_mecp2_no_mch	k119ub_peak_gain
Axin2	chr11	FALSE	FALSE
Rhoq	chr17	FALSE	FALSE
Haao	chr17	FALSE	TRUE
Prxl2b	chr4	FALSE	FALSE
Apol8	chr15	FALSE	FALSE
Golim4	chr3	FALSE	TRUE
Slc30a8	chr15	FALSE	FALSE
Trmu	chr15	FALSE	FALSE
Cyld	chr8	FALSE	TRUE
Lyrm4	chr13	FALSE	TRUE
Alkal1	chr1	FALSE	FALSE
Gm4791	chr9	FALSE	FALSE
Aldoart2	chr12	FALSE	TRUE
Celsr3	chr9	FALSE	FALSE
Foxd4	chr19	FALSE	FALSE
Nos3	chr5	FALSE	TRUE
Srd5a1	chr13	FALSE	TRUE
Tub	chr7	FALSE	TRUE
Klrb1b	chr6	FALSE	TRUE
Ifnab	chr4	FALSE	FALSE
Acsl4	chrX	FALSE	TRUE
Lyzl4	chr9	FALSE	FALSE
Cfap299	chr5	FALSE	FALSE
Proc	chr18	FALSE	TRUE
Npnt	chr3	FALSE	FALSE
Srprb	chr9	FALSE	FALSE
Mmp21	chr7	FALSE	FALSE
Cyp2j5	chr4	FALSE	TRUE
Adra2b	chr2	FALSE	FALSE
Slc19a1	chr10	FALSE	TRUE
Crhr1	chr11	FALSE	FALSE
Slc33a1	chr3	FALSE	TRUE
Pon2	chr6	FALSE	FALSE
Sohlh1	chr2	FALSE	FALSE
Plb1	chr5	FALSE	TRUE
Cdk5rap2	chr4	FALSE	TRUE
Lhx8	chr3	FALSE	FALSE
Pgr	chr9	FALSE	FALSE
Mast4	chr13	FALSE	TRUE
Lrat	chr3	FALSE	FALSE
Armc1	chr3	FALSE	TRUE
Nup35	chr2	FALSE	TRUE
Mcu	chr10	FALSE	TRUE
Dnah10	chr5	FALSE	FALSE
Arhgef39	chr4	FALSE	TRUE
Gins2	chr8	FALSE	FALSE
Smim13	chr13	FALSE	TRUE
Synpo	chr18	FALSE	FALSE
Slc30a10	chr1	FALSE	FALSE
Erich1	chr8	FALSE	TRUE
Tafa1	chr6	FALSE	FALSE
Usp20	chr2	FALSE	FALSE
Rgr	chr14	FALSE	FALSE
Adpgk	chr9	FALSE	FALSE
Angpt2	chr8	TRUE	TRUE
Gm5485	chr16	FALSE	TRUE
Nfyb	chr10	FALSE	FALSE
Rhcg	chr7	FALSE	FALSE
Fbxo9	chr9	FALSE	TRUE
Olfml2a	chr2	FALSE	FALSE
Mtmr6	chr14	FALSE	TRUE
Zfp592	chr7	FALSE	FALSE
C1ql2	chr1	FALSE	FALSE
Slc26a10	chr10	FALSE	FALSE
Tcf7	chr11	FALSE	FALSE
Htr7	chr19	FALSE	FALSE
Terf1	chr1	FALSE	TRUE
Psma6	chr12	FALSE	TRUE
Zfp292	chr4	FALSE	TRUE
Hip1r	chr5	FALSE	FALSE
Gdf10	chr14	FALSE	FALSE
Tnfrsf11b	chr15	FALSE	FALSE
Sost	chr11	FALSE	FALSE
Gjd3	chr11	FALSE	FALSE
Npffr2	chr5	FALSE	FALSE
Fgfr1	chr8	FALSE	FALSE
Gramd4	chr15	FALSE	TRUE
Ptgir	chr7	FALSE	FALSE
Trpc3	chr3	FALSE	FALSE
Drd2	chr9	FALSE	FALSE
Fbxl21	chr13	FALSE	TRUE
Astl	chr2	FALSE	FALSE
Isg20	chr7	FALSE	FALSE
Akap13	chr7	FALSE	FALSE
Hspa9	chr18	FALSE	TRUE
Cdc123	chr2	FALSE	FALSE
Rhbdd1	chr1	FALSE	TRUE
Scaf4	chr16	FALSE	TRUE
Lss	chr10	FALSE	TRUE
Tnxb	chr17	FALSE	FALSE
Npc1	chr18	FALSE	FALSE
Mical1	chr10	FALSE	TRUE
Mpp2	chr11	FALSE	FALSE
Cln5	chr14	FALSE	TRUE
Zfp459	chr13	FALSE	TRUE
Usp10	chr8	FALSE	FALSE
Parm1	chr5	FALSE	FALSE
Prr18	chr17	FALSE	FALSE
Gda	chr19	FALSE	FALSE
Galk1	chr11	FALSE	FALSE
Strit1	chr3	FALSE	FALSE
Lman1	chr18	FALSE	TRUE
Cln8	chr8	FALSE	TRUE
Cfap99	chr5	FALSE	FALSE
Rgs10	chr7	FALSE	FALSE
B3glct	chr5	FALSE	FALSE
Rgs8	chr1	FALSE	FALSE
Chrna3	chr9	FALSE	FALSE
Pin1	chr9	FALSE	FALSE
Tpra1	chr6	FALSE	FALSE
Wdr18	chr10	FALSE	FALSE
Klc4	chr17	FALSE	TRUE
Stra8	chr6	FALSE	FALSE
Atp1b1	chr1	FALSE	TRUE
Kif1a	chr1	FALSE	FALSE
Bbox1	chr2	FALSE	FALSE
Klhl38	chr15	FALSE	TRUE
Ngfr	chr11	FALSE	FALSE
St14	chr9	FALSE	FALSE
Prag1	chr8	FALSE	TRUE
Mchr1	chr15	FALSE	FALSE
Lemd1	chr1	FALSE	FALSE
Gpr146	chr5	FALSE	FALSE
Slc35b4	chr6	FALSE	TRUE
Asb13	chr13	FALSE	TRUE
Ckmt1	chr2	FALSE	TRUE
Col6a2	chr10	FALSE	FALSE
2510009E07Rik	chr16	FALSE	TRUE
Mrpl46	chr7	FALSE	FALSE
Shroom1	chr11	FALSE	FALSE
Matn3	chr12	FALSE	FALSE
Slc23a1	chr18	FALSE	FALSE
Best3	chr10	FALSE	FALSE
Eif5a2	chr3	FALSE	TRUE
Nucb2	chr7	FALSE	TRUE
Fam98b	chr2	FALSE	FALSE
Tex29	chr8	FALSE	FALSE
Adamts8	chr9	FALSE	FALSE
Myocd	chr11	FALSE	FALSE
Cmbl	chr15	FALSE	TRUE
Efhc1	chr1	FALSE	TRUE
Gucy1b1	chr3	FALSE	FALSE
Podxl2	chr6	FALSE	FALSE
Gsx2	chr5	FALSE	FALSE
Cldn23	chr8	FALSE	FALSE
Alox12b	chr11	FALSE	FALSE
Malt1	chr18	FALSE	FALSE
Dcaf7	chr11	FALSE	FALSE
Tm9sf4	chr2	FALSE	FALSE
Wnt16	chr6	FALSE	FALSE
Palmd	chr3	FALSE	FALSE
Khdrbs3	chr15	FALSE	TRUE
Rab8a	chr8	FALSE	FALSE
Gpr108	chr17	FALSE	TRUE
E2f3	chr13	FALSE	TRUE
Dbx2	chr15	FALSE	FALSE
Sppl2b	chr10	FALSE	FALSE
Spin4	chrX	FALSE	TRUE
Hmgb4	chr4	FALSE	FALSE
Bcl3	chr7	FALSE	FALSE
Tmem132d	chr5	FALSE	FALSE
Matn1	chr4	FALSE	FALSE
Nags	chr11	FALSE	FALSE
Acp6	chr3	FALSE	TRUE
Ccl1	chr11	FALSE	FALSE
Fbln1	chr15	FALSE	FALSE
Snrpf	chr10	FALSE	TRUE
Gramd1b	chr9	FALSE	FALSE
Sema3b	chr9	FALSE	FALSE
Cwc22	chr2	FALSE	TRUE
Clcnka	chr4	FALSE	FALSE
Amn	chr12	FALSE	FALSE
Chmp2b	chr16	FALSE	TRUE
Lhx4	chr1	FALSE	FALSE
Tapbp	chr17	FALSE	FALSE
Ddr2	chr1	FALSE	TRUE
Wasf1	chr10	FALSE	FALSE
Tuba1c	chr15	FALSE	FALSE
Slitrk5	chr14	FALSE	FALSE
Nlrc5	chr8	FALSE	FALSE
Irx6	chr8	FALSE	FALSE
Rftn1	chr17	FALSE	FALSE
Sgca	chr11	FALSE	TRUE
Kdsr	chr1	FALSE	TRUE
Bms1	chr6	FALSE	FALSE
Pctp	chr11	FALSE	TRUE
Cog6	chr3	FALSE	FALSE
Spred1	chr2	FALSE	TRUE
Psma1	chr7	FALSE	TRUE
Glrx5	chr12	FALSE	FALSE
Acsl1	chr8	FALSE	TRUE
Dcun1d4	chr5	FALSE	TRUE
Fam178b	chr1	FALSE	FALSE
S100b	chr10	FALSE	FALSE
Sall2	chr14	FALSE	FALSE
Glt28d2	chr3	FALSE	FALSE
Eps15	chr4	FALSE	TRUE
Gpr19	chr6	FALSE	TRUE
Pou2af1	chr9	FALSE	FALSE
Nefl	chr14	FALSE	FALSE
Epha1	chr6	FALSE	FALSE
Fam171b	chr2	FALSE	TRUE
Myl9	chr2	FALSE	FALSE
Anxa4	chr6	FALSE	FALSE
Dph6	chr2	FALSE	FALSE
Atad2	chr15	FALSE	TRUE
Inpp4a	chr1	FALSE	TRUE
Lmo2	chr2	FALSE	FALSE
Pnp2	chr14	FALSE	TRUE
Crybb1	chr5	FALSE	FALSE
Aipl1	chr11	FALSE	FALSE
Ptger3	chr3	FALSE	FALSE
Caap1	chr4	FALSE	TRUE
Sned1	chr1	FALSE	FALSE
Arhgef9	chrX	FALSE	TRUE
Rad54b	chr4	FALSE	TRUE
Wt1	chr2	FALSE	FALSE
Cd180	chr13	FALSE	FALSE
Tmeff1	chr4	FALSE	FALSE
Mid1ip1	chrX	FALSE	TRUE
Ccdc9b	chr2	FALSE	TRUE
Nat3	chr8	FALSE	TRUE
Plcd3	chr11	FALSE	FALSE
Spaca1	chr4	FALSE	TRUE
Trnp1	chr4	FALSE	FALSE
Stambpl1	chr19	FALSE	TRUE
Zfp92	chrX	FALSE	FALSE
Casd1	chr6	FALSE	TRUE
Lmnb2	chr10	FALSE	FALSE
Zbtb24	chr10	FALSE	FALSE
Bst1	chr5	FALSE	TRUE
Ralb	chr1	FALSE	FALSE
Neurl3	chr1	FALSE	FALSE
Slc2a3	chr6	FALSE	TRUE
Ak2	chr4	FALSE	FALSE
Atp6v1e2	chr17	FALSE	FALSE
Spata4	chr8	FALSE	TRUE
Eci2	chr13	FALSE	TRUE
Wwtr1	chr3	FALSE	FALSE
Azin1	chr15	FALSE	FALSE
Mast1	chr8	FALSE	FALSE
Kdr	chr5	FALSE	TRUE
Sftpc	chr14	FALSE	TRUE
Slc35b1	chr11	FALSE	TRUE
Akt1	chr12	FALSE	FALSE
Nudcd3	chr11	FALSE	TRUE
Mthfd2l	chr5	FALSE	TRUE
Tbc1d24	chr17	FALSE	FALSE
Cep131	chr11	FALSE	FALSE
Ints1	chr5	FALSE	FALSE
Shpk	chr11	FALSE	FALSE
Timp2	chr11	FALSE	FALSE
Zdhhc23	chr16	FALSE	TRUE
Irx1	chr13	FALSE	FALSE
Thumpd2	chr17	FALSE	TRUE
Mras	chr9	FALSE	FALSE
Bspry	chr4	FALSE	FALSE
Ttc28	chr5	FALSE	FALSE
Il15ra	chr2	FALSE	FALSE
Prrx2	chr2	FALSE	FALSE
Mrm1	chr11	FALSE	FALSE
Pou1f1	chr16	FALSE	TRUE
Nptxr	chr15	FALSE	FALSE
Rnf123	chr9	FALSE	FALSE
Enthd1	chr15	FALSE	FALSE
Dcaf13	chr15	FALSE	TRUE
Slc13a4	chr6	FALSE	TRUE
Sync	chr4	FALSE	FALSE
Grik4	chr9	FALSE	FALSE
4930590J08Rik	chr6	FALSE	FALSE
Gsx1	chr5	FALSE	FALSE
Foxp2	chr6	FALSE	FALSE
Ccdc59	chr10	FALSE	TRUE
Myl3	chr9	FALSE	FALSE
Gabpa	chr16	FALSE	TRUE
Vinac1	chr2	FALSE	FALSE
Pter	chr2	FALSE	FALSE
Cpeb2	chr5	FALSE	TRUE
Sipa1	chr19	FALSE	FALSE
Slc35f2	chr9	FALSE	FALSE
Hrh4	chr18	FALSE	TRUE
Rprd1b	chr2	FALSE	FALSE
Usp12	chr5	FALSE	FALSE
Tgfb2	chr1	FALSE	FALSE
Nod2	chr8	FALSE	FALSE
Rab40c	chr17	FALSE	FALSE
Cmtm3	chr8	FALSE	FALSE
Otud4	chr8	FALSE	FALSE
Naa11	chr5	FALSE	FALSE
Akr1cl	chr1	FALSE	FALSE
Ints8	chr4	FALSE	TRUE
Gfod1	chr13	FALSE	TRUE
9230112D13Rik	chr14	FALSE	TRUE
Ipmk	chr10	FALSE	TRUE
Slc30a1	chr1	FALSE	FALSE
Thnsl1	chr2	FALSE	TRUE
Eps8l2	chr7	FALSE	FALSE
C1qtnf3	chr15	FALSE	FALSE
Klhl25	chr7	FALSE	TRUE
Ddx59	chr1	FALSE	TRUE
Zdhhc25	chr15	FALSE	TRUE
Tcof1	chr18	FALSE	FALSE
Tamm41	chr6	FALSE	TRUE
Atp23	chr10	FALSE	TRUE
Rilp	chr11	FALSE	FALSE
Btc	chr5	FALSE	TRUE
Ahctf1	chr1	FALSE	FALSE
Necap2	chr4	FALSE	FALSE
Panx2	chr15	FALSE	FALSE
Rspo2	chr15	FALSE	FALSE
Wdfy1	chr1	FALSE	TRUE
Htra4	chr8	FALSE	FALSE
Dusp7	chr9	FALSE	FALSE
Arhgef15	chr11	FALSE	FALSE
Tom1l1	chr11	FALSE	FALSE
Ttc21b	chr2	FALSE	FALSE
Tmem221	chr8	FALSE	FALSE
Fam118a	chr15	FALSE	TRUE
Ccdc3	chr2	FALSE	FALSE
Traf5	chr1	FALSE	FALSE
Zcchc14	chr8	FALSE	FALSE
Katnal1	chr5	FALSE	TRUE
Htr2c	chrX	FALSE	FALSE
Thy1	chr9	FALSE	FALSE
A1bg	chr15	FALSE	FALSE
Stk32a	chr18	FALSE	FALSE
Cbln1	chr8	FALSE	FALSE
Itpka	chr2	FALSE	FALSE
Gtpbp3	chr8	FALSE	TRUE
Smim23	chr11	FALSE	FALSE
Shisa9	chr16	FALSE	FALSE
Asic5	chr3	FALSE	TRUE
Ak8	chr2	FALSE	FALSE
Sgcb	chr5	FALSE	TRUE
Susd1	chr4	FALSE	FALSE
Cse1l	chr2	FALSE	FALSE
Klhl36	chr8	FALSE	FALSE
Cryge	chr1	FALSE	FALSE
Aldh1b1	chr4	FALSE	FALSE
Gphb5	chr12	FALSE	FALSE
Plk4	chr3	FALSE	TRUE
Helb	chr10	FALSE	FALSE
Peli2	chr14	FALSE	FALSE
Foxg1	chr12	FALSE	FALSE
Ttc12	chr9	FALSE	FALSE
Dner	chr1	FALSE	FALSE
Gm8439	chr4	FALSE	FALSE
Klf9	chr19	FALSE	TRUE
Cdo1	chr18	FALSE	TRUE
Lcn10	chr2	FALSE	FALSE
Ifnlr1	chr4	FALSE	FALSE
Gpr55	chr1	FALSE	FALSE
Atp6ap1l	chr13	FALSE	FALSE
Cat	chr2	FALSE	TRUE
L1td1	chr4	FALSE	FALSE
Slc37a1	chr17	FALSE	FALSE
Hrh3	chr2	FALSE	FALSE
Strip2	chr6	FALSE	TRUE
Nrl	chr14	FALSE	FALSE
Fam53a	chr5	FALSE	TRUE
Prss56	chr1	FALSE	FALSE
Sec11c	chr18	FALSE	FALSE
4930544G11Rik	chr6	FALSE	FALSE
Cd248	chr19	FALSE	FALSE
Gad2	chr2	FALSE	FALSE
Cmtm8	chr9	FALSE	FALSE
Laptm5	chr4	FALSE	FALSE
Unc45a	chr7	FALSE	TRUE
Palm	chr10	FALSE	FALSE
Actl6a	chr3	FALSE	FALSE
Gprin1	chr13	FALSE	FALSE
Rab37	chr11	FALSE	FALSE
Glipr2	chr4	FALSE	FALSE
Lox	chr18	FALSE	FALSE
Wdr17	chr8	FALSE	TRUE
Pdlim1	chr19	FALSE	FALSE
Slc7a10	chr7	FALSE	FALSE
Tnpo2	chr8	FALSE	FALSE
Tbata	chr10	FALSE	TRUE
Hapln1	chr13	FALSE	FALSE
Eno2	chr6	FALSE	FALSE
Camkv	chr9	FALSE	FALSE
Thoc7	chr14	FALSE	TRUE
Tcp11	chr17	FALSE	FALSE
Csmd3	chr15	FALSE	TRUE
Mcub	chr3	FALSE	FALSE
Slc19a3	chr1	FALSE	TRUE
F2rl1	chr13	FALSE	FALSE
Napb	chr2	FALSE	TRUE
Zfp956	chr6	FALSE	TRUE
Gja8	chr3	FALSE	FALSE
Shf	chr2	FALSE	FALSE
Esrra	chr19	FALSE	FALSE
Skp2	chr15	FALSE	TRUE
Nuak2	chr1	FALSE	FALSE
Nlrc3	chr16	FALSE	FALSE
Galm	chr17	FALSE	FALSE
Klhdc4	chr8	FALSE	FALSE
Chd5	chr4	FALSE	FALSE
Alox5ap	chr5	FALSE	FALSE
Vopp1	chr6	FALSE	TRUE
Snn	chr16	FALSE	FALSE
Acot12	chr13	FALSE	TRUE
Mmaa	chr8	FALSE	TRUE
Asxl3	chr18	FALSE	TRUE
Lrrc75a	chr11	FALSE	FALSE
Vgf	chr5	FALSE	FALSE
Plcb1	chr2	TRUE	FALSE
Mtm1	chrX	FALSE	TRUE
Tfap2c	chr2	FALSE	FALSE
Ssh3	chr19	FALSE	FALSE
Hspb1	chr5	FALSE	FALSE
Nol4l	chr2	FALSE	FALSE
Cpsf4l	chr11	FALSE	FALSE
Ptbp2	chr3	FALSE	TRUE
Tbc1d16	chr11	FALSE	FALSE
Rad51ap2	chr12	FALSE	TRUE
R3hdm4	chr10	FALSE	TRUE
Rtraf	chr14	FALSE	TRUE
Pacsin2	chr15	FALSE	FALSE
Bub3	chr7	FALSE	FALSE
Sting1	chr18	FALSE	TRUE
Polr1a	chr6	FALSE	FALSE
Dusp15	chr2	FALSE	FALSE
Dhx29	chr13	FALSE	TRUE
Timm21	chr18	FALSE	FALSE
Tacstd2	chr6	FALSE	FALSE
L2hgdh	chr12	FALSE	TRUE
Stat1	chr1	FALSE	TRUE
Dscc1	chr15	FALSE	TRUE
Pgpep1l	chr7	FALSE	FALSE
Map3k12	chr15	FALSE	FALSE
Cdc42ep1	chr15	FALSE	FALSE
Cfap70	chr14	FALSE	TRUE
Arhgef1	chr7	FALSE	FALSE
Elmod1	chr9	FALSE	FALSE
Nmd3	chr3	FALSE	TRUE
Nr5a1	chr2	FALSE	FALSE
Adar	chr3	FALSE	FALSE
Slc25a51	chr4	FALSE	TRUE
Kcnj11	chr7	FALSE	FALSE
Peli1	chr11	FALSE	TRUE
Bik	chr15	FALSE	FALSE
Slc47a2	chr11	FALSE	FALSE
Sdf2l1	chr16	FALSE	TRUE
Pop1	chr15	FALSE	TRUE
Il6	chr5	FALSE	TRUE
Msi1	chr5	FALSE	FALSE
Arhgap6	chrX	FALSE	FALSE
Mroh3	chr1	FALSE	FALSE
Mmp17	chr5	FALSE	FALSE
Tcf24	chr1	FALSE	FALSE
Msra	chr14	FALSE	TRUE
Ppp1r13l	chr7	FALSE	TRUE
Fam76b	chr9	FALSE	FALSE
Fstl5	chr3	TRUE	TRUE
Aldh1a2	chr9	FALSE	FALSE
Myl10	chr5	FALSE	FALSE
Smpx	chrX	FALSE	TRUE
Tnfrsf23	chr7	FALSE	FALSE
Bcl10	chr3	FALSE	TRUE
Nr2f1	chr13	FALSE	TRUE
Snta1	chr2	FALSE	FALSE
Mixl1	chr1	FALSE	FALSE
Gpr45	chr1	FALSE	TRUE
Tmem270	chr5	FALSE	FALSE
Slc44a2	chr9	FALSE	TRUE
Adamts7	chr9	FALSE	FALSE
Prxl2a	chr14	FALSE	FALSE
Kcnc4	chr3	FALSE	FALSE
Wnt11	chr7	FALSE	FALSE
Il3	chr11	FALSE	FALSE
Lca5	chr9	FALSE	TRUE
Lrp11	chr10	FALSE	TRUE
Helz2	chr2	FALSE	FALSE
Rap2c	chrX	FALSE	TRUE
Npepl1	chr2	FALSE	TRUE
Sdf4	chr4	FALSE	FALSE
Rbm11	chr16	FALSE	TRUE
Ncs1	chr2	FALSE	FALSE
N6amt1	chr16	FALSE	TRUE
Dhx37	chr5	FALSE	FALSE
Six4	chr12	FALSE	FALSE
Smyd3	chr1	FALSE	TRUE
4930583I09Rik	chr17	TRUE	TRUE
Stk17b	chr1	FALSE	FALSE
Fev	chr1	FALSE	FALSE
Cdc42ep3	chr17	FALSE	TRUE
Dhrs2	chr14	FALSE	FALSE
Spata3	chr1	FALSE	FALSE
Agr2	chr12	FALSE	FALSE
Slc26a6	chr9	FALSE	FALSE
Faim2	chr15	FALSE	FALSE
Map7d1	chr4	FALSE	FALSE
Coro6	chr11	FALSE	FALSE
Srl	chr16	FALSE	FALSE
Ang	chr14	FALSE	TRUE
Spata19	chr9	FALSE	FALSE
Fkrp	chr7	FALSE	FALSE
Tex15	chr8	FALSE	FALSE
Selenos	chr7	FALSE	TRUE
Ncan	chr8	FALSE	TRUE
Nepro	chr16	FALSE	TRUE
Synm	chr7	FALSE	FALSE
Tmem60	chr5	FALSE	FALSE
Arap3	chr18	FALSE	FALSE
Prok2	chr6	FALSE	FALSE
Bloc1s1	chr10	FALSE	TRUE
Cyp26c1	chr19	FALSE	FALSE
Man1a	chr10	FALSE	FALSE
Slc11a1	chr1	FALSE	TRUE
Tgfa	chr6	FALSE	FALSE
Dsg2	chr18	FALSE	TRUE
Mapk15	chr15	FALSE	FALSE
Uckl1	chr2	FALSE	FALSE
Fmo9	chr1	FALSE	TRUE
Tiprl	chr1	FALSE	TRUE
Apod	chr16	FALSE	FALSE
Lasp1	chr11	FALSE	FALSE
Gpr151	chr18	FALSE	FALSE
Arhgap29	chr3	FALSE	TRUE
Wdr27	chr17	FALSE	TRUE
Inpp5d	chr1	FALSE	FALSE
Pdhx	chr2	FALSE	TRUE
Rem1	chr2	FALSE	FALSE
Bcl7c	chr7	FALSE	FALSE
Trpc7	chr13	FALSE	FALSE
Prpf40b	chr15	FALSE	FALSE
Rxylt1	chr10	FALSE	FALSE
Ripply2	chr9	FALSE	TRUE
Pex2	chr3	FALSE	TRUE
Gpr35	chr1	FALSE	FALSE
Rdh10	chr1	FALSE	TRUE
Kcnj1	chr9	FALSE	FALSE
Sec23ip	chr7	FALSE	FALSE
Hps4	chr5	FALSE	FALSE
Mpc2	chr1	FALSE	TRUE
Pla1a	chr16	FALSE	TRUE
Nefh	chr11	FALSE	FALSE
Cadm4	chr7	FALSE	FALSE
Cdk18	chr1	FALSE	FALSE
Itgb2l	chr16	FALSE	FALSE
Tmem145	chr7	FALSE	FALSE
Spaca7	chr8	FALSE	FALSE
Gsdmd	chr15	FALSE	FALSE
Themis3	chr17	FALSE	TRUE
Smtn	chr11	FALSE	FALSE
Plekhg4	chr8	FALSE	FALSE
Efcab8	chr2	FALSE	FALSE
Mrap2	chr9	FALSE	FALSE
Mbip	chr12	FALSE	FALSE
Mapkapk3	chr9	FALSE	FALSE
Cyb5a	chr18	FALSE	TRUE
Lrg1	chr17	FALSE	FALSE
Sox7	chr14	FALSE	FALSE
Ap1g2	chr14	FALSE	FALSE
Nup153	chr13	FALSE	TRUE
Ttc21a	chr9	FALSE	TRUE
Irs2	chr8	FALSE	TRUE
Fpr2	chr17	FALSE	TRUE
Slco3a1	chr7	FALSE	FALSE
Kcnmb1	chr11	FALSE	FALSE
Adgre5	chr8	FALSE	FALSE
Mov10	chr3	FALSE	FALSE
Arhgap15	chr2	FALSE	TRUE
Chst5	chr8	FALSE	TRUE
Aqp1	chr6	FALSE	FALSE
Tsen2	chr6	FALSE	FALSE
Lgalsl	chr11	FALSE	FALSE
Zfp706	chr15	FALSE	TRUE
Megf8	chr7	FALSE	FALSE
Nprl3	chr11	FALSE	TRUE
Izumo1r	chr9	FALSE	FALSE
Kcnh6	chr11	FALSE	FALSE
Ampd3	chr7	FALSE	FALSE
Entpd7	chr19	FALSE	TRUE
Ifnb1	chr4	FALSE	FALSE
Prcp	chr7	FALSE	TRUE
Trpv4	chr5	FALSE	FALSE
Mettl15	chr2	FALSE	TRUE
Capn2	chr1	FALSE	TRUE
Sft2d2	chr1	FALSE	TRUE
Ccdc68	chr18	FALSE	FALSE
Calcrl	chr2	FALSE	FALSE
Epha6	chr16	FALSE	TRUE
Mapk4	chr18	FALSE	FALSE
Scaf11	chr15	FALSE	TRUE
Ptbp1	chr10	FALSE	FALSE
Actr3	chr1	FALSE	TRUE
Mfhas1	chr8	FALSE	FALSE
Kcnn1	chr8	FALSE	TRUE
Xirp1	chr9	FALSE	FALSE
B4galnt3	chr6	FALSE	FALSE
Cplx3	chr9	FALSE	FALSE
Grina	chr15	FALSE	FALSE
Rps4x	chrX	FALSE	FALSE
Isoc1	chr18	FALSE	TRUE
Cndp2	chr18	FALSE	TRUE
Efhd1	chr1	FALSE	FALSE
Fut9	chr4	TRUE	TRUE
Grik1	chr16	FALSE	FALSE
Krt79	chr15	FALSE	FALSE
Ankrd29	chr18	FALSE	TRUE
Psd2	chr18	FALSE	FALSE
Bmp7	chr2	FALSE	FALSE
Cyp26a1	chr19	FALSE	FALSE
Camk2n2	chr16	FALSE	FALSE
Srd5a2	chr17	FALSE	FALSE
Hdac7	chr15	FALSE	FALSE
Kcnk12	chr17	FALSE	FALSE
Alg2	chr4	FALSE	TRUE
Sult6b2	chr6	FALSE	FALSE
Rasa2	chr9	FALSE	TRUE
Gja4	chr4	FALSE	FALSE
Rasl10a	chr11	FALSE	FALSE
Tas1r2	chr4	FALSE	FALSE
Klrb1	chr6	FALSE	TRUE
Nmu	chr5	FALSE	FALSE
Hectd3	chr4	FALSE	TRUE
Septin8	chr11	FALSE	TRUE
St6galnac3	chr3	FALSE	FALSE
Wnt10b	chr15	FALSE	FALSE
Slc22a5	chr11	FALSE	FALSE
Scrt2	chr2	FALSE	FALSE
Ltb4r2	chr14	FALSE	FALSE
Stx16	chr2	FALSE	TRUE
Sh2d4a	chr8	FALSE	FALSE
Tas2r119	chr15	FALSE	FALSE
Myorg	chr4	FALSE	FALSE
Pth2	chr7	FALSE	FALSE
Ntf5	chr7	FALSE	FALSE
Heatr5a	chr12	FALSE	TRUE
Adgrg6	chr10	FALSE	FALSE
Neurog2	chr3	FALSE	FALSE
Chpf2	chr5	FALSE	TRUE
Ackr3	chr1	FALSE	TRUE
Xirp2	chr2	FALSE	TRUE
Ehd3	chr17	FALSE	TRUE
Smndc1	chr19	FALSE	TRUE
Acnat2	chr4	FALSE	TRUE
Lgi1	chr19	TRUE	TRUE
Cnnm1	chr19	FALSE	TRUE
Prr33	chr7	FALSE	FALSE
Zbtb17	chr4	FALSE	FALSE
Garem2	chr5	FALSE	FALSE
Fkbp4	chr6	FALSE	FALSE
H1f1	chr13	FALSE	TRUE
Kctd15	chr7	FALSE	FALSE
Duoxa2	chr2	FALSE	FALSE
Nipsnap3b	chr4	FALSE	TRUE
Pcdh12	chr18	FALSE	TRUE
Fkbp3	chr12	FALSE	TRUE
Mrps5	chr2	FALSE	FALSE
Noto	chr6	FALSE	FALSE
Col20a1	chr2	FALSE	FALSE
Fxyd2	chr9	FALSE	FALSE
Cav3	chr6	FALSE	FALSE
Msc	chr1	FALSE	TRUE
Tmem170b	chr13	FALSE	TRUE
Tmcc2	chr1	FALSE	FALSE
Eif2a	chr3	FALSE	TRUE
Dimt1	chr13	FALSE	TRUE
Mpdz	chr4	FALSE	TRUE
Adam33	chr2	FALSE	FALSE
Slc22a17	chr14	FALSE	FALSE
Arhgef5	chr6	FALSE	FALSE
Rrbp1	chr2	FALSE	TRUE
Fam131a	chr16	FALSE	FALSE
Mpzl2	chr9	FALSE	FALSE
Cdx4	chrX	FALSE	FALSE
Cdc20b	chr13	FALSE	TRUE
Slc18a2	chr19	FALSE	FALSE
Slc12a4	chr8	FALSE	FALSE
Sntb1	chr15	FALSE	FALSE
Ipo13	chr4	FALSE	TRUE
Kcng1	chr2	FALSE	FALSE
C330018D20Rik	chr18	FALSE	TRUE
Stk11	chr10	FALSE	FALSE
Rnpepl1	chr1	FALSE	FALSE
2610318N02Rik	chr16	FALSE	FALSE
Gcg	chr2	FALSE	FALSE
Cd9	chr6	FALSE	FALSE
Ddx60	chr8	FALSE	FALSE
Cactin	chr10	FALSE	FALSE
Kcnd3	chr3	FALSE	FALSE
Tmem150a	chr6	FALSE	FALSE
Pkib	chr10	FALSE	TRUE
Tmem121b	chr6	FALSE	FALSE
Nnmt	chr9	FALSE	FALSE
Hcrtr1	chr4	FALSE	FALSE
Efcab11	chr12	FALSE	TRUE
Fgf2	chr3	FALSE	FALSE
Utp14a	chrX	FALSE	TRUE
Gab1	chr8	FALSE	TRUE
Mrpl35	chr6	FALSE	FALSE
Ndrg2	chr14	FALSE	FALSE
Flna	chrX	FALSE	TRUE
Hepacam	chr9	FALSE	FALSE
