gene_name	chr	mch_hyper	convergent_2plus
Rbfox2	chr15	FALSE	FALSE
Ccdc60	chr5	FALSE	FALSE
Cep112	chr11	FALSE	FALSE
Igsf3	chr3	FALSE	FALSE
Ccdc88a	chr11	FALSE	FALSE
Zhx3	chr2	FALSE	FALSE
Lrrc8d	chr5	FALSE	FALSE
Erp44	chr4	FALSE	FALSE
Nos2	chr11	FALSE	FALSE
Rsf1	chr7	FALSE	FALSE
Cwc27	chr13	TRUE	FALSE
R3hdm2	chr10	FALSE	FALSE
Cers6	chr2	FALSE	FALSE
Pacs2	chr12	FALSE	FALSE
Ppp4r4	chr12	FALSE	FALSE
Arhgef10l	chr4	FALSE	FALSE
Mpp7	chr18	FALSE	TRUE
Cdh10	chr15	TRUE	TRUE
Actr3b	chr5	FALSE	FALSE
Dock9	chr14	FALSE	FALSE
Frmd6	chr12	TRUE	TRUE
Cmss1	chr16	FALSE	FALSE
Vps41	chr13	FALSE	FALSE
Adgrl2	chr3	FALSE	FALSE
Pls1	chr9	FALSE	FALSE
Zeb2	chr2	FALSE	FALSE
B3galt5	chr16	FALSE	FALSE
Atxn10	chr15	FALSE	FALSE
Fbxl7	chr15	TRUE	FALSE
Chd6	chr2	FALSE	FALSE
Bicdl1	chr5	FALSE	FALSE
Cdcp3	chr7	FALSE	FALSE
Eya1	chr1	TRUE	FALSE
Ntn4	chr10	TRUE	TRUE
Bnc2	chr4	FALSE	FALSE
Edn2	chr4	FALSE	FALSE
Dusp22	chr13	FALSE	FALSE
Itpr3	chr17	FALSE	FALSE
Slc49a4	chr16	FALSE	FALSE
Galnt16	chr12	FALSE	FALSE
Dnajc12	chr10	TRUE	FALSE
Pan3	chr5	FALSE	FALSE
Stk24	chr14	FALSE	FALSE
Gatad2a	chr8	FALSE	FALSE
Mcc	chr18	FALSE	FALSE
Esr1	chr10	FALSE	FALSE
Sfmbt1	chr14	FALSE	FALSE
Ptprs	chr17	FALSE	FALSE
Nphp4	chr4	FALSE	FALSE
Syt7	chr19	FALSE	FALSE
Ppp3ca	chr3	FALSE	FALSE
Kcnip4	chr5	FALSE	TRUE
Ano3	chr2	TRUE	TRUE
Cd47	chr16	TRUE	TRUE
Elovl6	chr3	FALSE	FALSE
Brinp2	chr1	TRUE	TRUE
Islr2	chr9	FALSE	FALSE
Ccdc33	chr9	FALSE	FALSE
Nrg2	chr18	FALSE	FALSE
Vrk1	chr12	FALSE	FALSE
Crim1	chr17	FALSE	FALSE
Shb	chr4	TRUE	FALSE
Mrc2	chr11	FALSE	FALSE
Klhl32	chr4	FALSE	FALSE
Ralgps2	chr1	FALSE	FALSE
Dtd1	chr2	FALSE	FALSE
Rph3a	chr5	FALSE	FALSE
Marchf10	chr11	FALSE	FALSE
Fgf5	chr5	FALSE	FALSE
Dok7	chr5	FALSE	FALSE
Rell1	chr5	TRUE	TRUE
D7Ertd443e	chr7	TRUE	FALSE
Zhx2	chr15	TRUE	TRUE
Hcn4	chr9	FALSE	FALSE
Csnk1g1	chr9	FALSE	FALSE
Spata13	chr14	TRUE	TRUE
Slit2	chr5	FALSE	FALSE
Ulk4	chr9	FALSE	FALSE
Ank2	chr3	FALSE	FALSE
Jakmip2	chr18	FALSE	FALSE
Acaca	chr11	FALSE	FALSE
Hs3st5	chr10	TRUE	FALSE
R3hdm1	chr1	FALSE	FALSE
Clasp1	chr1	FALSE	FALSE
Nckap5	chr1	TRUE	FALSE
Rai1	chr11	FALSE	FALSE
Pcsk2	chr2	FALSE	FALSE
Aldh1l1	chr6	FALSE	FALSE
9130401M01Rik	chr15	TRUE	FALSE
Cnot2	chr10	FALSE	FALSE
4930447A16Rik	chr15	TRUE	FALSE
Mast2	chr4	FALSE	FALSE
Pds5a	chr5	FALSE	FALSE
Nars2	chr7	FALSE	FALSE
Smpd3	chr8	FALSE	FALSE
Dnah8	chr17	FALSE	FALSE
Ndufs4	chr13	FALSE	FALSE
Kdm4c	chr4	FALSE	FALSE
Pitpnm2	chr5	FALSE	FALSE
Dlg2	chr7	TRUE	FALSE
Filip1l	chr16	FALSE	FALSE
Eva1c	chr16	FALSE	FALSE
Casz1	chr4	FALSE	FALSE
Ano6	chr15	FALSE	FALSE
Spire1	chr18	FALSE	FALSE
Ankef1	chr2	TRUE	TRUE
Fam81b	chr13	TRUE	TRUE
Vwc2l	chr1	TRUE	FALSE
Tbc1d14	chr5	FALSE	FALSE
Ubac2	chr14	FALSE	FALSE
Sardh	chr2	FALSE	FALSE
Chn1	chr2	FALSE	FALSE
Ppp2r5e	chr12	FALSE	FALSE
Cst8	chr2	TRUE	TRUE
Kansl1	chr11	FALSE	FALSE
Hlcs	chr16	FALSE	FALSE
Caln1	chr5	TRUE	TRUE
Arhgap12	chr18	FALSE	FALSE
Zfp280d	chr9	FALSE	FALSE
Stk32c	chr7	FALSE	FALSE
Elavl2	chr4	FALSE	FALSE
Pde3b	chr7	FALSE	FALSE
Chrdl2	chr7	FALSE	FALSE
Phactr1	chr13	FALSE	FALSE
Gng12	chr6	FALSE	FALSE
Egfr	chr11	FALSE	FALSE
Fyn	chr10	FALSE	FALSE
Clasp2	chr9	FALSE	FALSE
Rfx3	chr19	FALSE	FALSE
Nrg4	chr9	TRUE	TRUE
Rbfox3	chr11	FALSE	FALSE
Lgr4	chr2	TRUE	FALSE
Cdh2	chr18	FALSE	FALSE
Upf2	chr2	FALSE	FALSE
Slc1a1	chr19	FALSE	FALSE
Dhx32	chr7	TRUE	FALSE
Fbxl17	chr17	FALSE	FALSE
Tunar	chr12	FALSE	FALSE
Slc44a1	chr4	FALSE	FALSE
Epha4	chr1	FALSE	FALSE
Dscam	chr16	FALSE	FALSE
Tmem108	chr9	FALSE	FALSE
Pola1	chrX	FALSE	FALSE
Invs	chr4	FALSE	FALSE
Ttc3	chr16	FALSE	FALSE
Mta3	chr17	FALSE	FALSE
Megf10	chr18	FALSE	FALSE
Lpgat1	chr1	FALSE	FALSE
Septin9	chr11	FALSE	FALSE
Ablim1	chr19	FALSE	TRUE
Luzp1	chr4	FALSE	FALSE
Tlk2	chr11	FALSE	FALSE
Edar	chr10	FALSE	FALSE
Wnt4	chr4	FALSE	FALSE
Lrrc20	chr10	FALSE	FALSE
Lurap1l	chr4	TRUE	FALSE
Clpb	chr7	FALSE	FALSE
St6gal1	chr16	FALSE	FALSE
Ebag9	chr15	TRUE	TRUE
CK137956	chr4	FALSE	FALSE
Stxbp4	chr11	FALSE	FALSE
Hdac8	chrX	FALSE	FALSE
Rasal2	chr1	FALSE	FALSE
Oprl1	chr2	TRUE	TRUE
Myo18a	chr11	FALSE	FALSE
Fgd5	chr6	FALSE	FALSE
P4ha2	chr11	FALSE	FALSE
Lrrfip1	chr1	FALSE	FALSE
Coro2b	chr9	FALSE	FALSE
Itga6	chr2	FALSE	FALSE
Ccdc13	chr9	FALSE	FALSE
Map4	chr9	FALSE	FALSE
Adcy7	chr8	FALSE	FALSE
Lrch1	chr14	FALSE	FALSE
Podn	chr4	FALSE	FALSE
Adamts12	chr15	FALSE	FALSE
Rgs9	chr11	FALSE	FALSE
Plcl1	chr1	FALSE	FALSE
Gpr68	chr12	TRUE	TRUE
Mtfr1	chr3	TRUE	FALSE
Daam1	chr12	FALSE	FALSE
Arhgef17	chr7	FALSE	FALSE
Shank1	chr7	FALSE	FALSE
Calcoco1	chr15	FALSE	FALSE
Otud7a	chr7	FALSE	FALSE
Sirpa	chr2	FALSE	FALSE
Upp1	chr11	TRUE	FALSE
Itgb1bp1	chr12	TRUE	FALSE
Ttll5	chr12	FALSE	FALSE
Egfem1	chr3	FALSE	FALSE
Kcnj3	chr2	FALSE	FALSE
Nwd2	chr5	FALSE	FALSE
Ube2o	chr11	FALSE	FALSE
Myo1e	chr9	FALSE	FALSE
Rps6kc1	chr1	FALSE	FALSE
Klf7	chr1	FALSE	TRUE
Dennd4a	chr9	FALSE	FALSE
Zfp532	chr18	FALSE	FALSE
Slc9a2	chr1	FALSE	FALSE
Poln	chr5	FALSE	FALSE
Ppargc1b	chr18	FALSE	FALSE
Add2	chr6	FALSE	FALSE
Dusp16	chr6	FALSE	FALSE
Vash2	chr1	FALSE	FALSE
Deptor	chr15	FALSE	FALSE
Slc22a14	chr9	FALSE	FALSE
Dnajb6	chr5	FALSE	FALSE
Tbc1d2	chr4	FALSE	FALSE
Ssbp2	chr13	FALSE	FALSE
Rnf130	chr11	FALSE	FALSE
Kcnab2	chr4	FALSE	FALSE
Antxr2	chr5	TRUE	FALSE
Scai	chr2	FALSE	FALSE
Susd4	chr1	FALSE	FALSE
Tmem144	chr3	TRUE	TRUE
Aak1	chr6	FALSE	FALSE
Il17rd	chr14	FALSE	FALSE
Arid1b	chr17	FALSE	TRUE
Sema4d	chr13	FALSE	FALSE
Lrrc1	chr9	FALSE	FALSE
Meis1	chr11	FALSE	FALSE
Setbp1	chr18	FALSE	FALSE
Fmnl2	chr2	FALSE	FALSE
Rnf220	chr4	FALSE	FALSE
Phlpp1	chr1	FALSE	FALSE
Robo1	chr16	FALSE	TRUE
Mnat1	chr12	FALSE	FALSE
Camk2b	chr11	FALSE	FALSE
Kirrel3	chr9	FALSE	FALSE
Ate1	chr7	FALSE	FALSE
Spsb1	chr4	FALSE	FALSE
Qsox1	chr1	FALSE	FALSE
Ptprf	chr4	FALSE	FALSE
Zfp609	chr9	FALSE	FALSE
Fut8	chr12	FALSE	FALSE
Chd7	chr4	FALSE	FALSE
Metap1d	chr2	FALSE	FALSE
Fez2	chr17	TRUE	TRUE
Myrfl	chr10	TRUE	FALSE
Gtf2ird1	chr5	FALSE	FALSE
Smg6	chr11	FALSE	TRUE
Cradd	chr10	FALSE	TRUE
Pik3c2b	chr1	FALSE	FALSE
Pik3ca	chr3	FALSE	FALSE
Arhgef18	chr8	FALSE	FALSE
Bhmt	chr13	TRUE	FALSE
Ptpn4	chr1	FALSE	TRUE
Amph	chr13	FALSE	FALSE
Tcerg1l	chr7	FALSE	FALSE
Map7	chr10	FALSE	FALSE
Pkia	chr3	FALSE	FALSE
Kidins220	chr12	FALSE	FALSE
Stxbp5	chr10	FALSE	FALSE
Zfp148	chr16	FALSE	FALSE
Smarcd3	chr5	FALSE	FALSE
Cyth4	chr15	FALSE	FALSE
Sh3gl2	chr4	FALSE	FALSE
Yipf7	chr5	TRUE	TRUE
Scarb2	chr5	FALSE	FALSE
Ubr4	chr4	FALSE	FALSE
Vasn	chr16	FALSE	FALSE
Sorcs2	chr5	FALSE	FALSE
Tmcc3	chr10	FALSE	FALSE
Lonrf2	chr1	FALSE	FALSE
Ccnk	chr12	FALSE	FALSE
Cnksr2	chrX	FALSE	FALSE
Gabrg1	chr5	TRUE	FALSE
Pawr	chr10	FALSE	FALSE
Osbpl9	chr4	FALSE	FALSE
Atp11a	chr8	FALSE	FALSE
Crppa	chr12	FALSE	FALSE
Zfhx4	chr3	FALSE	FALSE
Bicd1	chr6	FALSE	FALSE
Ccdc138	chr10	FALSE	FALSE
Fam120a	chr13	FALSE	FALSE
Scg2	chr1	TRUE	TRUE
Scube1	chr15	FALSE	FALSE
Fam222a	chr5	FALSE	FALSE
Afg1l	chr10	FALSE	FALSE
Rerg	chr6	TRUE	FALSE
Phtf1	chr3	FALSE	FALSE
Ttll7	chr3	FALSE	FALSE
Adamts17	chr7	FALSE	FALSE
Nt5c2	chr19	FALSE	FALSE
Upp2	chr2	TRUE	TRUE
Disp3	chr4	FALSE	FALSE
Cfap74	chr4	FALSE	FALSE
Chil5	chr3	TRUE	TRUE
Jhy	chr9	FALSE	FALSE
Zic3	chrX	FALSE	TRUE
Syne2	chr12	FALSE	TRUE
Chn2	chr6	FALSE	FALSE
Thsd7b	chr1	TRUE	FALSE
Dhtkd1	chr2	FALSE	FALSE
Kcnb1	chr2	FALSE	FALSE
Ptk2b	chr14	FALSE	FALSE
Gpm6a	chr8	FALSE	FALSE
Pde3a	chr6	FALSE	FALSE
Helz	chr11	FALSE	FALSE
Cdc42se2	chr11	FALSE	FALSE
Gnao1	chr8	FALSE	FALSE
Fam172a	chr13	FALSE	FALSE
Homer2	chr7	FALSE	FALSE
Adam23	chr1	FALSE	FALSE
Rab3b	chr4	FALSE	FALSE
Kif26b	chr1	FALSE	FALSE
Sptbn1	chr11	FALSE	FALSE
Insc	chr7	FALSE	FALSE
Pcnx	chr12	FALSE	FALSE
Hecw1	chr13	FALSE	FALSE
Smarca4	chr9	FALSE	FALSE
Blm	chr7	FALSE	FALSE
Ophn1	chrX	FALSE	FALSE
Nav2	chr7	TRUE	FALSE
Rgs12	chr5	FALSE	FALSE
Pclo	chr5	FALSE	FALSE
Nr4a2	chr2	TRUE	TRUE
Cdh12	chr15	FALSE	FALSE
Sap30	chr8	TRUE	TRUE
Prl	chr13	TRUE	FALSE
Gsk3b	chr16	FALSE	FALSE
Gnptab	chr10	FALSE	FALSE
Macroh2a1	chr13	FALSE	FALSE
Rnf43	chr11	FALSE	FALSE
Ralgapa1	chr12	FALSE	FALSE
Camk2a	chr18	FALSE	FALSE
Dcp1b	chr6	FALSE	TRUE
Macrod2	chr2	TRUE	TRUE
C1qtnf1	chr11	FALSE	FALSE
Ola1	chr2	FALSE	FALSE
Slc4a10	chr2	FALSE	FALSE
Bfsp2	chr9	FALSE	FALSE
Dnm2	chr9	FALSE	FALSE
Rybp	chr6	FALSE	FALSE
Cdh13	chr8	FALSE	FALSE
Ptpru	chr4	FALSE	FALSE
Rnf111	chr9	FALSE	FALSE
Usp29	chr7	TRUE	FALSE
Grip2	chr6	FALSE	FALSE
Ccser1	chr6	FALSE	TRUE
Igf2bp3	chr6	FALSE	FALSE
Antxr1	chr6	FALSE	FALSE
Cadm1	chr9	FALSE	FALSE
Ilrun	chr17	FALSE	FALSE
Akap12	chr10	FALSE	FALSE
Arpp21	chr9	FALSE	FALSE
Dcstamp	chr15	TRUE	TRUE
Pcbd2	chr13	FALSE	FALSE
Slc1a3	chr15	FALSE	FALSE
Nme7	chr1	FALSE	FALSE
Ncoa6	chr2	FALSE	FALSE
Ddx10	chr9	FALSE	FALSE
Evi5	chr5	FALSE	FALSE
Fntb	chr12	TRUE	FALSE
Phldb1	chr9	FALSE	FALSE
Ovol2	chr2	FALSE	FALSE
AW554918	chr18	FALSE	FALSE
Esyt2	chr12	FALSE	FALSE
Nxpe4	chr9	FALSE	FALSE
Enkur	chr2	TRUE	TRUE
Loxhd1	chr18	FALSE	FALSE
Itga5	chr15	FALSE	FALSE
Tet2	chr3	FALSE	FALSE
Tnrc6a	chr7	FALSE	FALSE
Kcnh1	chr1	FALSE	FALSE
Gzmn	chr14	TRUE	FALSE
Mmd2	chr5	FALSE	FALSE
Atp9a	chr2	FALSE	FALSE
Insr	chr8	FALSE	FALSE
Lcorl	chr5	FALSE	FALSE
Cd200r3	chr16	TRUE	TRUE
Ttc23	chr7	FALSE	FALSE
Pcnx2	chr8	FALSE	FALSE
Icos	chr1	TRUE	TRUE
Carmil1	chr13	FALSE	FALSE
Lmntd1	chr6	FALSE	FALSE
Lpin1	chr12	FALSE	FALSE
Mdm4	chr1	FALSE	FALSE
Slc7a14	chr3	FALSE	FALSE
Dtnb	chr12	FALSE	FALSE
Nin	chr12	FALSE	FALSE
Pax8	chr2	FALSE	FALSE
Rgs17	chr10	FALSE	FALSE
Usp18	chr6	FALSE	FALSE
Camkmt	chr17	FALSE	FALSE
Ccdc88c	chr12	FALSE	TRUE
Prkg1	chr19	FALSE	FALSE
Lhx3	chr2	FALSE	FALSE
Spats2	chr15	FALSE	FALSE
Nphp1	chr2	TRUE	TRUE
Actn1	chr12	FALSE	FALSE
Myh13	chr11	FALSE	FALSE
Wdfy3	chr5	FALSE	FALSE
Tsc22d1	chr14	FALSE	FALSE
App	chr16	FALSE	TRUE
Il20rb	chr9	TRUE	TRUE
Fry	chr5	FALSE	FALSE
Wwc2	chr8	FALSE	FALSE
Bmp6	chr13	FALSE	FALSE
Fam169a	chr13	TRUE	FALSE
Src	chr2	FALSE	FALSE
Map3k4	chr17	FALSE	FALSE
Nup188	chr2	FALSE	FALSE
Glg1	chr8	FALSE	FALSE
Large1	chr8	FALSE	FALSE
Plbd2	chr5	FALSE	FALSE
Bmpr1b	chr3	FALSE	FALSE
Tango6	chr8	FALSE	FALSE
Sptbn4	chr7	FALSE	FALSE
Fbxo10	chr4	FALSE	FALSE
Glp1r	chr17	FALSE	FALSE
Pde8a	chr7	FALSE	FALSE
Pou2f1	chr1	FALSE	FALSE
Ppm1e	chr11	FALSE	FALSE
Gab2	chr7	FALSE	FALSE
Shroom3	chr5	FALSE	TRUE
Sdc3	chr4	FALSE	FALSE
Cacna1a	chr8	FALSE	FALSE
Sel1l3	chr5	FALSE	FALSE
Alpl	chr4	FALSE	FALSE
Schip1	chr3	TRUE	TRUE
Bnip5	chr17	FALSE	FALSE
Adgrb2	chr4	FALSE	FALSE
Ppp2r5c	chr12	FALSE	FALSE
Eif2ak4	chr2	FALSE	FALSE
Bnc1	chr7	FALSE	FALSE
Kif3b	chr2	FALSE	FALSE
Arhgap44	chr11	FALSE	FALSE
Rb1	chr14	FALSE	FALSE
Kyat3	chr3	FALSE	FALSE
Eda	chrX	FALSE	FALSE
Kcnk13	chr12	FALSE	FALSE
Tbc1d19	chr5	FALSE	FALSE
Baiap2	chr11	FALSE	FALSE
Kdm4b	chr17	FALSE	FALSE
Ube2w	chr1	FALSE	FALSE
Mcph1	chr8	FALSE	FALSE
Dtx1	chr5	FALSE	FALSE
Stk4	chr2	FALSE	FALSE
Scp2	chr4	FALSE	FALSE
Lrch3	chr16	FALSE	FALSE
Cox10	chr11	FALSE	FALSE
Rap1a	chr3	FALSE	FALSE
Iqgap1	chr7	FALSE	FALSE
Oxsr1	chr9	FALSE	FALSE
Ppa2	chr3	FALSE	FALSE
Atxn2	chr5	FALSE	FALSE
Gsap	chr5	FALSE	FALSE
Paqr5	chr9	FALSE	FALSE
Cachd1	chr4	FALSE	FALSE
Ppp1r13b	chr12	FALSE	FALSE
F13a1	chr13	FALSE	TRUE
Plxna2	chr1	FALSE	FALSE
Jak1	chr4	FALSE	FALSE
Prmt3	chr7	FALSE	FALSE
Slc39a10	chr1	FALSE	FALSE
Mrps9	chr1	FALSE	FALSE
Nrxn2	chr19	FALSE	FALSE
Clmn	chr12	FALSE	FALSE
Ankrd44	chr1	FALSE	TRUE
Auh	chr13	FALSE	FALSE
Mical2	chr7	FALSE	FALSE
Wnk2	chr13	FALSE	FALSE
Gsn	chr2	FALSE	FALSE
Iffo2	chr4	FALSE	FALSE
Srbd1	chr17	FALSE	FALSE
Ikzf2	chr1	FALSE	TRUE
Klf12	chr14	FALSE	FALSE
Brip1	chr11	FALSE	FALSE
Ccdc146	chr5	FALSE	FALSE
Vdr	chr15	FALSE	FALSE
Btbd7	chr12	FALSE	FALSE
Rsph14	chr10	FALSE	FALSE
Sptlc2	chr12	FALSE	FALSE
Mdga2	chr12	TRUE	FALSE
Adarb1	chr10	FALSE	FALSE
Fbxw4	chr19	FALSE	FALSE
Klf3	chr5	FALSE	FALSE
Trub1	chr19	FALSE	FALSE
Dgkg	chr16	FALSE	FALSE
Lin7a	chr10	FALSE	FALSE
Ism1	chr2	FALSE	FALSE
Zfyve9	chr4	FALSE	FALSE
Glra2	chrX	TRUE	FALSE
Aftph	chr11	FALSE	FALSE
Tet3	chr6	FALSE	FALSE
Kiz	chr2	FALSE	FALSE
Pias1	chr9	FALSE	FALSE
Paqr8	chr1	TRUE	FALSE
Eri3	chr4	FALSE	FALSE
Brd4	chr17	FALSE	FALSE
Tmem61	chr4	FALSE	FALSE
Adgrv1	chr13	FALSE	FALSE
Myo1b	chr1	FALSE	TRUE
Scarb1	chr5	FALSE	FALSE
Dcbld1	chr10	FALSE	FALSE
Sh3tc2	chr18	FALSE	FALSE
Mctp2	chr7	FALSE	FALSE
Lmtk2	chr5	FALSE	FALSE
Irx5	chr8	FALSE	FALSE
Nbas	chr12	FALSE	FALSE
Exoc2	chr13	FALSE	TRUE
a	chr2	FALSE	FALSE
Msh3	chr13	FALSE	FALSE
Cers4	chr8	FALSE	FALSE
Papola	chr12	FALSE	FALSE
Smurf1	chr5	FALSE	FALSE
Phf14	chr6	FALSE	FALSE
Lgr6	chr1	FALSE	FALSE
Ap2b1	chr11	FALSE	FALSE
Cfap77	chr2	FALSE	FALSE
Tbcd	chr11	FALSE	FALSE
Scmh1	chr4	FALSE	FALSE
Umodl1	chr17	FALSE	FALSE
4930523C07Rik	chr1	TRUE	FALSE
Ly6g6d	chr17	TRUE	TRUE
Ccn4	chr15	FALSE	FALSE
Apba1	chr19	FALSE	FALSE
Mapt	chr11	FALSE	FALSE
Pepd	chr7	FALSE	FALSE
Prep	chr10	FALSE	FALSE
Il4ra	chr7	FALSE	FALSE
Marf1	chr16	FALSE	FALSE
Sema4b	chr7	FALSE	FALSE
Cfap221	chr1	FALSE	FALSE
Man1c1	chr4	FALSE	FALSE
Aox1	chr1	TRUE	TRUE
Arvcf	chr16	FALSE	TRUE
Vps8	chr16	FALSE	FALSE
Pde1a	chr2	FALSE	FALSE
Phyhipl	chr10	FALSE	FALSE
Angel1	chr12	TRUE	TRUE
Chdh	chr14	FALSE	FALSE
Hectd4	chr5	FALSE	FALSE
Esrrb	chr12	FALSE	FALSE
Myzap	chr9	FALSE	FALSE
Pkn2	chr3	FALSE	FALSE
Prr5	chr15	FALSE	FALSE
Vit	chr17	FALSE	FALSE
Fam78b	chr1	TRUE	TRUE
Ap1g1	chr8	FALSE	FALSE
Atp2b4	chr1	FALSE	TRUE
Acvr2a	chr2	FALSE	FALSE
Wdr70	chr15	FALSE	FALSE
Slc2a13	chr15	FALSE	FALSE
Ergic1	chr17	FALSE	FALSE
Tnfrsf19	chr14	FALSE	FALSE
Emsy	chr7	FALSE	FALSE
Xpr1	chr1	FALSE	FALSE
Hhat	chr1	FALSE	FALSE
Unc5c	chr3	TRUE	FALSE
Lmbr1	chr5	FALSE	FALSE
Ppcdc	chr9	FALSE	FALSE
3110009E18Rik	chr1	FALSE	FALSE
Scn3a	chr2	FALSE	FALSE
Galnt3	chr2	FALSE	FALSE
Me1	chr9	FALSE	FALSE
Smarca2	chr19	FALSE	FALSE
Iqsec3	chr6	FALSE	FALSE
Bcat1	chr6	FALSE	FALSE
Arl4a	chr12	FALSE	TRUE
Lcor	chr19	FALSE	FALSE
Srrm4	chr5	FALSE	FALSE
Nhs	chrX	FALSE	FALSE
Arfgef2	chr2	FALSE	FALSE
7530416G11Rik	chr15	FALSE	FALSE
Dop1b	chr16	FALSE	FALSE
Slitrk2	chrX	TRUE	TRUE
Grm1	chr10	FALSE	FALSE
Emid1	chr11	FALSE	FALSE
Zfp943	chr17	FALSE	FALSE
Lrrfip2	chr9	FALSE	FALSE
Dach1	chr14	TRUE	FALSE
Epb41l3	chr17	FALSE	FALSE
Nckap1	chr2	FALSE	FALSE
Atf7	chr15	FALSE	FALSE
Pcdh15	chr10	FALSE	FALSE
Sgsm3	chr15	FALSE	FALSE
Atp9b	chr18	FALSE	FALSE
Dnmbp	chr19	FALSE	FALSE
Sox6	chr7	TRUE	FALSE
Spopl	chr2	FALSE	FALSE
Frmd8	chr19	FALSE	FALSE
Ppfibp2	chr7	FALSE	FALSE
Psmd14	chr2	FALSE	FALSE
Atp7a	chrX	FALSE	FALSE
Stim2	chr5	FALSE	FALSE
Txndc16	chr14	FALSE	FALSE
Rnf213	chr11	FALSE	FALSE
Dpt	chr1	TRUE	TRUE
Retreg1	chr15	FALSE	FALSE
Cstf3	chr2	FALSE	FALSE
Pik3cb	chr9	FALSE	FALSE
Rgs20	chr1	FALSE	TRUE
Bckdhb	chr9	FALSE	TRUE
Eipr1	chr12	FALSE	FALSE
Nhej1	chr1	FALSE	FALSE
Gan	chr8	FALSE	FALSE
Tmco4	chr4	FALSE	FALSE
Nsd3	chr8	FALSE	FALSE
Ralyl	chr3	FALSE	FALSE
Rps6kb1	chr11	FALSE	FALSE
Axdnd1	chr1	FALSE	FALSE
Pde7b	chr10	FALSE	FALSE
Slc23a2	chr2	FALSE	FALSE
Fcho2	chr13	FALSE	FALSE
Vangl1	chr3	FALSE	FALSE
Pld1	chr3	FALSE	TRUE
Cobll1	chr2	TRUE	FALSE
Tmem163	chr1	FALSE	TRUE
Cpeb1	chr7	FALSE	FALSE
Txnl4b	chr8	FALSE	FALSE
Ret	chr6	FALSE	FALSE
Nrf1	chr6	FALSE	FALSE
Mettl21e	chr1	TRUE	TRUE
Lmo1	chr7	FALSE	FALSE
Elf2	chr3	FALSE	FALSE
Cacnb2	chr2	FALSE	FALSE
Ttc29	chr8	FALSE	FALSE
Aktip	chr8	FALSE	FALSE
Fgf12	chr16	FALSE	FALSE
Sik2	chr9	FALSE	FALSE
Exph5	chr9	TRUE	FALSE
Egflam	chr15	FALSE	FALSE
Trim36	chr18	FALSE	FALSE
Agrp	chr8	FALSE	FALSE
Cenpj	chr14	TRUE	FALSE
Ikbkb	chr8	FALSE	FALSE
Btbd8	chr5	TRUE	FALSE
Rngtt	chr4	FALSE	FALSE
Scin	chr12	FALSE	FALSE
Bmerb1	chr16	FALSE	FALSE
Sorl1	chr9	FALSE	FALSE
Ninj2	chr6	FALSE	FALSE
Tenm3	chr8	FALSE	FALSE
Usp7	chr16	FALSE	FALSE
Fbxw11	chr11	FALSE	FALSE
Diaph3	chr14	FALSE	TRUE
Colgalt2	chr1	FALSE	FALSE
Ccar2	chr14	FALSE	FALSE
Kdm6a	chrX	FALSE	FALSE
Fars2	chr13	FALSE	FALSE
Sntg1	chr1	FALSE	FALSE
Taf3	chr2	FALSE	FALSE
Abcc8	chr7	FALSE	FALSE
Grid2ip	chr5	FALSE	FALSE
Itsn2	chr12	FALSE	FALSE
Pms1	chr1	TRUE	FALSE
Tenm4	chr7	TRUE	FALSE
Bicra	chr7	FALSE	FALSE
Myh10	chr11	FALSE	FALSE
Setd2	chr9	FALSE	FALSE
Kcnma1	chr14	TRUE	FALSE
Atad2b	chr12	FALSE	FALSE
Fam222b	chr11	FALSE	FALSE
E130308A19Rik	chr4	FALSE	FALSE
Lnpk	chr2	FALSE	TRUE
Olfml2b	chr1	TRUE	FALSE
Rgma	chr7	FALSE	TRUE
Vstm2l	chr2	FALSE	FALSE
Adck1	chr12	FALSE	FALSE
Vps13a	chr19	FALSE	FALSE
Th	chr7	FALSE	FALSE
Arid2	chr15	FALSE	FALSE
Mlip	chr9	FALSE	FALSE
Rhbdl3	chr11	FALSE	FALSE
Stxbp5l	chr16	FALSE	FALSE
Abca13	chr11	TRUE	FALSE
Nbeal1	chr1	FALSE	FALSE
Cdc26	chr4	FALSE	FALSE
Tab3	chrX	FALSE	FALSE
Arhgef37	chr18	TRUE	FALSE
Exoc3l	chr8	TRUE	TRUE
Btaf1	chr19	FALSE	FALSE
Senp7	chr16	FALSE	FALSE
Tmtc1	chr6	FALSE	FALSE
Ano5	chr7	FALSE	FALSE
Raph1	chr1	FALSE	FALSE
Pla2g5	chr4	FALSE	FALSE
Sema3f	chr9	FALSE	FALSE
Slco2a1	chr9	FALSE	FALSE
Trim9	chr12	FALSE	FALSE
Medag	chr5	FALSE	TRUE
Dock10	chr1	FALSE	FALSE
Kank1	chr19	FALSE	FALSE
Map6	chr7	FALSE	FALSE
Myo16	chr8	FALSE	FALSE
Zfp385c	chr11	FALSE	FALSE
Elovl7	chr13	FALSE	FALSE
Ern1	chr11	FALSE	FALSE
Map2k4	chr11	FALSE	FALSE
Kcnh8	chr17	FALSE	FALSE
Notch1	chr2	FALSE	FALSE
Mbtps2	chrX	TRUE	FALSE
Greb1l	chr18	FALSE	FALSE
Fbxw7	chr3	FALSE	FALSE
Thbs2	chr17	TRUE	FALSE
Pbdc1	chrX	FALSE	FALSE
Clgn	chr8	FALSE	FALSE
