gene_name	chr	K119ub_up	MeCP2_up
Il7	chr3	TRUE	FALSE
Dynlrb2	chr8	TRUE	TRUE
Lrrn3	chr12	TRUE	TRUE
Parvb	chr15	TRUE	FALSE
Zmynd11	chr13	TRUE	FALSE
L3mbtl1	chr2	FALSE	FALSE
Cplx1	chr5	FALSE	FALSE
Hltf	chr3	FALSE	FALSE
Kcnk3	chr5	TRUE	TRUE
Lum	chr10	TRUE	TRUE
Gm21992	chr19	FALSE	FALSE
Rapgef3	chr15	TRUE	FALSE
Tspan5	chr3	TRUE	FALSE
Alkbh6	chr7	FALSE	FALSE
Vapb	chr2	FALSE	FALSE
Prkacb	chr3	TRUE	TRUE
Adcy1	chr11	FALSE	FALSE
Ass1	chr2	FALSE	FALSE
Slc35f1	chr10	TRUE	TRUE
Golga7	chr8	FALSE	FALSE
Ntm	chr9	TRUE	FALSE
Rab28	chr5	TRUE	FALSE
Zfp474	chr18	TRUE	TRUE
Fgd3	chr13	FALSE	FALSE
Fzd7	chr1	TRUE	FALSE
Acacb	chr5	FALSE	FALSE
Gap43	chr16	TRUE	FALSE
Zap70	chr1	FALSE	TRUE
Hdlbp	chr1	FALSE	FALSE
Aff2	chrX	TRUE	TRUE
Hrh1	chr6	FALSE	FALSE
Sin3a	chr9	TRUE	FALSE
Cand1	chr10	FALSE	FALSE
Cps1	chr1	FALSE	FALSE
Fbxl18	chr5	FALSE	TRUE
Pkn1	chr8	FALSE	FALSE
Ppp1r21	chr17	FALSE	TRUE
Sptlc1	chr13	FALSE	TRUE
Mlec	chr5	FALSE	TRUE
Krt80	chr15	TRUE	FALSE
Ncbp3	chr11	FALSE	FALSE
Acsf2	chr11	FALSE	FALSE
Baz1b	chr5	FALSE	FALSE
Mrgpre	chr7	FALSE	FALSE
Cttnbp2	chr6	TRUE	FALSE
Ptpn2	chr18	FALSE	FALSE
A630023A22Rik	chr14	TRUE	FALSE
Ccdc187	chr2	FALSE	FALSE
Arhgef33	chr17	FALSE	FALSE
P2rx4	chr5	FALSE	FALSE
Kcnq5	chr1	TRUE	TRUE
Alpk2	chr18	TRUE	FALSE
Asap1	chr15	TRUE	TRUE
Clec18a	chr8	TRUE	FALSE
Eif4a1	chr11	FALSE	FALSE
Pcdha9	chr18	TRUE	FALSE
Enpp2	chr15	TRUE	FALSE
Kdm2b	chr5	FALSE	FALSE
Tjap1	chr17	FALSE	FALSE
Rft1	chr14	FALSE	TRUE
Cog4	chr8	FALSE	TRUE
Pik3r1	chr13	TRUE	FALSE
P3h4	chr11	TRUE	FALSE
Ankhd1	chr18	FALSE	FALSE
Chrna2	chr14	TRUE	FALSE
Loxl1	chr9	FALSE	FALSE
Pbx3	chr2	TRUE	FALSE
Fosl2	chr5	TRUE	FALSE
Lmbrd1	chr1	FALSE	FALSE
Fbxo41	chr6	FALSE	FALSE
E2f1	chr2	TRUE	FALSE
Dnajc11	chr4	FALSE	FALSE
Myo10	chr15	TRUE	FALSE
Itpk1	chr12	TRUE	TRUE
Plekhg3	chr12	TRUE	FALSE
Ercc6l2	chr13	TRUE	FALSE
Mctp1	chr13	TRUE	FALSE
Crmp1	chr5	TRUE	FALSE
Gabrr2	chr4	TRUE	TRUE
Ube4b	chr4	FALSE	FALSE
Atp2a2	chr5	FALSE	FALSE
Popdc3	chr10	FALSE	FALSE
Arhgap39	chr15	FALSE	FALSE
Mcm3ap	chr10	FALSE	FALSE
Mapk14	chr17	FALSE	FALSE
Eml6	chr11	TRUE	FALSE
Klhl26	chr8	FALSE	FALSE
Mindy4	chr6	TRUE	TRUE
Pced1b	chr15	FALSE	FALSE
Cdc42bpg	chr19	FALSE	FALSE
Tnfsf8	chr4	TRUE	FALSE
Rnf217	chr10	TRUE	FALSE
Mbtd1	chr11	FALSE	FALSE
Rsph6a	chr7	FALSE	FALSE
Kcnk2	chr1	TRUE	TRUE
Vsig10	chr5	FALSE	TRUE
Cdk19	chr10	TRUE	TRUE
Fam163a	chr1	FALSE	FALSE
Kcnk10	chr12	TRUE	FALSE
Acot7	chr4	TRUE	FALSE
Ripor2	chr13	TRUE	FALSE
Elovl5	chr9	TRUE	FALSE
Pcnt	chr10	FALSE	FALSE
Trappc10	chr10	FALSE	TRUE
Ldb2	chr5	FALSE	FALSE
3110082I17Rik	chr5	TRUE	FALSE
Shc2	chr10	TRUE	FALSE
Jdp2	chr12	FALSE	FALSE
Kcnmb2	chr3	TRUE	FALSE
Kcnip1	chr11	TRUE	TRUE
Smim5	chr11	FALSE	FALSE
Il27ra	chr8	FALSE	FALSE
P2ry6	chr7	FALSE	FALSE
F12	chr13	FALSE	FALSE
Ptpn14	chr1	TRUE	FALSE
Sox5	chr6	TRUE	TRUE
Rpia	chr6	TRUE	TRUE
Fat3	chr9	TRUE	FALSE
Ankib1	chr5	FALSE	FALSE
Cntn1	chr15	TRUE	TRUE
Vkorc1l1	chr5	FALSE	FALSE
Heyl	chr4	FALSE	FALSE
Cdc42bpb	chr12	FALSE	FALSE
Trip12	chr1	FALSE	TRUE
Rap2a	chr14	TRUE	FALSE
Ehd2	chr7	FALSE	TRUE
Foxn2	chr17	TRUE	TRUE
Zfp521	chr18	TRUE	FALSE
Umad1	chr6	TRUE	FALSE
Grm8	chr6	FALSE	FALSE
Foxk1	chr5	FALSE	TRUE
Elavl1	chr8	FALSE	FALSE
Faxc	chr4	TRUE	FALSE
Ano7	chr1	FALSE	FALSE
Gata3	chr2	FALSE	FALSE
Arhgap27	chr11	FALSE	TRUE
Hcfc2	chr10	TRUE	FALSE
Wasf3	chr5	FALSE	TRUE
Trim29	chr9	FALSE	FALSE
Ush1c	chr7	FALSE	FALSE
A4galt	chr15	TRUE	FALSE
Adamts2	chr11	TRUE	FALSE
Wasl	chr6	TRUE	FALSE
Fam163b	chr2	FALSE	FALSE
Trmt9b	chr8	TRUE	TRUE
Hspbap1	chr16	TRUE	FALSE
Ptprz1	chr6	FALSE	TRUE
Klhl3	chr13	TRUE	TRUE
Pwwp2b	chr7	FALSE	FALSE
Scn4b	chr9	FALSE	TRUE
Capn7	chr14	FALSE	FALSE
Alx4	chr2	TRUE	FALSE
Rfx8	chr1	TRUE	FALSE
Tle4	chr19	TRUE	TRUE
Prss12	chr3	TRUE	FALSE
Xylt1	chr7	TRUE	TRUE
Ago2	chr15	FALSE	FALSE
Lims1	chr10	TRUE	FALSE
Neo1	chr9	FALSE	FALSE
Slc44a3	chr3	FALSE	FALSE
Kif21b	chr1	TRUE	FALSE
Hs3st1	chr5	TRUE	TRUE
Cystm1	chr18	TRUE	FALSE
Tmem184b	chr15	FALSE	TRUE
Ankrd55	chr13	FALSE	FALSE
Itgb3bp	chr4	TRUE	FALSE
Extl3	chr14	TRUE	FALSE
Ifnar2	chr16	FALSE	TRUE
Osmr	chr15	FALSE	FALSE
Eif4e3	chr6	TRUE	TRUE
Dgkh	chr14	TRUE	TRUE
Gnai3	chr3	FALSE	FALSE
Tacc1	chr8	TRUE	TRUE
Slc6a17	chr3	TRUE	FALSE
Ano10	chr9	TRUE	FALSE
Wnt7b	chr15	FALSE	FALSE
Pdgfc	chr3	FALSE	FALSE
Exog	chr9	TRUE	FALSE
Hadh	chr3	TRUE	FALSE
Cdh1	chr8	FALSE	TRUE
Col15a1	chr4	TRUE	TRUE
Wscd2	chr5	FALSE	FALSE
Lonrf3	chrX	FALSE	FALSE
Cttn	chr7	FALSE	FALSE
Phldb2	chr16	TRUE	TRUE
Glb1	chr9	FALSE	FALSE
Fgfr4	chr13	FALSE	FALSE
Crem	chr18	TRUE	TRUE
Magi3	chr3	TRUE	FALSE
Pdgfa	chr5	FALSE	TRUE
Sema6a	chr18	TRUE	FALSE
Ppp1r16b	chr2	FALSE	FALSE
Stx2	chr5	FALSE	FALSE
Mthfsd	chr8	FALSE	FALSE
Dapp1	chr3	TRUE	TRUE
Kbtbd11	chr8	TRUE	TRUE
Zfp652	chr11	FALSE	FALSE
Ngf	chr3	TRUE	FALSE
Smarca5	chr8	FALSE	FALSE
Sptb	chr12	TRUE	TRUE
Adcyap1r1	chr6	TRUE	FALSE
Enox2	chrX	TRUE	TRUE
Immp2l	chr12	TRUE	TRUE
Prim2	chr1	FALSE	FALSE
Zfp362	chr4	FALSE	FALSE
Hhipl1	chr12	TRUE	FALSE
Kif21a	chr15	FALSE	FALSE
Adad1	chr3	FALSE	FALSE
Onecut2	chr18	TRUE	TRUE
Wwp2	chr8	TRUE	TRUE
Flywch1	chr17	FALSE	FALSE
Fer	chr17	TRUE	FALSE
Tph2	chr10	TRUE	FALSE
Sgsm1	chr5	FALSE	FALSE
Agap2	chr10	FALSE	FALSE
Dctn1	chr6	FALSE	FALSE
Mettl26	chr17	TRUE	FALSE
Smarcal1	chr1	FALSE	FALSE
Cdk13	chr13	FALSE	FALSE
Crybg1	chr10	FALSE	FALSE
Adra1b	chr11	FALSE	FALSE
Nck1	chr9	TRUE	FALSE
Cabp7	chr11	FALSE	FALSE
Slit3	chr11	TRUE	FALSE
Ppp1cb	chr5	FALSE	TRUE
Trmt13	chr3	TRUE	FALSE
Coro2a	chr4	TRUE	FALSE
Krt5	chr15	FALSE	FALSE
Sesn2	chr4	FALSE	FALSE
Grin3a	chr4	FALSE	FALSE
Clip1	chr5	FALSE	FALSE
Foxj1	chr11	FALSE	FALSE
Phf12	chr11	FALSE	FALSE
Papln	chr12	FALSE	FALSE
Tbc1d10a	chr11	FALSE	FALSE
Nyx	chrX	TRUE	FALSE
Hnrnpk	chr13	FALSE	FALSE
Slc25a21	chr12	FALSE	FALSE
Ajuba	chr14	FALSE	TRUE
Mapre3	chr5	FALSE	FALSE
Dsn1	chr2	TRUE	FALSE
Cxcr5	chr9	TRUE	FALSE
Slc6a9	chr4	FALSE	FALSE
Aspscr1	chr11	FALSE	FALSE
Sesn1	chr10	TRUE	FALSE
Cttnbp2nl	chr3	TRUE	FALSE
Tll1	chr8	TRUE	FALSE
Pknox1	chr17	FALSE	FALSE
Klc1	chr12	FALSE	TRUE
Sidt1	chr16	TRUE	FALSE
Epb41l1	chr2	FALSE	FALSE
Map3k20	chr2	FALSE	FALSE
Rps6ka5	chr12	TRUE	FALSE
Evc2	chr5	TRUE	TRUE
Kcnh7	chr2	FALSE	FALSE
B4galt1	chr4	TRUE	TRUE
Trpc4ap	chr2	FALSE	FALSE
Dexi	chr16	TRUE	FALSE
Gmds	chr13	TRUE	FALSE
Napa	chr7	FALSE	FALSE
Fzd6	chr15	FALSE	FALSE
Lman2	chr13	FALSE	TRUE
Ptprj	chr2	TRUE	FALSE
Lrrc3	chr10	TRUE	FALSE
Trappc9	chr15	TRUE	TRUE
Qrich2	chr11	FALSE	FALSE
Gfpt1	chr6	FALSE	FALSE
Rpgrip1l	chr8	FALSE	FALSE
Phf3	chr1	FALSE	FALSE
Slc28a3	chr13	FALSE	TRUE
Sgcg	chr14	TRUE	FALSE
Vwa5b1	chr4	FALSE	FALSE
Wnt10a	chr1	FALSE	FALSE
Ablim3	chr18	TRUE	FALSE
Cbln3	chr14	TRUE	FALSE
Hook3	chr8	FALSE	FALSE
Usp44	chr10	TRUE	TRUE
Rap1gap	chr4	FALSE	FALSE
Olfml3	chr3	TRUE	FALSE
Tns1	chr1	TRUE	TRUE
Arfgap3	chr15	TRUE	FALSE
Gbp3	chr3	TRUE	FALSE
Tmem132e	chr11	TRUE	FALSE
Dnajc17	chr2	FALSE	FALSE
Sohlh2	chr3	FALSE	FALSE
Serp2	chr14	TRUE	TRUE
Cfap45	chr1	TRUE	FALSE
Etv3	chr3	TRUE	TRUE
Ift140	chr17	FALSE	FALSE
Enpp7	chr11	FALSE	FALSE
Ensa	chr3	TRUE	FALSE
Fam185a	chr5	TRUE	TRUE
Ppm1h	chr10	TRUE	TRUE
Slc4a8	chr15	FALSE	FALSE
Shc3	chr13	FALSE	FALSE
Ntng1	chr3	TRUE	TRUE
Ace	chr11	TRUE	FALSE
Nefm	chr14	TRUE	TRUE
Rbpms2	chr9	FALSE	FALSE
Sema7a	chr9	FALSE	FALSE
Adora3	chr3	FALSE	TRUE
Ccm2l	chr2	TRUE	TRUE
Kcnip2	chr19	TRUE	FALSE
Deaf1	chr7	FALSE	FALSE
Fam114a1	chr5	TRUE	FALSE
Nfatc2	chr2	FALSE	FALSE
Cyfip2	chr11	FALSE	TRUE
Hmcn1	chr1	TRUE	TRUE
Tmem44	chr16	TRUE	FALSE
Eif5b	chr1	FALSE	TRUE
Camsap2	chr1	FALSE	TRUE
Slc41a3	chr6	TRUE	TRUE
Ralbp1	chr17	TRUE	TRUE
Sarm1	chr11	TRUE	FALSE
Ush1g	chr11	TRUE	FALSE
Macc1	chr12	FALSE	TRUE
Capn5	chr7	TRUE	FALSE
Chst7	chrX	TRUE	FALSE
Pnpla1	chr17	FALSE	FALSE
Sh3kbp1	chrX	FALSE	FALSE
Hs2st1	chr3	TRUE	FALSE
Ramp3	chr11	TRUE	FALSE
Rapgef4	chr2	FALSE	FALSE
Slc18a1	chr8	FALSE	FALSE
Rasal1	chr5	FALSE	FALSE
Pfkfb2	chr1	TRUE	FALSE
Ilf3	chr9	FALSE	FALSE
Col25a1	chr3	FALSE	FALSE
Jcad	chr18	TRUE	TRUE
Tcf7l1	chr6	FALSE	TRUE
Ebf4	chr2	FALSE	FALSE
Rnf145	chr11	TRUE	FALSE
Sik1	chr17	FALSE	FALSE
Nap1l4	chr7	FALSE	FALSE
Med24	chr11	FALSE	TRUE
Ctdp1	chr18	FALSE	FALSE
Ift80	chr3	FALSE	FALSE
Nxph4	chr10	TRUE	FALSE
Zbtb4	chr11	FALSE	FALSE
Tnfsf13	chr11	TRUE	TRUE
Serpinb6e	chr13	FALSE	FALSE
Arhgap42	chr9	FALSE	TRUE
Ltbp2	chr12	TRUE	FALSE
Vegfa	chr17	TRUE	TRUE
Ror1	chr4	TRUE	TRUE
Git2	chr5	FALSE	FALSE
Scap	chr9	FALSE	TRUE
Cryl1	chr14	FALSE	FALSE
Sfrp5	chr19	TRUE	FALSE
Mbd2	chr18	FALSE	FALSE
Kif14	chr1	TRUE	TRUE
Sparc	chr11	FALSE	FALSE
Slc22a22	chr15	FALSE	FALSE
Prkcq	chr2	FALSE	FALSE
Sugp1	chr8	FALSE	FALSE
Nid1	chr13	FALSE	FALSE
Nr1d2	chr14	FALSE	FALSE
Yy1	chr12	FALSE	FALSE
G2e3	chr12	TRUE	TRUE
Dnajc5	chr2	FALSE	TRUE
Tmem52	chr4	FALSE	TRUE
Cxcl17	chr7	FALSE	FALSE
Rhof	chr5	FALSE	FALSE
Pam	chr1	TRUE	TRUE
Syt12	chr19	FALSE	FALSE
Zfp853	chr5	FALSE	FALSE
Spry2	chr14	TRUE	TRUE
Pros1	chr16	FALSE	FALSE
Stim1	chr7	TRUE	FALSE
Zmym2	chr14	FALSE	FALSE
Prkcd	chr14	TRUE	FALSE
Erh	chr12	TRUE	FALSE
Vat1l	chr8	TRUE	TRUE
Arfip1	chr3	TRUE	TRUE
Ccdc85a	chr11	FALSE	TRUE
Zmiz1	chr14	FALSE	TRUE
Dnajc24	chr2	TRUE	FALSE
Tiparp	chr3	TRUE	FALSE
Col6a1	chr10	FALSE	TRUE
Colgalt1	chr8	FALSE	FALSE
Acer3	chr7	TRUE	FALSE
Mboat2	chr12	TRUE	TRUE
Mfsd4a	chr1	FALSE	TRUE
Edem1	chr6	FALSE	TRUE
Mapk8	chr14	TRUE	FALSE
Phyhd1	chr2	FALSE	FALSE
Pitpna	chr11	FALSE	FALSE
Mrc1	chr2	TRUE	TRUE
Atp6v1c2	chr12	FALSE	FALSE
Nim1k	chr13	TRUE	FALSE
Tmem229b	chr12	TRUE	FALSE
Ankmy1	chr1	TRUE	TRUE
Lgals3bp	chr11	FALSE	TRUE
Otulin	chr15	TRUE	TRUE
Sema6c	chr3	FALSE	FALSE
Tbr1	chr2	TRUE	FALSE
Pfkm	chr15	TRUE	FALSE
Gm20517	chr17	FALSE	TRUE
Krt71	chr15	TRUE	FALSE
Dhh	chr15	TRUE	FALSE
Eif1	chr11	FALSE	FALSE
Pacrg	chr17	TRUE	TRUE
Snap91	chr9	FALSE	FALSE
Ctsb	chr14	TRUE	FALSE
Plag1	chr4	TRUE	TRUE
Sec22a	chr16	TRUE	FALSE
Gpam	chr19	FALSE	FALSE
Xrcc6	chr15	TRUE	TRUE
St8sia5	chr18	FALSE	FALSE
Ctnna1	chr18	TRUE	FALSE
Htra1	chr7	FALSE	FALSE
Pdk1	chr2	TRUE	FALSE
Ankrd63	chr2	FALSE	FALSE
Wdr95	chr5	FALSE	FALSE
Armh4	chr14	TRUE	FALSE
Zfhx2	chr14	FALSE	FALSE
Slc2a5	chr4	FALSE	FALSE
Mib2	chr4	FALSE	FALSE
Chmp4b	chr2	TRUE	FALSE
Epo	chr5	FALSE	FALSE
Slc1a4	chr11	FALSE	FALSE
Fam107a	chr14	TRUE	FALSE
Kcnc2	chr10	FALSE	FALSE
Fer1l4	chr2	FALSE	TRUE
Zc3h12c	chr9	FALSE	FALSE
Piwil1	chr5	FALSE	FALSE
Tff3	chr17	TRUE	TRUE
C2cd3	chr7	FALSE	FALSE
Sult4a1	chr15	FALSE	TRUE
Ell2	chr13	TRUE	FALSE
Epg5	chr18	FALSE	FALSE
Tcf7l2	chr19	FALSE	TRUE
Cul3	chr1	FALSE	FALSE
Prokr2	chr2	TRUE	TRUE
Dnajb8	chr6	FALSE	FALSE
Slc30a9	chr5	FALSE	FALSE
Otog	chr7	FALSE	TRUE
Slc25a36	chr9	FALSE	FALSE
Vsx1	chr2	TRUE	FALSE
Uso1	chr5	FALSE	FALSE
Stk38l	chr6	TRUE	FALSE
Pogz	chr3	FALSE	FALSE
Map4k3	chr17	TRUE	FALSE
Alox5	chr6	FALSE	FALSE
Pde6d	chr1	FALSE	FALSE
Mxi1	chr19	TRUE	FALSE
Dhx58	chr11	TRUE	FALSE
Ap4m1	chr5	TRUE	FALSE
Sesn3	chr9	TRUE	FALSE
Unkl	chr17	FALSE	FALSE
Traf7	chr17	FALSE	FALSE
Larp1	chr11	FALSE	TRUE
Ptp4a3	chr15	TRUE	FALSE
Vipr2	chr12	TRUE	FALSE
Socs6	chr18	TRUE	TRUE
Rab3gap2	chr1	FALSE	FALSE
Slc30a5	chr13	TRUE	FALSE
Adgra2	chr8	FALSE	FALSE
Pik3r3	chr4	TRUE	TRUE
Cog2	chr8	FALSE	FALSE
Tbl1x	chrX	TRUE	FALSE
Mcf2l	chr8	TRUE	FALSE
P3h2	chr16	FALSE	FALSE
Hectd1	chr12	FALSE	FALSE
Tubgcp3	chr8	FALSE	FALSE
Mrto4	chr4	TRUE	FALSE
Arhgap33	chr7	FALSE	FALSE
Zfp397	chr18	TRUE	TRUE
Krt19	chr11	FALSE	FALSE
Tspan3	chr9	TRUE	FALSE
Card10	chr15	FALSE	FALSE
Lrrc38	chr4	FALSE	FALSE
Pot1a	chr6	TRUE	FALSE
Herpud2	chr9	TRUE	FALSE
Cdon	chr9	FALSE	FALSE
1700069L16Rik	chr5	FALSE	FALSE
Blk	chr14	TRUE	FALSE
Nisch	chr14	TRUE	FALSE
B4galt7	chr13	TRUE	TRUE
Lrpap1	chr5	FALSE	FALSE
Pcdh10	chr3	TRUE	FALSE
Cpne5	chr17	FALSE	FALSE
Wwox	chr8	TRUE	TRUE
Sh3pxd2b	chr11	TRUE	FALSE
Tpbg	chr9	TRUE	FALSE
Necab1	chr4	TRUE	TRUE
Prnd	chr2	TRUE	FALSE
Heca	chr10	TRUE	FALSE
Nlgn1	chr3	TRUE	TRUE
Cry2	chr2	TRUE	FALSE
Tgif2	chr2	FALSE	FALSE
Asic4	chr1	TRUE	FALSE
Llgl2	chr11	FALSE	FALSE
Gabra1	chr11	FALSE	TRUE
Mab21l3	chr3	TRUE	FALSE
Sclt1	chr3	TRUE	FALSE
Ngef	chr1	TRUE	FALSE
Adam12	chr7	TRUE	TRUE
Map3k15	chrX	FALSE	FALSE
Thsd4	chr9	TRUE	FALSE
Strc	chr2	FALSE	FALSE
Rtp1	chr16	TRUE	FALSE
Gucy1a1	chr3	FALSE	FALSE
Ankrd10	chr8	FALSE	FALSE
Ofcc1	chr13	FALSE	FALSE
Pik3r5	chr11	FALSE	FALSE
Gxylt1	chr15	TRUE	FALSE
Cd34	chr1	TRUE	FALSE
Azin2	chr4	FALSE	TRUE
Pik3cg	chr12	FALSE	FALSE
C8a	chr4	FALSE	TRUE
Mgrn1	chr16	FALSE	FALSE
Itgb7	chr15	TRUE	TRUE
Plekhh1	chr12	FALSE	FALSE
Slc37a3	chr6	FALSE	FALSE
Tm2d1	chr4	TRUE	FALSE
Sgms1	chr19	TRUE	FALSE
Stam	chr2	FALSE	FALSE
Crtc1	chr8	TRUE	FALSE
Tex52	chr6	FALSE	FALSE
Slc4a5	chr6	FALSE	TRUE
Acap2	chr16	FALSE	FALSE
Zgpat	chr2	FALSE	TRUE
Cstad	chr2	TRUE	FALSE
Atl2	chr17	FALSE	FALSE
E4f1	chr17	TRUE	FALSE
Aldh4a1	chr4	FALSE	FALSE
Smim15	chr13	TRUE	FALSE
Aebp2	chr6	TRUE	TRUE
Raf1	chr6	FALSE	FALSE
Mark2	chr19	FALSE	FALSE
Prdm13	chr4	FALSE	FALSE
Prss55	chr14	TRUE	TRUE
Cep290	chr10	FALSE	TRUE
Slc16a2	chrX	TRUE	FALSE
Pald1	chr10	TRUE	FALSE
Magi1	chr6	TRUE	FALSE
Rbpj	chr5	TRUE	FALSE
Rev1	chr1	FALSE	FALSE
Nsun2	chr13	TRUE	FALSE
Pex10	chr4	FALSE	FALSE
Lhx6	chr2	FALSE	FALSE
Tor1aip1	chr1	FALSE	FALSE
Smim14	chr5	TRUE	FALSE
Fscn2	chr11	FALSE	FALSE
Zfp451	chr1	FALSE	FALSE
C6	chr15	TRUE	TRUE
Tgfbi	chr13	FALSE	FALSE
Rwdd3	chr3	TRUE	TRUE
Ube2ql1	chr13	TRUE	FALSE
Marchf3	chr18	TRUE	TRUE
Xpnpep3	chr15	FALSE	FALSE
Sptbn5	chr2	FALSE	FALSE
Ndst3	chr3	FALSE	TRUE
Cep57l1	chr10	TRUE	FALSE
Alx3	chr3	FALSE	FALSE
Rab5c	chr11	FALSE	FALSE
Supt20	chr3	TRUE	TRUE
Ints3	chr3	FALSE	TRUE
Car10	chr11	TRUE	TRUE
Trrap	chr5	FALSE	FALSE
Npl	chr1	FALSE	FALSE
Limd1	chr9	FALSE	FALSE
Rhbg	chr3	FALSE	FALSE
Adcy6	chr15	FALSE	FALSE
Tmc6	chr11	FALSE	FALSE
Kcnip3	chr2	FALSE	TRUE
Fubp3	chr2	FALSE	FALSE
Snx9	chr17	FALSE	TRUE
Prkcg	chr7	FALSE	FALSE
Bend7	chr2	FALSE	TRUE
Vav3	chr3	FALSE	FALSE
Sostdc1	chr12	TRUE	FALSE
Glis1	chr4	TRUE	FALSE
Pkdcc	chr17	FALSE	FALSE
Pdzrn4	chr15	TRUE	FALSE
Nfe2l3	chr6	FALSE	TRUE
Basp1	chr15	TRUE	TRUE
Slc25a10	chr11	FALSE	FALSE
Tulp3	chr6	TRUE	FALSE
Clptm1	chr7	FALSE	FALSE
Pgap2	chr7	TRUE	FALSE
Hsbp1l1	chr18	TRUE	FALSE
Col4a2	chr8	TRUE	FALSE
U2af2	chr7	FALSE	FALSE
Csf1r	chr18	FALSE	FALSE
Mpzl1	chr1	TRUE	FALSE
Cep170	chr1	TRUE	FALSE
Prkn	chr17	TRUE	FALSE
Lyl1	chr8	FALSE	FALSE
Nexmif	chrX	FALSE	FALSE
Zfp541	chr7	TRUE	FALSE
Ube2n	chr10	TRUE	FALSE
Zswim7	chr11	FALSE	FALSE
Fam193a	chr5	FALSE	FALSE
Dock8	chr19	FALSE	FALSE
Glcci1	chr6	TRUE	FALSE
Gbp5	chr3	TRUE	TRUE
Usp3	chr9	FALSE	FALSE
Kdm3a	chr6	FALSE	FALSE
Lims2	chr18	FALSE	TRUE
Pten	chr19	FALSE	FALSE
Insrr	chr3	FALSE	FALSE
Enpep	chr3	FALSE	TRUE
Kcnh2	chr5	TRUE	TRUE
Map7d2	chrX	FALSE	FALSE
Itih4	chr14	TRUE	FALSE
Mical3	chr6	FALSE	TRUE
Etnk1	chr6	TRUE	FALSE
Fcrl5	chr3	FALSE	TRUE
Tbc1d9b	chr11	FALSE	TRUE
Pcdhac1	chr18	TRUE	FALSE
Rab8b	chr9	FALSE	FALSE
Lypd6b	chr2	TRUE	FALSE
Hmg20a	chr9	TRUE	TRUE
Calb2	chr8	TRUE	TRUE
Adamts16	chr13	TRUE	TRUE
Wdr89	chr12	TRUE	FALSE
Thada	chr17	FALSE	TRUE
Ccdc149	chr5	TRUE	TRUE
Itgal	chr7	FALSE	TRUE
Gpr176	chr2	TRUE	FALSE
Ythdc2	chr18	TRUE	TRUE
Edem3	chr1	FALSE	TRUE
Bcl11a	chr11	TRUE	TRUE
Adgra3	chr5	TRUE	TRUE
Aplp2	chr9	FALSE	FALSE
Ermp1	chr19	TRUE	FALSE
Nell2	chr15	TRUE	TRUE
Hic1	chr11	FALSE	FALSE
Ptpre	chr7	FALSE	FALSE
Ube2j2	chr4	FALSE	FALSE
Rims3	chr4	TRUE	TRUE
Gigyf1	chr5	FALSE	FALSE
Sptlc3	chr2	TRUE	TRUE
Eif5a	chr11	FALSE	FALSE
Mgat4c	chr10	FALSE	TRUE
Glis3	chr19	FALSE	TRUE
Pde2a	chr7	TRUE	TRUE
Map3k5	chr10	TRUE	FALSE
Otud1	chr2	TRUE	TRUE
Ippk	chr13	FALSE	FALSE
Rab44	chr17	FALSE	FALSE
Dcdc2c	chr12	FALSE	FALSE
Camk1g	chr1	TRUE	FALSE
Fads6	chr11	FALSE	FALSE
Tph1	chr7	TRUE	TRUE
Fam53b	chr7	TRUE	FALSE
Arglu1	chr8	FALSE	TRUE
Rtn4	chr11	TRUE	TRUE
Lancl2	chr6	TRUE	FALSE
Sorcs3	chr19	FALSE	TRUE
Rab11fip5	chr6	TRUE	FALSE
Selplg	chr5	FALSE	TRUE
Kera	chr10	TRUE	TRUE
Col26a1	chr5	FALSE	FALSE
Grhpr	chr4	TRUE	TRUE
Cdk12	chr11	FALSE	FALSE
Fam20b	chr1	TRUE	TRUE
Il1r2	chr1	TRUE	TRUE
4933428G20Rik	chr11	FALSE	FALSE
Xab2	chr8	FALSE	FALSE
Srebf1	chr11	FALSE	FALSE
Pcgf3	chr5	FALSE	FALSE
Jakmip1	chr5	FALSE	FALSE
Hivep1	chr13	TRUE	FALSE
Ptprh	chr7	FALSE	FALSE
Dhx34	chr7	FALSE	FALSE
1110002E22Rik	chr3	TRUE	TRUE
Itpkb	chr1	TRUE	FALSE
Tug1	chr11	FALSE	TRUE
4930564D02Rik	chr3	TRUE	TRUE
Ccn5	chr2	FALSE	FALSE
Vps35l	chr7	TRUE	TRUE
Fzd3	chr14	TRUE	FALSE
Arf2	chr11	FALSE	TRUE
Ttc13	chr8	FALSE	FALSE
Bmper	chr9	TRUE	FALSE
Npy2r	chr3	TRUE	FALSE
Arhgef40	chr14	TRUE	FALSE
Ttll8	chr15	FALSE	FALSE
Pls3	chrX	FALSE	TRUE
Lats2	chr14	TRUE	FALSE
Cxxc5	chr18	FALSE	FALSE
Tmem266	chr9	FALSE	FALSE
Impa2	chr18	TRUE	FALSE
Adck2	chr6	TRUE	FALSE
Xkr4	chr1	TRUE	TRUE
Bin1	chr18	FALSE	FALSE
Gart	chr16	FALSE	FALSE
Copb1	chr7	FALSE	TRUE
Ttc9	chr12	FALSE	FALSE
Rnf122	chr8	TRUE	TRUE
Myh15	chr16	FALSE	TRUE
Mllt1	chr17	FALSE	FALSE
Gm12695	chr4	TRUE	TRUE
