gene_name	chr	mch_hyper	k27ac_gained
Ube4b	chr4	FALSE	FALSE
Ndc1	chr4	FALSE	TRUE
Eml6	chr11	TRUE	FALSE
Kcnk2	chr1	TRUE	TRUE
Cdk19	chr10	TRUE	FALSE
Pcnt	chr10	TRUE	FALSE
Sox5	chr6	TRUE	FALSE
Fat3	chr9	FALSE	TRUE
Cntn1	chr15	TRUE	FALSE
Orc4	chr2	TRUE	TRUE
Foxn2	chr17	TRUE	FALSE
Zfp521	chr18	TRUE	TRUE
Elavl1	chr8	FALSE	TRUE
Cpa2	chr6	TRUE	FALSE
Arhgap27	chr11	FALSE	TRUE
Pstpip1	chr9	FALSE	TRUE
Fam163b	chr2	FALSE	TRUE
Trmt9b	chr8	TRUE	FALSE
Ptprz1	chr6	TRUE	TRUE
Edil3	chr13	TRUE	TRUE
Pwwp2b	chr7	FALSE	TRUE
Nek1	chr8	TRUE	FALSE
Ago2	chr15	FALSE	FALSE
Lims1	chr10	TRUE	FALSE
Uqcc1	chr2	FALSE	TRUE
Nudt3	chr17	FALSE	TRUE
Dgkh	chr14	FALSE	TRUE
Slc6a17	chr3	TRUE	FALSE
Wnt7b	chr15	FALSE	FALSE
Wscd2	chr5	FALSE	TRUE
Phldb2	chr16	TRUE	FALSE
Wsb2	chr5	FALSE	TRUE
Crem	chr18	FALSE	FALSE
Pdgfa	chr5	FALSE	TRUE
Sema6a	chr18	TRUE	FALSE
Ppp1r16b	chr2	FALSE	TRUE
Ash1l	chr3	FALSE	TRUE
Pla2g4e	chr2	FALSE	FALSE
Npepps	chr11	FALSE	TRUE
Onecut2	chr18	TRUE	TRUE
Flywch1	chr17	FALSE	TRUE
Fer	chr17	TRUE	FALSE
Tph2	chr10	TRUE	FALSE
Cdk13	chr13	TRUE	TRUE
Gmeb1	chr4	FALSE	FALSE
Cdkl1	chr12	FALSE	FALSE
Nyx	chrX	TRUE	FALSE
Col8a1	chr16	TRUE	TRUE
Dsn1	chr2	TRUE	TRUE
Sesn1	chr10	TRUE	FALSE
Nedd4	chr9	FALSE	TRUE
Klc1	chr12	FALSE	TRUE
Rps6ka5	chr12	TRUE	FALSE
Trpc4ap	chr2	FALSE	TRUE
Lrrc3	chr10	FALSE	TRUE
Trappc9	chr15	TRUE	FALSE
Grb2	chr11	FALSE	TRUE
Med25	chr7	FALSE	FALSE
Prkdc	chr16	TRUE	TRUE
Usp44	chr10	FALSE	FALSE
Olfml3	chr3	FALSE	TRUE
Decr1	chr4	FALSE	FALSE
Micos10	chr4	FALSE	TRUE
Cfap45	chr1	FALSE	FALSE
Slc16a14	chr1	FALSE	FALSE
Shc3	chr13	FALSE	TRUE
Nefm	chr14	FALSE	TRUE
Ccm2l	chr2	FALSE	TRUE
Kcnip2	chr19	FALSE	FALSE
Hs2st1	chr3	FALSE	FALSE
Rapgef4	chr2	TRUE	TRUE
Rasal1	chr5	FALSE	FALSE
Sik1	chr17	FALSE	TRUE
Nap1l4	chr7	FALSE	TRUE
Ctdp1	chr18	FALSE	TRUE
Ift80	chr3	TRUE	TRUE
Tnfsf13	chr11	TRUE	FALSE
Vegfa	chr17	FALSE	TRUE
Sfrp5	chr19	FALSE	FALSE
Slc22a22	chr15	TRUE	FALSE
Ptar1	chr19	TRUE	FALSE
Tmem52	chr4	FALSE	FALSE
Pam	chr1	TRUE	TRUE
Syt12	chr19	FALSE	TRUE
Spry2	chr14	TRUE	FALSE
Pros1	chr16	FALSE	FALSE
Zmym2	chr14	TRUE	TRUE
Clcn1	chr6	FALSE	TRUE
Zmiz1	chr14	FALSE	TRUE
Ly6g6f	chr17	TRUE	FALSE
Mapk8	chr14	FALSE	FALSE
Phyhd1	chr2	FALSE	FALSE
Lgals3bp	chr11	FALSE	FALSE
Sema6c	chr3	FALSE	TRUE
Pacrg	chr17	TRUE	FALSE
Snap91	chr9	TRUE	TRUE
Gpam	chr19	TRUE	TRUE
Ctnna1	chr18	FALSE	FALSE
Armh4	chr14	TRUE	FALSE
Zfhx2	chr14	FALSE	TRUE
Zc3h12c	chr9	FALSE	TRUE
Tff3	chr17	TRUE	FALSE
Ell2	chr13	FALSE	TRUE
Crebrf	chr17	FALSE	TRUE
Pde6d	chr1	FALSE	TRUE
Cpne9	chr6	FALSE	TRUE
Ptp4a3	chr15	FALSE	TRUE
Mcf2l	chr8	TRUE	FALSE
Cntfr	chr4	FALSE	TRUE
Pcdh10	chr3	FALSE	TRUE
Wwox	chr8	TRUE	FALSE
Necab1	chr4	TRUE	FALSE
Ankrd10	chr8	FALSE	TRUE
Ofcc1	chr13	TRUE	FALSE
Cd34	chr1	TRUE	FALSE
Rnf121	chr7	FALSE	TRUE
C6	chr15	TRUE	FALSE
Rwdd3	chr3	TRUE	FALSE
Marchf3	chr18	TRUE	FALSE
Alg9	chr9	TRUE	FALSE
Ints3	chr3	FALSE	TRUE
Adcy6	chr15	FALSE	TRUE
Tmc6	chr11	FALSE	TRUE
Basp1	chr15	TRUE	TRUE
Plekha8	chr6	FALSE	FALSE
Mpzl1	chr1	TRUE	FALSE
Prkn	chr17	TRUE	FALSE
Nexmif	chrX	FALSE	TRUE
Kcnh2	chr5	FALSE	TRUE
Mical3	chr6	TRUE	TRUE
Lypd6b	chr2	FALSE	TRUE
Hmg20a	chr9	FALSE	FALSE
Adamts16	chr13	TRUE	TRUE
Gpr176	chr2	FALSE	FALSE
Adgra3	chr5	FALSE	FALSE
Ermp1	chr19	FALSE	TRUE
Tgs1	chr4	FALSE	TRUE
Rims3	chr4	TRUE	FALSE
Sptlc3	chr2	TRUE	FALSE
Ppp5c	chr7	FALSE	FALSE
Fam53b	chr7	TRUE	FALSE
4933428G20Rik	chr11	FALSE	TRUE
Elp3	chr14	FALSE	TRUE
Ptprh	chr7	FALSE	FALSE
1110002E22Rik	chr3	TRUE	FALSE
Itpkb	chr1	FALSE	FALSE
Ttc13	chr8	FALSE	FALSE
Bmper	chr9	TRUE	TRUE
Arhgef40	chr14	FALSE	TRUE
Pls3	chrX	FALSE	TRUE
Lats2	chr14	FALSE	FALSE
Impa2	chr18	FALSE	FALSE
Xkr4	chr1	TRUE	TRUE
Rnf122	chr8	TRUE	FALSE
Mllt1	chr17	FALSE	TRUE
Bbs9	chr9	TRUE	FALSE
Agtpbp1	chr13	TRUE	FALSE
Slc16a10	chr10	TRUE	FALSE
Slc25a17	chr15	FALSE	FALSE
Ormdl1	chr1	TRUE	FALSE
Lrp1	chr10	FALSE	TRUE
Spc24	chr9	TRUE	FALSE
Fyco1	chr9	TRUE	FALSE
Parvg	chr15	FALSE	TRUE
Muc15	chr2	TRUE	FALSE
Slc43a2	chr11	FALSE	FALSE
Jazf1	chr6	FALSE	FALSE
Ncdn	chr4	FALSE	TRUE
H2bc4	chr13	TRUE	TRUE
Slc12a8	chr16	FALSE	TRUE
Fbln5	chr12	FALSE	FALSE
Itpr1	chr6	TRUE	FALSE
Bysl	chr17	FALSE	TRUE
Trpm1	chr7	TRUE	FALSE
Crlf1	chr8	FALSE	TRUE
Lcmt1	chr7	TRUE	FALSE
Mia2	chr12	TRUE	FALSE
Knop1	chr7	FALSE	FALSE
Scube2	chr7	TRUE	FALSE
Ilvbl	chr10	TRUE	FALSE
Slc38a1	chr15	FALSE	TRUE
Gtf2i	chr5	TRUE	TRUE
Relch	chr1	TRUE	FALSE
Adora2b	chr11	FALSE	TRUE
Ppfia3	chr7	FALSE	TRUE
Stimate	chr14	FALSE	TRUE
N4bp2l1	chr5	FALSE	TRUE
Eef1a1	chr9	TRUE	FALSE
Bag5	chr12	FALSE	FALSE
Slc12a5	chr2	FALSE	TRUE
Stat4	chr1	TRUE	FALSE
Rif1	chr2	FALSE	TRUE
Lef1	chr3	FALSE	TRUE
Mau2	chr8	FALSE	TRUE
Golga4	chr9	FALSE	TRUE
Cap2	chr13	TRUE	FALSE
Amotl1	chr9	TRUE	TRUE
Plcd1	chr9	FALSE	TRUE
Eml2	chr7	FALSE	FALSE
Mat2b	chr11	FALSE	FALSE
Dnm1	chr2	FALSE	TRUE
Nfe2l2	chr2	FALSE	FALSE
Cnn3	chr3	FALSE	TRUE
Sema3g	chr14	FALSE	FALSE
Fxyd6	chr9	TRUE	FALSE
Plpp7	chr2	FALSE	TRUE
Prkag2	chr5	TRUE	FALSE
Stard9	chr2	TRUE	TRUE
Mapk6	chr9	FALSE	FALSE
Reck	chr4	FALSE	TRUE
Cnst	chr1	FALSE	FALSE
Arel1	chr12	FALSE	FALSE
Dlgap2	chr8	TRUE	TRUE
Ammecr1	chrX	FALSE	TRUE
Abcf1	chr17	FALSE	FALSE
Rhoj	chr12	FALSE	TRUE
Rad18	chr6	FALSE	TRUE
Psmb2	chr4	FALSE	FALSE
B3gat1	chr9	FALSE	FALSE
Btg3	chr16	FALSE	FALSE
Chrm3	chr13	TRUE	TRUE
B3gnt7	chr1	FALSE	TRUE
Pcdhga11	chr18	FALSE	TRUE
Tbc1d15	chr10	FALSE	FALSE
Lmo7	chr14	TRUE	FALSE
Rcan3	chr4	TRUE	FALSE
Ugcg	chr4	FALSE	TRUE
Add1	chr5	FALSE	TRUE
Phkb	chr8	TRUE	FALSE
Snx18	chr13	TRUE	FALSE
Plscr5	chr9	TRUE	FALSE
Klhl18	chr9	FALSE	FALSE
Sptssb	chr3	TRUE	FALSE
Galntl6	chr8	TRUE	FALSE
Igsf9b	chr9	FALSE	TRUE
Cul1	chr6	TRUE	TRUE
Cop1	chr1	TRUE	TRUE
Plxnd1	chr6	TRUE	FALSE
Map4k5	chr12	TRUE	TRUE
Slco4a1	chr2	FALSE	TRUE
Myo5c	chr9	TRUE	FALSE
Impdh1	chr6	FALSE	FALSE
E130114P18Rik	chr4	TRUE	FALSE
Drc7	chr8	TRUE	FALSE
Ttbk1	chr17	FALSE	TRUE
Tnfsfm13	chr11	TRUE	FALSE
Gpat3	chr5	FALSE	TRUE
Cab39	chr1	TRUE	TRUE
9430038I01Rik	chr7	FALSE	TRUE
Plxnc1	chr10	TRUE	FALSE
Cplane1	chr15	TRUE	TRUE
Bcar1	chr8	FALSE	FALSE
A830018L16Rik	chr1	TRUE	TRUE
Myh7b	chr2	FALSE	TRUE
Ntng2	chr2	FALSE	FALSE
Sdc2	chr15	TRUE	FALSE
Rac1	chr5	FALSE	TRUE
Fignl2	chr15	FALSE	TRUE
Sil1	chr18	TRUE	FALSE
A930009A15Rik	chr10	TRUE	TRUE
Efnb2	chr8	FALSE	TRUE
Lama3	chr18	TRUE	FALSE
Cnot1	chr8	TRUE	TRUE
Scyl3	chr1	TRUE	TRUE
Gpbp1	chr13	TRUE	TRUE
Mark3	chr12	TRUE	TRUE
Lhx2	chr2	FALSE	FALSE
Gabpb2	chr3	FALSE	TRUE
Plin2	chr4	TRUE	FALSE
Anxa6	chr11	FALSE	FALSE
Mab21l2	chr3	FALSE	FALSE
Cdsn	chr17	FALSE	FALSE
Zfp935	chr13	TRUE	TRUE
Prdm8	chr5	FALSE	FALSE
4933427D14Rik	chr11	TRUE	FALSE
Mtus1	chr8	TRUE	FALSE
Edc3	chr9	TRUE	FALSE
Camkk2	chr5	TRUE	TRUE
Majin	chr19	TRUE	FALSE
Mroh1	chr15	TRUE	FALSE
Zswim9	chr7	FALSE	TRUE
Rpp40	chr13	FALSE	FALSE
Zfp324	chr7	TRUE	FALSE
Aar2	chr2	FALSE	TRUE
Tmem190	chr7	TRUE	FALSE
Fhdc1	chr3	TRUE	TRUE
Pard6g	chr18	FALSE	FALSE
Slco4c1	chr1	FALSE	TRUE
Tpcn2	chr7	FALSE	FALSE
Wdr6	chr9	FALSE	TRUE
Chp1	chr2	FALSE	TRUE
Sin3b	chr8	FALSE	TRUE
Sntb2	chr8	FALSE	TRUE
Slc36a4	chr9	FALSE	TRUE
Sgo1	chr17	TRUE	FALSE
Ddit3	chr10	FALSE	TRUE
Pappa	chr4	TRUE	TRUE
Spaca3	chr11	FALSE	FALSE
Ppic	chr18	FALSE	FALSE
Cntn5	chr9	TRUE	FALSE
Rtl4	chrX	TRUE	TRUE
Agbl2	chr2	TRUE	TRUE
Agt	chr8	FALSE	FALSE
Mmp15	chr8	FALSE	TRUE
Crnkl1	chr2	FALSE	TRUE
Pom121l2	chr13	FALSE	TRUE
Far2	chr6	TRUE	TRUE
Mgst2	chr3	FALSE	FALSE
Plppr1	chr4	TRUE	TRUE
Rflna	chr5	FALSE	TRUE
Bmp5	chr9	TRUE	FALSE
Cdk6	chr5	TRUE	TRUE
Pcdhga12	chr18	FALSE	TRUE
Pde6a	chr18	FALSE	TRUE
Eomes	chr9	TRUE	FALSE
Slc8a1	chr17	TRUE	TRUE
Irak1	chrX	FALSE	TRUE
Gpr153	chr4	FALSE	FALSE
Rap1b	chr10	FALSE	TRUE
Macroh2a2	chr10	FALSE	TRUE
Gapvd1	chr2	FALSE	TRUE
Hexa	chr9	FALSE	FALSE
Frrs1l	chr4	FALSE	TRUE
Crat	chr2	FALSE	TRUE
Armc7	chr11	TRUE	FALSE
Ahdc1	chr4	FALSE	TRUE
Plxnb3	chrX	FALSE	FALSE
Il1rap	chr16	TRUE	TRUE
Cipc	chr12	TRUE	FALSE
Metrnl	chr11	FALSE	TRUE
Cabin1	chr10	TRUE	FALSE
Aqp6	chr15	TRUE	FALSE
Ppp3cb	chr14	FALSE	TRUE
Max	chr12	FALSE	FALSE
Dmbt1	chr7	TRUE	FALSE
Eya2	chr2	TRUE	TRUE
Sncaip	chr18	TRUE	TRUE
Btbd17	chr11	TRUE	FALSE
Slc22a1	chr17	FALSE	FALSE
Dhx15	chr5	FALSE	TRUE
Pcdhgb7	chr18	TRUE	TRUE
Galns	chr8	FALSE	FALSE
Col23a1	chr11	TRUE	TRUE
Pemt	chr11	FALSE	FALSE
Palld	chr8	TRUE	TRUE
Slco2b1	chr7	FALSE	FALSE
Spon2	chr5	FALSE	FALSE
Jam3	chr9	FALSE	FALSE
Stum	chr1	FALSE	FALSE
Ppp2r1b	chr9	TRUE	FALSE
Fabp6	chr11	FALSE	FALSE
Wbp2nl	chr15	FALSE	TRUE
Ikbke	chr1	FALSE	TRUE
Inpp5a	chr7	TRUE	FALSE
Wfs1	chr5	FALSE	TRUE
Usp35	chr7	FALSE	FALSE
D130043K22Rik	chr13	TRUE	TRUE
Rab25	chr3	TRUE	FALSE
Dok4	chr8	FALSE	TRUE
Grm3	chr5	TRUE	TRUE
Supt7l	chr5	FALSE	TRUE
Bmp8b	chr4	FALSE	FALSE
Ptprm	chr17	TRUE	TRUE
Efna1	chr3	TRUE	FALSE
Trmt1l	chr1	FALSE	TRUE
Speer4b	chr5	FALSE	TRUE
