gene_name	chr	MeCP2_up	mCH_up
Gm3336	chr8	FALSE	FALSE
Slc38a2	chr15	FALSE	TRUE
Cacybp	chr1	FALSE	TRUE
Myb	chr10	TRUE	TRUE
Slco5a1	chr1	TRUE	TRUE
Hras	chr7	TRUE	FALSE
Pafah2	chr4	FALSE	TRUE
Tmem239	chr2	FALSE	FALSE
Hint2	chr4	FALSE	FALSE
Agpat5	chr8	FALSE	TRUE
Bcat2	chr7	FALSE	TRUE
Diras1	chr10	FALSE	TRUE
Igfbp5	chr1	FALSE	TRUE
Erp29	chr5	FALSE	TRUE
Arhgap45	chr10	FALSE	FALSE
Lmcd1	chr6	TRUE	TRUE
Ahcyl1	chr3	FALSE	TRUE
Cldn11	chr3	FALSE	FALSE
Kdm6b	chr11	FALSE	TRUE
Zfp385a	chr15	TRUE	FALSE
Tmem114	chr16	FALSE	TRUE
Nfrkb	chr9	TRUE	TRUE
Ipo4	chr14	FALSE	FALSE
Mta2	chr19	TRUE	TRUE
Capn13	chr17	TRUE	TRUE
Osm	chr11	FALSE	FALSE
Dars2	chr1	FALSE	FALSE
Kcp	chr6	TRUE	FALSE
Pram1	chr17	FALSE	FALSE
Yme1l1	chr2	FALSE	TRUE
Usp46	chr5	TRUE	TRUE
Morn1	chr4	FALSE	TRUE
Ywhaz	chr15	FALSE	TRUE
Dpp4	chr2	FALSE	TRUE
Procr	chr2	FALSE	FALSE
Cep164	chr9	FALSE	TRUE
E2f7	chr10	FALSE	TRUE
Jmy	chr13	FALSE	TRUE
Zkscan2	chr7	TRUE	TRUE
Dph3	chr14	TRUE	FALSE
Abcb8	chr5	FALSE	TRUE
Ahsa2	chr11	TRUE	TRUE
Slc38a4	chr15	FALSE	TRUE
Tnr	chr1	TRUE	TRUE
Krtap16-1	chr11	TRUE	TRUE
Cox19	chr5	FALSE	FALSE
Lmod3	chr6	FALSE	TRUE
Fhl5	chr4	TRUE	TRUE
Alkbh5	chr11	FALSE	TRUE
Prox2	chr12	FALSE	FALSE
Nptx1	chr11	FALSE	FALSE
Crk	chr11	FALSE	TRUE
Pom121	chr5	TRUE	FALSE
Rab34	chr11	FALSE	FALSE
Cd44	chr2	TRUE	TRUE
Nrde2	chr12	TRUE	FALSE
Dcun1d3	chr7	FALSE	TRUE
Nosip	chr7	FALSE	TRUE
Pprc1	chr19	FALSE	TRUE
Ctsd	chr7	FALSE	TRUE
Slc25a48	chr13	TRUE	TRUE
Pdgfrb	chr18	FALSE	TRUE
Tmem204	chr17	FALSE	TRUE
Atp6v1f	chr6	FALSE	TRUE
Camp	chr9	FALSE	FALSE
Dazap1	chr10	FALSE	TRUE
Cdhr3	chr12	FALSE	TRUE
Acbd4	chr11	FALSE	TRUE
Zfp622	chr15	FALSE	TRUE
Ddrgk1	chr2	FALSE	TRUE
Mob4	chr1	TRUE	TRUE
Prkar1b	chr5	FALSE	TRUE
Sri	chr5	FALSE	TRUE
Med22	chr2	FALSE	TRUE
1700113H08Rik	chr10	FALSE	TRUE
Usp19	chr9	FALSE	TRUE
Ank3	chr10	FALSE	TRUE
Vamp3	chr4	FALSE	TRUE
Omp	chr7	FALSE	FALSE
Snx19	chr9	TRUE	TRUE
Nkx3-2	chr5	FALSE	TRUE
Atad3a	chr4	FALSE	FALSE
Tubgcp6	chr15	FALSE	TRUE
Cys1	chr12	FALSE	FALSE
Clec11a	chr7	FALSE	TRUE
Khdrbs1	chr4	FALSE	TRUE
Odc1	chr12	FALSE	TRUE
Hsd17b13	chr5	FALSE	TRUE
Ido2	chr8	TRUE	TRUE
C1qa	chr4	FALSE	FALSE
Dhodh	chr8	FALSE	TRUE
Cntn2	chr1	TRUE	TRUE
1700025G04Rik	chr1	TRUE	TRUE
Lpar3	chr3	FALSE	TRUE
Ddx3x	chrX	FALSE	FALSE
Ucn	chr5	TRUE	FALSE
Hectd2	chr19	TRUE	TRUE
Tctn1	chr5	FALSE	TRUE
Ttc38	chr15	FALSE	TRUE
Ubap2	chr4	FALSE	TRUE
Gtdc1	chr2	FALSE	TRUE
Trim3	chr7	FALSE	TRUE
Ltbp3	chr19	FALSE	FALSE
Ephb6	chr6	FALSE	TRUE
Plekha1	chr7	FALSE	TRUE
Sgpl1	chr10	FALSE	TRUE
Slc39a3	chr10	FALSE	TRUE
Cryaa	chr17	TRUE	FALSE
Lmna	chr3	FALSE	FALSE
Rnaseh1	chr12	TRUE	FALSE
Crhr2	chr6	FALSE	TRUE
Tmprss4	chr9	TRUE	TRUE
Suco	chr1	FALSE	TRUE
Syne1	chr10	TRUE	TRUE
Gmppa	chr1	FALSE	TRUE
Fam53c	chr18	FALSE	FALSE
Psmd3	chr11	FALSE	FALSE
Nfkbia	chr12	TRUE	FALSE
Frs3	chr17	FALSE	FALSE
Vax2	chr6	FALSE	TRUE
Pheta1	chr5	FALSE	FALSE
Zfp184	chr13	TRUE	FALSE
Adck5	chr15	FALSE	FALSE
Sectm1a	chr11	FALSE	FALSE
Trim47	chr11	FALSE	FALSE
Sstr3	chr15	TRUE	FALSE
Gtpbp2	chr17	FALSE	TRUE
Gne	chr4	FALSE	TRUE
Mavs	chr2	FALSE	FALSE
Maip1	chr1	TRUE	FALSE
Snx32	chr19	FALSE	FALSE
Ces5a	chr8	TRUE	FALSE
M6pr	chr6	FALSE	FALSE
Gpr135	chr12	TRUE	TRUE
Dnajb2	chr1	FALSE	FALSE
Fh1	chr1	FALSE	TRUE
Slc6a5	chr7	FALSE	TRUE
Mturn	chr6	FALSE	TRUE
Api5	chr2	TRUE	FALSE
Mylpf	chr7	FALSE	TRUE
Tfap2d	chr1	TRUE	TRUE
Acy3	chr19	FALSE	FALSE
Pak1	chr7	TRUE	TRUE
Tasor	chr14	TRUE	TRUE
Anxa11	chr14	FALSE	FALSE
Aldh3b1	chr19	FALSE	FALSE
Haspin	chr11	FALSE	FALSE
Rimbp2	chr5	TRUE	TRUE
Rd3	chr1	TRUE	TRUE
Rnf207	chr4	FALSE	FALSE
Urod	chr4	FALSE	TRUE
Rccd1	chr7	FALSE	TRUE
Actn2	chr13	FALSE	TRUE
Stk3	chr15	TRUE	TRUE
Rad51ap1	chr6	FALSE	TRUE
Arg1	chr10	TRUE	FALSE
Gstt2	chr10	FALSE	FALSE
Bhlhb9	chrX	TRUE	TRUE
Ddr1	chr17	TRUE	TRUE
Etv1	chr12	TRUE	TRUE
Mocs1	chr17	TRUE	TRUE
Tcp11l2	chr10	FALSE	TRUE
Rps12	chr10	FALSE	TRUE
Capza3	chr6	FALSE	FALSE
Neil1	chr9	FALSE	FALSE
Car4	chr11	FALSE	FALSE
Dusp6	chr10	TRUE	TRUE
Eif4a3l1	chr6	FALSE	FALSE
Daxx	chr17	FALSE	TRUE
Ovca2	chr11	FALSE	TRUE
Kmt5c	chr7	FALSE	TRUE
Rnd1	chr15	FALSE	TRUE
Tnks1bp1	chr2	FALSE	FALSE
Acvrl1	chr15	FALSE	FALSE
Ankrd34a	chr3	FALSE	FALSE
Sdr39u1	chr14	FALSE	TRUE
Per2	chr1	TRUE	FALSE
Ncstn	chr1	FALSE	TRUE
Hfm1	chr5	TRUE	TRUE
Hivep3	chr4	FALSE	TRUE
Nxt1	chr2	TRUE	TRUE
Ptgds	chr2	TRUE	TRUE
Nol4	chr18	TRUE	TRUE
Pnpo	chr11	FALSE	TRUE
Alg12	chr15	FALSE	TRUE
Gpr132	chr12	FALSE	FALSE
Btg4	chr9	FALSE	TRUE
Mcam	chr9	FALSE	TRUE
Vcpkmt	chr12	FALSE	FALSE
Abcd1	chrX	FALSE	FALSE
Fam149a	chr8	TRUE	TRUE
Gm45521	chr14	FALSE	TRUE
Hrct1	chr4	TRUE	FALSE
Odf2	chr2	FALSE	TRUE
Prima1	chr12	TRUE	FALSE
Csde1	chr3	FALSE	TRUE
Rab6a	chr7	TRUE	TRUE
Dnajc5b	chr3	TRUE	TRUE
Zfp575	chr7	FALSE	FALSE
Mreg	chr1	TRUE	TRUE
Pml	chr9	FALSE	TRUE
Sdc1	chr12	FALSE	TRUE
Lad1	chr1	FALSE	FALSE
Xpot	chr10	FALSE	TRUE
Lpin3	chr2	FALSE	TRUE
Tent5c	chr3	FALSE	TRUE
Nsmce3	chr7	FALSE	FALSE
Mif	chr10	FALSE	TRUE
Nans	chr4	FALSE	FALSE
Ttc9b	chr7	FALSE	FALSE
Prss21	chr17	FALSE	FALSE
Gpr26	chr7	TRUE	TRUE
Septin5	chr16	FALSE	FALSE
Rps6ka4	chr19	FALSE	FALSE
Taf11	chr17	FALSE	FALSE
Ubxn10	chr4	TRUE	TRUE
Noxa1	chr2	FALSE	FALSE
H4c1	chr13	FALSE	TRUE
Dnase2b	chr3	FALSE	TRUE
Nudt16l1	chr16	FALSE	FALSE
Dlec1	chr9	TRUE	TRUE
Marchf8	chr6	TRUE	TRUE
Parpbp	chr10	FALSE	TRUE
Tlr12	chr4	FALSE	FALSE
Tbc1d9	chr8	FALSE	TRUE
Creld1	chr6	FALSE	TRUE
Acin1	chr14	FALSE	TRUE
Notch2	chr3	FALSE	TRUE
Tomm40l	chr1	FALSE	TRUE
BC049715	chr6	FALSE	TRUE
Shh	chr5	FALSE	TRUE
Saa2	chr7	TRUE	TRUE
Prtn3	chr10	FALSE	FALSE
Mtnr1b	chr9	FALSE	TRUE
Snrnp70	chr7	FALSE	TRUE
Cpxm1	chr2	FALSE	FALSE
Ddx56	chr11	FALSE	FALSE
Bace1	chr9	FALSE	TRUE
Shld3	chr13	TRUE	TRUE
Atat1	chr17	FALSE	TRUE
Prom1	chr5	TRUE	TRUE
Borcs7	chr19	FALSE	FALSE
Zmiz2	chr11	FALSE	TRUE
Tedc1	chr12	FALSE	FALSE
Ngdn	chr14	FALSE	TRUE
Tmem171	chr13	FALSE	TRUE
Itgav	chr2	TRUE	TRUE
Acaa1b	chr9	TRUE	FALSE
Snai1	chr2	FALSE	FALSE
Slc25a4	chr8	TRUE	FALSE
Ptger4	chr15	FALSE	TRUE
Pcdhgc3	chr18	TRUE	TRUE
Stra6l	chr4	FALSE	TRUE
Magel2	chr7	FALSE	TRUE
Xylt2	chr11	FALSE	FALSE
Mtarc2	chr1	FALSE	TRUE
Slc2a1	chr4	FALSE	FALSE
Alppl2	chr1	TRUE	FALSE
Ubxn11	chr4	TRUE	TRUE
Snrnp48	chr13	FALSE	TRUE
Il21r	chr7	TRUE	TRUE
Tgoln1	chr6	TRUE	FALSE
Dmrta1	chr4	TRUE	FALSE
S1pr3	chr13	FALSE	FALSE
Pik3ip1	chr11	FALSE	TRUE
Stk33	chr7	FALSE	TRUE
Foxc2	chr8	FALSE	FALSE
Rbmxl1	chr8	TRUE	FALSE
Sgsm2	chr11	TRUE	TRUE
Nkx3-1	chr14	TRUE	FALSE
Sub1	chr15	TRUE	FALSE
Npc2	chr12	FALSE	TRUE
Rbm22	chr18	FALSE	TRUE
Etaa1	chr11	TRUE	TRUE
Gal3st3	chr19	FALSE	TRUE
Zfp384	chr6	TRUE	TRUE
Ikzf4	chr10	FALSE	TRUE
Fbxw5	chr2	TRUE	TRUE
Msantd3	chr4	FALSE	TRUE
Asph	chr4	FALSE	TRUE
Cspg5	chr9	FALSE	TRUE
Tg	chr15	TRUE	TRUE
Mthfd1l	chr10	TRUE	TRUE
Fgf15	chr7	FALSE	FALSE
Ddx54	chr5	TRUE	FALSE
Dph1	chr11	FALSE	TRUE
Nudt8	chr19	FALSE	TRUE
4933402J07Rik	chr8	TRUE	FALSE
Eif5	chr12	FALSE	FALSE
Elovl4	chr9	FALSE	TRUE
Rtbdn	chr8	FALSE	FALSE
Zbtb7a	chr10	FALSE	TRUE
Slc27a1	chr8	FALSE	TRUE
Pik3r2	chr8	FALSE	TRUE
Pdxp	chr15	FALSE	TRUE
Ythdf3	chr3	TRUE	TRUE
Nrbf2	chr10	TRUE	TRUE
Tex13b	chrX	FALSE	FALSE
Sh3bgr	chr16	TRUE	FALSE
Fem1c	chr18	FALSE	TRUE
Sh3bp5l	chr11	TRUE	TRUE
Ribc2	chr15	FALSE	FALSE
Pick1	chr15	FALSE	TRUE
Ssrp1	chr2	FALSE	TRUE
Gpr139	chr7	FALSE	TRUE
Kptn	chr7	FALSE	TRUE
Ptprt	chr2	TRUE	TRUE
Pcdhb19	chr18	FALSE	TRUE
Cstf2t	chr19	FALSE	FALSE
Wdr90	chr17	FALSE	TRUE
Cbx6	chr15	FALSE	FALSE
Btf3l4	chr4	TRUE	TRUE
Thbs1	chr2	FALSE	FALSE
Copb2	chr9	FALSE	TRUE
Fcgbp	chr7	TRUE	TRUE
Stk26	chrX	FALSE	TRUE
Aurkaip1	chr4	FALSE	FALSE
Gm11541	chr11	FALSE	FALSE
Klhl30	chr1	TRUE	FALSE
1700129C05Rik	chr14	FALSE	FALSE
Mkx	chr18	FALSE	TRUE
Fgd6	chr10	FALSE	TRUE
Scgn	chr13	TRUE	TRUE
Tubb4a	chr17	FALSE	FALSE
Samt1d	chrX	FALSE	FALSE
Lcn12	chr2	TRUE	TRUE
Tmem201	chr4	FALSE	TRUE
Rtf2	chr2	FALSE	TRUE
Dnajb11	chr16	FALSE	FALSE
Neurod1	chr2	TRUE	TRUE
Fbxo25	chr8	FALSE	TRUE
Lama2	chr10	TRUE	TRUE
Rpap3	chr15	TRUE	TRUE
Esf1	chr2	FALSE	TRUE
Npy	chr6	FALSE	FALSE
I0C0044D17Rik	chr4	FALSE	FALSE
Camta2	chr11	FALSE	TRUE
Cacfd1	chr2	FALSE	FALSE
Arhgef10	chr8	FALSE	TRUE
Manbal	chr2	FALSE	TRUE
Gfra2	chr14	TRUE	TRUE
Fam91a1	chr15	FALSE	TRUE
Dbp	chr7	FALSE	FALSE
U2af1	chr17	FALSE	FALSE
Onecut3	chr10	FALSE	TRUE
H2-Oa	chr17	TRUE	FALSE
Nucks1	chr1	FALSE	TRUE
Ankrd42	chr7	FALSE	TRUE
Gsk3a	chr7	TRUE	TRUE
Stradb	chr1	FALSE	TRUE
Dolpp1	chr2	TRUE	FALSE
Nova1	chr12	TRUE	TRUE
Atl1	chr12	FALSE	TRUE
Pkm	chr9	FALSE	TRUE
Fads3	chr19	TRUE	FALSE
Adam6b	chr12	FALSE	FALSE
Copg1	chr6	FALSE	TRUE
Rela	chr19	FALSE	TRUE
Depp1	chr6	FALSE	FALSE
Optc	chr1	TRUE	TRUE
Acot8	chr2	FALSE	FALSE
Fgfbp3	chr19	FALSE	FALSE
Sbf2	chr7	FALSE	TRUE
Elk1	chrX	TRUE	TRUE
Stc2	chr11	TRUE	TRUE
Sowaha	chr11	TRUE	TRUE
P2rx1	chr11	TRUE	TRUE
1600014C10Rik	chr7	TRUE	TRUE
Rbfa	chr18	FALSE	TRUE
Ncapg	chr5	FALSE	TRUE
Trim42	chr9	TRUE	TRUE
Ubqln3	chr7	FALSE	FALSE
Ciao1	chr2	FALSE	FALSE
Lgals9	chr11	FALSE	FALSE
Flywch2	chr17	FALSE	TRUE
Asb16	chr11	FALSE	TRUE
Ccdc194	chr8	FALSE	TRUE
Krt33a	chr11	TRUE	TRUE
Clhc1	chr11	FALSE	TRUE
Ddx19a	chr8	FALSE	TRUE
Cfap44	chr16	TRUE	TRUE
Chrm5	chr2	TRUE	TRUE
Cul4b	chrX	FALSE	TRUE
Tmed5	chr5	FALSE	FALSE
Dnajc7	chr11	FALSE	TRUE
Cx3cr1	chr9	TRUE	TRUE
Mt2	chr8	FALSE	FALSE
Msln	chr17	FALSE	FALSE
Atp6v1g1	chr4	FALSE	FALSE
Sox11	chr12	TRUE	TRUE
Zfx	chrX	FALSE	TRUE
Trafd1	chr5	FALSE	FALSE
Wrnip1	chr13	TRUE	TRUE
Dbndd2	chr2	FALSE	TRUE
Sh3rf1	chr8	TRUE	TRUE
Spdye4b	chr5	FALSE	TRUE
Spaca6	chr17	FALSE	TRUE
Pole4	chr6	FALSE	TRUE
Slc38a3	chr9	FALSE	TRUE
Sigmar1	chr4	FALSE	TRUE
Khsrp	chr17	FALSE	FALSE
Slc39a4	chr15	FALSE	FALSE
Sppl2c	chr11	TRUE	TRUE
Creg2	chr1	FALSE	TRUE
Xk	chrX	TRUE	TRUE
Ndn	chr7	FALSE	TRUE
Arc	chr15	FALSE	FALSE
Prelid3a	chr18	FALSE	TRUE
Derl1	chr15	FALSE	FALSE
Gnb5	chr9	TRUE	TRUE
4930469K13Rik	chr11	TRUE	TRUE
Coro1b	chr19	FALSE	FALSE
Kif23	chr9	TRUE	TRUE
Grk1	chr8	FALSE	FALSE
Aldoa	chr7	FALSE	TRUE
Adprh	chr16	TRUE	TRUE
Gm5617	chr9	FALSE	TRUE
Gipc1	chr8	FALSE	FALSE
Nup54	chr5	FALSE	TRUE
Etv5	chr16	TRUE	TRUE
Otx1	chr11	FALSE	FALSE
Mmgt1	chrX	FALSE	FALSE
Pcdh11x	chrX	TRUE	TRUE
Zfp319	chr8	TRUE	TRUE
Npbwr1	chr1	TRUE	FALSE
Scamp4	chr10	FALSE	FALSE
Mia3	chr1	TRUE	TRUE
Ulk3	chr9	FALSE	FALSE
Ndufb5	chr3	FALSE	TRUE
Zfp711	chrX	FALSE	TRUE
Dusp3	chr11	FALSE	FALSE
Ubl3	chr5	FALSE	TRUE
Chrd	chr16	FALSE	FALSE
Rab4a	chr8	FALSE	TRUE
Ubap1	chr4	FALSE	TRUE
Adam11	chr11	FALSE	FALSE
Mettl24	chr10	TRUE	TRUE
Ccdc162	chr10	TRUE	TRUE
Aamp	chr1	FALSE	FALSE
Sst	chr16	FALSE	TRUE
Bhlhe41	chr6	FALSE	TRUE
Gp1bb	chr16	FALSE	FALSE
Ddc	chr11	FALSE	TRUE
Pnoc	chr14	FALSE	TRUE
Fbxl14	chr6	FALSE	TRUE
Naxd	chr8	FALSE	FALSE
1700008P02Rik	chr3	FALSE	FALSE
Ociad1	chr5	FALSE	TRUE
Cacnb1	chr11	FALSE	FALSE
Hr	chr14	TRUE	TRUE
Kctd18	chr1	FALSE	TRUE
Als2cl	chr9	FALSE	TRUE
Tbx1	chr16	FALSE	FALSE
Arhgap32	chr9	TRUE	TRUE
Hook2	chr8	FALSE	TRUE
Tmprss2	chr16	TRUE	TRUE
Aldh8a1	chr10	TRUE	TRUE
Me3	chr7	TRUE	TRUE
Ccdc17	chr4	FALSE	FALSE
Gpr4	chr7	FALSE	FALSE
Mesd	chr7	TRUE	TRUE
Snx30	chr4	FALSE	TRUE
Rabl3	chr16	FALSE	TRUE
Tgm6	chr2	TRUE	TRUE
Coq7	chr7	FALSE	TRUE
Adamts1	chr16	FALSE	FALSE
Jak3	chr8	FALSE	FALSE
Tspyl5	chr15	TRUE	FALSE
Peg3	chr7	FALSE	TRUE
Sema5a	chr15	FALSE	TRUE
Fubp1	chr3	FALSE	TRUE
Plk3	chr4	FALSE	FALSE
Flrt1	chr19	FALSE	FALSE
Cnih2	chr19	TRUE	TRUE
Prph	chr15	FALSE	FALSE
T2	chr17	TRUE	TRUE
Cabyr	chr18	FALSE	TRUE
Mc2r	chr18	TRUE	TRUE
Vps4a	chr8	TRUE	FALSE
Rcc2	chr4	FALSE	TRUE
Cpsf2	chr12	TRUE	TRUE
Celf3	chr3	FALSE	FALSE
Rbmxl2	chr7	TRUE	FALSE
Utp15	chr13	FALSE	TRUE
Tifab	chr13	FALSE	FALSE
Tdrd9	chr12	TRUE	TRUE
Hspbp1	chr7	FALSE	TRUE
Rab3il1	chr19	TRUE	TRUE
H1f2	chr13	FALSE	FALSE
Ccr4	chr9	FALSE	TRUE
Cfap157	chr2	FALSE	FALSE
Ptx4	chr17	FALSE	TRUE
Radil	chr5	TRUE	TRUE
Crygs	chr16	TRUE	TRUE
Napepld	chr5	FALSE	TRUE
Parp10	chr15	FALSE	TRUE
Zfand5	chr19	TRUE	TRUE
1700025C18Rik	chr2	FALSE	FALSE
Ngp	chr9	TRUE	TRUE
Map2k3	chr11	FALSE	FALSE
Il16	chr7	TRUE	TRUE
Lsm4	chr8	FALSE	FALSE
Mitf	chr6	FALSE	TRUE
Dlat	chr9	FALSE	TRUE
Pcdhb6	chr18	FALSE	TRUE
Ciart	chr3	FALSE	FALSE
Fzd2	chr11	FALSE	FALSE
C1d	chr11	TRUE	FALSE
Plcxd1	chr5	FALSE	TRUE
Pdk4	chr6	FALSE	FALSE
Lynx1	chr15	FALSE	FALSE
Cartpt	chr13	TRUE	TRUE
Kbtbd13	chr9	TRUE	TRUE
Rnft1	chr11	FALSE	FALSE
Arl3	chr19	TRUE	TRUE
Mrpl23	chr7	FALSE	FALSE
Mgl2	chr11	FALSE	TRUE
Rnf4	chr5	FALSE	TRUE
Smg7	chr1	FALSE	TRUE
Cylc2	chr4	TRUE	TRUE
Fscb	chr12	FALSE	TRUE
Ptprcap	chr19	FALSE	TRUE
Ap1s2	chrX	FALSE	TRUE
Muc4	chr16	FALSE	TRUE
Zmat4	chr8	FALSE	TRUE
Cldn2	chrX	FALSE	FALSE
Grin2c	chr11	TRUE	TRUE
Vill	chr9	TRUE	FALSE
Hspa13	chr16	FALSE	TRUE
Gmcl1	chr6	FALSE	TRUE
Cdx1	chr18	FALSE	TRUE
Scly	chr1	FALSE	TRUE
Tmem26	chr10	FALSE	TRUE
Gas1	chr13	FALSE	TRUE
Emc10	chr7	FALSE	TRUE
Kcna3	chr3	FALSE	FALSE
Irf2bp2	chr8	FALSE	TRUE
Ppm1a	chr12	TRUE	TRUE
Rnf186	chr4	FALSE	FALSE
Cnnm4	chr1	FALSE	TRUE
Mkrn1	chr6	FALSE	TRUE
Ntn3	chr17	FALSE	FALSE
Spag5	chr11	FALSE	FALSE
Nrarp	chr2	FALSE	FALSE
Tnfrsf13c	chr15	FALSE	FALSE
Ppp1r14bl	chr1	TRUE	TRUE
Ankrd1	chr19	TRUE	FALSE
Rpl13a	chr7	FALSE	FALSE
Tmem168	chr6	FALSE	TRUE
Nrbp2	chr15	FALSE	FALSE
Cd55	chr1	FALSE	FALSE
Lamtor4	chr5	FALSE	FALSE
Gm13271	chr4	FALSE	TRUE
Pex7	chr10	TRUE	TRUE
Adgb	chr10	TRUE	TRUE
Zc3h10	chr10	FALSE	FALSE
Wfikkn2	chr11	FALSE	FALSE
Rp1l1	chr14	FALSE	FALSE
Slc12a7	chr13	FALSE	TRUE
Fli1	chr9	FALSE	TRUE
Slc29a4	chr5	FALSE	TRUE
Smim41	chr15	TRUE	FALSE
Fbxo32	chr15	FALSE	TRUE
Leprot	chr4	FALSE	FALSE
Gjc2	chr11	TRUE	TRUE
Bicc1	chr10	TRUE	TRUE
Khdc3	chr9	TRUE	FALSE
Ptger1	chr8	FALSE	FALSE
Lhfpl5	chr17	FALSE	FALSE
Pou4f3	chr18	FALSE	FALSE
Mypop	chr7	FALSE	FALSE
Irf4	chr13	FALSE	TRUE
Wnt6	chr1	FALSE	FALSE
Slc35c2	chr2	TRUE	TRUE
Azi2	chr9	FALSE	TRUE
Cpz	chr5	FALSE	TRUE
Haus3	chr5	FALSE	TRUE
Hsd17b3	chr13	FALSE	TRUE
Ggt7	chr2	FALSE	TRUE
Polr2e	chr10	FALSE	TRUE
Ddt	chr10	FALSE	FALSE
Lhx9	chr1	FALSE	TRUE
Pcdhb12	chr18	TRUE	FALSE
Psmb7	chr2	FALSE	TRUE
Bsg	chr10	TRUE	FALSE
Ccdc92	chr5	FALSE	TRUE
Tra2a	chr6	FALSE	TRUE
Atxn2l	chr7	FALSE	TRUE
Zbtb32	chr7	TRUE	FALSE
1700001J03Rik	chr5	FALSE	FALSE
4930519G04Rik	chr5	FALSE	TRUE
Pask	chr1	FALSE	TRUE
Tspoap1	chr11	FALSE	TRUE
Gpx4	chr10	FALSE	TRUE
Kcnk4	chr19	FALSE	FALSE
Camsap3	chr8	FALSE	TRUE
Etv4	chr11	FALSE	TRUE
1700019A02Rik	chr1	TRUE	TRUE
Cxcl10	chr5	FALSE	FALSE
Cyp2w1	chr5	FALSE	FALSE
Elmo2	chr2	FALSE	TRUE
Nub1	chr5	FALSE	TRUE
Tmem59	chr4	FALSE	TRUE
Iba57	chr11	FALSE	FALSE
Metap1	chr3	FALSE	TRUE
Rexo1	chr10	TRUE	TRUE
Tha1	chr11	FALSE	TRUE
Aldh3a1	chr11	TRUE	FALSE
Klk4	chr7	FALSE	FALSE
Rack1	chr11	FALSE	FALSE
Nt5c1a	chr4	FALSE	TRUE
Hmgcs1	chr13	FALSE	TRUE
Ndfip1	chr18	FALSE	TRUE
Nat9	chr11	FALSE	FALSE
Pabpc2	chr18	TRUE	FALSE
Pdp2	chr8	TRUE	TRUE
Tsc22d3	chrX	FALSE	TRUE
Susd5	chr9	FALSE	TRUE
Dvl1	chr4	FALSE	TRUE
Znrf2	chr6	TRUE	TRUE
Smim12	chr4	FALSE	FALSE
Arid3b	chr9	FALSE	TRUE
Gabarapl2	chr8	FALSE	TRUE
Cdh23	chr10	FALSE	TRUE
Selenok	chr14	FALSE	TRUE
Rfx1	chr8	FALSE	TRUE
Vstm2a	chr11	TRUE	TRUE
Coro1a	chr7	FALSE	FALSE
Hnrnpa3	chr2	TRUE	TRUE
Tspan12	chr6	TRUE	TRUE
Ptpn5	chr7	TRUE	TRUE
S100a16	chr3	FALSE	FALSE
Slc29a2	chr19	FALSE	TRUE
Ankk1	chr9	FALSE	FALSE
Nhlrc3	chr3	FALSE	FALSE
Ifnl2	chr7	TRUE	TRUE
Dnase1l2	chr17	FALSE	FALSE
Fzd4	chr7	FALSE	TRUE
Dact2	chr17	TRUE	TRUE
Gtf2a1	chr12	FALSE	TRUE
Gtf2f1	chr17	FALSE	TRUE
Tm7sf2	chr19	TRUE	FALSE
Sumo3	chr10	FALSE	TRUE
Krt84	chr15	TRUE	FALSE
Trmt61a	chr12	TRUE	FALSE
Pgm2	chr5	TRUE	TRUE
Paip2b	chr6	FALSE	TRUE
Hsdl2	chr4	FALSE	TRUE
Cdkn1c	chr7	FALSE	TRUE
Slx	chrX	FALSE	TRUE
Cbx2	chr11	FALSE	FALSE
Alkal2	chr12	FALSE	FALSE
Ppp2r5b	chr19	FALSE	TRUE
Gpr180	chr14	FALSE	TRUE
Cabp1	chr5	FALSE	TRUE
Vipas39	chr12	FALSE	TRUE
Ctnna2	chr6	TRUE	TRUE
Emb	chr13	TRUE	TRUE
Hdac10	chr15	FALSE	TRUE
Rlbp1	chr7	FALSE	FALSE
F3	chr3	FALSE	FALSE
Mpp3	chr11	FALSE	TRUE
Dnpep	chr1	FALSE	FALSE
Atp2a3	chr11	FALSE	TRUE
Gng4	chr13	TRUE	TRUE
Dpf1	chr7	TRUE	TRUE
Thbd	chr2	FALSE	TRUE
Mycl	chr4	FALSE	FALSE
Pim1	chr17	FALSE	FALSE
Cst10	chr2	FALSE	TRUE
Cdh24	chr14	TRUE	TRUE
Sell	chr1	FALSE	TRUE
Nme2	chr11	TRUE	FALSE
Alg6	chr4	TRUE	TRUE
Gzmg	chr14	TRUE	TRUE
Ccer1	chr10	FALSE	FALSE
Adrb3	chr8	FALSE	TRUE
Sstr1	chr12	FALSE	TRUE
Pdia6	chr12	FALSE	TRUE
Nr1h2	chr7	FALSE	FALSE
Zdhhc12	chr2	FALSE	TRUE
Hhipl2	chr1	TRUE	TRUE
Mpnd	chr17	TRUE	FALSE
Akr1e1	chr13	FALSE	TRUE
Ankrd16	chr2	FALSE	TRUE
Nol3	chr8	FALSE	FALSE
Slc45a1	chr4	FALSE	FALSE
Fam89a	chr8	FALSE	FALSE
Grhl2	chr15	TRUE	TRUE
Fgg	chr3	TRUE	TRUE
Klrg2	chr6	FALSE	TRUE
Iqcd	chr5	FALSE	TRUE
AI593442	chr9	TRUE	FALSE
Pcbp3	chr10	FALSE	TRUE
Pidd1	chr7	FALSE	FALSE
Plcxd3	chr15	FALSE	TRUE
