gene_name	chr	MeCP2_up	K27ac_up
Eipr1	chr12	TRUE	TRUE
Nsd3	chr8	FALSE	TRUE
Ralyl	chr3	TRUE	TRUE
Slc23a2	chr2	FALSE	TRUE
Fcho2	chr13	FALSE	FALSE
Tmem163	chr1	FALSE	FALSE
Nrf1	chr6	FALSE	TRUE
Lmo1	chr7	FALSE	TRUE
Sik2	chr9	FALSE	TRUE
Exph5	chr9	TRUE	FALSE
Btbd8	chr5	FALSE	FALSE
Sorl1	chr9	TRUE	TRUE
Usp7	chr16	FALSE	TRUE
Fbxw11	chr11	FALSE	FALSE
Ccar2	chr14	FALSE	TRUE
Kdm6a	chrX	FALSE	TRUE
Taf3	chr2	FALSE	FALSE
Abcc8	chr7	FALSE	TRUE
Bicra	chr7	FALSE	TRUE
Myh10	chr11	FALSE	TRUE
Setd2	chr9	FALSE	TRUE
Atad2b	chr12	FALSE	TRUE
Lnpk	chr2	FALSE	TRUE
Adck1	chr12	TRUE	TRUE
Arid2	chr15	FALSE	TRUE
Stxbp5l	chr16	FALSE	TRUE
Tab3	chrX	FALSE	TRUE
Exoc3l	chr8	TRUE	FALSE
Btaf1	chr19	FALSE	FALSE
Ano5	chr7	FALSE	TRUE
Raph1	chr1	FALSE	TRUE
Trim9	chr12	FALSE	FALSE
Medag	chr5	FALSE	FALSE
Map6	chr7	FALSE	TRUE
Elovl7	chr13	FALSE	FALSE
Fbxw7	chr3	FALSE	FALSE
Pank1	chr19	FALSE	TRUE
Prdm11	chr2	FALSE	TRUE
Setd3	chr12	FALSE	FALSE
Sms	chrX	TRUE	FALSE
Fnip2	chr3	TRUE	TRUE
Il1r1	chr1	FALSE	FALSE
Ccdc167	chr17	TRUE	FALSE
Wnk1	chr6	FALSE	TRUE
Dock4	chr12	FALSE	TRUE
Wipf2	chr11	TRUE	TRUE
6430548M08Rik	chr8	FALSE	TRUE
Wbp1l	chr19	TRUE	TRUE
Arl15	chr13	FALSE	TRUE
Fbxw8	chr5	TRUE	TRUE
Slmap	chr14	FALSE	TRUE
Rbm19	chr5	TRUE	FALSE
Rpn2	chr2	FALSE	TRUE
Lclat1	chr17	FALSE	FALSE
Lrp12	chr15	FALSE	TRUE
Brf1	chr12	FALSE	FALSE
Tmem245	chr4	TRUE	TRUE
Rnf115	chr3	FALSE	TRUE
Srsf4	chr4	FALSE	TRUE
Usp32	chr11	TRUE	TRUE
Oxsm	chr14	FALSE	FALSE
Nudt14	chr12	FALSE	FALSE
Atp2b1	chr10	FALSE	FALSE
Sphkap	chr1	FALSE	TRUE
D5Ertd579e	chr5	FALSE	FALSE
Pitpnm3	chr11	FALSE	FALSE
Dicer1	chr12	TRUE	TRUE
Atxn7	chr14	FALSE	TRUE
Tmem236	chr2	TRUE	FALSE
Pcx	chr19	FALSE	FALSE
Ehd4	chr2	FALSE	FALSE
Spag9	chr11	FALSE	TRUE
Phf21b	chr15	FALSE	TRUE
Nalcn	chr14	TRUE	FALSE
Tbc1d12	chr19	FALSE	TRUE
Foxj3	chr4	FALSE	TRUE
Ptpn1	chr2	TRUE	FALSE
Osbp2	chr11	FALSE	TRUE
Cd6	chr19	FALSE	FALSE
Slc66a2	chr18	FALSE	TRUE
Gigyf2	chr1	FALSE	TRUE
Cit	chr5	FALSE	TRUE
Acvr1b	chr15	FALSE	TRUE
Klhdc10	chr6	FALSE	TRUE
Xpo6	chr7	TRUE	TRUE
Gcn1	chr5	FALSE	TRUE
Zfp236	chr18	FALSE	TRUE
Mtap	chr4	TRUE	TRUE
Gnaz	chr10	TRUE	FALSE
Ogdh	chr11	TRUE	TRUE
Ext1	chr15	TRUE	FALSE
Manea	chr4	TRUE	FALSE
Ankrd12	chr17	FALSE	TRUE
Smad1	chr8	FALSE	TRUE
Chd2	chr7	FALSE	TRUE
Mob2	chr7	FALSE	TRUE
Igsf10	chr3	TRUE	FALSE
Tshz3	chr7	FALSE	TRUE
Smap2	chr4	FALSE	TRUE
Kdm5c	chrX	FALSE	TRUE
Zfp523	chr17	TRUE	TRUE
Dnajc6	chr4	FALSE	TRUE
Ube2k	chr5	FALSE	TRUE
Eml5	chr12	FALSE	TRUE
Acsl6	chr11	FALSE	TRUE
Mef2a	chr7	FALSE	FALSE
Mb21d2	chr16	TRUE	TRUE
Ccdc6	chr10	FALSE	TRUE
Mgat4a	chr1	TRUE	TRUE
Mrps28	chr3	FALSE	FALSE
Pip4k2a	chr2	FALSE	TRUE
Garem1	chr18	FALSE	TRUE
A930004D18Rik	chr2	TRUE	TRUE
Ank	chr15	FALSE	TRUE
Zfp638	chr6	FALSE	TRUE
Hipk3	chr2	FALSE	TRUE
Ranbp17	chr11	TRUE	TRUE
Eps15l1	chr8	FALSE	TRUE
Kdm7a	chr6	FALSE	TRUE
Zcchc17	chr4	FALSE	TRUE
Atf2	chr2	FALSE	FALSE
Rras2	chr7	FALSE	TRUE
Slc7a1	chr5	FALSE	FALSE
Aim2	chr1	FALSE	TRUE
Apc	chr18	FALSE	TRUE
Cdh22	chr2	FALSE	TRUE
Plxdc2	chr2	TRUE	FALSE
Stpg2	chr3	FALSE	TRUE
Memo1	chr17	FALSE	TRUE
Ppp1r12b	chr1	FALSE	FALSE
Shtn1	chr19	FALSE	TRUE
D630045J12Rik	chr6	FALSE	FALSE
Kcnq2	chr2	FALSE	FALSE
Nabp1	chr1	FALSE	FALSE
Rims4	chr2	FALSE	FALSE
Map2	chr1	FALSE	TRUE
Ankrd11	chr8	TRUE	TRUE
Kmt2d	chr15	FALSE	TRUE
Kat2b	chr17	TRUE	FALSE
Atp6v0d1	chr8	FALSE	FALSE
Ctnnbip1	chr4	TRUE	FALSE
Syt14	chr1	TRUE	FALSE
Nckap5l	chr15	FALSE	TRUE
Nfix	chr8	FALSE	FALSE
Tmtc4	chr14	TRUE	FALSE
Clec16a	chr16	FALSE	FALSE
Hdhd5	chr6	TRUE	FALSE
Hivep2	chr10	FALSE	TRUE
Galnt9	chr5	FALSE	TRUE
Sh3bp5	chr14	FALSE	TRUE
Pde7a	chr3	TRUE	TRUE
Elavl3	chr9	FALSE	TRUE
Poc1b	chr10	FALSE	FALSE
Pip5k1b	chr19	FALSE	TRUE
Cdan1	chr2	FALSE	TRUE
Slc44a5	chr3	FALSE	TRUE
Hdac4	chr1	FALSE	TRUE
Dgcr2	chr16	FALSE	FALSE
Trim2	chr3	FALSE	TRUE
Ica1	chr6	TRUE	TRUE
Gprc5b	chr7	FALSE	TRUE
Ccdc171	chr4	FALSE	FALSE
Tmem238	chr7	FALSE	FALSE
Myof	chr19	TRUE	FALSE
Mib1	chr18	FALSE	TRUE
Bicd2	chr13	FALSE	TRUE
Tgfbrap1	chr1	TRUE	TRUE
Ogdhl	chr14	FALSE	TRUE
Dennd5b	chr6	FALSE	TRUE
Negr1	chr3	FALSE	TRUE
Zc3h13	chr14	TRUE	TRUE
Prrc2b	chr2	FALSE	TRUE
Ccny	chr18	FALSE	TRUE
Brinp1	chr4	FALSE	TRUE
Mapkbp1	chr2	FALSE	TRUE
Pcmtd1	chr1	TRUE	FALSE
Zdhhc14	chr17	FALSE	TRUE
Gm16223	chr5	TRUE	FALSE
Ice1	chr13	FALSE	TRUE
Sec14l1	chr11	FALSE	TRUE
Stx18	chr5	FALSE	FALSE
Sspo	chr6	FALSE	TRUE
Amer2	chr14	FALSE	FALSE
Cep170b	chr12	TRUE	FALSE
Wscd1	chr11	FALSE	FALSE
Tbc1d5	chr17	TRUE	FALSE
Dazl	chr17	TRUE	FALSE
Klf8	chrX	FALSE	TRUE
Arsg	chr11	TRUE	FALSE
Map3k2	chr18	FALSE	FALSE
Dtna	chr18	FALSE	FALSE
Grk6	chr13	FALSE	FALSE
Adamts18	chr8	TRUE	FALSE
Ubr3	chr2	FALSE	TRUE
Poc1a	chr9	FALSE	TRUE
Rnf13	chr3	FALSE	FALSE
Dusp1	chr17	FALSE	TRUE
Bptf	chr11	TRUE	TRUE
Ppp2r5a	chr1	FALSE	FALSE
Trim33	chr3	FALSE	TRUE
Map4k4	chr1	FALSE	TRUE
Inpp4b	chr8	FALSE	FALSE
Saxo1	chr4	FALSE	TRUE
Nuak1	chr10	FALSE	TRUE
Mink1	chr11	TRUE	TRUE
Tanc1	chr2	FALSE	TRUE
Mgat4b	chr11	FALSE	TRUE
Ints6	chr14	FALSE	TRUE
Ndp	chrX	TRUE	FALSE
Cacul1	chr19	TRUE	TRUE
Tmem135	chr7	FALSE	FALSE
Ptpn11	chr5	FALSE	FALSE
Abcg1	chr17	FALSE	TRUE
Atoh8	chr6	FALSE	FALSE
Htt	chr5	FALSE	TRUE
Efhd2	chr4	FALSE	TRUE
Tbc1d2b	chr9	FALSE	FALSE
Srek1ip1	chr13	TRUE	FALSE
Man2a1	chr17	FALSE	FALSE
Tcerg1	chr18	FALSE	TRUE
Ppp1r12a	chr10	FALSE	TRUE
Braf	chr6	FALSE	FALSE
Ptpn3	chr4	TRUE	FALSE
Ap1b1	chr11	FALSE	TRUE
Myo6	chr9	FALSE	FALSE
Csnk1g3	chr18	FALSE	FALSE
4930505A04Rik	chr11	TRUE	FALSE
Unc13a	chr8	FALSE	TRUE
Rnf19a	chr15	TRUE	FALSE
Gpc1	chr1	FALSE	TRUE
Strn	chr17	FALSE	FALSE
Dennd4c	chr4	TRUE	FALSE
Sestd1	chr2	FALSE	FALSE
Pccb	chr9	TRUE	FALSE
Armc2	chr10	FALSE	FALSE
Ust	chr10	FALSE	TRUE
Adam10	chr9	FALSE	TRUE
Map2k5	chr9	FALSE	FALSE
Cdc40	chr10	FALSE	FALSE
Tmem65	chr15	FALSE	FALSE
Nacc2	chr2	FALSE	TRUE
Dglucy	chr12	FALSE	FALSE
Lemd2	chr17	TRUE	TRUE
Cilp	chr9	FALSE	FALSE
Prpf40a	chr2	TRUE	TRUE
Btrc	chr19	FALSE	FALSE
Flnb	chr14	FALSE	TRUE
Lgi2	chr5	TRUE	FALSE
Uxs1	chr1	TRUE	FALSE
Gsdme	chr6	TRUE	TRUE
Bbx	chr16	FALSE	TRUE
Ppm1b	chr17	FALSE	TRUE
Rundc3b	chr5	FALSE	TRUE
Cdh7	chr1	FALSE	FALSE
Ercc6	chr14	FALSE	TRUE
Atm	chr9	FALSE	TRUE
Oxr1	chr15	FALSE	TRUE
Mbtps1	chr8	TRUE	TRUE
Prdm2	chr4	FALSE	FALSE
Disc1	chr8	FALSE	FALSE
Atp11c	chrX	FALSE	TRUE
Nadk	chr4	FALSE	TRUE
Ccser2	chr14	FALSE	TRUE
Nptn	chr9	FALSE	TRUE
Pum2	chr12	FALSE	TRUE
Kdm3b	chr18	TRUE	TRUE
Slc25a12	chr2	FALSE	TRUE
Adgra1	chr7	FALSE	TRUE
Actn4	chr7	TRUE	TRUE
Prmt8	chr6	FALSE	TRUE
Tspan13	chr12	FALSE	TRUE
Zfp597	chr16	TRUE	TRUE
Hdac11	chr6	TRUE	FALSE
Med16	chr10	FALSE	TRUE
Banp	chr8	FALSE	TRUE
Tecpr1	chr5	FALSE	TRUE
Scg5	chr2	FALSE	TRUE
Ehmt1	chr2	FALSE	TRUE
Osbpl8	chr10	FALSE	TRUE
Itga7	chr10	TRUE	FALSE
Gpatch2l	chr12	TRUE	FALSE
Rnf141	chr7	TRUE	TRUE
Man1a2	chr3	TRUE	TRUE
Arih1	chr9	FALSE	TRUE
Eea1	chr10	FALSE	FALSE
Crcp	chr5	FALSE	FALSE
Foxo1	chr3	FALSE	FALSE
Ttc39a	chr4	FALSE	TRUE
Dennd5a	chr7	FALSE	TRUE
Znrf1	chr8	FALSE	FALSE
Neurl1a	chr19	FALSE	TRUE
Nek10	chr14	TRUE	FALSE
Grm4	chr17	FALSE	TRUE
Shank3	chr15	FALSE	TRUE
Vsnl1	chr12	FALSE	TRUE
Dcaf5	chr12	FALSE	TRUE
Hsf5	chr11	FALSE	TRUE
Rnf182	chr13	TRUE	FALSE
Smchd1	chr17	TRUE	TRUE
Zfyve28	chr5	FALSE	FALSE
Zbtb46	chr2	FALSE	TRUE
Vangl2	chr1	FALSE	FALSE
Plekhf1	chr7	FALSE	FALSE
Dgkd	chr1	FALSE	TRUE
Dclk2	chr3	FALSE	FALSE
Cdip1	chr16	TRUE	TRUE
St7	chr6	FALSE	TRUE
Depdc5	chr5	FALSE	FALSE
Usp47	chr7	FALSE	FALSE
Angptl2	chr2	FALSE	TRUE
Xpnpep1	chr19	TRUE	FALSE
Rdx	chr9	FALSE	TRUE
Ly86	chr13	TRUE	TRUE
Vps26c	chr16	TRUE	FALSE
Ndst1	chr18	FALSE	TRUE
Wac	chr18	FALSE	TRUE
Nsd1	chr13	FALSE	TRUE
Hif1an	chr19	FALSE	TRUE
Lrfn3	chr7	FALSE	FALSE
Zfp664	chr5	FALSE	TRUE
Kctd3	chr1	TRUE	TRUE
Jarid2	chr13	TRUE	TRUE
Ssh1	chr5	FALSE	TRUE
Etv6	chr6	FALSE	TRUE
Rnf144a	chr12	TRUE	FALSE
Hira	chr16	FALSE	TRUE
Cdc5l	chr17	FALSE	TRUE
Lrrc8c	chr5	FALSE	TRUE
Abhd2	chr7	TRUE	FALSE
Sgpp2	chr1	FALSE	TRUE
Kdm2a	chr19	FALSE	TRUE
Cnksr3	chr10	FALSE	TRUE
Epn2	chr11	FALSE	FALSE
Fchsd2	chr7	FALSE	TRUE
N4bp1	chr8	FALSE	TRUE
Clec2l	chr6	FALSE	TRUE
Nt5m	chr11	FALSE	TRUE
Nr2c2	chr6	FALSE	FALSE
9930021J03Rik	chr19	TRUE	TRUE
Chst11	chr10	FALSE	TRUE
Ralgapb	chr2	FALSE	TRUE
Galnt5	chr2	TRUE	FALSE
Unc5cl	chr17	FALSE	FALSE
Ctif	chr18	FALSE	TRUE
Spen	chr4	FALSE	FALSE
Srrm3	chr5	FALSE	FALSE
Epha7	chr4	FALSE	FALSE
Desi2	chr1	FALSE	TRUE
Cacna1d	chr14	TRUE	FALSE
Tmod1	chr4	FALSE	FALSE
Herc2	chr7	FALSE	TRUE
Mrtfb	chr16	FALSE	FALSE
Slc31a1	chr4	FALSE	TRUE
Pspc1	chr14	FALSE	TRUE
Dusp8	chr7	FALSE	TRUE
Top1	chr2	FALSE	TRUE
Lyn	chr4	TRUE	FALSE
Msh2	chr17	FALSE	TRUE
Rab10	chr12	FALSE	TRUE
Rab11fip3	chr17	FALSE	TRUE
Pisd	chr5	TRUE	FALSE
Resf1	chr6	TRUE	FALSE
Cxadr	chr16	FALSE	TRUE
Rasgrp2	chr19	FALSE	TRUE
Nt5e	chr9	FALSE	FALSE
Lep	chr6	TRUE	FALSE
1110059E24Rik	chr19	TRUE	FALSE
Tfdp2	chr9	FALSE	TRUE
Supt16	chr14	FALSE	TRUE
Xpo7	chr14	FALSE	TRUE
Lmf2	chr15	FALSE	FALSE
Eaf2	chr16	FALSE	FALSE
Slc41a2	chr10	FALSE	TRUE
Map3k9	chr12	FALSE	FALSE
Tbl1xr1	chr3	TRUE	FALSE
Pdzd8	chr19	FALSE	TRUE
Ehd1	chr19	TRUE	TRUE
Sec23a	chr12	FALSE	FALSE
Cdyl2	chr8	FALSE	FALSE
Pacc1	chr1	FALSE	FALSE
Abhd12	chr2	FALSE	TRUE
Ppp1r9a	chr6	TRUE	TRUE
Ift122	chr6	TRUE	FALSE
Kmt5b	chr19	TRUE	FALSE
Unc80	chr1	FALSE	FALSE
Rdh5	chr10	TRUE	FALSE
Cacna2d3	chr14	FALSE	TRUE
Numa1	chr7	FALSE	FALSE
Arid4a	chr12	FALSE	TRUE
Arhgap20	chr9	FALSE	TRUE
Cd300ld3	chr11	TRUE	FALSE
Dpysl5	chr5	FALSE	TRUE
Itm2c	chr1	TRUE	FALSE
Gbe1	chr16	FALSE	TRUE
Arhgap5	chr12	FALSE	TRUE
Rgs16	chr1	FALSE	TRUE
Tfeb	chr17	FALSE	TRUE
Ptk7	chr17	FALSE	TRUE
Dzip1	chr14	TRUE	TRUE
Acsf3	chr8	TRUE	TRUE
Ino80	chr2	FALSE	TRUE
Crkl	chr16	FALSE	TRUE
Zfp644	chr5	FALSE	TRUE
Scd1	chr19	FALSE	FALSE
Tex26	chr5	FALSE	FALSE
Vwa8	chr14	FALSE	FALSE
Stat5b	chr11	FALSE	TRUE
Ankrd34b	chr13	FALSE	TRUE
Ppfia1	chr7	FALSE	TRUE
Dcp2	chr18	FALSE	TRUE
Agpat4	chr17	FALSE	FALSE
Rheb	chr5	FALSE	TRUE
Mccc2	chr13	FALSE	TRUE
Agap3	chr5	FALSE	FALSE
Lrpprc	chr17	FALSE	FALSE
Scfd2	chr5	FALSE	FALSE
Gpd2	chr2	FALSE	FALSE
Epb41l4b	chr4	FALSE	FALSE
Eepd1	chr9	TRUE	FALSE
Tax1bp1	chr6	FALSE	TRUE
Srcin1	chr11	FALSE	FALSE
Saa3	chr7	TRUE	FALSE
Lonrf1	chr8	TRUE	FALSE
Pinx1	chr14	TRUE	FALSE
Ppp1r14c	chr10	FALSE	TRUE
Dnah17	chr11	FALSE	FALSE
Cnot4	chr6	FALSE	TRUE
Paqr9	chr9	FALSE	FALSE
Myh9	chr15	FALSE	TRUE
Ddx31	chr2	FALSE	FALSE
Anks6	chr4	FALSE	TRUE
Fnbp1	chr2	FALSE	TRUE
Clstn1	chr4	FALSE	TRUE
Caskin2	chr11	TRUE	FALSE
Arrb1	chr7	FALSE	FALSE
Tdp1	chr12	FALSE	FALSE
Rcan1	chr16	FALSE	TRUE
Septin10	chr10	FALSE	FALSE
Slc39a14	chr14	FALSE	TRUE
Cog3	chr14	FALSE	FALSE
Lyst	chr13	FALSE	FALSE
Myrip	chr9	FALSE	TRUE
Mcm9	chr10	TRUE	FALSE
Agpat3	chr10	FALSE	FALSE
Abcc12	chr8	FALSE	FALSE
Fam117b	chr1	FALSE	TRUE
Phf2	chr13	TRUE	FALSE
Cbx5	chr15	TRUE	TRUE
Cds2	chr2	FALSE	FALSE
Twf2	chr9	FALSE	FALSE
Spred2	chr11	FALSE	FALSE
Ankrd50	chr3	TRUE	TRUE
Tmem117	chr15	TRUE	TRUE
Tiam1	chr16	FALSE	TRUE
Clstn3	chr6	FALSE	FALSE
Shc4	chr2	TRUE	TRUE
Ccdc91	chr6	FALSE	FALSE
Cdc42ep2	chr19	FALSE	FALSE
Zfand6	chr7	TRUE	FALSE
Arhgap1	chr2	FALSE	TRUE
Zbtb2	chr10	FALSE	TRUE
Ndfip2	chr14	TRUE	TRUE
Larp4b	chr13	FALSE	FALSE
Zfp438	chr18	TRUE	FALSE
Qser1	chr2	FALSE	FALSE
Mapkapk2	chr1	FALSE	FALSE
Caprin2	chr6	FALSE	TRUE
Fbxl20	chr11	FALSE	TRUE
Zzz3	chr3	FALSE	TRUE
Arid5b	chr10	TRUE	TRUE
Anapc5	chr5	FALSE	TRUE
Rab6b	chr9	TRUE	TRUE
Hipk2	chr6	FALSE	FALSE
Zfp697	chr3	TRUE	FALSE
Ric8b	chr10	FALSE	TRUE
Gatad2b	chr3	TRUE	TRUE
Hip1	chr5	FALSE	TRUE
Tead1	chr7	FALSE	FALSE
Il6st	chr13	FALSE	TRUE
Chl1	chr6	TRUE	FALSE
Tango2	chr16	FALSE	FALSE
Fam219a	chr4	FALSE	FALSE
Camk2g	chr14	FALSE	FALSE
Usp24	chr4	FALSE	FALSE
Parp8	chr13	TRUE	TRUE
Stat3	chr11	FALSE	TRUE
Ube2e3	chr2	TRUE	TRUE
Osbpl2	chr2	FALSE	FALSE
Cbfa2t3	chr8	FALSE	TRUE
Get1	chr16	TRUE	FALSE
Unc5b	chr10	FALSE	TRUE
Chadl	chr15	TRUE	TRUE
Dynlrb2	chr8	TRUE	FALSE
Lrrn3	chr12	TRUE	TRUE
Zmynd11	chr13	FALSE	TRUE
Stag2	chrX	TRUE	TRUE
L3mbtl1	chr2	FALSE	FALSE
Cplx1	chr5	FALSE	TRUE
Hltf	chr3	FALSE	TRUE
Kcnk3	chr5	TRUE	TRUE
Gm21992	chr19	FALSE	TRUE
Tspan5	chr3	FALSE	TRUE
Alkbh6	chr7	FALSE	TRUE
Vapb	chr2	FALSE	TRUE
Prkacb	chr3	TRUE	TRUE
Adcy1	chr11	FALSE	FALSE
Golga7	chr8	FALSE	TRUE
Rab28	chr5	FALSE	TRUE
Fzd7	chr1	FALSE	FALSE
Gap43	chr16	FALSE	FALSE
Hdlbp	chr1	FALSE	TRUE
Sin3a	chr9	FALSE	TRUE
Cand1	chr10	FALSE	TRUE
Fbxl18	chr5	TRUE	TRUE
Pkn1	chr8	FALSE	TRUE
Ppp1r21	chr17	TRUE	FALSE
Mlec	chr5	TRUE	TRUE
Ncbp3	chr11	FALSE	FALSE
Baz1b	chr5	FALSE	TRUE
Ptpn2	chr18	FALSE	TRUE
Ccdc187	chr2	FALSE	FALSE
P2rx4	chr5	FALSE	FALSE
Eif4a1	chr11	FALSE	TRUE
Kdm2b	chr5	FALSE	FALSE
Cog4	chr8	TRUE	TRUE
Pik3r1	chr13	FALSE	TRUE
P3h4	chr11	FALSE	FALSE
Ankhd1	chr18	FALSE	TRUE
Pbx3	chr2	FALSE	FALSE
Fosl2	chr5	FALSE	TRUE
Lmbrd1	chr1	FALSE	TRUE
Fbxo41	chr6	FALSE	FALSE
E2f1	chr2	FALSE	FALSE
Dnajc11	chr4	FALSE	FALSE
Itpk1	chr12	TRUE	FALSE
Ercc6l2	chr13	FALSE	TRUE
Mctp1	chr13	FALSE	FALSE
Crmp1	chr5	FALSE	FALSE
Gabrr2	chr4	TRUE	FALSE
Ube4b	chr4	FALSE	FALSE
Atp2a2	chr5	FALSE	FALSE
Arhgap39	chr15	FALSE	FALSE
Mapk14	chr17	FALSE	TRUE
Eml6	chr11	FALSE	FALSE
Klhl26	chr8	FALSE	TRUE
Mindy4	chr6	TRUE	FALSE
Cdc42bpg	chr19	FALSE	TRUE
Rnf217	chr10	FALSE	FALSE
Mbtd1	chr11	FALSE	TRUE
Cdk19	chr10	TRUE	FALSE
Kcnk10	chr12	FALSE	TRUE
Acot7	chr4	FALSE	FALSE
Elovl5	chr9	FALSE	FALSE
Pcnt	chr10	FALSE	FALSE
Trappc10	chr10	TRUE	FALSE
Shc2	chr10	FALSE	TRUE
Jdp2	chr12	FALSE	TRUE
Rpia	chr6	TRUE	TRUE
Cntn1	chr15	TRUE	FALSE
Cdc42bpb	chr12	FALSE	TRUE
Rprd2	chr3	TRUE	TRUE
Trip12	chr1	TRUE	TRUE
Rap2a	chr14	FALSE	FALSE
Foxn2	chr17	TRUE	FALSE
Zfp521	chr18	FALSE	TRUE
Umad1	chr6	FALSE	FALSE
Foxk1	chr5	TRUE	FALSE
Elavl1	chr8	FALSE	TRUE
Faxc	chr4	FALSE	TRUE
Hcfc2	chr10	FALSE	FALSE
Wasf3	chr5	TRUE	FALSE
Wasl	chr6	FALSE	TRUE
Trmt9b	chr8	TRUE	FALSE
Klhl3	chr13	TRUE	FALSE
Pwwp2b	chr7	FALSE	TRUE
Capn7	chr14	FALSE	FALSE
Tle4	chr19	TRUE	TRUE
Srrm1	chr4	FALSE	TRUE
Ago2	chr15	FALSE	FALSE
Lims1	chr10	FALSE	FALSE
Neo1	chr9	FALSE	TRUE
Kif21b	chr1	FALSE	FALSE
Hs3st1	chr5	TRUE	TRUE
Cystm1	chr18	FALSE	FALSE
Tmem184b	chr15	TRUE	FALSE
Itgb3bp	chr4	FALSE	TRUE
Extl3	chr14	FALSE	TRUE
Ifnar2	chr16	TRUE	TRUE
Eif4e3	chr6	TRUE	FALSE
Gnai3	chr3	FALSE	FALSE
Tacc1	chr8	TRUE	TRUE
Slc6a17	chr3	FALSE	FALSE
Wscd2	chr5	FALSE	TRUE
Lonrf3	chrX	FALSE	TRUE
Cttn	chr7	FALSE	TRUE
Crem	chr18	TRUE	FALSE
Sema6a	chr18	FALSE	FALSE
Kbtbd11	chr8	TRUE	FALSE
Ash1l	chr3	FALSE	TRUE
Smarca5	chr8	FALSE	TRUE
Sptb	chr12	TRUE	FALSE
Adcyap1r1	chr6	FALSE	TRUE
Enox2	chrX	TRUE	TRUE
Kif21a	chr15	FALSE	FALSE
Wwp2	chr8	TRUE	TRUE
Flywch1	chr17	FALSE	TRUE
Fer	chr17	FALSE	FALSE
Tph2	chr10	FALSE	FALSE
Sgsm1	chr5	FALSE	TRUE
Agap2	chr10	FALSE	TRUE
Dctn1	chr6	FALSE	TRUE
Smarcal1	chr1	FALSE	TRUE
Cdk13	chr13	FALSE	TRUE
Nck1	chr9	FALSE	TRUE
Slit3	chr11	FALSE	TRUE
Ppp1cb	chr5	TRUE	TRUE
Trmt13	chr3	FALSE	TRUE
Coro2a	chr4	FALSE	FALSE
Clip1	chr5	FALSE	TRUE
Phf12	chr11	FALSE	TRUE
Nyx	chrX	FALSE	FALSE
Hnrnpk	chr13	FALSE	TRUE
Mapre3	chr5	FALSE	TRUE
Dsn1	chr2	FALSE	TRUE
Slc6a9	chr4	FALSE	TRUE
Sesn1	chr10	FALSE	FALSE
Cttnbp2nl	chr3	FALSE	TRUE
Tll1	chr8	FALSE	FALSE
Pknox1	chr17	FALSE	FALSE
Klc1	chr12	TRUE	TRUE
Sidt1	chr16	FALSE	FALSE
Rps6ka5	chr12	FALSE	FALSE
Tut4	chr4	FALSE	TRUE
B4galt1	chr4	TRUE	FALSE
Trpc4ap	chr2	FALSE	TRUE
Dexi	chr16	FALSE	FALSE
Napa	chr7	FALSE	TRUE
Lman2	chr13	TRUE	FALSE
Ptprj	chr2	FALSE	FALSE
Lrrc3	chr10	FALSE	TRUE
Trappc9	chr15	TRUE	FALSE
Gfpt1	chr6	FALSE	TRUE
Phf3	chr1	FALSE	TRUE
Ablim3	chr18	FALSE	TRUE
Cbln3	chr14	FALSE	TRUE
Hook3	chr8	FALSE	TRUE
Rap1gap	chr4	FALSE	TRUE
Olfml3	chr3	FALSE	TRUE
Arfgap3	chr15	FALSE	TRUE
Dnajc17	chr2	FALSE	TRUE
Serp2	chr14	TRUE	FALSE
Etv3	chr3	TRUE	TRUE
Ift140	chr17	FALSE	TRUE
Ensa	chr3	FALSE	TRUE
Ppm1h	chr10	TRUE	FALSE
Ntng1	chr3	TRUE	TRUE
Sema7a	chr9	FALSE	TRUE
Ccm2l	chr2	TRUE	TRUE
Kcnip2	chr19	FALSE	FALSE
Cyfip2	chr11	TRUE	TRUE
Tmem44	chr16	FALSE	FALSE
Eif5b	chr1	TRUE	TRUE
Camsap2	chr1	TRUE	TRUE
Ralbp1	chr17	TRUE	TRUE
Sarm1	chr11	FALSE	FALSE
Capn5	chr7	FALSE	TRUE
Hs2st1	chr3	FALSE	FALSE
Ramp3	chr11	FALSE	FALSE
Rapgef4	chr2	FALSE	TRUE
Slc18a1	chr8	FALSE	TRUE
Rasal1	chr5	FALSE	FALSE
Pfkfb2	chr1	FALSE	TRUE
Ilf3	chr9	FALSE	TRUE
Rnf145	chr11	FALSE	TRUE
Nap1l4	chr7	FALSE	TRUE
Ctdp1	chr18	FALSE	TRUE
Ift80	chr3	FALSE	TRUE
Zbtb4	chr11	FALSE	TRUE
Tnfsf13	chr11	TRUE	FALSE
Ltbp2	chr12	FALSE	TRUE
Vegfa	chr17	TRUE	TRUE
Ror1	chr4	TRUE	FALSE
Git2	chr5	FALSE	FALSE
Mbd2	chr18	FALSE	FALSE
Sugp1	chr8	FALSE	TRUE
Nr1d2	chr14	FALSE	TRUE
Yy1	chr12	FALSE	TRUE
G2e3	chr12	TRUE	FALSE
Dnajc5	chr2	TRUE	FALSE
Syt12	chr19	FALSE	TRUE
Spry2	chr14	TRUE	FALSE
Stim1	chr7	FALSE	FALSE
Zmym2	chr14	FALSE	TRUE
Erh	chr12	FALSE	TRUE
Vat1l	chr8	TRUE	TRUE
