gene_name	chr	mch_hyper	cg_mc_up
Clns1a	chr7	FALSE	TRUE
Clock	chr5	FALSE	TRUE
Clpb	chr7	FALSE	TRUE
Clptm1	chr7	FALSE	TRUE
Clstn1	chr4	FALSE	TRUE
Clstn2	chr9	FALSE	FALSE
Clstn3	chr6	FALSE	TRUE
Clvs1	chr4	FALSE	TRUE
Clybl	chr14	TRUE	TRUE
Cmah	chr13	FALSE	FALSE
Cmas	chr6	FALSE	TRUE
Cmc2	chr8	FALSE	TRUE
Cmip	chr8	FALSE	FALSE
Cmtm4	chr8	FALSE	TRUE
Cnbd2	chr2	FALSE	FALSE
Cnbp	chr6	FALSE	TRUE
Cngb1	chr8	FALSE	FALSE
Cnih3	chr1	FALSE	FALSE
Cnksr2	chrX	FALSE	TRUE
Cnksr3	chr10	FALSE	TRUE
Cnn3	chr3	FALSE	FALSE
Cnnm2	chr19	FALSE	TRUE
Cnot1	chr8	FALSE	TRUE
Cnot2	chr10	FALSE	TRUE
Cnot4	chr6	FALSE	TRUE
Cnot6l	chr5	FALSE	TRUE
Cnpy1	chr5	TRUE	TRUE
Cnst	chr1	FALSE	TRUE
Cntn1	chr15	FALSE	TRUE
Cntn4	chr6	TRUE	TRUE
Cntn5	chr9	TRUE	TRUE
Cntn6	chr6	TRUE	TRUE
Cntnap2	chr6	FALSE	TRUE
Cntnap4	chr8	FALSE	TRUE
Cntnap5a	chr1	TRUE	FALSE
Cntnap5c	chr17	FALSE	FALSE
Cobl	chr11	TRUE	TRUE
Cobll1	chr2	TRUE	FALSE
Cog2	chr8	FALSE	TRUE
Cog3	chr14	FALSE	TRUE
Cog4	chr8	FALSE	TRUE
Cog5	chr12	TRUE	TRUE
Col14a1	chr15	FALSE	FALSE
Col15a1	chr4	TRUE	FALSE
Col16a1	chr4	FALSE	FALSE
Col19a1	chr1	TRUE	TRUE
Col22a1	chr15	FALSE	FALSE
Col23a1	chr11	FALSE	FALSE
Col25a1	chr3	FALSE	FALSE
Col26a1	chr5	FALSE	FALSE
Col27a1	chr4	FALSE	FALSE
Col28a1	chr6	FALSE	FALSE
Col4a1	chr8	FALSE	FALSE
Col4a2	chr8	FALSE	FALSE
Col4a3	chr1	FALSE	FALSE
Col4a3bp	chr13	FALSE	TRUE
Col4a5	chrX	FALSE	FALSE
Col6a3	chr1	FALSE	FALSE
Col9a1	chr1	TRUE	TRUE
Colgalt2	chr1	FALSE	FALSE
Commd1	chr11	FALSE	FALSE
Commd1b	chr11	FALSE	FALSE
Commd3	chr2	TRUE	TRUE
Cop1	chr1	FALSE	TRUE
Copb1	chr7	FALSE	TRUE
Cops3	chr11	FALSE	TRUE
Copz1	chr15	FALSE	TRUE
Coq10b	chr1	FALSE	TRUE
Coro1c	chr5	FALSE	FALSE
Coro2a	chr4	FALSE	TRUE
Coro2b	chr9	FALSE	TRUE
Cox10	chr11	FALSE	TRUE
Cpa2	chr6	TRUE	TRUE
Cpe	chr8	FALSE	TRUE
Cpeb3	chr19	FALSE	TRUE
Cplane1	chr15	FALSE	TRUE
Cplx1	chr5	FALSE	FALSE
Cpm	chr10	FALSE	FALSE
Cpne2	chr8	FALSE	FALSE
Cpne5	chr17	FALSE	FALSE
Cpsf6	chr10	FALSE	TRUE
Cpt1a	chr19	FALSE	FALSE
Cracr2a	chr6	FALSE	FALSE
Cradd	chr10	FALSE	TRUE
Cramp1l	chr17	FALSE	TRUE
Crb1	chr1	FALSE	FALSE
Crb2	chr2	FALSE	FALSE
Crcp	chr5	FALSE	TRUE
Creb1	chr1	FALSE	TRUE
Creb3	chr4	FALSE	TRUE
Creb5	chr6	FALSE	TRUE
Crebbp	chr16	FALSE	TRUE
Crebrf	chr17	FALSE	TRUE
Crim1	chr17	FALSE	FALSE
Crip1	chr12	FALSE	FALSE
Crkl	chr16	FALSE	TRUE
Crlf1	chr8	FALSE	FALSE
Crmp1	chr5	FALSE	TRUE
Crnkl1	chr2	FALSE	TRUE
Crocc2	chr1	FALSE	FALSE
Crtc1	chr8	FALSE	TRUE
Cry2	chr2	FALSE	TRUE
Crybg1	chr10	FALSE	FALSE
Crybg3	chr16	FALSE	FALSE
Cryl1	chr14	FALSE	FALSE
Cryzl1	chr16	FALSE	TRUE
Cryzl2	chr1	FALSE	FALSE
Cs	chr10	FALSE	TRUE
Csf2rb2	chr15	FALSE	FALSE
Csgalnact1	chr8	FALSE	FALSE
Csgalnact2	chr6	FALSE	TRUE
Csmd2	chr4	FALSE	FALSE
Csnk1g1	chr9	FALSE	TRUE
Csnk1g3	chr18	FALSE	TRUE
Csrnp3	chr2	FALSE	TRUE
Cst8	chr2	TRUE	TRUE
Cstf3	chr2	FALSE	TRUE
Ctc1	chr11	FALSE	TRUE
Ctcf	chr8	FALSE	TRUE
Ctf1	chr7	TRUE	TRUE
Cth	chr3	FALSE	FALSE
Ctif	chr18	FALSE	TRUE
Ctnna1	chr18	FALSE	TRUE
Ctnna3	chr10	TRUE	TRUE
Ctnnal1	chr4	FALSE	TRUE
Ctnnbl1	chr2	FALSE	TRUE
Ctnnd1	chr2	FALSE	TRUE
Ctnnd2	chr15	FALSE	TRUE
Ctps	chr4	FALSE	TRUE
Ctsb	chr14	FALSE	TRUE
Cttnbp2	chr6	FALSE	FALSE
Cttnbp2nl	chr3	FALSE	TRUE
Cul1	chr6	FALSE	TRUE
Cul3	chr1	FALSE	TRUE
Cul5	chr9	FALSE	TRUE
Cutc	chr19	FALSE	TRUE
Cux2	chr5	FALSE	FALSE
Cwc27	chr13	TRUE	TRUE
Cwf19l1	chr19	FALSE	TRUE
Cxxc5	chr18	FALSE	TRUE
Cyb5b	chr8	FALSE	TRUE
Cyb5r4	chr9	FALSE	TRUE
Cyfip1	chr7	FALSE	TRUE
Cyfip2	chr11	FALSE	TRUE
Cyp19a1	chr9	FALSE	FALSE
Cyp2d22	chr15	FALSE	FALSE
Cyp4f39	chr17	FALSE	FALSE
Cystm1	chr18	FALSE	TRUE
Cyth4	chr15	FALSE	FALSE
Cytip	chr2	TRUE	TRUE
D130043K22Rik	chr13	FALSE	FALSE
D17H6S53E	chr17	TRUE	TRUE
D1Ertd622e	chr1	FALSE	TRUE
D430041D05Rik	chr2	FALSE	FALSE
D430042O09Rik	chr7	FALSE	FALSE
D5Ertd579e	chr5	FALSE	TRUE
D630003M21Rik	chr2	FALSE	FALSE
D630045J12Rik	chr6	FALSE	TRUE
D7Ertd443e	chr7	TRUE	FALSE
Dab1	chr4	TRUE	TRUE
Dach1	chr14	TRUE	FALSE
Dact3	chr7	FALSE	FALSE
Dag1	chr9	FALSE	TRUE
Dagla	chr19	FALSE	FALSE
Dapk1	chr13	FALSE	FALSE
Daw1	chr1	TRUE	TRUE
Dazl	chr17	TRUE	TRUE
Dbh	chr2	FALSE	FALSE
Dbn1	chr13	FALSE	FALSE
Dcaf12	chr4	FALSE	TRUE
Dcaf5	chr12	FALSE	TRUE
Dcaf6	chr1	FALSE	TRUE
Dcdc2c	chr12	FALSE	FALSE
Dchs2	chr3	FALSE	FALSE
Dclk1	chr3	TRUE	TRUE
Dclk2	chr3	TRUE	TRUE
Dcp2	chr18	FALSE	TRUE
Dcstamp	chr15	TRUE	TRUE
Dctn1	chr6	FALSE	TRUE
Dctn3	chr4	FALSE	TRUE
Ddah1	chr3	FALSE	FALSE
Ddb2	chr2	FALSE	TRUE
Ddhd1	chr14	FALSE	TRUE
Ddit3	chr10	FALSE	TRUE
Ddit3	chr10	FALSE	TRUE
Ddit3	chr10	FALSE	TRUE
Ddit3	chr10	FALSE	TRUE
Ddit4l	chr3	FALSE	FALSE
Ddx10	chr9	FALSE	TRUE
Ddx17	chr15	FALSE	TRUE
Ddx31	chr2	FALSE	FALSE
Ddx46	chr13	FALSE	TRUE
Ddx6	chr9	FALSE	TRUE
Deaf1	chr7	FALSE	TRUE
Decr1	chr4	FALSE	TRUE
Dennd1a	chr2	FALSE	TRUE
Dennd1b	chr1	FALSE	TRUE
Dennd3	chr15	FALSE	FALSE
Dennd4a	chr9	FALSE	TRUE
Dennd4c	chr4	FALSE	TRUE
Dennd5a	chr7	FALSE	TRUE
Dennd5b	chr6	FALSE	TRUE
Dennd6a	chr14	FALSE	TRUE
Dennd6b	chr15	FALSE	TRUE
Denr	chr5	FALSE	TRUE
Depdc1b	chr13	FALSE	FALSE
Depdc5	chr5	FALSE	TRUE
Depdc7	chr2	FALSE	FALSE
Deptor	chr15	FALSE	FALSE
Desi1	chr15	FALSE	TRUE
Dexi	chr16	FALSE	TRUE
Dgcr2	chr16	FALSE	TRUE
Dgkb	chr12	TRUE	TRUE
Dgkd	chr1	FALSE	TRUE
Dgkg	chr16	FALSE	TRUE
Dgkh	chr14	FALSE	TRUE
Dgki	chr6	FALSE	FALSE
Dglucy	chr12	TRUE	TRUE
Dhfr	chr13	FALSE	TRUE
Dhh	chr15	FALSE	FALSE
Dhps	chr8	FALSE	TRUE
Dhtkd1	chr2	FALSE	FALSE
Dhx15	chr5	FALSE	TRUE
Dhx32	chr7	TRUE	TRUE
Dhx33	chr11	FALSE	TRUE
Dhx34	chr7	FALSE	TRUE
Dhx35	chr2	FALSE	FALSE
Dhx58	chr11	FALSE	FALSE
Diaph3	chr14	FALSE	TRUE
Dicer1	chr12	FALSE	FALSE
Dido1	chr2	FALSE	TRUE
Dip2b	chr15	FALSE	TRUE
Dip2c	chr13	FALSE	FALSE
Dipk1a	chr5	FALSE	TRUE
Dipk2b	chrX	TRUE	TRUE
Dis3	chr14	FALSE	TRUE
Dis3l2	chr1	FALSE	TRUE
Disp1	chr1	FALSE	FALSE
Disp3	chr4	FALSE	FALSE
Dkk3	chr7	FALSE	TRUE
Dlc1	chr8	TRUE	FALSE
Dlg2	chr7	TRUE	TRUE
Dlg5	chr14	FALSE	FALSE
Dlgap2	chr8	TRUE	FALSE
Dlgap4	chr2	FALSE	FALSE
Dmbx1	chr4	TRUE	FALSE
Dmxl2	chr9	FALSE	TRUE
Dnah11	chr12	TRUE	TRUE
Dnah14	chr1	FALSE	FALSE
Dnah17	chr11	FALSE	FALSE
Dnah6	chr6	FALSE	FALSE
Dnah8	chr17	FALSE	FALSE
Dnaic1	chr4	FALSE	TRUE
Dnaja2	chr8	FALSE	TRUE
Dnaja3	chr16	FALSE	TRUE
Dnajb12	chr10	FALSE	TRUE
Dnajb13	chr7	FALSE	FALSE
Dnajb14	chr3	FALSE	TRUE
Dnajb6	chr5	FALSE	TRUE
Dnajb8	chr6	FALSE	FALSE
Dnajc1	chr2	FALSE	TRUE
Dnajc11	chr4	FALSE	TRUE
Dnajc12	chr10	TRUE	TRUE
Dnajc13	chr9	FALSE	TRUE
Dnajc14	chr10	FALSE	TRUE
Dnajc18	chr18	FALSE	TRUE
Dnajc22	chr15	FALSE	FALSE
Dnajc24	chr2	FALSE	TRUE
Dnajc27	chr12	FALSE	TRUE
Dnajc3	chr14	FALSE	TRUE
Dnajc5	chr2	FALSE	TRUE
Dnajc6	chr4	FALSE	TRUE
Dnm1	chr2	FALSE	TRUE
Dnm2	chr9	FALSE	TRUE
Dnm3	chr1	FALSE	TRUE
Dnmbp	chr19	FALSE	TRUE
Dnmt3a	chr12	FALSE	TRUE
Dnttip1	chr2	FALSE	TRUE
Dock2	chr11	FALSE	FALSE
Dock3	chr9	FALSE	TRUE
Dock4	chr12	FALSE	TRUE
Dock5	chr14	FALSE	FALSE
Dock7	chr4	FALSE	TRUE
Dock8	chr19	FALSE	FALSE
Dock9	chr14	FALSE	TRUE
Dok4	chr8	FALSE	TRUE
Dok6	chr18	FALSE	FALSE
Dok7	chr5	FALSE	FALSE
Dop1a	chr9	FALSE	TRUE
Dop1b	chr16	FALSE	TRUE
Dpp6	chr5	FALSE	TRUE
Dpp9	chr17	FALSE	TRUE
Dppa2	chr16	TRUE	TRUE
Dpt	chr1	TRUE	TRUE
Dpy19l1	chr9	TRUE	TRUE
Dpys	chr15	TRUE	TRUE
Dpysl2	chr14	FALSE	FALSE
Dpysl3	chr18	FALSE	FALSE
Dpysl5	chr5	FALSE	FALSE
Drosha	chr15	FALSE	TRUE
Dsc2	chr18	TRUE	TRUE
Dscam	chr16	FALSE	FALSE
Dsn1	chr2	TRUE	TRUE
Dst	chr1	FALSE	TRUE
Dtd1	chr2	FALSE	TRUE
Dtna	chr18	FALSE	TRUE
Dtnb	chr12	FALSE	TRUE
Dtwd2	chr18	FALSE	TRUE
Dusp1	chr17	TRUE	TRUE
Dusp22	chr13	FALSE	FALSE
Dym	chr18	FALSE	TRUE
Dynlrb2	chr8	TRUE	TRUE
Dyrk1a	chr16	FALSE	TRUE
Dysf	chr6	FALSE	FALSE
Dytn	chr1	FALSE	FALSE
Dzip1	chr14	FALSE	FALSE
Dzip1l	chr9	FALSE	FALSE
E130308A19Rik	chr4	FALSE	TRUE
E2f1	chr2	TRUE	TRUE
E2f2	chr4	FALSE	FALSE
E4f1	chr17	FALSE	TRUE
Eaf2	chr16	FALSE	TRUE
Ebag9	chr15	TRUE	TRUE
Ebf2	chr14	FALSE	FALSE
Ebf4	chr2	FALSE	FALSE
Ece1	chr4	FALSE	TRUE
Ecpas	chr4	FALSE	TRUE
Eda	chrX	FALSE	FALSE
Edar	chr10	FALSE	FALSE
Edaradd	chr13	FALSE	FALSE
Edc3	chr9	FALSE	TRUE
Edem1	chr6	FALSE	TRUE
Edem3	chr1	FALSE	TRUE
Edil3	chr13	FALSE	FALSE
Eea1	chr10	FALSE	TRUE
Eef1a1	chr9	TRUE	TRUE
Eefsec	chr6	FALSE	FALSE
Eepd1	chr9	TRUE	TRUE
Efcab14	chr4	FALSE	TRUE
Efcab2	chr1	TRUE	TRUE
Efcab6	chr15	FALSE	FALSE
Efna1	chr3	TRUE	TRUE
Efnb2	chr8	FALSE	FALSE
Efr3b	chr12	TRUE	TRUE
Efs	chr14	FALSE	FALSE
Eftud2	chr11	FALSE	TRUE
Egfem1	chr3	FALSE	FALSE
Ehd4	chr2	FALSE	TRUE
Ehmt1	chr2	FALSE	TRUE
Eif2ak1	chr5	FALSE	TRUE
Eif2ak4	chr2	FALSE	TRUE
Eif3h	chr15	FALSE	TRUE
Eif3l	chr15	FALSE	TRUE
Eif4a1	chr11	FALSE	TRUE
Eif4b	chr15	FALSE	TRUE
Eif4enif1	chr11	FALSE	TRUE
Eif4g2	chr7	FALSE	TRUE
Eif4g3	chr4	FALSE	FALSE
Eif5a	chr11	FALSE	TRUE
Eif5b	chr1	FALSE	TRUE
Eipr1	chr12	FALSE	TRUE
Elavl1	chr8	FALSE	TRUE
Elavl2	chr4	FALSE	FALSE
Elavl3	chr9	FALSE	TRUE
Elf2	chr3	FALSE	TRUE
Elk3	chr10	TRUE	TRUE
Ell	chr8	FALSE	TRUE
Ell2	chr13	FALSE	FALSE
Elmo1	chr13	TRUE	TRUE
Elovl2	chr13	FALSE	FALSE
Elovl5	chr9	FALSE	TRUE
Elovl6	chr3	FALSE	TRUE
Elovl7	chr13	FALSE	TRUE
Elp2	chr18	FALSE	TRUE
Elp3	chr14	FALSE	FALSE
Elp4	chr2	TRUE	TRUE
Emc1	chr4	FALSE	TRUE
Emc2	chr15	FALSE	TRUE
Emc3	chr6	FALSE	TRUE
Emcn	chr3	TRUE	TRUE
Eme2	chr17	FALSE	TRUE
Emid1	chr11	FALSE	TRUE
Eml4	chr17	FALSE	TRUE
Eml5	chr12	FALSE	TRUE
Eml6	chr11	FALSE	TRUE
Emp1	chr6	FALSE	FALSE
Emsy	chr7	FALSE	TRUE
Enah	chr1	FALSE	FALSE
Enox1	chr14	FALSE	FALSE
Enox2	chrX	FALSE	TRUE
Enpep	chr3	FALSE	FALSE
Enpp2	chr15	FALSE	FALSE
Ensa	chr3	FALSE	TRUE
Eomes	chr9	TRUE	TRUE
Ep400	chr5	FALSE	TRUE
Epas1	chr17	FALSE	FALSE
Epb41l1	chr2	FALSE	TRUE
Epb41l2	chr10	FALSE	FALSE
Epb41l3	chr17	FALSE	TRUE
Epb41l4b	chr4	FALSE	TRUE
Epc1	chr18	FALSE	TRUE
Epc2	chr2	FALSE	TRUE
Epha10	chr4	FALSE	FALSE
Epha3	chr16	TRUE	TRUE
Epha4	chr1	FALSE	FALSE
Epha5	chr5	TRUE	FALSE
Epha7	chr4	TRUE	TRUE
Ephb1	chr9	FALSE	FALSE
Ephb2	chr4	FALSE	FALSE
Epm2a	chr10	FALSE	TRUE
Epn2	chr11	FALSE	TRUE
Eprs	chr1	FALSE	TRUE
Eps15l1	chr8	FALSE	TRUE
Eps8	chr6	FALSE	TRUE
Epyc	chr10	TRUE	TRUE
Erbb4	chr1	TRUE	TRUE
Erc1	chr6	FALSE	TRUE
Erc2	chr14	FALSE	FALSE
Ercc6	chr14	FALSE	TRUE
Ercc6l2	chr13	FALSE	TRUE
Ercc8	chr13	TRUE	TRUE
Ergic1	chr17	FALSE	TRUE
Ergic2	chr6	FALSE	TRUE
Erh	chr12	FALSE	TRUE
Eri3	chr4	FALSE	FALSE
Ermp1	chr19	FALSE	TRUE
Ern1	chr11	FALSE	TRUE
Erp44	chr4	FALSE	TRUE
Esd	chr14	FALSE	TRUE
Esr1	chr10	FALSE	FALSE
Esrrb	chr12	FALSE	FALSE
Esyt2	chr12	FALSE	TRUE
Esyt3	chr9	FALSE	FALSE
Etf1	chr18	FALSE	TRUE
Etnk1	chr6	FALSE	TRUE
Ets1	chr9	FALSE	FALSE
Etv3	chr3	FALSE	TRUE
Eva1c	chr16	FALSE	FALSE
Evc	chr5	FALSE	FALSE
Evc2	chr5	FALSE	FALSE
Evi5	chr5	FALSE	TRUE
Evl	chr12	FALSE	FALSE
Exoc2	chr13	FALSE	TRUE
Exoc3l	chr8	TRUE	TRUE
Exoc3l4	chr12	FALSE	FALSE
Exoc4	chr6	FALSE	TRUE
Exoc6	chr19	FALSE	FALSE
Exoc6b	chr6	FALSE	TRUE
Exph5	chr9	TRUE	TRUE
Ext1	chr15	FALSE	TRUE
Ext2	chr2	FALSE	TRUE
Extl3	chr14	FALSE	TRUE
Eya3	chr4	FALSE	TRUE
Ezr	chr17	FALSE	FALSE
F12	chr13	FALSE	FALSE
F830045P16Rik	chr2	TRUE	TRUE
Faap20	chr4	FALSE	TRUE
Fabp12	chr3	FALSE	FALSE
Fabp6	chr11	FALSE	TRUE
Fads6	chr11	FALSE	TRUE
Faf1	chr4	FALSE	TRUE
Fam102b	chr3	FALSE	TRUE
Fam107a	chr14	FALSE	FALSE
Fam107b	chr2	TRUE	TRUE
Fam114a1	chr5	FALSE	TRUE
Fam117a	chr11	FALSE	FALSE
Fam120a	chr13	FALSE	TRUE
Fam126a	chr5	FALSE	FALSE
Fam126b	chr1	FALSE	TRUE
Fam129a	chr1	FALSE	FALSE
Fam129b	chr2	FALSE	FALSE
Fam135b	chr15	FALSE	FALSE
Fam13c	chr10	FALSE	TRUE
Fam155a	chr8	FALSE	FALSE
Fam160a2	chr7	FALSE	TRUE
Fam160b2	chr14	FALSE	TRUE
Fam162a	chr16	FALSE	TRUE
Fam163a	chr1	FALSE	FALSE
Fam168a	chr7	FALSE	TRUE
Fam168b	chr1	FALSE	TRUE
Fam172a	chr13	FALSE	FALSE
Fam181b	chr7	FALSE	TRUE
Fam185a	chr5	TRUE	TRUE
Fam192a	chr8	FALSE	TRUE
Fam193a	chr5	FALSE	TRUE
Fam20a	chr11	FALSE	FALSE
Fam20b	chr1	FALSE	TRUE
Fam20c	chr5	FALSE	FALSE
Fam214a	chr9	FALSE	TRUE
Fam219a	chr4	FALSE	TRUE
Fam221a	chr6	FALSE	FALSE
Fam222a	chr5	FALSE	FALSE
Fam222b	chr11	FALSE	TRUE
Fam228a	chr12	FALSE	FALSE
Fam3c	chr6	FALSE	TRUE
Fam49a	chr12	FALSE	FALSE
Fam49b	chr15	FALSE	TRUE
Fam53b	chr7	TRUE	TRUE
Fam71f2	chr6	FALSE	FALSE
Fam72a	chr1	TRUE	TRUE
Fam78a	chr2	FALSE	FALSE
Fam78b	chr1	TRUE	TRUE
Fam81a	chr9	FALSE	FALSE
Fam81b	chr13	TRUE	TRUE
Fam92a	chr4	FALSE	TRUE
Fam92b	chr8	FALSE	FALSE
Fancc	chr13	FALSE	TRUE
Fanci	chr7	FALSE	FALSE
Fancm	chr12	FALSE	TRUE
Far1	chr7	FALSE	TRUE
Far2	chr6	FALSE	FALSE
Farp1	chr14	FALSE	TRUE
Fars2	chr13	FALSE	TRUE
Farsb	chr1	FALSE	TRUE
Fat2	chr11	FALSE	TRUE
Fat3	chr9	FALSE	FALSE
Faxc	chr4	FALSE	TRUE
Fbf1	chr11	FALSE	TRUE
Fbln2	chr6	FALSE	FALSE
Fbxl17	chr17	FALSE	TRUE
Fbxl20	chr11	FALSE	TRUE
Fbxl4	chr4	FALSE	TRUE
Fbxl5	chr5	FALSE	TRUE
Fbxl7	chr15	TRUE	FALSE
Fbxl8	chr8	FALSE	FALSE
Fbxo10	chr4	FALSE	FALSE
Fbxo11	chr17	FALSE	TRUE
Fbxo2	chr4	FALSE	FALSE
Fbxo33	chr12	FALSE	TRUE
Fbxo34	chr14	FALSE	TRUE
Fbxo41	chr6	FALSE	TRUE
Fbxo42	chr4	FALSE	TRUE
Fbxo45	chr16	FALSE	TRUE
Fbxo6	chr4	FALSE	TRUE
Fbxw11	chr11	FALSE	TRUE
Fbxw2	chr2	FALSE	TRUE
Fbxw7	chr3	FALSE	TRUE
Fbxw8	chr5	FALSE	TRUE
Fcho2	chr13	FALSE	TRUE
Fchsd2	chr7	FALSE	TRUE
Fer	chr17	FALSE	TRUE
Fer1l4	chr2	FALSE	FALSE
Fer1l6	chr15	FALSE	FALSE
Fermt2	chr14	FALSE	TRUE
Fez2	chr17	TRUE	TRUE
Fezf2	chr14	FALSE	FALSE
Fgd1	chrX	FALSE	TRUE
Fgd3	chr13	FALSE	FALSE
Fgd4	chr16	FALSE	TRUE
Fgd5	chr6	FALSE	FALSE
Fgf1	chr18	TRUE	TRUE
Fgf12	chr16	FALSE	TRUE
Fgf14	chr14	FALSE	TRUE
Fgf5	chr5	FALSE	TRUE
Fgfr1op2	chr6	FALSE	TRUE
Fgfr2	chr7	FALSE	TRUE
Fgfr3	chr5	FALSE	FALSE
Fgfr4	chr13	FALSE	FALSE
Fhad1	chr4	FALSE	FALSE
Fhdc1	chr3	TRUE	FALSE
Fibcd1	chr2	FALSE	FALSE
Fig4	chr10	FALSE	TRUE
Fignl2	chr15	FALSE	FALSE
Filip1	chr9	FALSE	FALSE
Filip1l	chr16	FALSE	TRUE
Fip1l1	chr5	FALSE	TRUE
Fkbp14	chr6	TRUE	TRUE
Fkbp5	chr17	FALSE	FALSE
Flnb	chr14	FALSE	TRUE
Flot2	chr11	FALSE	TRUE
Flrt3	chr2	TRUE	TRUE
Flt1	chr5	FALSE	FALSE
Flt3	chr5	FALSE	FALSE
Flywch1	chr17	FALSE	TRUE
Fmn1	chr2	FALSE	FALSE
Fmn2	chr1	FALSE	TRUE
Fmnl2	chr2	FALSE	TRUE
Fnbp1	chr2	FALSE	TRUE
Fndc1	chr17	FALSE	FALSE
Fnip2	chr3	FALSE	TRUE
Fntb	chr12	TRUE	TRUE
Focad	chr4	TRUE	TRUE
Fopnl	chr16	FALSE	TRUE
Fosl2	chr5	FALSE	FALSE
Foxj3	chr4	FALSE	TRUE
Foxk1	chr5	FALSE	TRUE
Foxn1	chr11	FALSE	FALSE
Foxn2	chr17	TRUE	TRUE
Foxn3	chr12	FALSE	TRUE
Foxo1	chr3	FALSE	TRUE
Foxo3	chr10	FALSE	TRUE
Foxo6	chr4	FALSE	FALSE
Foxp1	chr6	FALSE	FALSE
Foxp4	chr17	FALSE	FALSE
Frmd4a	chr2	FALSE	FALSE
Frmd6	chr12	TRUE	TRUE
Frmd8	chr19	FALSE	TRUE
Frmpd1	chr4	FALSE	FALSE
Frmpd2	chr14	TRUE	FALSE
Frrs1l	chr4	FALSE	TRUE
Frs2	chr10	FALSE	TRUE
Fry	chr5	FALSE	TRUE
Fryl	chr5	FALSE	TRUE
Fscn2	chr11	FALSE	FALSE
Fsd1	chr17	FALSE	TRUE
Fsip1	chr2	FALSE	FALSE
Fstl4	chr11	FALSE	FALSE
Fto	chr8	FALSE	TRUE
Fut10	chr8	FALSE	TRUE
Fut8	chr12	FALSE	TRUE
Fxyd6	chr9	TRUE	TRUE
Fyco1	chr9	FALSE	TRUE
Fyn	chr10	FALSE	TRUE
Fzd3	chr14	FALSE	TRUE
Fzd7	chr1	TRUE	TRUE
G2e3	chr12	FALSE	TRUE
Gabbr2	chr4	FALSE	FALSE
Gabpb1	chr2	FALSE	TRUE
Gabpb2	chr3	FALSE	TRUE
Gabra1	chr11	FALSE	TRUE
Gabra2	chr5	TRUE	FALSE
Gabrb2	chr11	FALSE	TRUE
Gabrb3	chr7	FALSE	FALSE
Gabrr2	chr4	TRUE	TRUE
Gad1	chr2	FALSE	FALSE
Galc	chr12	FALSE	TRUE
Galnt1	chr18	FALSE	TRUE
Galnt10	chr11	FALSE	FALSE
Galnt13	chr2	FALSE	TRUE
Galnt17	chr5	FALSE	TRUE
Galnt18	chr7	FALSE	TRUE
Galnt2	chr8	FALSE	TRUE
Galnt2l	chr8	FALSE	TRUE
Galnt3	chr2	FALSE	FALSE
Galnt5	chr2	TRUE	TRUE
Galnt7	chr8	TRUE	TRUE
Galnt9	chr5	FALSE	TRUE
Galntl6	chr8	TRUE	TRUE
Gan	chr8	FALSE	TRUE
Gap43	chr16	TRUE	TRUE
Gapvd1	chr2	FALSE	TRUE
Garem1	chr18	FALSE	FALSE
Gars	chr6	FALSE	TRUE
Gart	chr16	FALSE	TRUE
Gas2	chr7	FALSE	FALSE
Gas2l1	chr11	FALSE	FALSE
Gask1b	chr3	FALSE	FALSE
Gata3	chr2	FALSE	FALSE
Gatad2b	chr3	FALSE	TRUE
Gba	chr3	FALSE	TRUE
Gbf1	chr19	FALSE	TRUE
Gbp3	chr3	FALSE	FALSE
Gbp5	chr3	FALSE	FALSE
Gbp7	chr3	FALSE	FALSE
Gcgr	chr11	FALSE	FALSE
Gclc	chr9	FALSE	TRUE
Gcn1	chr5	FALSE	TRUE
Gcnt2	chr13	FALSE	FALSE
Gdap2	chr3	FALSE	TRUE
Gdnf	chr15	TRUE	FALSE
Gdpd1	chr11	FALSE	TRUE
Gdpd5	chr7	FALSE	FALSE
Gem	chr4	FALSE	FALSE
Get1	chr16	TRUE	TRUE
Gfod2	chr8	FALSE	TRUE
Gfpt1	chr6	FALSE	TRUE
Gfra1	chr19	FALSE	FALSE
Gfral	chr9	FALSE	FALSE
Ggta1	chr2	FALSE	FALSE
Ghr	chr15	FALSE	FALSE
Gigyf2	chr1	FALSE	TRUE
Git2	chr5	FALSE	TRUE
Gja5	chr3	TRUE	TRUE
Gjc1	chr11	FALSE	FALSE
Gjc3	chr5	FALSE	FALSE
Gk	chrX	FALSE	TRUE
Gk5	chr9	FALSE	FALSE
Glb1l2	chr9	FALSE	FALSE
Glcci1	chr6	FALSE	TRUE
Glg1	chr8	FALSE	TRUE
Gli2	chr1	FALSE	FALSE
Gli3	chr13	FALSE	FALSE
Glis1	chr4	FALSE	FALSE
Glis3	chr19	FALSE	FALSE
Glod4	chr11	FALSE	TRUE
Glrb	chr3	FALSE	TRUE
Glrx3	chr7	FALSE	TRUE
Gls	chr1	FALSE	TRUE
Glt8d2	chr10	TRUE	TRUE
Gm1043	chr5	FALSE	FALSE
Gm12216	chr11	FALSE	FALSE
Gm14862	chrX	TRUE	TRUE
Gm20498	chr12	FALSE	TRUE
Gm20503	chr4	FALSE	TRUE
Gm20517	chr17	FALSE	TRUE
Gm20518	chr16	FALSE	TRUE
Gm20671	chr5	FALSE	TRUE
Gm20695	chr16	FALSE	FALSE
