seqnames	start	end	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR
chr5	124338099	124339944	1846	*	4.274989374	4.305451752	4.243869885	0.009878417	0.873051966	0.977967411
chr14	70973160	70974099	940	*	4.27500845	3.95254288	4.538401061	-0.200509711	0.050909562	0.362199118
chr2	150786285	150787492	1208	*	4.275020217	4.321944297	4.226518458	0.021022103	0.734739337	0.945628798
chr5	35728344	35729654	1311	*	4.275081879	4.045903365	4.47279566	-0.13199659	0.110829692	0.529727796
chr8	11055394	11057123	1730	*	4.275145275	4.428767684	4.10319357	0.097494111	0.182434276	0.641689488
chr1	89240094	89241271	1178	*	4.275154861	4.452115416	4.073413363	0.098100771	0.197932291	0.660098415
chr9	65264169	65265514	1346	*	4.275233587	4.010928191	4.498533174	-0.170101912	0.069451981	0.426462397
chr15	101057010	101058561	1552	*	4.275322008	4.184545812	4.360722998	-0.047671806	0.463296006	0.851729019
chr13	67107414	67108975	1562	*	4.275359017	4.262347748	4.288253988	-0.005628111	0.927124453	0.988829307
chr11	106487232	106488444	1213	*	4.27538113	4.035903792	4.480708417	-0.114002954	0.159601281	0.61132732
chr6	118898038	118900006	1969	*	4.275391947	3.838051665	4.610538071	-0.421067379	0.006033141	0.086098118
chr1	52816781	52818137	1357	*	4.275409505	4.201447596	4.345763843	-0.037350469	0.55608424	0.88975281
chr13	56946173	56947166	994	*	4.275482717	4.145445167	4.394762304	-0.049981293	0.459161324	0.849853029
chr5	38158706	38159843	1138	*	4.275524602	4.082946194	4.445397747	-0.081139288	0.264353984	0.726715147
chr5	132388357	132389178	822	*	4.275563815	4.027090173	4.487464974	-0.108034639	0.18353576	0.642782562
chr4	19708435	19709610	1176	*	4.275621394	4.189654769	4.356752281	-0.037385184	0.559160327	0.890982142
chr12	98899978	98901533	1556	*	4.275645624	4.121829343	4.414630971	-0.077898159	0.267682545	0.729592802
chr3	156525427	156526775	1349	*	4.275660524	4.945809481	2.98499615	1.808889924	4.52E-10	4.32E-08
chr12	108765433	108767214	1782	*	4.275676249	4.206366828	4.34180801	-0.026623693	0.674089433	0.92853313
chr11	113121402	113122768	1367	*	4.275763762	4.107463196	4.426465988	-0.084526769	0.231518076	0.696048612
chr12	12709081	12711430	2350	*	4.275779629	4.28932162	4.26210932	0.001928566	0.974916967	0.99590295
chr14	41132325	41134242	1918	*	4.275798438	4.246754246	4.304269436	-0.016579138	0.789280457	0.95937383
chr2	82644333	82647179	2847	*	4.275844711	4.537272596	3.956323047	0.182469355	0.063160846	0.406341231
chr2	11098846	11100171	1326	*	4.275855471	4.281192069	4.270499059	0.006135432	0.921209112	0.987858258
chr10	74966358	74967851	1494	*	4.275895153	4.304123756	4.247103171	0.010974206	0.858849541	0.974865758
chr9	119060473	119062074	1602	*	4.275895244	4.149988069	4.391690786	-0.048558673	0.45867088	0.849752085
chr10	97046521	97047439	919	*	4.275925593	4.95757839	2.93958438	1.853266733	2.11E-09	1.79E-07
chr4	126057807	126059784	1978	*	4.275968285	4.195699165	4.352005773	-0.034438979	0.587219017	0.900724219
chr14	104209822	104211149	1328	*	4.275972504	4.573851612	3.90014669	0.2864698	0.02000015	0.204881392
chr11	78947806	78949543	1738	*	4.276075481	4.143434645	4.397541566	-0.055501362	0.407794826	0.823926001
chr11	32865822	32866904	1083	*	4.276078586	4.041150868	4.478054173	-0.133296268	0.104599221	0.515949332
chr6	82652165	82653291	1127	*	4.27610074	3.973152775	4.526341566	-0.171290918	0.071780005	0.433257827
chr8	34374369	34375936	1568	*	4.276128218	4.157272616	4.385932897	-0.048797912	0.458788944	0.849752085
chrX	161771262	161772602	1341	*	4.276147294	4.283143654	4.269116839	-0.000114772	0.998536893	0.999712811
chr2	156007223	156008987	1765	*	4.276175469	4.266468551	4.285817513	-0.003713544	0.951840719	0.992482128
chr7	121864088	121866013	1926	*	4.276207608	4.38804236	4.154969635	0.058658459	0.378658393	0.807009232
chr9	45571040	45573056	2017	*	4.276244973	4.165104749	4.379432349	-0.060897119	0.357399663	0.79441134
chr5	148480344	148481414	1071	*	4.276341749	4.576023159	3.897636301	0.323057635	0.014890995	0.16718313
chr10	76872827	76875012	2186	*	4.276363232	4.247941641	4.304235708	-0.018386201	0.766637406	0.953081181
chr8	23190750	23192052	1303	*	4.276375126	4.037958648	4.480922518	-0.143745748	0.092007223	0.4866522
chr1	190453693	190454948	1256	*	4.276390837	3.981424992	4.521166337	-0.218933612	0.038478044	0.308493722
chr10	127285928	127287248	1321	*	4.276404895	4.107348232	4.427712942	-0.084878891	0.238991128	0.703046906
chr19	38223393	38224932	1540	*	4.276426871	4.353582933	4.194910156	0.037209036	0.55666516	0.890042205
chr5	30917853	30918974	1122	*	4.276476483	4.084240101	4.446083529	-0.09015	0.224416258	0.688508155
chr11	121704689	121705983	1295	*	4.276496319	4.282525556	4.270441778	0.009375451	0.879624371	0.979297741
chr1	74633254	74634991	1738	*	4.276500125	3.996283515	4.511041457	-0.193189286	0.04985719	0.358101524
chr13	34077710	34079142	1433	*	4.276571941	4.400784496	4.14064882	0.064702012	0.334980709	0.779323627
chr12	89808439	89809872	1434	*	4.27657541	4.76937295	3.522263613	1.074644195	1.54E-05	0.000552798
chr1	90085786	90087627	1842	*	4.276615915	4.177762817	4.3691278	-0.038367333	0.546792085	0.886575228
chr5	131581156	131581989	834	*	4.276679364	3.88666114	4.583384945	-0.202772104	0.063020705	0.405733791
chr7	82334902	82336431	1530	*	4.276698752	4.217895253	4.333199023	-0.021048623	0.739090703	0.946735765
chr5	101532382	101534427	2046	*	4.276699325	4.178967423	4.368228577	-0.045987243	0.475300019	0.858073337
chr4	154726671	154728558	1888	*	4.276719331	4.056989758	4.467364042	-0.1082642	0.163695813	0.617174551
chr6	147721160	147722595	1436	*	4.276726959	4.791807816	3.468102045	1.140494537	1.12E-05	0.000414448
chr14	46787265	46788872	1608	*	4.276780817	4.114919013	4.422300748	-0.062130596	0.366156932	0.799105211
chrX	99204208	99205507	1300	*	4.276803711	4.045932554	4.4757753	-0.121194365	0.133549388	0.572202595
chr8	95835998	95837820	1823	*	4.276843658	4.429944934	4.105544751	0.092728975	0.203384596	0.666540658
chr19	5488312	5489454	1143	*	4.276887258	4.399122473	4.143328623	0.060402467	0.364580514	0.798163764
chr2	101722243	101724220	1978	*	4.27689179	4.034455977	4.484388759	-0.15864321	0.070736347	0.430278762
chr2	63456302	63457936	1635	*	4.276956015	4.971125492	2.888778995	1.947148208	3.12E-11	3.71E-09
chr4	49073770	49074145	376	*	4.27696084	4.80629263	3.432035011	0.658847278	0.005546615	0.080720441
chr6	48063802	48065382	1581	*	4.277006479	4.261263384	4.292579634	-0.008269559	0.893276759	0.982248975
chr1	137324742	137325788	1047	*	4.277026997	4.372995828	4.174216452	0.040562743	0.532460789	0.881583855
chr3	104511381	104512447	1067	*	4.27703063	4.119615478	4.41894715	-0.06812711	0.329953287	0.776479576
chr17	35699870	35701420	1551	*	4.277032864	4.354529812	4.195135537	0.028341592	0.653598535	0.922475631
chr4	57255626	57257065	1440	*	4.27709907	4.284599967	4.26955897	0.008152374	0.894306581	0.982458024
chr2	103732133	103733783	1651	*	4.27711687	4.28116242	4.273059944	0.00083109	0.989208324	0.998182245
chr17	33925432	33926845	1414	*	4.277312647	4.071097203	4.457704828	-0.105969687	0.169554963	0.625292169
chr6	101252915	101254533	1619	*	4.277383214	4.366323775	4.182597229	0.050568231	0.43931414	0.840504289
chr7	91542522	91544202	1681	*	4.277433463	4.160421794	4.385662614	-0.060719607	0.364444034	0.798080541
chr4	155382353	155383930	1578	*	4.277449003	4.260587724	4.294115492	-0.005766192	0.925575878	0.988506506
chr12	65073253	65074711	1459	*	4.277459791	4.273102221	4.28180424	-0.002256514	0.970794454	0.995492007
chr19	10031889	10033406	1518	*	4.277478511	4.169414268	4.378009279	-0.039274318	0.543688751	0.885650325
chr18	25670186	25671784	1599	*	4.277496525	3.962427777	4.535939847	-0.236501381	0.03076962	0.269794759
chr4	48616015	48617632	1618	*	4.277537264	4.181321153	4.367735771	-0.05003731	0.443324379	0.842435223
chr1	126432883	126433993	1111	*	4.277558819	4.451909578	4.079203458	0.082536394	0.260964661	0.723963771
chr16	84135810	84136995	1186	*	4.277696043	4.369219175	4.179971118	0.041403473	0.519036365	0.876405255
chr5	39218317	39219177	861	*	4.277696081	4.665274794	3.746131332	0.586495163	0.003042961	0.050235147
chr3	87905898	87907356	1459	*	4.277702816	4.117762084	4.421668444	-0.063101075	0.36318338	0.797632684
chr13	12112901	12114807	1907	*	4.277724435	4.350884266	4.200655517	0.038064807	0.552142821	0.888456139
chr9	24877163	24879090	1928	*	4.277755926	4.138500444	4.404745149	-0.063520998	0.348499408	0.788189232
chr8	114129186	114131677	2492	*	4.277757955	4.128183909	4.413271031	-0.067189759	0.334685598	0.779171949
chr4	99235491	99237463	1973	*	4.277802589	4.209611024	4.342915909	-0.041303359	0.516919906	0.875592086
chr19	46304298	46305604	1307	*	4.277814643	4.389555451	4.156687078	0.060380738	0.368311353	0.800487071
chr10	77165487	77166832	1346	*	4.277829126	4.192014304	4.358824797	-0.044502378	0.49075875	0.863852651
chr9	64059476	64061538	2063	*	4.277831949	4.216455524	4.336703448	-0.025271239	0.685323442	0.931660673
chr4	137484758	137485657	900	*	4.277849278	3.977836403	4.526086379	-0.188187981	0.05443971	0.37570111
chr8	107204974	107206430	1457	*	4.277869611	4.241094934	4.313730145	-0.022403764	0.718371043	0.941542539
chr12	111789318	111790768	1451	*	4.277870519	4.322858465	4.231434423	0.018063654	0.773741872	0.954984489
chr17	15563063	15564787	1725	*	4.277902964	4.266105876	4.289604367	-0.009876398	0.872299061	0.977754042
chr4	138536843	138538599	1757	*	4.277940677	4.070674792	4.459135854	-0.095256447	0.203392939	0.666540898
chr4	82545742	82546595	854	*	4.277944043	4.931234044	3.051094088	1.649025523	9.98E-07	4.77E-05
chr12	85708344	85710047	1704	*	4.277964985	4.249689439	4.305696991	-0.009098973	0.883309826	0.980073723
chr2	92496954	92498417	1464	*	4.277967656	4.263884737	4.291914432	-0.002608295	0.96607329	0.994781094
chr15	67176173	67177523	1351	*	4.277990129	4.173657015	4.375284248	-0.045419393	0.48546265	0.861782809
chr3	28591495	28593094	1600	*	4.278017479	4.016160488	4.4995683	-0.163278945	0.067633086	0.421175467
chr11	59042821	59044367	1547	*	4.278017819	4.212412175	4.340769403	-0.029981523	0.635566362	0.916311325
chr7	78756300	78758466	2167	*	4.278020463	4.341485118	4.211634995	0.041373676	0.516471018	0.875407479
chr1	135127685	135129114	1430	*	4.278024351	4.138183855	4.405499822	-0.065796788	0.329730592	0.776195695
chr16	49970142	49971498	1357	*	4.278069649	4.825318407	3.385633468	1.26755205	2.43E-06	0.000106064
chr12	24680023	24682140	2118	*	4.278070446	4.276290415	4.279848283	-0.000464708	0.994114002	0.998933789
chr4	15481725	15483866	2142	*	4.2781089	4.573243073	3.906650927	0.374208322	0.006986338	0.095970769
chr3	156891189	156893309	2121	*	4.278119511	4.314345552	4.240960354	0.013735488	0.82484804	0.967301352
chr15	101077817	101079539	1723	*	4.278132481	4.084769068	4.448615941	-0.100839808	0.178917462	0.637573208
chr4	152565751	152566858	1108	*	4.278191299	4.167694236	4.380824073	-0.045764559	0.483959514	0.861332471
chr4	139344751	139346348	1598	*	4.278192308	4.209826125	4.343464815	-0.029226445	0.645905587	0.920143305
chr11	78956498	78958087	1590	*	4.278206353	4.136172841	4.407501389	-0.075111814	0.276408745	0.737106822
chr13	53844826	53846046	1221	*	4.27821227	4.760781837	3.547891692	1.030510704	4.38E-05	0.001392644
chr6	143409982	143410685	704	*	4.278213325	4.395124059	4.150986448	0.068176517	0.315622888	0.766653057
chr6	111727935	111728392	458	*	4.278289481	4.436287869	4.100835155	0.076799945	0.284199453	0.742877638
chr3	67606238	67607659	1422	*	4.27830602	4.313133845	4.24261658	0.015587439	0.800518533	0.962005681
chr7	125675473	125676713	1241	*	4.278324141	3.898106372	4.57894974	-0.382886249	0.007184048	0.097994909
chr11	102355674	102356964	1291	*	4.278466666	4.404498614	4.140361635	0.062887775	0.349260057	0.788714487
chrX	73794165	73795701	1537	*	4.278492903	4.122004877	4.419655575	-0.058767603	0.401784116	0.820710496
chr17	46545901	46547686	1786	*	4.278537147	4.168491511	4.380780378	-0.054943662	0.408701811	0.824466584
chr6	18633329	18634722	1394	*	4.278551901	4.305731391	4.250850518	0.008722273	0.889065827	0.981237983
chr9	70542157	70544440	2284	*	4.278611958	4.30700759	4.249646192	0.012933416	0.834535439	0.969296619
chr5	34248838	34250604	1767	*	4.278659182	4.197885493	4.35514928	-0.033047839	0.599688109	0.904526552
chr3	128954000	128955135	1136	*	4.278667556	4.300652448	4.25634245	0.007167967	0.907334967	0.985177342
chr13	46726694	46728275	1582	*	4.278710406	4.055363723	4.472070767	-0.103575047	0.184915901	0.64460436
chr4	151838195	151839886	1692	*	4.27875057	4.157666572	4.390454304	-0.055978359	0.409597285	0.824893823
chr5	35913765	35914521	757	*	4.278769481	3.989212866	4.519812194	-0.076630454	0.337539031	0.781049179
chr5	77398450	77400319	1870	*	4.27883371	4.291512795	4.266042207	0.003923403	0.948904388	0.991924373
chr13	44001657	44003265	1609	*	4.278852473	4.482338782	4.041877174	0.123455126	0.132717566	0.571041269
chr5	91517327	91518961	1635	*	4.278869996	4.106010123	4.433216695	-0.07299086	0.298992004	0.753720508
chr8	114680928	114681408	481	*	4.278898042	4.761821845	3.547756004	1.079279882	1.45E-05	0.000522711
chr4	59546006	59547688	1683	*	4.278928953	4.483751847	4.040137873	0.118124343	0.151060806	0.598447781
chr16	10749979	10751153	1175	*	4.27894857	4.072417897	4.459581832	-0.126191745	0.11361818	0.53528858
chr4	49585280	49586934	1655	*	4.2789645	4.214402618	4.340760514	-0.024816044	0.694722988	0.93437121
chr4	153866580	153868352	1773	*	4.278976393	4.030397847	4.490953792	-0.120008975	0.145998999	0.590570006
chr14	76494178	76496355	2178	*	4.278981216	4.255982134	4.301619399	-0.014254475	0.817305199	0.965490813
chr11	105908399	105910374	1976	*	4.278988722	4.182129264	4.369752359	-0.041367021	0.522311939	0.877376647
chr1	119187481	119188510	1030	*	4.279107682	3.918160999	4.567580276	-0.26234336	0.028452027	0.256888198
chr3	16182490	16183892	1403	*	4.279153014	4.288777935	4.269463449	0.000998357	0.987074285	0.997897882
chr4	41636503	41638193	1691	*	4.279180571	4.319396276	4.237811613	0.020431655	0.742530209	0.947564263
chr4	45284283	45286062	1780	*	4.279182121	4.088775452	4.447363733	-0.079813868	0.271550573	0.733237048
chr13	35742170	35743738	1569	*	4.27918887	4.340422527	4.21524057	0.024904178	0.689168683	0.932761421
chr10	77758216	77760396	2181	*	4.279213172	4.194825072	4.358936716	-0.036659621	0.565710484	0.893715493
chr16	75766356	75767529	1174	*	4.279238183	4.192606679	4.360960975	-0.037952991	0.554429807	0.889173867
chr4	143459018	143460656	1639	*	4.279389842	4.099205401	4.439548279	-0.084125179	0.238615757	0.702530699
chr6	59309027	59310175	1149	*	4.279440545	4.952620196	2.976917238	1.785634774	2.30E-08	1.60E-06
chr4	5792993	5794712	1720	*	4.279472261	4.081377554	4.453621677	-0.100282027	0.176221439	0.634024993
chr6	31525451	31526842	1392	*	4.279517737	4.19942727	4.355394897	-0.039699043	0.532518048	0.881615117
chr5	24952927	24954470	1544	*	4.279544979	4.105498025	4.434837176	-0.084646482	0.23452514	0.698434826
chr19	55598965	55600439	1475	*	4.279571295	3.911357869	4.572657672	-0.345650601	0.010603395	0.131189949
chr7	98135136	98136656	1521	*	4.279600689	3.988260879	4.521876559	-0.178641487	0.060356651	0.397241428
chr12	26143323	26144516	1194	*	4.279772555	4.554461767	3.940183788	0.269583366	0.0219994	0.218029476
chr11	118938085	118938643	559	*	4.279806904	4.974397843	2.889843644	1.90190017	6.00E-10	5.62E-08
chr15	12214996	12216529	1534	*	4.279810633	4.160138382	4.390311898	-0.060676097	0.360455965	0.79627859
chr19	10841879	10843595	1717	*	4.279852823	4.096291748	4.442672731	-0.093104799	0.209093334	0.672373469
chr7	125919237	125920759	1523	*	4.279871008	4.009255139	4.507654471	-0.15874723	0.076571874	0.44719997
chr3	10012243	10012654	412	*	4.279877009	4.138319955	4.408777154	-0.066986583	0.326211023	0.7738453
chr8	14991785	14992976	1192	*	4.27993039	4.517451719	3.995445387	0.173640758	0.06299438	0.405692869
chr2	54435515	54437120	1606	*	4.279938385	4.09492293	4.443901214	-0.077208731	0.28667286	0.744843068
chr15	31223846	31224737	892	*	4.279966264	4.05234927	4.476517393	-0.11224837	0.153868834	0.602490483
chr5	101496909	101498728	1820	*	4.280002147	4.106636559	4.434751815	-0.084724585	0.234250692	0.698047165
chr9	62272547	62273659	1113	*	4.280003764	4.37024125	4.183743297	0.050494654	0.436366864	0.839254277
chr5	114406331	114407728	1398	*	4.280066795	4.25836585	4.301446147	-0.004653122	0.940666505	0.990941098
chr14	32475470	32476024	555	*	4.280072627	4.525177546	3.984627769	0.230904648	0.03061924	0.268873279
chr13	72062214	72064172	1959	*	4.280103001	4.269063921	4.291058254	-0.005044233	0.934598306	0.990104108
chr3	25129809	25130394	586	*	4.280105895	4.397848474	4.151893175	0.043230591	0.519073152	0.876430069
chr6	121466625	121467632	1008	*	4.280124786	4.4318619	4.110532191	0.100299209	0.173176417	0.630007528
chr5	147134796	147135777	982	*	4.28015328	3.915035763	4.571278656	-0.221729633	0.045876878	0.341500557
chr5	65098961	65099825	865	*	4.280179516	4.807939232	3.439321088	1.206262552	1.83E-05	0.000644173
chr4	123916930	123918560	1631	*	4.280225066	4.15779155	4.393076231	-0.050285453	0.443985104	0.842809707
chr5	26903803	26905170	1368	*	4.28022909	4.258165174	4.301960647	-0.019173148	0.756049351	0.950602277
chr10	97034229	97035067	839	*	4.28024311	4.641604213	3.796989893	0.469138481	0.006191016	0.087835795
chr15	87965083	87966636	1554	*	4.280249923	4.220807087	4.337340171	-0.032253663	0.608503466	0.907133857
chr14	75482006	75484058	2053	*	4.280290564	4.252776396	4.307289805	-0.015559713	0.802427428	0.962253987
chr8	121257732	121258653	922	*	4.280403709	4.243314446	4.31656332	-0.018261825	0.767542854	0.953166627
chr16	5202600	5204021	1422	*	4.280447291	4.412194513	4.13544863	0.067684949	0.315965769	0.766868776
chr8	40864613	40866530	1918	*	4.280455591	4.134390075	4.413082855	-0.070449345	0.307134681	0.760093451
chr16	92197348	92198280	933	*	4.280514448	4.558957237	3.935160755	0.24326063	0.031232771	0.272118686
chr2	128544158	128545805	1648	*	4.28053695	4.241261407	4.318771541	-0.024873373	0.691229432	0.933375132
chr4	131587442	131588074	633	*	4.280590781	4.411536065	4.136563038	0.075106474	0.28455964	0.743225824
chr19	42271292	42273008	1717	*	4.280621084	4.110434419	4.432833475	-0.092787795	0.209826906	0.673189691
chr14	76761801	76763042	1242	*	4.280649919	4.307814309	4.252964221	0.013422667	0.828094321	0.967835403
chr16	63809066	63809892	827	*	4.280651323	4.669887245	3.745947593	0.174581975	0.108207377	0.524327084
chr1	133875454	133877168	1715	*	4.28067778	4.549146381	3.950559819	0.218912121	0.038875957	0.310236498
chr8	116236823	116238159	1337	*	4.280730153	4.384118493	4.169356742	0.053869204	0.409912151	0.824967329
chr5	136881741	136883368	1628	*	4.280736219	4.162799433	4.389756292	-0.047739645	0.46398882	0.852105204
chr8	117338585	117339823	1239	*	4.280794203	4.182352381	4.372945807	-0.041555905	0.516355274	0.875357245
chr4	149043589	149044950	1362	*	4.280826994	3.860851735	4.605709653	-0.316622083	0.019389167	0.200587889
chr18	75295342	75297347	2006	*	4.280833228	4.226469561	4.333222536	-0.019214247	0.757743832	0.950995287
chr5	106079662	106081804	2143	*	4.280871114	4.419236713	4.127813672	0.095075539	0.190185127	0.651007128
chr11	80993230	80994797	1568	*	4.280875813	4.292462386	4.269195432	0.00520714	0.932309298	0.989542913
chr4	133527751	133529108	1358	*	4.280894696	4.260843982	4.300670558	-0.005694633	0.92660709	0.988735774
chr11	77762785	77764403	1619	*	4.280908613	4.229111436	4.330910387	-0.021855743	0.729673839	0.94442578
chr11	61468424	61469659	1236	*	4.280916663	4.284251364	4.277574236	0.003956088	0.948617233	0.991891988
chr1	179445249	179446758	1510	*	4.280942762	4.479465878	4.050675516	0.110990714	0.16283796	0.616048942
chr10	120226428	120228169	1742	*	4.280978227	4.169571538	4.384395242	-0.041488352	0.521887501	0.877176904
chr13	51170676	51172043	1368	*	4.281031083	3.993690048	4.520538027	-0.13245714	0.127796069	0.561930271
chr18	51158702	51159044	343	*	4.28120379	4.33756701	4.222548731	0.023315791	0.712384457	0.939615702
chr2	180256959	180257884	926	*	4.28121351	4.228215999	4.332332941	-0.026908941	0.669450556	0.926945902
chr3	154269861	154271554	1694	*	4.281228161	4.268887464	4.293464191	-0.012011877	0.846140959	0.971681967
chr5	88813859	88815895	2037	*	4.281262915	4.062199993	4.471405816	-0.124367457	0.120870407	0.549340221
chr14	71245860	71247263	1404	*	4.281274003	4.151856293	4.400031914	-0.050057247	0.45105138	0.846226023
chr7	25658604	25659509	906	*	4.281278069	4.138387842	4.411282558	-0.083011871	0.23956276	0.703869696
chr14	52313657	52315361	1705	*	4.281281958	4.240846508	4.320614925	-0.018047003	0.772860534	0.954765631
chr9	119634346	119635751	1406	*	4.281284664	4.070956149	4.464815145	-0.118348434	0.130156291	0.566577142
chr14	56260251	56262508	2258	*	4.281294083	4.193958917	4.363642745	-0.034004271	0.591909951	0.902205917
chr11	6902743	6903425	683	*	4.28130181	4.897756606	3.182477476	1.592550427	1.88E-09	1.62E-07
chr4	120890692	120892115	1424	*	4.281324214	4.370821451	4.185905688	0.050700683	0.43323992	0.838403864
chr11	72012755	72013938	1184	*	4.281342806	4.18586807	4.370889489	-0.04843308	0.454514643	0.847944742
chr5	132507164	132508677	1514	*	4.281362126	3.982397014	4.528882277	-0.176498019	0.067894368	0.42182948
chr16	90809937	90811116	1180	*	4.281386869	3.999486291	4.51710566	-0.17446996	0.06291492	0.405439578
chr7	31137965	31139830	1866	*	4.281403557	4.417877034	4.130658411	0.066151978	0.337729204	0.781192262
chr12	38593577	38594522	946	*	4.281426884	4.785586606	3.499781414	0.987268784	0.000343097	0.008259407
chr5	35740147	35741788	1642	*	4.281453539	4.310490793	4.251819824	0.010553507	0.863881628	0.975877942
chr11	53107841	53108560	720	*	4.281504404	4.087882002	4.452189089	-0.086991565	0.244381308	0.709062083
chr18	59959228	59960718	1491	*	4.281561194	4.698802868	3.692180216	0.647500686	0.001760368	0.032360314
chrX	48158751	48160682	1932	*	4.281592672	4.271350084	4.291763053	-0.006576337	0.916222053	0.987019749
chr2	153482235	153484026	1792	*	4.281640434	4.16147649	4.392560749	-0.054670847	0.407289652	0.823764205
chr5	102069060	102070426	1367	*	4.281656905	4.374326588	4.182623605	0.033996684	0.604019625	0.906025175
chr11	40754827	40756027	1201	*	4.281691866	4.361699406	4.19698549	0.033410193	0.596714819	0.903480175
chr15	78832857	78834500	1644	*	4.281844011	4.239371111	4.323102187	-0.019733815	0.753698786	0.950181495
chr14	57524777	57526564	1788	*	4.2818501	3.992005335	4.523092255	-0.179497064	0.055299565	0.378960847
chr16	91924434	91925945	1512	*	4.28185939	4.242442288	4.320228124	-0.021930017	0.725022666	0.943111305
chr4	67584385	67585535	1151	*	4.281860521	5.0955218	2.236926862	2.569702448	1.11E-11	1.42E-09
chr4	148391433	148392460	1028	*	4.281868197	4.248577018	4.314408454	-0.020069365	0.745691276	0.948282481
chr4	65165183	65166811	1629	*	4.281898303	4.558915932	3.93873792	0.292816426	0.01569861	0.173175169
chr14	70520390	70521428	1039	*	4.281921729	4.190027427	4.368311569	-0.045929859	0.474018279	0.857338508
chr6	99943886	99945254	1369	*	4.281965255	3.969436722	4.53869909	-0.139533781	0.123898186	0.555020771
chr2	138473527	138475050	1524	*	4.281980851	4.950396472	2.998044269	1.798377806	3.80E-09	3.07E-07
chr8	120478899	120479890	992	*	4.282040299	4.173306614	4.383150137	-0.04448459	0.493219512	0.865065493
chr7	96670724	96671633	910	*	4.282065118	3.986779937	4.527060246	-0.131720675	0.134645797	0.573783674
chr9	117144486	117146326	1841	*	4.282087147	4.534846105	3.975436291	0.225922144	0.034090171	0.287295116
chr17	87314435	87315626	1192	*	4.282178414	4.302774189	4.261284352	0.003780283	0.950860391	0.992249817
chr11	73186441	73188096	1656	*	4.28223157	4.216019456	4.345537774	-0.038519165	0.544147696	0.885746937
chr7	125635536	125636531	996	*	4.282236494	4.294893152	4.269467817	0.008844546	0.886494133	0.980841744
chr7	116333553	116334718	1166	*	4.282243136	4.140974916	4.410903778	-0.082011049	0.2397428	0.704048494
chrX	14603035	14604388	1354	*	4.282270246	5.060914658	2.468678627	2.348544346	3.53E-13	5.97E-11
chr15	101209479	101211301	1823	*	4.282297197	4.239908584	4.323475832	-0.021877366	0.726614918	0.943584667
chr12	40463988	40464888	901	*	4.282298201	4.451690059	4.090338304	0.092921597	0.209221171	0.672427266
chr18	76160005	76161582	1578	*	4.282308472	3.99743718	4.520098754	-0.186451841	0.052087746	0.366568068
chr6	19165010	19166544	1535	*	4.282335391	4.941089277	3.035192096	1.741753843	1.99E-08	1.40E-06
chr7	97331848	97333215	1368	*	4.28233674	4.068063884	4.468862015	-0.112768408	0.149060129	0.595329499
chr13	35809843	35810858	1016	*	4.282346351	4.649713945	3.788243588	0.635964371	0.001272795	0.024819862
chr11	114066161	114067353	1193	*	4.282352872	3.993740355	4.522741654	-0.192759857	0.052191468	0.366907364
chr2	25581740	25582867	1128	*	4.28237795	4.073042517	4.465152148	-0.132834626	0.102924783	0.512328783
chr5	39831254	39832051	798	*	4.282403769	4.315729576	4.248289908	0.016709016	0.790414714	0.959696014
chr17	24157017	24158777	1761	*	4.282403847	4.304251553	4.260220192	0.009782959	0.875546033	0.978383195
chr6	145961138	145962187	1050	*	4.282414177	4.320412707	4.243387684	0.021188753	0.733772721	0.945439578
chr19	4332729	4334900	2172	*	4.282415285	4.151206895	4.402679158	-0.063891227	0.339298991	0.782153051
chr11	115256525	115258324	1800	*	4.282429034	4.323725231	4.239915839	0.016356642	0.792497199	0.960233795
chr1	91365200	91366702	1503	*	4.282433906	4.213433659	4.348284139	-0.027725984	0.66197686	0.924928735
chr12	76564147	76565312	1166	*	4.28246149	4.126734467	4.423004731	-0.073241009	0.289174503	0.746615988
chr9	47877832	47879297	1466	*	4.282510028	4.04616282	4.485533323	-0.110367309	0.169174841	0.624719106
chr4	124511037	124512548	1512	*	4.282512517	4.291220895	4.273751254	0.002924696	0.961950996	0.994092053
chr3	100993204	100994831	1628	*	4.282527652	4.066443856	4.470423091	-0.102867706	0.180417614	0.639458429
chr9	108136737	108138476	1740	*	4.282623768	4.257638087	4.307184085	-0.006523176	0.915391012	0.986727549
chr14	27269933	27270598	666	*	4.282660316	4.597031595	3.880130209	0.389008152	0.007957483	0.105728699
chr2	85213265	85214242	978	*	4.28266779	4.493268625	4.03598135	0.185362402	0.048357543	0.352388518
chr11	8468027	8469115	1089	*	4.282707786	4.200756306	4.360253221	-0.031886167	0.614542925	0.909566187
chr1	158161969	158163630	1662	*	4.282708599	4.620522173	3.840800309	0.471611468	0.004768418	0.071676465
chr6	72605681	72607452	1772	*	4.28276788	4.314731247	4.250080277	0.016643554	0.78919049	0.959336084
chr6	48873776	48874949	1174	*	4.282794857	4.13216335	4.419175203	-0.068384338	0.323031831	0.771687887
chr11	107355369	107356759	1391	*	4.282860479	4.50942323	4.013967286	0.203061543	0.037759116	0.305113703
chr16	74311305	74312637	1333	*	4.282882277	4.620266251	3.841711225	0.434260884	0.00646504	0.090709459
chr17	85336124	85337888	1765	*	4.282891213	4.363947127	4.197008762	0.037103899	0.557903884	0.890572974
