gene_name	chr	in_a_compartment	mch_sig
Mlec	chr5	TRUE	TRUE
Gm20695	chr16	TRUE	TRUE
Krt80	chr15	TRUE	TRUE
Ncbp3	chr11	TRUE	TRUE
Acsf2	chr11	TRUE	TRUE
Tmem87b	chr2	TRUE	TRUE
Uox	chr3	TRUE	TRUE
Baz1b	chr5	TRUE	TRUE
Mrgpre	chr7	TRUE	TRUE
Ckap5	chr2	TRUE	TRUE
Cttnbp2	chr6	FALSE	TRUE
Ptpn2	chr18	TRUE	TRUE
A630023A22Rik	chr14	TRUE	TRUE
Ackr1	chr1	TRUE	TRUE
Zfp101	chr17	TRUE	TRUE
Ccdc187	chr2	TRUE	TRUE
Arhgef33	chr17	TRUE	TRUE
Picalm	chr7	TRUE	TRUE
Arl13b	chr16	TRUE	TRUE
P2rx4	chr5	TRUE	TRUE
Kcnq5	chr1	FALSE	TRUE
Alpk2	chr18	TRUE	TRUE
Tbc1d32	chr10	TRUE	TRUE
Asap1	chr15	TRUE	TRUE
Clec18a	chr8	TRUE	TRUE
Rnf149	chr1	TRUE	TRUE
Polr3b	chr10	TRUE	TRUE
Atp6v0a1	chr11	TRUE	TRUE
Eif4a1	chr11	TRUE	TRUE
Pcdha9	chr18	FALSE	TRUE
Vmn1r21	chr6	TRUE	TRUE
Hnf4a	chr2	TRUE	TRUE
Enpp2	chr15	FALSE	TRUE
Kdm2b	chr5	TRUE	TRUE
Tjap1	chr17	TRUE	TRUE
Lekr1	chr3	TRUE	TRUE
Rft1	chr14	TRUE	TRUE
Cog4	chr8	TRUE	TRUE
Tcp11l1	chr2	TRUE	TRUE
Pik3r1	chr13	TRUE	TRUE
Lin52	chr12	TRUE	TRUE
P3h4	chr11	TRUE	TRUE
Ankhd1	chr18	TRUE	TRUE
Chrna2	chr14	FALSE	TRUE
Loxl1	chr9	TRUE	TRUE
Ctcf	chr8	TRUE	TRUE
Mpp6	chr6	TRUE	TRUE
Gm45062	chr6	TRUE	TRUE
Pbx3	chr2	TRUE	TRUE
Fosl2	chr5	TRUE	TRUE
Nccrp1	chr7	TRUE	TRUE
Gm14393	chr2	FALSE	TRUE
Lmbrd1	chr1	TRUE	TRUE
Kif5a	chr10	TRUE	TRUE
Fbxo41	chr6	TRUE	TRUE
E2f1	chr2	TRUE	TRUE
Dnajc11	chr4	TRUE	TRUE
Myo10	chr15	TRUE	TRUE
Itpk1	chr12	TRUE	TRUE
Plekhg3	chr12	TRUE	TRUE
Pakap	chr4	FALSE	TRUE
Ercc6l2	chr13	TRUE	TRUE
Mctp1	chr13	TRUE	TRUE
Ubp1	chr9	TRUE	TRUE
Crmp1	chr5	TRUE	TRUE
Olfr1495	chr19	FALSE	TRUE
Gabrr2	chr4	TRUE	TRUE
Ube4b	chr4	TRUE	TRUE
Atp2a2	chr5	TRUE	TRUE
Popdc3	chr10	FALSE	TRUE
Arhgap39	chr15	TRUE	TRUE
Mcm3ap	chr10	TRUE	TRUE
Mapk14	chr17	TRUE	TRUE
CN725425	chr15	TRUE	TRUE
Scn9a	chr2	FALSE	TRUE
Slc26a4	chr12	TRUE	TRUE
Dnajb13	chr7	TRUE	TRUE
Ndc1	chr4	TRUE	TRUE
Qk	chr17	TRUE	TRUE
Eml6	chr11	TRUE	TRUE
Klhl26	chr8	TRUE	TRUE
Pikfyve	chr1	TRUE	TRUE
Col14a1	chr15	FALSE	TRUE
Mindy4	chr6	TRUE	TRUE
Pced1b	chr15	FALSE	TRUE
Cdc42bpg	chr19	TRUE	TRUE
Rimklb	chr6	FALSE	TRUE
Tnfsf8	chr4	FALSE	TRUE
Rnf217	chr10	TRUE	TRUE
Mal	chr2	TRUE	TRUE
Mbtd1	chr11	TRUE	TRUE
Rsph6a	chr7	TRUE	TRUE
Kcnk2	chr1	TRUE	TRUE
Vsig10	chr5	TRUE	TRUE
Cd163	chr6	FALSE	TRUE
Uimc1	chr13	TRUE	TRUE
Cdk19	chr10	TRUE	TRUE
Fam163a	chr1	FALSE	TRUE
Prkd3	chr17	TRUE	TRUE
Kcnk10	chr12	TRUE	TRUE
Acot7	chr4	TRUE	TRUE
Ripor2	chr13	FALSE	TRUE
Elovl5	chr9	TRUE	TRUE
Pcnt	chr10	TRUE	TRUE
Trappc10	chr10	TRUE	TRUE
Desi1	chr15	TRUE	TRUE
Ldb2	chr5	FALSE	TRUE
3110082I17Rik	chr5	TRUE	TRUE
Shc2	chr10	TRUE	TRUE
Ankub1	chr3	TRUE	TRUE
Klhl31	chr9	FALSE	TRUE
Jdp2	chr12	TRUE	TRUE
Kcnmb2	chr3	FALSE	TRUE
Kcnip1	chr11	FALSE	TRUE
Smim5	chr11	TRUE	TRUE
Il27ra	chr8	TRUE	TRUE
P2ry6	chr7	TRUE	TRUE
Otop2	chr11	TRUE	TRUE
F12	chr13	TRUE	TRUE
Ptpn14	chr1	TRUE	TRUE
Sox5	chr6	FALSE	TRUE
Rpia	chr6	FALSE	TRUE
Fat3	chr9	TRUE	TRUE
Dnaic2	chr11	TRUE	TRUE
Bcl2l13	chr6	TRUE	TRUE
Ankib1	chr5	TRUE	TRUE
Cntn1	chr15	TRUE	TRUE
Vkorc1l1	chr5	TRUE	TRUE
Fam228a	chr12	TRUE	TRUE
Heyl	chr4	TRUE	TRUE
Cdc42bpb	chr12	TRUE	TRUE
Qrich1	chr9	TRUE	TRUE
Zeb1	chr18	TRUE	TRUE
Serpina3a	chr12	FALSE	TRUE
Olfr112	chr17	FALSE	TRUE
Gramd2	chr9	TRUE	TRUE
Orc4	chr2	TRUE	TRUE
Svop	chr5	TRUE	TRUE
Rprd2	chr3	TRUE	TRUE
Trip12	chr1	TRUE	TRUE
Nat8f6	chr6	TRUE	TRUE
Nup155	chr15	TRUE	TRUE
Akap10	chr11	TRUE	TRUE
Rap2a	chr14	TRUE	TRUE
Ehd2	chr7	TRUE	TRUE
Foxn2	chr17	TRUE	TRUE
Zfp521	chr18	TRUE	TRUE
Cep70	chr9	FALSE	TRUE
Umad1	chr6	TRUE	TRUE
Grm8	chr6	FALSE	TRUE
Foxk1	chr5	TRUE	TRUE
Cldn1	chr16	FALSE	TRUE
Afmid	chr11	TRUE	TRUE
Stat6	chr10	TRUE	TRUE
Elavl1	chr8	TRUE	TRUE
Faxc	chr4	TRUE	TRUE
Ano7	chr1	TRUE	TRUE
Gata3	chr2	FALSE	TRUE
Cpa2	chr6	TRUE	TRUE
Arhgap27	chr11	TRUE	TRUE
Hcfc2	chr10	TRUE	TRUE
Atp6v0a4	chr6	TRUE	TRUE
Sypl	chr12	TRUE	TRUE
Wasf3	chr5	TRUE	TRUE
Txlnb	chr10	FALSE	TRUE
Hes3	chr4	TRUE	TRUE
Trim29	chr9	FALSE	TRUE
Eif4b	chr15	FALSE	TRUE
Ush1c	chr7	TRUE	TRUE
A4galt	chr15	TRUE	TRUE
Fgfr3	chr5	TRUE	TRUE
Adamts2	chr11	FALSE	TRUE
Wasl	chr6	TRUE	TRUE
Ccz1	chr5	TRUE	TRUE
Pstpip1	chr9	TRUE	TRUE
Nckap1l	chr15	TRUE	TRUE
Fam163b	chr2	TRUE	TRUE
Dchs2	chr3	FALSE	TRUE
Cacng3	chr7	FALSE	TRUE
Trmt9b	chr8	TRUE	TRUE
Hspbap1	chr16	TRUE	TRUE
Ptprz1	chr6	FALSE	TRUE
Edil3	chr13	FALSE	TRUE
Acnat1	chr4	FALSE	TRUE
Klhl3	chr13	TRUE	TRUE
Pwwp2b	chr7	TRUE	TRUE
Scn4b	chr9	TRUE	TRUE
Nek1	chr8	TRUE	TRUE
Capn7	chr14	TRUE	TRUE
Alx4	chr2	TRUE	TRUE
Rfx8	chr1	TRUE	TRUE
Tle4	chr19	TRUE	TRUE
Arl2bp	chr8	TRUE	TRUE
Prss12	chr3	TRUE	TRUE
Srrm1	chr4	TRUE	TRUE
Xylt1	chr7	FALSE	TRUE
Trim55	chr3	TRUE	TRUE
Ago2	chr15	TRUE	TRUE
Lims1	chr10	TRUE	TRUE
Neo1	chr9	TRUE	TRUE
Slc44a3	chr3	TRUE	TRUE
Kif21b	chr1	TRUE	TRUE
Mob1b	chr5	TRUE	TRUE
Hs3st1	chr5	TRUE	TRUE
Atg13	chr2	TRUE	TRUE
Cystm1	chr18	TRUE	TRUE
Uqcc1	chr2	TRUE	TRUE
Parg	chr14	TRUE	TRUE
Tmem184b	chr15	TRUE	TRUE
Ankrd55	chr13	TRUE	TRUE
Itgb3bp	chr4	TRUE	TRUE
Slc47a1	chr11	TRUE	TRUE
Asb3	chr11	TRUE	TRUE
Extl3	chr14	TRUE	TRUE
Ifnar2	chr16	TRUE	TRUE
Osmr	chr15	TRUE	TRUE
Eif4e3	chr6	TRUE	TRUE
Anapc1	chr2	TRUE	TRUE
Col5a2	chr1	FALSE	TRUE
Dgkh	chr14	TRUE	TRUE
Cpq	chr15	FALSE	TRUE
Pkd1l2	chr8	TRUE	TRUE
Fgd4	chr16	TRUE	TRUE
Atp6v1g3	chr1	FALSE	TRUE
Muc2	chr7	TRUE	TRUE
Mettl9	chr7	TRUE	TRUE
Ehhadh	chr16	TRUE	TRUE
Gnai3	chr3	TRUE	TRUE
Snx24	chr18	TRUE	TRUE
Abcg3	chr5	FALSE	TRUE
Dnaaf5	chr5	TRUE	TRUE
Tacc1	chr8	TRUE	TRUE
Slc6a17	chr3	TRUE	TRUE
Olfr954	chr9	FALSE	TRUE
Ano10	chr9	TRUE	TRUE
Wnt7b	chr15	TRUE	TRUE
Psmd12	chr11	TRUE	TRUE
Pdgfc	chr3	FALSE	TRUE
Exog	chr9	TRUE	TRUE
Crisp2	chr17	FALSE	TRUE
Lcp2	chr11	FALSE	TRUE
Ak1	chr2	TRUE	TRUE
Tmbim7	chr5	TRUE	TRUE
Hadh	chr3	TRUE	TRUE
Cdh1	chr8	FALSE	TRUE
Lrrc27	chr7	TRUE	TRUE
Ranbp2	chr10	TRUE	TRUE
Col15a1	chr4	TRUE	TRUE
Cyp19a1	chr9	FALSE	TRUE
Wscd2	chr5	TRUE	TRUE
Cttn	chr7	FALSE	TRUE
Phldb2	chr16	TRUE	TRUE
Wsb2	chr5	TRUE	TRUE
Zc3hav1l	chr6	TRUE	TRUE
Glb1	chr9	FALSE	TRUE
Fgfr4	chr13	TRUE	TRUE
Crem	chr18	TRUE	TRUE
Magi3	chr3	TRUE	TRUE
4931428L18Rik	chr1	FALSE	TRUE
Pdgfa	chr5	TRUE	TRUE
Sema6a	chr18	TRUE	TRUE
Ppp1r16b	chr2	FALSE	TRUE
Stx2	chr5	FALSE	TRUE
Mthfsd	chr8	TRUE	TRUE
Dapp1	chr3	TRUE	TRUE
Cmas	chr6	TRUE	TRUE
Kbtbd11	chr8	TRUE	TRUE
Zfp652	chr11	TRUE	TRUE
Ngf	chr3	FALSE	TRUE
Zbtb6	chr2	TRUE	TRUE
Dnaja2	chr8	TRUE	TRUE
Smarca5	chr8	TRUE	TRUE
Hpca	chr4	TRUE	TRUE
Pla2g4e	chr2	TRUE	TRUE
Baiap3	chr17	TRUE	TRUE
Gm2115	chr7	FALSE	TRUE
Sptb	chr12	TRUE	TRUE
Spint3	chr2	TRUE	TRUE
Adcyap1r1	chr6	TRUE	TRUE
Immp2l	chr12	TRUE	TRUE
Anks4b	chr7	FALSE	TRUE
Smarcc2	chr10	TRUE	TRUE
2700049A03Rik	chr12	TRUE	TRUE
Fam102b	chr3	TRUE	TRUE
Gm5592	chr7	FALSE	TRUE
Prim2	chr1	FALSE	TRUE
Npepps	chr11	TRUE	TRUE
Zfp362	chr4	TRUE	TRUE
Hhipl1	chr12	TRUE	TRUE
Npat	chr9	TRUE	TRUE
Plekho2	chr9	TRUE	TRUE
Aldh5a1	chr13	TRUE	TRUE
Kif21a	chr15	TRUE	TRUE
Kmt2e	chr5	TRUE	TRUE
Adad1	chr3	TRUE	TRUE
Onecut2	chr18	TRUE	TRUE
Wwp2	chr8	TRUE	TRUE
Flywch1	chr17	TRUE	TRUE
Fer	chr17	TRUE	TRUE
P2ry14	chr3	TRUE	TRUE
Fam71f2	chr6	TRUE	TRUE
Rbm27	chr18	TRUE	TRUE
Tph2	chr10	TRUE	TRUE
Gcgr	chr11	TRUE	TRUE
Sycp1	chr3	FALSE	TRUE
Sgsm1	chr5	TRUE	TRUE
Agap2	chr10	TRUE	TRUE
Dctn1	chr6	TRUE	TRUE
Mettl26	chr17	TRUE	TRUE
Smarcal1	chr1	TRUE	TRUE
Cdk13	chr13	TRUE	TRUE
Sult2b1	chr7	TRUE	TRUE
Aknad1	chr3	TRUE	TRUE
Crybg1	chr10	FALSE	TRUE
Adra1b	chr11	FALSE	TRUE
Nck1	chr9	TRUE	TRUE
Sertad4	chr1	TRUE	TRUE
Cabp7	chr11	TRUE	TRUE
Slit3	chr11	TRUE	TRUE
Ppp1cb	chr5	TRUE	TRUE
Frmpd2	chr14	TRUE	TRUE
Trmt13	chr3	TRUE	TRUE
Gmeb1	chr4	TRUE	TRUE
Coro2a	chr4	TRUE	TRUE
Krt5	chr15	FALSE	TRUE
Cdkl1	chr12	TRUE	TRUE
Sesn2	chr4	TRUE	TRUE
Grin3a	chr4	FALSE	TRUE
Clip1	chr5	TRUE	TRUE
Blnk	chr19	TRUE	TRUE
Foxj1	chr11	TRUE	TRUE
Phf12	chr11	TRUE	TRUE
Papln	chr12	TRUE	TRUE
Bahd1	chr2	TRUE	TRUE
Cc2d2a	chr5	TRUE	TRUE
Depdc7	chr2	TRUE	TRUE
Tbc1d10a	chr11	TRUE	TRUE
Hnrnpk	chr13	TRUE	TRUE
Col8a1	chr16	FALSE	TRUE
Slc25a21	chr12	FALSE	TRUE
Agbl4	chr4	FALSE	TRUE
Ajuba	chr14	TRUE	TRUE
Rock2	chr12	TRUE	TRUE
Mapre3	chr5	TRUE	TRUE
Dsn1	chr2	TRUE	TRUE
Tmprss11e	chr5	FALSE	TRUE
Cxcr5	chr9	TRUE	TRUE
Slc6a9	chr4	FALSE	TRUE
Slamf6	chr1	FALSE	TRUE
Kansl1l	chr1	TRUE	TRUE
Aspscr1	chr11	TRUE	TRUE
Sesn1	chr10	TRUE	TRUE
Cttnbp2nl	chr3	TRUE	TRUE
Olfm2	chr9	FALSE	TRUE
6330411D24Rik	chr4	TRUE	TRUE
Tll1	chr8	TRUE	TRUE
Nedd4	chr9	TRUE	TRUE
Lrriq3	chr3	FALSE	TRUE
Pknox1	chr17	TRUE	TRUE
Klc1	chr12	TRUE	TRUE
Pkd1l3	chr8	TRUE	TRUE
Sidt1	chr16	TRUE	TRUE
Epb41l1	chr2	TRUE	TRUE
Abl2	chr1	TRUE	TRUE
Map3k20	chr2	FALSE	TRUE
Rps6ka5	chr12	TRUE	TRUE
Evc2	chr5	FALSE	TRUE
Gm4924	chr10	FALSE	TRUE
Nwd1	chr8	FALSE	TRUE
Tut4	chr4	TRUE	TRUE
Terf2	chr8	TRUE	TRUE
Ano9	chr7	TRUE	TRUE
Kcnh7	chr2	FALSE	TRUE
Spag6l	chr16	FALSE	TRUE
B4galt1	chr4	TRUE	TRUE
3830406C13Rik	chr14	TRUE	TRUE
Ddah1	chr3	TRUE	TRUE
Cdc42ep5	chr7	TRUE	TRUE
Trpc4ap	chr2	TRUE	TRUE
Dexi	chr16	TRUE	TRUE
Gmds	chr13	FALSE	TRUE
Napa	chr7	TRUE	TRUE
Tekt5	chr16	FALSE	TRUE
Fzd6	chr15	FALSE	TRUE
Trip11	chr12	TRUE	TRUE
Lman2	chr13	TRUE	TRUE
Ptprj	chr2	TRUE	TRUE
Lrrc3	chr10	TRUE	TRUE
Whamm	chr7	TRUE	TRUE
Arhgap18	chr10	FALSE	TRUE
Rasl12	chr9	TRUE	TRUE
Prorp	chr12	TRUE	TRUE
Trappc9	chr15	TRUE	TRUE
Qrich2	chr11	TRUE	TRUE
Slc12a6	chr2	TRUE	TRUE
Grb2	chr11	TRUE	TRUE
Atf7ip2	chr16	FALSE	TRUE
Agps	chr2	TRUE	TRUE
Car8	chr4	FALSE	TRUE
Gfpt1	chr6	TRUE	TRUE
Med25	chr7	TRUE	TRUE
Rpgrip1l	chr8	TRUE	TRUE
Phf3	chr1	TRUE	TRUE
Slc28a3	chr13	TRUE	TRUE
Mgam	chr6	FALSE	TRUE
Sgcg	chr14	TRUE	TRUE
Vwa5b1	chr4	TRUE	TRUE
Wnt10a	chr1	TRUE	TRUE
Inpp5b	chr4	TRUE	TRUE
Ablim3	chr18	TRUE	TRUE
Cbln3	chr14	TRUE	TRUE
Vcan	chr13	FALSE	TRUE
Prkdc	chr16	TRUE	TRUE
Hook3	chr8	TRUE	TRUE
Usp44	chr10	TRUE	TRUE
Rap1gap	chr4	TRUE	TRUE
Mtx2	chr2	TRUE	TRUE
H2-Aa	chr17	FALSE	TRUE
Olfml3	chr3	TRUE	TRUE
Tns1	chr1	TRUE	TRUE
Arfgap3	chr15	TRUE	TRUE
Pax4	chr6	TRUE	TRUE
Decr1	chr4	TRUE	TRUE
Cpne2	chr8	TRUE	TRUE
Micos10	chr4	TRUE	TRUE
Gbp3	chr3	TRUE	TRUE
Tmem132e	chr11	FALSE	TRUE
Dnajc17	chr2	TRUE	TRUE
Sohlh2	chr3	TRUE	TRUE
Serp2	chr14	TRUE	TRUE
Cfap45	chr1	TRUE	TRUE
Rab40b	chr11	TRUE	TRUE
Etv3	chr3	TRUE	TRUE
Ift140	chr17	TRUE	TRUE
Enpp7	chr11	TRUE	TRUE
Slc16a14	chr1	TRUE	TRUE
Ensa	chr3	TRUE	TRUE
Fam185a	chr5	FALSE	TRUE
Taf2	chr15	TRUE	TRUE
Ppm1h	chr10	TRUE	TRUE
Slc4a8	chr15	TRUE	TRUE
Mgarp	chr3	TRUE	TRUE
Shc3	chr13	FALSE	TRUE
Ntng1	chr3	TRUE	TRUE
Ace	chr11	TRUE	TRUE
Grem2	chr1	FALSE	TRUE
Bora	chr14	TRUE	TRUE
Lrrc51	chr7	TRUE	TRUE
Nefm	chr14	TRUE	TRUE
Rbpms2	chr9	TRUE	TRUE
Sema7a	chr9	TRUE	TRUE
Adora3	chr3	TRUE	TRUE
Hnf4g	chr3	FALSE	TRUE
Ccm2l	chr2	TRUE	TRUE
Kcnip2	chr19	TRUE	TRUE
Deaf1	chr7	TRUE	TRUE
Ctc1	chr11	TRUE	TRUE
Fam114a1	chr5	TRUE	TRUE
Nfatc2	chr2	TRUE	TRUE
Cyfip2	chr11	TRUE	TRUE
Hmcn1	chr1	TRUE	TRUE
Tmem44	chr16	TRUE	TRUE
Eif5b	chr1	TRUE	TRUE
Stox1	chr10	TRUE	TRUE
Camsap2	chr1	TRUE	TRUE
Slc41a3	chr6	TRUE	TRUE
Ralbp1	chr17	TRUE	TRUE
Sarm1	chr11	TRUE	TRUE
Atr	chr9	TRUE	TRUE
Ush1g	chr11	TRUE	TRUE
Macc1	chr12	FALSE	TRUE
Capn5	chr7	TRUE	TRUE
Pnpla1	chr17	TRUE	TRUE
C130026I21Rik	chr1	FALSE	TRUE
Hs2st1	chr3	TRUE	TRUE
Ramp3	chr11	TRUE	TRUE
Acot3	chr12	TRUE	TRUE
Rapgef4	chr2	TRUE	TRUE
Slc18a1	chr8	FALSE	TRUE
Rasal1	chr5	TRUE	TRUE
Pfkfb2	chr1	TRUE	TRUE
Nufip2	chr11	TRUE	TRUE
Wdr78	chr4	TRUE	TRUE
Wdr41	chr13	TRUE	TRUE
Acss3	chr10	FALSE	TRUE
Ilf3	chr9	TRUE	TRUE
Cwf19l1	chr19	TRUE	TRUE
Col25a1	chr3	FALSE	TRUE
4931428F04Rik	chr8	TRUE	TRUE
Jcad	chr18	FALSE	TRUE
Tcf7l1	chr6	FALSE	TRUE
Man2b1	chr8	TRUE	TRUE
Glrb	chr3	TRUE	TRUE
Ebf4	chr2	TRUE	TRUE
Slc25a46	chr18	TRUE	TRUE
Plekhg6	chr6	TRUE	TRUE
Irak2	chr6	TRUE	TRUE
Shmt1	chr11	TRUE	TRUE
Rnf145	chr11	TRUE	TRUE
Sik1	chr17	TRUE	TRUE
Nap1l4	chr7	TRUE	TRUE
Med24	chr11	TRUE	TRUE
Ctdp1	chr18	TRUE	TRUE
Dpy19l2	chr9	FALSE	TRUE
Atp6v1h	chr1	TRUE	TRUE
Ift80	chr3	TRUE	TRUE
Nxph4	chr10	TRUE	TRUE
Zbtb4	chr11	TRUE	TRUE
Tnfsf13	chr11	TRUE	TRUE
Serpinb6e	chr13	FALSE	TRUE
Arhgap42	chr9	FALSE	TRUE
Ltbp2	chr12	TRUE	TRUE
Rnf180	chr13	FALSE	TRUE
Vegfa	chr17	TRUE	TRUE
Aox2	chr1	FALSE	TRUE
Ror1	chr4	TRUE	TRUE
Ccdc144b	chr3	TRUE	TRUE
Git2	chr5	TRUE	TRUE
Psmf1	chr2	TRUE	TRUE
Gm28551	chr1	TRUE	TRUE
Gm49496	chr13	TRUE	TRUE
Scap	chr9	TRUE	TRUE
Bcas1	chr2	FALSE	TRUE
Cryl1	chr14	TRUE	TRUE
Sfrp5	chr19	TRUE	TRUE
Mbd2	chr18	TRUE	TRUE
Tmem41a	chr16	TRUE	TRUE
Kif14	chr1	TRUE	TRUE
Sparc	chr11	TRUE	TRUE
Slc22a22	chr15	FALSE	TRUE
Srgn	chr10	TRUE	TRUE
F11r	chr1	TRUE	TRUE
Atp8b5	chr4	FALSE	TRUE
Gm42906	chr5	FALSE	TRUE
Tulp4	chr17	TRUE	TRUE
Abi3	chr11	TRUE	TRUE
Prkcq	chr2	FALSE	TRUE
Sbno2	chr10	TRUE	TRUE
Cd8b1	chr6	TRUE	TRUE
Apol11b	chr15	FALSE	TRUE
Sugp1	chr8	TRUE	TRUE
Vmn2r107	chr17	FALSE	TRUE
Nid1	chr13	FALSE	TRUE
Clns1a	chr7	TRUE	TRUE
Nr1d2	chr14	TRUE	TRUE
Yy1	chr12	TRUE	TRUE
Cpt1a	chr19	TRUE	TRUE
Ptar1	chr19	TRUE	TRUE
G2e3	chr12	TRUE	TRUE
Dnajc5	chr2	TRUE	TRUE
Wdr33	chr18	TRUE	TRUE
Tmem52	chr4	TRUE	TRUE
Cxcl17	chr7	TRUE	TRUE
Kat7	chr11	FALSE	TRUE
Mef2b	chr8	TRUE	TRUE
Adam18	chr8	FALSE	TRUE
Gm21961	chr15	TRUE	TRUE
Iqschfp	chr3	FALSE	TRUE
Rhof	chr5	TRUE	TRUE
Pam	chr1	FALSE	TRUE
Map2k1	chr9	TRUE	TRUE
Syt12	chr19	TRUE	TRUE
Zfp853	chr5	TRUE	TRUE
Slco1b2	chr6	FALSE	TRUE
Dctn3	chr4	TRUE	TRUE
Spry2	chr14	TRUE	TRUE
Pros1	chr16	TRUE	TRUE
Stim1	chr7	TRUE	TRUE
Zmym2	chr14	TRUE	TRUE
Prkcd	chr14	TRUE	TRUE
Clcn1	chr6	TRUE	TRUE
Rc3h2	chr2	FALSE	TRUE
Erh	chr12	TRUE	TRUE
Pcbp2	chr15	TRUE	TRUE
Zfp654	chr16	TRUE	TRUE
Vat1l	chr8	TRUE	TRUE
Arfip1	chr3	TRUE	TRUE
Psme4	chr11	TRUE	TRUE
Strn3	chr12	TRUE	TRUE
Ccdc85a	chr11	FALSE	TRUE
Zmiz1	chr14	TRUE	TRUE
Tfip11	chr5	TRUE	TRUE
Scamp2	chr9	TRUE	TRUE
Tmem267	chr13	FALSE	TRUE
Dnajc24	chr2	TRUE	TRUE
Galk2	chr2	FALSE	TRUE
Tiparp	chr3	TRUE	TRUE
Col6a1	chr10	FALSE	TRUE
Colgalt1	chr8	TRUE	TRUE
Rufy2	chr10	TRUE	TRUE
Map3k19	chr1	TRUE	TRUE
Acer3	chr7	TRUE	TRUE
Mboat2	chr12	TRUE	TRUE
Mfsd4a	chr1	TRUE	TRUE
Edem1	chr6	TRUE	TRUE
Ly6g6f	chr17	TRUE	TRUE
Mapk8	chr14	TRUE	TRUE
Phyhd1	chr2	TRUE	TRUE
Apol7b	chr15	FALSE	TRUE
Pitpna	chr11	TRUE	TRUE
Naalad2	chr9	FALSE	TRUE
H1f6	chr13	TRUE	TRUE
Mrc1	chr2	FALSE	TRUE
Atp6v1c2	chr12	TRUE	TRUE
Nim1k	chr13	TRUE	TRUE
Tmem229b	chr12	TRUE	TRUE
Ankmy1	chr1	TRUE	TRUE
Odf3l2	chr10	TRUE	TRUE
Lgals3bp	chr11	TRUE	TRUE
Gm37240	chr3	TRUE	TRUE
Rnf219	chr14	TRUE	TRUE
Otulin	chr15	TRUE	TRUE
Lonp2	chr8	TRUE	TRUE
Sema6c	chr3	TRUE	TRUE
Lamtor1	chr7	TRUE	TRUE
Tbr1	chr2	TRUE	TRUE
Tmem38b	chr4	TRUE	TRUE
Pfkm	chr15	TRUE	TRUE
Gm20517	chr17	TRUE	TRUE
Cdkl3	chr11	TRUE	TRUE
Kirrel	chr3	FALSE	TRUE
Krt71	chr15	FALSE	TRUE
Dhh	chr15	TRUE	TRUE
Eif1	chr11	TRUE	TRUE
Pacrg	chr17	TRUE	TRUE
Snap91	chr9	TRUE	TRUE
Ctsb	chr14	TRUE	TRUE
Plag1	chr4	TRUE	TRUE
Mrpl48	chr7	TRUE	TRUE
Sec22a	chr16	TRUE	TRUE
Gpam	chr19	FALSE	TRUE
Xrcc6	chr15	TRUE	TRUE
St8sia5	chr18	TRUE	TRUE
Ctnna1	chr18	TRUE	TRUE
Htra1	chr7	TRUE	TRUE
Pdk1	chr2	FALSE	TRUE
Ankrd63	chr2	TRUE	TRUE
Ifi44l	chr3	FALSE	TRUE
Wdr95	chr5	TRUE	TRUE
Armh4	chr14	TRUE	TRUE
Zfhx2	chr14	TRUE	TRUE
Slc2a5	chr4	TRUE	TRUE
Zfyve27	chr19	TRUE	TRUE
Mib2	chr4	TRUE	TRUE
Chmp4b	chr2	TRUE	TRUE
Tmc7	chr7	TRUE	TRUE
Epo	chr5	TRUE	TRUE
Cyp2b10	chr7	FALSE	TRUE
Slc1a4	chr11	TRUE	TRUE
Abhd3	chr18	TRUE	TRUE
Fam107a	chr14	TRUE	TRUE
Kcnc2	chr10	FALSE	TRUE
Fer1l4	chr2	TRUE	TRUE
Ift81	chr5	TRUE	TRUE
Gm11099	chr2	TRUE	TRUE
Slc13a3	chr2	TRUE	TRUE
Gm11437	chr11	TRUE	TRUE
Zc3h12c	chr9	TRUE	TRUE
Eci3	chr13	TRUE	TRUE
Usp50	chr2	TRUE	TRUE
Mdn1	chr4	TRUE	TRUE
Gm28778	chr1	TRUE	TRUE
Bdp1	chr13	TRUE	TRUE
Piwil1	chr5	FALSE	TRUE
Zdhhc19	chr16	TRUE	TRUE
Tff3	chr17	TRUE	TRUE
C2cd3	chr7	TRUE	TRUE
Sult4a1	chr15	TRUE	TRUE
Ell2	chr13	FALSE	TRUE
Abcd3	chr3	TRUE	TRUE
Cnga3	chr1	TRUE	TRUE
Ddx46	chr13	TRUE	TRUE
Epg5	chr18	TRUE	TRUE
Fam92b	chr8	TRUE	TRUE
Cabcoco1	chr10	FALSE	TRUE
Tcf7l2	chr19	FALSE	TRUE
Rftn2	chr1	TRUE	TRUE
Cul3	chr1	TRUE	TRUE
Prokr2	chr2	TRUE	TRUE
Crebrf	chr17	TRUE	TRUE
Epha10	chr4	TRUE	TRUE
Dnajb8	chr6	TRUE	TRUE
Arsj	chr3	FALSE	TRUE
Slc30a9	chr5	TRUE	TRUE
Otog	chr7	TRUE	TRUE
Nek5	chr8	FALSE	TRUE
Ccr9	chr9	TRUE	TRUE
Slc25a36	chr9	TRUE	TRUE
Mettl4	chr17	FALSE	TRUE
Vsx1	chr2	TRUE	TRUE
Uso1	chr5	TRUE	TRUE
Stk38l	chr6	TRUE	TRUE
Pogz	chr3	TRUE	TRUE
Map4k3	chr17	TRUE	TRUE
