gene_name	chr	pc_body_polycomb	mch_hyper
Adam24	chr8	FALSE	FALSE
Syn2	chr6	FALSE	TRUE
Gm13089	chr4	FALSE	FALSE
Atg4c	chr4	FALSE	FALSE
Olfr314	chr11	FALSE	FALSE
Olfr1282	chr2	FALSE	FALSE
Tsx	chrX	TRUE	FALSE
Zbtb42	chr12	TRUE	FALSE
Msgn1	chr12	FALSE	FALSE
Gm6337	chr14	FALSE	FALSE
Pom121l2	chr13	TRUE	FALSE
Nsun5	chr5	FALSE	FALSE
Pnmal1	chr7	FALSE	FALSE
Slfn9	chr11	FALSE	FALSE
Lcmt2	chr2	FALSE	FALSE
Fbxo2	chr4	FALSE	FALSE
Gtf3c3	chr1	FALSE	FALSE
Obox8	chr7	FALSE	FALSE
Tcta	chr9	FALSE	FALSE
Loxl2	chr14	TRUE	FALSE
4930430F08Rik	chr10	FALSE	FALSE
Pira2	chr7	FALSE	FALSE
Gm17026	chr14	FALSE	FALSE
Zfyve19	chr2	FALSE	FALSE
Lrrn1	chr6	FALSE	TRUE
Gpr119	chrX	FALSE	FALSE
Apol7e	chr15	FALSE	FALSE
Chadl	chr15	FALSE	FALSE
Olfr205	chr16	FALSE	FALSE
Vmn1r194	chr13	FALSE	FALSE
Rnf222	chr11	FALSE	FALSE
Tmem35b	chr4	FALSE	FALSE
Olfr195	chr16	FALSE	FALSE
Rbm3	chrX	FALSE	FALSE
Igsf10	chr3	FALSE	TRUE
Olfr420	chr1	FALSE	FALSE
Gm14137	chr2	FALSE	FALSE
Gm10945	chr10	FALSE	FALSE
0610010K14Rik	chr11	FALSE	FALSE
Prmt6	chr3	FALSE	FALSE
Dph3	chr14	FALSE	FALSE
Fam228a	chr12	FALSE	FALSE
Olfr575	chr7	FALSE	FALSE
Ddx51	chr5	FALSE	FALSE
Tbca	chr13	FALSE	FALSE
Wfdc6a	chr2	FALSE	FALSE
Mib2	chr4	FALSE	FALSE
Dok7	chr5	FALSE	FALSE
Cops7a	chr6	FALSE	FALSE
Olfr497	chr7	FALSE	FALSE
Col6a1	chr10	FALSE	FALSE
Chmp1a	chr8	FALSE	FALSE
Rpl39l	chr16	FALSE	FALSE
Srpk3	chrX	FALSE	FALSE
Oser1	chr2	FALSE	FALSE
Cmas	chr6	FALSE	FALSE
Prss56	chr1	TRUE	FALSE
Aarsd1	chr11	FALSE	FALSE
Olfr884	chr9	FALSE	FALSE
Ssh2	chr11	FALSE	FALSE
Asb14	chr14	FALSE	FALSE
Bysl	chr17	FALSE	FALSE
Rps6kb1	chr11	FALSE	FALSE
Pla2g2e	chr4	TRUE	FALSE
Ttc9b	chr7	FALSE	FALSE
Nudt14	chr12	FALSE	FALSE
P2ry10	chrX	FALSE	FALSE
Dcstamp	chr15	FALSE	TRUE
Cabp4	chr19	FALSE	FALSE
Gcgr	chr11	FALSE	FALSE
Ehd1	chr19	FALSE	FALSE
Ccdc28b	chr4	FALSE	FALSE
Cabp2	chr19	FALSE	FALSE
S100a13	chr3	TRUE	FALSE
Foxa3	chr7	TRUE	FALSE
Tmem221	chr8	TRUE	FALSE
Olfr1297	chr2	FALSE	FALSE
Olfr922	chr9	FALSE	FALSE
Aftph	chr11	FALSE	FALSE
Hoxa10	chr6	TRUE	FALSE
Dnaja3	chr16	FALSE	FALSE
Dapk3	chr10	FALSE	FALSE
Sost	chr11	TRUE	FALSE
Oas2	chr5	FALSE	FALSE
Fbxo48	chr11	FALSE	FALSE
Ficd	chr5	FALSE	FALSE
Caml	chr13	FALSE	FALSE
Bnip5	chr17	TRUE	FALSE
Gm3752	chr14	FALSE	FALSE
Ano9	chr7	TRUE	FALSE
Tmem9b	chr7	FALSE	FALSE
Mgat4b	chr11	FALSE	FALSE
Fam187b	chr7	TRUE	FALSE
Sybu	chr15	FALSE	TRUE
Apobec1	chr6	FALSE	FALSE
Gipc3	chr10	TRUE	FALSE
Olfr1283	chr2	FALSE	FALSE
D430041D05Rik	chr2	FALSE	FALSE
Slc25a39	chr11	FALSE	FALSE
Zscan26	chr13	FALSE	FALSE
Nrxn1	chr17	FALSE	FALSE
Pak1ip1	chr13	FALSE	FALSE
Olfr1324	chrX	FALSE	TRUE
Trim40	chr17	FALSE	FALSE
Otx2	chr14	FALSE	FALSE
Ints9	chr14	FALSE	FALSE
Pomt2	chr12	FALSE	FALSE
Serpina9	chr12	TRUE	FALSE
Pno1	chr11	FALSE	FALSE
Gm11011	chr2	FALSE	FALSE
Napa	chr7	FALSE	FALSE
Vmn1r90	chr7	FALSE	FALSE
Olfr6	chr7	FALSE	FALSE
Epn3	chr11	FALSE	FALSE
Pvrig	chr5	FALSE	FALSE
Nudt11	chrX	FALSE	FALSE
Gm5640	chrX	FALSE	FALSE
Tle3	chr9	FALSE	FALSE
Rpl24	chr16	FALSE	FALSE
Cacna1g	chr11	FALSE	FALSE
Defb3	chr8	FALSE	FALSE
Col7a1	chr9	FALSE	FALSE
Kif1c	chr11	FALSE	FALSE
Gpr3	chr4	FALSE	FALSE
Arpc4	chr6	FALSE	FALSE
Olfr1499	chr19	FALSE	FALSE
Gm13103	chr4	FALSE	FALSE
Taar3	chr10	FALSE	FALSE
Med25	chr7	FALSE	FALSE
Tnfsf18	chr1	FALSE	TRUE
Rps3	chr7	FALSE	FALSE
Sertad4	chr1	FALSE	FALSE
Il20rb	chr9	FALSE	TRUE
Timm8a1	chrX	FALSE	FALSE
Prg4	chr1	FALSE	FALSE
Mapk1	chr16	FALSE	FALSE
Zfp677	chr17	FALSE	FALSE
Olfr809	chr10	FALSE	FALSE
Sema6c	chr3	FALSE	FALSE
Borcs8	chr8	FALSE	FALSE
Spopl	chr2	FALSE	FALSE
Ube2j2	chr4	FALSE	FALSE
Carlr	chr2	TRUE	FALSE
Med16	chr10	FALSE	FALSE
Scarf2	chr16	TRUE	FALSE
Kcnk7	chr19	FALSE	FALSE
Chdh	chr14	TRUE	FALSE
Gm14305	chr2	FALSE	FALSE
Vmn1r199	chr13	FALSE	FALSE
Tsen34	chr7	FALSE	FALSE
Spryd4	chr10	FALSE	FALSE
Tas2r117	chr6	FALSE	FALSE
Serpinb6d	chr13	FALSE	FALSE
Tgtp2	chr11	FALSE	FALSE
Dio3	chr12	TRUE	FALSE
Olfr1161	chr2	FALSE	FALSE
Mpdu1	chr11	FALSE	FALSE
Cers4	chr8	FALSE	FALSE
Nln	chr13	FALSE	FALSE
Tmem258	chr19	FALSE	FALSE
Olfr616	chr7	FALSE	FALSE
Olfr706	chr7	FALSE	FALSE
Epyc	chr10	FALSE	TRUE
Zfp974	chr7	FALSE	FALSE
Pou2f2	chr7	FALSE	FALSE
Bax	chr7	FALSE	FALSE
Cfb	chr17	TRUE	FALSE
Neu1	chr17	FALSE	FALSE
Olfr513	chr7	FALSE	FALSE
Slc30a1	chr1	FALSE	FALSE
Ccz1	chr5	FALSE	FALSE
Adssl1	chr12	TRUE	FALSE
Zfp263	chr16	FALSE	FALSE
Gabbr2	chr4	FALSE	FALSE
Itpa	chr2	FALSE	FALSE
2300009A05Rik	chr9	FALSE	FALSE
Olfr935	chr9	FALSE	FALSE
Mcts2	chr2	FALSE	FALSE
Mbl1	chr14	FALSE	FALSE
Commd6	chr14	FALSE	FALSE
Gm13101	chr4	FALSE	FALSE
Krtap6-2	chr16	FALSE	FALSE
Cdc42bpg	chr19	FALSE	FALSE
Sval1	chr6	FALSE	FALSE
Gprc5b	chr7	FALSE	FALSE
Timm23	chr14	FALSE	FALSE
Nos1	chr5	FALSE	FALSE
B3galt4	chr17	FALSE	FALSE
Dhrs9	chr2	FALSE	FALSE
Gm3264	chr14	TRUE	FALSE
Gm8011	chr14	FALSE	FALSE
Nxt1	chr2	FALSE	FALSE
Clgn	chr8	FALSE	FALSE
Slc6a12	chr6	TRUE	FALSE
Olfr765	chr10	FALSE	FALSE
Eif4b	chr15	FALSE	FALSE
Olfr518	chr7	FALSE	FALSE
Gcm2	chr13	FALSE	FALSE
Flywch1	chr17	FALSE	FALSE
Acvr1b	chr15	FALSE	FALSE
Tapbpl	chr6	FALSE	FALSE
Scarb2	chr5	FALSE	FALSE
Olfr975	chr9	FALSE	FALSE
Dtx3	chr10	FALSE	FALSE
Rpp21	chr17	FALSE	FALSE
Fhl1	chrX	FALSE	FALSE
Kera	chr10	FALSE	TRUE
Kctd4	chr14	FALSE	FALSE
Unc93a2	chr17	TRUE	FALSE
Chac1	chr2	FALSE	FALSE
Ndrg1	chr15	TRUE	FALSE
Serinc4	chr2	FALSE	FALSE
Gm21083	chr5	FALSE	FALSE
Slc30a3	chr5	TRUE	FALSE
Olfr373	chr8	FALSE	FALSE
Clec12b	chr6	FALSE	FALSE
Mrgpre	chr7	TRUE	FALSE
Olfr628	chr7	FALSE	FALSE
Vmn1r79	chr7	FALSE	FALSE
Olfr1411	chr1	TRUE	FALSE
Aqp7	chr4	TRUE	FALSE
Nlrp4b	chr7	FALSE	FALSE
Trpt1	chr19	FALSE	FALSE
Zfp646	chr7	FALSE	FALSE
Alox12	chr11	TRUE	FALSE
Zfp65	chr13	FALSE	FALSE
Tmprss11g	chr5	FALSE	TRUE
Zfp977	chr7	FALSE	FALSE
Cabp7	chr11	TRUE	FALSE
S1pr1	chr3	TRUE	FALSE
Dtx1	chr5	FALSE	FALSE
Zfp940	chr7	FALSE	FALSE
Krtap8-1	chr16	FALSE	FALSE
Vegfa	chr17	FALSE	FALSE
Olfr645	chr7	FALSE	FALSE
Selenbp1	chr3	FALSE	FALSE
Plekhd1	chr12	FALSE	FALSE
Isl2	chr9	TRUE	FALSE
Esp18	chr17	FALSE	FALSE
Olfr596	chr7	FALSE	FALSE
Zap70	chr1	TRUE	FALSE
Colgalt1	chr8	FALSE	FALSE
Rhox3f	chrX	FALSE	FALSE
Cd209c	chr8	FALSE	FALSE
Pdpr	chr8	FALSE	FALSE
Ppp1r12c	chr7	FALSE	FALSE
Thy1	chr9	FALSE	FALSE
Itih4	chr14	FALSE	FALSE
Tex13c1	chrX	FALSE	FALSE
Il12rb1	chr8	TRUE	FALSE
Eno2	chr6	FALSE	FALSE
Sv2a	chr3	FALSE	FALSE
Erbb2	chr11	TRUE	FALSE
E230025N22Rik	chr18	FALSE	FALSE
Gm15097	chrX	FALSE	FALSE
Cyth4	chr15	TRUE	FALSE
Thtpa	chr14	FALSE	FALSE
Gm28551	chr1	FALSE	FALSE
Wdr24	chr17	FALSE	FALSE
Tecpr1	chr5	FALSE	FALSE
Lum	chr10	FALSE	TRUE
Gm20695	chr16	FALSE	FALSE
Yif1a	chr19	FALSE	FALSE
Olfr850	chr9	FALSE	FALSE
Aldh3b3	chr19	FALSE	FALSE
Alx3	chr3	TRUE	FALSE
Ccdc24	chr4	FALSE	FALSE
Rhox4c	chrX	FALSE	FALSE
Shld3	chr13	FALSE	FALSE
Olfr139	chr11	FALSE	FALSE
Tfap2c	chr2	TRUE	FALSE
Pmaip1	chr18	TRUE	FALSE
Ang4	chr14	FALSE	FALSE
Fbxo27	chr7	FALSE	FALSE
Gm5565	chr5	FALSE	FALSE
Olfr732	chr14	FALSE	FALSE
Cadps	chr14	FALSE	FALSE
Wdr5b	chr16	FALSE	FALSE
Slc10a1	chr12	FALSE	FALSE
Gm3417	chr17	FALSE	FALSE
Gm43064	chr3	FALSE	TRUE
Snrpe	chr1	FALSE	FALSE
Prb1	chr6	FALSE	FALSE
Med13l	chr5	FALSE	FALSE
Foxo6	chr4	TRUE	FALSE
Mark1	chr1	FALSE	FALSE
Gm3138	chr14	FALSE	FALSE
Dhh	chr15	TRUE	FALSE
Crygn	chr5	TRUE	FALSE
Fibcd1	chr2	TRUE	FALSE
Tslp	chr18	TRUE	FALSE
Gm36368	chr18	FALSE	FALSE
Ctc1	chr11	FALSE	FALSE
Serpinb2	chr1	FALSE	TRUE
Asb10	chr5	TRUE	FALSE
Shmt1	chr11	FALSE	FALSE
AL646049.1	chrX	FALSE	FALSE
Tmem237	chr1	FALSE	FALSE
Lrch4	chr5	FALSE	FALSE
Nhlrc4	chr17	FALSE	FALSE
Rad54l	chr4	FALSE	FALSE
E130208F15Rik	chr7	FALSE	FALSE
Cldn34b2	chrX	FALSE	FALSE
Olfr67	chr7	FALSE	FALSE
Pcbp2	chr15	FALSE	FALSE
Gpn3	chr5	FALSE	FALSE
Chrm1	chr19	TRUE	FALSE
Tspan13	chr12	FALSE	FALSE
Klk1b16	chr7	FALSE	FALSE
2010109A12Rik	chr5	FALSE	TRUE
Fam171a2	chr11	FALSE	FALSE
Myl9	chr2	TRUE	FALSE
Cox7a2	chr9	FALSE	FALSE
Sesn2	chr4	FALSE	FALSE
Tubal3	chr13	FALSE	FALSE
Cfp	chrX	FALSE	FALSE
Pmm2	chr16	FALSE	FALSE
Nutm1	chr2	FALSE	FALSE
Npdc1	chr2	FALSE	FALSE
Barx2	chr9	TRUE	FALSE
Vwf	chr6	TRUE	FALSE
Opn4	chr14	FALSE	FALSE
Mrgprd	chr7	FALSE	TRUE
Plekhh3	chr11	FALSE	FALSE
Fgfr4	chr13	TRUE	FALSE
Pex11b	chr3	FALSE	FALSE
Pde6g	chr11	FALSE	FALSE
Gm17374	chr2	FALSE	FALSE
AU018091	chr7	FALSE	FALSE
Mydgf	chr17	FALSE	FALSE
Defb18	chr1	FALSE	FALSE
Gm44790	chr6	FALSE	FALSE
Hsd17b10	chrX	TRUE	FALSE
Myo1f	chr17	FALSE	FALSE
Fam160b2	chr14	FALSE	FALSE
Btnl4	chr17	FALSE	FALSE
Scnn1a	chr6	TRUE	FALSE
1110065P20Rik	chr4	FALSE	FALSE
4930444P10Rik	chr1	TRUE	FALSE
Eci3	chr13	TRUE	FALSE
Man2c1	chr9	FALSE	FALSE
Zfp322a	chr13	FALSE	FALSE
Serpina1c	chr12	FALSE	FALSE
Olfr1391	chr11	FALSE	FALSE
Rhox2c	chrX	FALSE	FALSE
Olfr1053	chr2	FALSE	FALSE
Xlr4a	chrX	FALSE	FALSE
Hrg	chr16	FALSE	FALSE
Gngt2	chr11	FALSE	FALSE
Pip4p1	chr14	FALSE	FALSE
Siah1b	chrX	FALSE	FALSE
Rpl26	chr11	FALSE	FALSE
Hint2	chr4	FALSE	FALSE
9130023H24Rik	chr7	FALSE	FALSE
Prss58	chr6	FALSE	FALSE
Elavl3	chr9	FALSE	FALSE
Zbed4	chr15	FALSE	FALSE
Selplg	chr5	FALSE	FALSE
Zfp101	chr17	FALSE	FALSE
Gm9747	chr1	FALSE	FALSE
AC167036.1	chr1	FALSE	FALSE
Ahcyl2	chr6	FALSE	FALSE
Dtx3l	chr16	FALSE	FALSE
Hoxc4	chr15	TRUE	FALSE
Siglech	chr7	FALSE	FALSE
Aadacl4	chr4	FALSE	FALSE
Ska3	chr14	FALSE	FALSE
Ambra1	chr2	FALSE	FALSE
2310079G19Rik	chr16	FALSE	FALSE
Tbx22	chrX	TRUE	FALSE
Ndn	chr7	FALSE	FALSE
Olfr1484	chr19	FALSE	FALSE
Eif4g2	chr7	FALSE	FALSE
Pag1	chr3	FALSE	FALSE
Hdac6	chrX	FALSE	FALSE
Gm3383	chr14	TRUE	FALSE
Nap1l3	chrX	FALSE	FALSE
Hlf	chr11	FALSE	FALSE
Ly6g6g	chr15	FALSE	FALSE
Mcm7	chr5	FALSE	FALSE
Upf2	chr2	FALSE	FALSE
Scn4b	chr9	TRUE	FALSE
Wipf3	chr6	FALSE	TRUE
Cnpy4	chr5	FALSE	FALSE
Nadk	chr4	FALSE	FALSE
Cldn22	chr8	TRUE	FALSE
Crnkl1	chr2	FALSE	FALSE
Mknk2	chr10	FALSE	FALSE
Grik5	chr7	FALSE	FALSE
Ppp1r3a	chr6	FALSE	FALSE
Mrps21	chr3	FALSE	FALSE
Olfr31	chr14	FALSE	TRUE
Eid3	chr10	FALSE	FALSE
Ddi1	chr9	FALSE	FALSE
H2bc4	chr13	FALSE	TRUE
Zfp329	chr7	FALSE	FALSE
Pacc1	chr1	FALSE	FALSE
Gm39115	chr7	FALSE	FALSE
Gtsf1l	chr2	FALSE	FALSE
Serpina16	chr12	FALSE	FALSE
Fahd2a	chr2	FALSE	FALSE
Grxcr1	chr5	FALSE	TRUE
Zfp523	chr17	FALSE	FALSE
Ndufs6	chr13	FALSE	FALSE
Ubap2l	chr3	FALSE	FALSE
4930564D02Rik	chr3	FALSE	FALSE
Smcp	chr3	FALSE	FALSE
Vmn2r74	chr7	FALSE	FALSE
Gm11756	chr4	FALSE	FALSE
Bahcc1	chr11	FALSE	FALSE
Esp15	chr17	FALSE	FALSE
Sohlh1	chr2	FALSE	FALSE
Rpl13a	chr7	FALSE	FALSE
S100b	chr10	FALSE	FALSE
Tdpoz3	chr3	FALSE	FALSE
Jmjd8	chr17	FALSE	FALSE
Eif3l	chr15	FALSE	FALSE
Ppid	chr3	FALSE	FALSE
Olfr558	chr7	FALSE	FALSE
Tyms	chr5	FALSE	FALSE
Cldn34b4	chrX	FALSE	FALSE
Olfr1257	chr2	FALSE	FALSE
Nkain4	chr2	FALSE	FALSE
H4f16	chr6	FALSE	FALSE
Wap	chr11	FALSE	FALSE
Nanp	chr2	FALSE	FALSE
1700012B09Rik	chr9	TRUE	FALSE
Ramp3	chr11	FALSE	FALSE
Slc39a9	chr12	FALSE	FALSE
Crisp1	chr17	FALSE	FALSE
Tns4	chr11	FALSE	FALSE
Psenen	chr7	FALSE	FALSE
Cc2d1b	chr4	FALSE	FALSE
Oosp3	chr19	FALSE	FALSE
Smim23	chr11	FALSE	FALSE
Kcnj11	chr7	FALSE	FALSE
Cela2a	chr4	FALSE	FALSE
Olfr570	chr7	FALSE	FALSE
Olfr452	chr6	FALSE	FALSE
Xpo4	chr14	FALSE	FALSE
Lmntd2	chr7	FALSE	FALSE
Svep1	chr4	FALSE	TRUE
Fv1	chr4	FALSE	FALSE
Ccrl2	chr9	TRUE	FALSE
Rab39	chr9	FALSE	FALSE
Spata7	chr12	FALSE	FALSE
Fbxo45	chr16	FALSE	FALSE
C130074G19Rik	chr1	TRUE	FALSE
Ablim2	chr5	FALSE	FALSE
Gm11559	chr11	FALSE	FALSE
Mapk7	chr11	FALSE	FALSE
Olfr1427	chr19	FALSE	FALSE
Pirb	chr7	FALSE	FALSE
Mapk1ip1	chr7	FALSE	FALSE
Tex28	chrX	FALSE	FALSE
Olfr1383	chr11	FALSE	FALSE
Olfr1254	chr2	FALSE	FALSE
Olfr814	chr10	FALSE	FALSE
Olfr961	chr9	FALSE	FALSE
Igsf21	chr4	FALSE	FALSE
Bnc1	chr7	TRUE	FALSE
Col9a3	chr2	FALSE	FALSE
Ifna15	chr4	FALSE	FALSE
Atg9b	chr5	FALSE	FALSE
Pgk1	chrX	FALSE	FALSE
Tjap1	chr17	FALSE	FALSE
Olfr427	chr1	FALSE	FALSE
Pld4	chr12	FALSE	FALSE
4930451I11Rik	chr7	FALSE	FALSE
Ehd2	chr7	FALSE	FALSE
Lamb3	chr1	FALSE	TRUE
Thap2	chr10	FALSE	FALSE
Moap1	chr12	FALSE	FALSE
Serpinb1c	chr13	FALSE	FALSE
1700010B08Rik	chr2	FALSE	FALSE
Rflna	chr5	TRUE	FALSE
Gm8108	chr14	TRUE	FALSE
Cldn34b3	chrX	FALSE	FALSE
Gm11437	chr11	FALSE	FALSE
Rpl29	chr9	FALSE	FALSE
Phyhd1	chr2	FALSE	FALSE
Gm17542	chr10	TRUE	FALSE
Ccr7	chr11	TRUE	FALSE
Zswim7	chr11	FALSE	FALSE
Ap5m1	chr14	FALSE	FALSE
Hsd11b2	chr8	FALSE	FALSE
Tcp10c	chr17	FALSE	FALSE
Tssc4	chr7	FALSE	FALSE
Tectb	chr19	FALSE	FALSE
Rhod	chr19	FALSE	FALSE
H2-Oa	chr17	FALSE	FALSE
Micos10	chr4	FALSE	FALSE
Plcb2	chr2	TRUE	FALSE
Spaca3	chr11	FALSE	FALSE
Pappa2	chr1	FALSE	TRUE
Olfr1461	chr19	FALSE	FALSE
Zfp114	chr7	FALSE	FALSE
Ifnk	chr4	TRUE	FALSE
Tbc1d30	chr10	FALSE	FALSE
Zfp54	chr17	FALSE	FALSE
Olfr132	chr17	FALSE	FALSE
Oog4	chr4	FALSE	FALSE
Cd3g	chr9	TRUE	FALSE
Prl3d3	chr13	FALSE	FALSE
Zfp57	chr17	FALSE	FALSE
Gm21761	chr13	FALSE	FALSE
Rfx7	chr9	FALSE	FALSE
Fndc10	chr4	FALSE	FALSE
Gm21988	chr11	FALSE	FALSE
Nomo1	chr7	FALSE	FALSE
Ripply2	chr9	FALSE	FALSE
Dolk	chr2	FALSE	FALSE
Olfr1494	chr19	FALSE	TRUE
Gpr27	chr6	FALSE	FALSE
Gm11595	chr11	FALSE	FALSE
Grid2ip	chr5	TRUE	FALSE
Shank1	chr7	FALSE	FALSE
Dohh	chr10	FALSE	FALSE
Prr7	chr13	TRUE	FALSE
Crkl	chr16	FALSE	FALSE
Gm10775	chr13	FALSE	FALSE
Reg2	chr6	FALSE	FALSE
Crx	chr7	FALSE	FALSE
Angpt1	chr15	FALSE	FALSE
Lingo3	chr10	FALSE	FALSE
Gm17631	chr6	FALSE	FALSE
Zfp606	chr7	FALSE	FALSE
Dhx35	chr2	FALSE	FALSE
Rab25	chr3	FALSE	TRUE
Erp44	chr4	FALSE	FALSE
Klhl31	chr9	FALSE	FALSE
Rsph6a	chr7	TRUE	FALSE
G2e3	chr12	FALSE	FALSE
Kctd3	chr1	FALSE	FALSE
Mrpl20	chr4	FALSE	FALSE
Treml2	chr17	FALSE	FALSE
Phox2b	chr5	TRUE	FALSE
Olfr1352	chr10	FALSE	FALSE
Prrg3	chrX	FALSE	FALSE
Cdx2	chr5	TRUE	FALSE
Megf11	chr9	FALSE	FALSE
Rps17	chr7	FALSE	FALSE
Ttc25	chr11	TRUE	FALSE
Fcer1a	chr1	FALSE	FALSE
Gm10334	chr6	FALSE	FALSE
Sugp1	chr8	FALSE	FALSE
Atp5a1	chr18	FALSE	FALSE
Ang2	chr14	FALSE	FALSE
Cxxc1	chr18	FALSE	FALSE
Trim71	chr9	TRUE	FALSE
Ptprcap	chr19	FALSE	FALSE
Igsf1	chrX	TRUE	FALSE
Svs1	chr6	FALSE	FALSE
U2af1l4	chr7	FALSE	FALSE
Rex1bd	chr8	FALSE	FALSE
Agap2	chr10	FALSE	FALSE
Ppp1r1b	chr11	FALSE	FALSE
C130073F10Rik	chr4	FALSE	FALSE
Mgll	chr6	FALSE	TRUE
Tmem29	chrX	FALSE	FALSE
Nfkbid	chr7	FALSE	FALSE
Rhox4b	chrX	FALSE	FALSE
Slc25a23	chr17	FALSE	FALSE
Enkur	chr2	FALSE	TRUE
Krtap28-10	chr1	FALSE	FALSE
Irx1	chr13	TRUE	FALSE
Tuba1b	chr15	FALSE	FALSE
Bscl2	chr19	FALSE	FALSE
Usp51	chrX	FALSE	FALSE
Gm21671	chr5	FALSE	FALSE
Gm12886	chr4	FALSE	FALSE
Prss37	chr6	FALSE	FALSE
Adm	chr7	TRUE	FALSE
Npr1	chr3	TRUE	FALSE
Elp2	chr18	FALSE	FALSE
Olfr1260	chr2	FALSE	FALSE
Hrnr	chr3	FALSE	FALSE
Vps26c	chr16	FALSE	FALSE
Klk11	chr7	FALSE	FALSE
Lca5l	chr16	FALSE	TRUE
Mark4	chr7	FALSE	FALSE
Mrpl11	chr19	FALSE	FALSE
Fam50a	chrX	FALSE	FALSE
Olfr316	chr11	FALSE	FALSE
Kctd12b	chrX	FALSE	FALSE
Gm13090	chr4	FALSE	FALSE
Zbtb48	chr4	FALSE	FALSE
Spata31	chr13	FALSE	FALSE
Orc5	chr5	FALSE	TRUE
Tmod4	chr3	FALSE	FALSE
Kansl3	chr1	FALSE	FALSE
Ccdc17	chr4	FALSE	FALSE
Wipf2	chr11	FALSE	FALSE
Cwf19l1	chr19	FALSE	FALSE
Cux2	chr5	FALSE	FALSE
Cyp2d26	chr15	FALSE	FALSE
Cst6	chr19	FALSE	FALSE
Gm20683	chr17	FALSE	FALSE
Ccdc201	chr11	FALSE	FALSE
Rab34	chr11	TRUE	FALSE
Hdhd2	chr18	FALSE	FALSE
Rln3	chr8	TRUE	FALSE
Supt20	chr3	FALSE	FALSE
H1f4	chr13	FALSE	FALSE
Cplx1	chr5	FALSE	FALSE
Pclaf	chr9	FALSE	FALSE
Pef1	chr4	FALSE	FALSE
Dlx4	chr11	TRUE	FALSE
Olfr804	chr10	FALSE	FALSE
Nos2	chr11	TRUE	FALSE
Pcyox1	chr6	FALSE	FALSE
Mal	chr2	TRUE	FALSE
Nanog	chr6	TRUE	FALSE
Sgpp1	chr12	FALSE	FALSE
Gpr141b	chr13	FALSE	FALSE
Hmbox1	chr14	FALSE	FALSE
Txndc15	chr13	FALSE	FALSE
Adm2	chr15	TRUE	FALSE
Knop1	chr7	FALSE	FALSE
Msi2	chr11	FALSE	FALSE
Ccdc36	chr9	FALSE	FALSE
Ppic	chr18	TRUE	FALSE
Hoxa4	chr6	TRUE	FALSE
Rps29	chr12	FALSE	FALSE
Ikbkb	chr8	FALSE	FALSE
Rhbg	chr3	FALSE	FALSE
Lbhd2	chr12	FALSE	FALSE
Gfy	chr7	FALSE	FALSE
Alppl2	chr1	FALSE	FALSE
Mrgpra6	chr7	FALSE	FALSE
L3mbtl2	chr15	FALSE	FALSE
Xndc1	chr7	FALSE	FALSE
Ncoa5	chr2	FALSE	FALSE
Muc5ac	chr7	FALSE	FALSE
Neu4	chr1	FALSE	FALSE
Bcan	chr3	TRUE	FALSE
Olfr622	chr7	FALSE	FALSE
Pmm1	chr15	FALSE	FALSE
Kif18a	chr2	FALSE	TRUE
Tmprss11d	chr5	FALSE	TRUE
Ctf1	chr7	FALSE	TRUE
Lsm7	chr10	FALSE	FALSE
Olfr48	chr2	FALSE	FALSE
Sowahd	chrX	TRUE	FALSE
Zfp683	chr4	FALSE	FALSE
Nat8f5	chr6	FALSE	FALSE
Haspin	chr11	FALSE	FALSE
Sema3f	chr9	TRUE	FALSE
Tmem211	chr5	FALSE	FALSE
Cybc1	chr11	FALSE	FALSE
Armcx3	chrX	FALSE	FALSE
Tcp1	chr17	FALSE	FALSE
Dnmt3a	chr12	FALSE	FALSE
Btbd1	chr7	TRUE	FALSE
Mageb3	chr2	FALSE	FALSE
Olfr1198	chr2	FALSE	FALSE
Htatsf1	chrX	FALSE	FALSE
Ltv1	chr10	FALSE	FALSE
Vmn2r99	chr17	FALSE	FALSE
Ccdc78	chr17	FALSE	FALSE
Adcy6	chr15	FALSE	FALSE
Gm7609	chr1	FALSE	FALSE
Gm3327	chr14	FALSE	FALSE
Atg4a-ps	chr3	FALSE	FALSE
Scgb3a2	chr18	FALSE	FALSE
Shisa3	chr5	TRUE	FALSE
Treh	chr9	FALSE	FALSE
Trem3	chr17	FALSE	FALSE
Aatf	chr11	FALSE	FALSE
Pcdhb2	chr18	FALSE	FALSE
Ceacam1	chr7	FALSE	FALSE
Angel1	chr12	FALSE	TRUE
Wfdc11	chr2	FALSE	FALSE
Pabpn1	chr14	FALSE	FALSE
Gm4847	chr1	FALSE	FALSE
Mrps22	chr9	FALSE	FALSE
Rap2c	chrX	FALSE	FALSE
Mrpl45	chr11	FALSE	FALSE
Gm10375	chr14	FALSE	FALSE
Exog	chr9	FALSE	FALSE
Akt1s1	chr7	FALSE	FALSE
Hsf4	chr8	FALSE	FALSE
Arid3c	chr4	TRUE	FALSE
Olfr704	chr7	FALSE	FALSE
Gm50139	chr19	FALSE	FALSE
Olfr1162	chr2	FALSE	FALSE
Tmem30a	chr9	FALSE	FALSE
Scgb2b18	chr7	FALSE	FALSE
Olfr161	chr16	FALSE	FALSE
Ifit3	chr19	FALSE	FALSE
Cdc5l	chr17	FALSE	FALSE
Kcnmb3	chr3	FALSE	FALSE
