gene_name	chr	h3k27me3_overlap	mch_sig
Psmd1	chr1	FALSE	TRUE
Vcl	chr14	FALSE	TRUE
Glod4	chr11	FALSE	TRUE
Ankrd35	chr3	TRUE	TRUE
Fmo6	chr1	FALSE	TRUE
Cables1	chr18	FALSE	TRUE
Krt25	chr11	FALSE	TRUE
Nup214	chr2	FALSE	TRUE
Snx8	chr5	FALSE	TRUE
Nsun3	chr16	FALSE	TRUE
Fyco1	chr9	FALSE	TRUE
Hmgxb3	chr18	FALSE	TRUE
Tmem54	chr4	TRUE	TRUE
Foxo3	chr10	FALSE	TRUE
Parvg	chr15	TRUE	TRUE
Limk1	chr5	FALSE	TRUE
Gmeb2	chr2	FALSE	TRUE
Dcbld2	chr16	FALSE	TRUE
Zfp326	chr5	FALSE	TRUE
Asb7	chr7	FALSE	TRUE
Gmps	chr3	FALSE	TRUE
Fkbp14	chr6	FALSE	TRUE
Muc15	chr2	FALSE	TRUE
Insl5	chr4	FALSE	TRUE
Gm45837	chr7	TRUE	TRUE
Xcr1	chr9	FALSE	TRUE
Srfbp1	chr18	FALSE	TRUE
Herc4	chr10	FALSE	TRUE
Npr1	chr3	TRUE	TRUE
Daw1	chr1	FALSE	TRUE
Crtap	chr9	FALSE	TRUE
Ttll4	chr1	FALSE	TRUE
Rbm26	chr14	FALSE	TRUE
Mga	chr2	FALSE	TRUE
Kndc1	chr7	FALSE	TRUE
Plaat1	chr16	FALSE	TRUE
Synpo2	chr3	TRUE	TRUE
Timm23	chr14	FALSE	TRUE
Wdr43	chr17	FALSE	TRUE
Aif1l	chr2	TRUE	TRUE
Tnfrsf1b	chr4	TRUE	TRUE
Rbbp8	chr18	FALSE	TRUE
Vezf1	chr11	FALSE	TRUE
Gtf3c2	chr5	FALSE	TRUE
Slc43a2	chr11	FALSE	TRUE
Spata45	chr1	FALSE	TRUE
Zfp65	chr13	FALSE	TRUE
Bpifb9b	chr2	FALSE	TRUE
2900092C05Rik	chr7	FALSE	TRUE
Pibf1	chr14	FALSE	TRUE
Birc6	chr17	FALSE	TRUE
Jazf1	chr6	FALSE	TRUE
Olfr610	chr7	FALSE	TRUE
Ncdn	chr4	FALSE	TRUE
Ska3	chr14	FALSE	TRUE
H2bc4	chr13	FALSE	TRUE
Slc12a8	chr16	FALSE	TRUE
Myom2	chr8	FALSE	TRUE
Prpf6	chr2	FALSE	TRUE
Nup210	chr6	FALSE	TRUE
Madd	chr2	FALSE	TRUE
Fbln5	chr12	TRUE	TRUE
Mrrf	chr2	FALSE	TRUE
Rorb	chr19	TRUE	TRUE
Traf3ip1	chr1	FALSE	TRUE
Slc35a3	chr3	FALSE	TRUE
Rab39	chr9	FALSE	TRUE
Itpr1	chr6	FALSE	TRUE
Mier1	chr4	FALSE	TRUE
Cyp7b1	chr3	FALSE	TRUE
Bysl	chr17	FALSE	TRUE
Rusc2	chr4	FALSE	TRUE
Cldn10	chr14	TRUE	TRUE
Kif28	chr1	FALSE	TRUE
Unc45b	chr11	FALSE	TRUE
Pla2g2f	chr4	FALSE	TRUE
Med1	chr11	FALSE	TRUE
Phf24	chr4	FALSE	TRUE
Sh2d1b1	chr1	FALSE	TRUE
Trpm1	chr7	TRUE	TRUE
Hbb-bs	chr7	FALSE	TRUE
Fnbp1l	chr3	TRUE	TRUE
Crlf1	chr8	TRUE	TRUE
Ccdc177	chr12	FALSE	TRUE
Zfp12	chr5	FALSE	TRUE
Hars2	chr18	FALSE	TRUE
Gad1	chr2	TRUE	TRUE
Spata31d1a	chr13	TRUE	TRUE
Ubash3a	chr17	FALSE	TRUE
Tnfrsf13b	chr11	FALSE	TRUE
Csf2rb2	chr15	TRUE	TRUE
Neurl1b	chr17	TRUE	TRUE
Sar1b	chr11	FALSE	TRUE
Impg2	chr16	FALSE	TRUE
Begain	chr12	TRUE	TRUE
Gsta3	chr1	FALSE	TRUE
Sertad2	chr11	FALSE	TRUE
Dzip1l	chr9	FALSE	TRUE
Tmprss6	chr15	FALSE	TRUE
Lcmt1	chr7	FALSE	TRUE
Gm12216	chr11	FALSE	TRUE
Ankar	chr1	FALSE	TRUE
Sim1	chr10	TRUE	TRUE
Serpinb3b	chr1	FALSE	TRUE
Susd6	chr12	FALSE	TRUE
Cyp2d22	chr15	FALSE	TRUE
Ap4e1	chr2	FALSE	TRUE
Gm43552	chr5	FALSE	TRUE
Caps2	chr10	FALSE	TRUE
Eif2ak2	chr17	FALSE	TRUE
Ddx4	chr13	FALSE	TRUE
Atp4b	chr8	FALSE	TRUE
Gm49776	chr16	FALSE	TRUE
Eif2ak1	chr5	FALSE	TRUE
Mei1	chr15	TRUE	TRUE
Nnt	chr13	FALSE	TRUE
Ubxn7	chr16	FALSE	TRUE
Wnt1	chr15	TRUE	TRUE
Septin11	chr5	FALSE	TRUE
Disp1	chr1	TRUE	TRUE
Cpt1c	chr7	FALSE	TRUE
Usp8	chr2	FALSE	TRUE
Teddm2	chr1	FALSE	TRUE
Mia2	chr12	FALSE	TRUE
Slc25a40	chr5	FALSE	TRUE
Calca	chr7	TRUE	TRUE
Swap70	chr7	FALSE	TRUE
Stt3b	chr9	FALSE	TRUE
Akr1d1	chr6	FALSE	TRUE
Palm3	chr8	TRUE	TRUE
Depdc1b	chr13	FALSE	TRUE
Knop1	chr7	FALSE	TRUE
Son	chr16	FALSE	TRUE
Scube2	chr7	TRUE	TRUE
Sugct	chr13	FALSE	TRUE
Ilvbl	chr10	FALSE	TRUE
Aldh2	chr5	FALSE	TRUE
Crybg3	chr16	FALSE	TRUE
Afg3l2	chr18	FALSE	TRUE
Blmh	chr11	FALSE	TRUE
Abcd2	chr15	FALSE	TRUE
Plod1	chr4	FALSE	TRUE
Slc38a1	chr15	FALSE	TRUE
1810046K07Rik	chr9	FALSE	TRUE
Rab23	chr1	FALSE	TRUE
Shisa3	chr5	TRUE	TRUE
Tgm4	chr9	FALSE	TRUE
Me2	chr18	FALSE	TRUE
Micu3	chr8	FALSE	TRUE
Setd1b	chr5	FALSE	TRUE
Mybpc2	chr7	FALSE	TRUE
Bhlhe40	chr6	FALSE	TRUE
Brd7	chr8	FALSE	TRUE
Evi5l	chr8	FALSE	TRUE
N4bp2	chr5	FALSE	TRUE
Ergic2	chr6	FALSE	TRUE
Cldn15	chr5	FALSE	TRUE
Flt4	chr11	TRUE	TRUE
Gm10945	chr10	FALSE	TRUE
Rab38	chr7	TRUE	TRUE
Xndc1	chr7	FALSE	TRUE
Dtd2	chr12	FALSE	TRUE
Ren1	chr1	TRUE	TRUE
Cd2ap	chr17	FALSE	TRUE
Tchp	chr5	FALSE	TRUE
Gtf2i	chr5	FALSE	TRUE
Wapl	chr14	FALSE	TRUE
Cxcl3	chr5	TRUE	TRUE
Nr4a3	chr4	FALSE	TRUE
Stxbp3	chr3	FALSE	TRUE
Pdcd1	chr1	FALSE	TRUE
Cnbd2	chr2	FALSE	TRUE
Rbm6	chr9	FALSE	TRUE
Sccpdh	chr1	FALSE	TRUE
Cmc2	chr8	FALSE	TRUE
Ubac1	chr2	FALSE	TRUE
Nmnat3	chr9	TRUE	TRUE
Nnt	chr13	FALSE	TRUE
Serpina3k	chr12	FALSE	TRUE
Relch	chr1	FALSE	TRUE
Adora2b	chr11	TRUE	TRUE
Cdca2	chr14	FALSE	TRUE
Rassf10	chr7	TRUE	TRUE
Tmx4	chr2	FALSE	TRUE
Anpep	chr7	TRUE	TRUE
Lyrm7	chr11	FALSE	TRUE
Ppfia3	chr7	FALSE	TRUE
Lpo	chr11	FALSE	TRUE
Lats1	chr10	FALSE	TRUE
Gpsm2	chr3	FALSE	TRUE
Tjp3	chr10	FALSE	TRUE
Cd300e	chr11	FALSE	TRUE
Lrif1	chr3	FALSE	TRUE
Rarg	chr15	FALSE	TRUE
Gars	chr6	FALSE	TRUE
Tom1l2	chr11	FALSE	TRUE
Rsbn1	chr3	FALSE	TRUE
Naip5	chr13	FALSE	TRUE
Tmem233	chr5	TRUE	TRUE
Ctnnd1	chr2	FALSE	TRUE
Tubd1	chr11	FALSE	TRUE
Acer2	chr4	TRUE	TRUE
Clic5	chr17	TRUE	TRUE
Mroh2b	chr15	FALSE	TRUE
Zfp981	chr4	FALSE	TRUE
P2ry2	chr7	TRUE	TRUE
Afg3l1	chr8	FALSE	TRUE
C2cd5	chr6	FALSE	TRUE
Nkd2	chr13	TRUE	TRUE
Stimate	chr14	FALSE	TRUE
Zfp469	chr8	FALSE	TRUE
Zswim4	chr8	FALSE	TRUE
Cntn6	chr6	FALSE	TRUE
Clec4a4	chr6	FALSE	TRUE
P2ry12	chr3	FALSE	TRUE
Ube2e2	chr14	FALSE	TRUE
Iqce	chr5	FALSE	TRUE
Plscr1	chr9	FALSE	TRUE
Hepacam2	chr6	TRUE	TRUE
Stk11ip	chr1	FALSE	TRUE
Il31ra	chr13	FALSE	TRUE
Pdlim5	chr3	TRUE	TRUE
Sfswap	chr5	FALSE	TRUE
Fam49a	chr12	FALSE	TRUE
N4bp2l1	chr5	FALSE	TRUE
Ces1c	chr8	FALSE	TRUE
Nlrp9a	chr7	FALSE	TRUE
Zfp788	chr7	FALSE	TRUE
Ube2h	chr6	FALSE	TRUE
Kif9	chr9	FALSE	TRUE
Eef1a1	chr9	FALSE	TRUE
Pde4c	chr8	TRUE	TRUE
Smyd5	chr6	FALSE	TRUE
Ak5	chr3	TRUE	TRUE
Slc25a34	chr4	FALSE	TRUE
Kit	chr5	TRUE	TRUE
Bag5	chr12	FALSE	TRUE
Slc12a5	chr2	FALSE	TRUE
Sgpp1	chr12	FALSE	TRUE
Sdhaf2	chr19	FALSE	TRUE
Als2	chr1	FALSE	TRUE
Rnf26	chr9	FALSE	TRUE
Cfap54	chr10	TRUE	TRUE
Stoml3	chr3	FALSE	TRUE
Filip1	chr9	TRUE	TRUE
Mki67	chr7	TRUE	TRUE
Ppp1r1b	chr11	FALSE	TRUE
Ttc6	chr12	TRUE	TRUE
Cdc14a	chr3	FALSE	TRUE
Tnfrsf9	chr4	FALSE	TRUE
Zfhx3	chr8	TRUE	TRUE
Cast	chr13	TRUE	TRUE
Kcmf1	chr6	FALSE	TRUE
Mtrf1	chr14	FALSE	TRUE
Syce1l	chr8	FALSE	TRUE
Ccl25	chr8	FALSE	TRUE
As3mt	chr19	FALSE	TRUE
Fsd1	chr17	FALSE	TRUE
Slc26a9	chr1	FALSE	TRUE
Tex10	chr4	FALSE	TRUE
Senp3	chr11	FALSE	TRUE
Stat4	chr1	TRUE	TRUE
Slc3a1	chr17	FALSE	TRUE
Cfap53	chr18	FALSE	TRUE
Olfr373	chr8	FALSE	TRUE
Pgbd5	chr8	FALSE	TRUE
Luc7l3	chr11	FALSE	TRUE
Gm44973	chr7	FALSE	TRUE
Cd28	chr1	FALSE	TRUE
Tnni3k	chr3	TRUE	TRUE
Slc4a2	chr5	FALSE	TRUE
Commd9	chr2	FALSE	TRUE
Nmrk2	chr10	FALSE	TRUE
St3gal4	chr9	TRUE	TRUE
Gm8251	chr1	FALSE	TRUE
Gm28035	chr2	FALSE	TRUE
Ldha	chr7	FALSE	TRUE
Pcm1	chr8	FALSE	TRUE
Fbln7	chr2	TRUE	TRUE
Tmem161b	chr13	FALSE	TRUE
Matr3	chr18	FALSE	TRUE
Sys1	chr2	FALSE	TRUE
Pi4kb	chr3	FALSE	TRUE
Scgb2b26	chr7	FALSE	TRUE
Bak1	chr17	FALSE	TRUE
Krtap5-2	chr7	FALSE	TRUE
Sptan1	chr2	FALSE	TRUE
Rif1	chr2	FALSE	TRUE
Lef1	chr3	TRUE	TRUE
Cs	chr10	FALSE	TRUE
Dkk2	chr3	TRUE	TRUE
Rdh13	chr7	FALSE	TRUE
Slco6c1	chr1	FALSE	TRUE
Zbtb11	chr16	FALSE	TRUE
Aco2	chr15	FALSE	TRUE
Asxl2	chr12	FALSE	TRUE
Zfp984	chr4	FALSE	TRUE
Zfp618	chr4	TRUE	TRUE
Ppp6r3	chr19	FALSE	TRUE
Mau2	chr8	FALSE	TRUE
Golga4	chr9	FALSE	TRUE
Slc38a6	chr12	FALSE	TRUE
Tcaf1	chr6	FALSE	TRUE
Atp6v1a	chr16	FALSE	TRUE
Mettl21c	chr1	FALSE	TRUE
Ccdc157	chr11	FALSE	TRUE
Npdc1	chr2	FALSE	TRUE
Map1b	chr13	FALSE	TRUE
Numbl	chr7	FALSE	TRUE
Cap2	chr13	FALSE	TRUE
Sgce	chr6	TRUE	TRUE
Kpna7	chr5	FALSE	TRUE
Nlrp10	chr7	TRUE	TRUE
Psmb4	chr3	FALSE	TRUE
Prrg2	chr7	FALSE	TRUE
Cers3	chr7	TRUE	TRUE
Ceacam1	chr7	FALSE	TRUE
Amotl1	chr9	TRUE	TRUE
Plcd1	chr9	FALSE	TRUE
Dmxl2	chr9	FALSE	TRUE
Eml2	chr7	FALSE	TRUE
Zfp26	chr9	FALSE	TRUE
Dppa2	chr16	FALSE	TRUE
Mme	chr3	TRUE	TRUE
Gpr22	chr12	FALSE	TRUE
Sel1l2	chr2	FALSE	TRUE
Pfkp	chr13	FALSE	TRUE
Arhgap21	chr2	FALSE	TRUE
Gm4847	chr1	FALSE	TRUE
Dop1a	chr9	FALSE	TRUE
Pf4	chr5	FALSE	TRUE
Gpr37	chr6	TRUE	TRUE
Fip1l1	chr5	FALSE	TRUE
Gm50253	chr17	FALSE	TRUE
Cpox	chr16	FALSE	TRUE
Dcn	chr10	FALSE	TRUE
Mat2b	chr11	FALSE	TRUE
Fgf4	chr7	TRUE	TRUE
Tmem237	chr1	FALSE	TRUE
Dnm1	chr2	FALSE	TRUE
Fgfr1op2	chr6	FALSE	TRUE
Nfe2l2	chr2	TRUE	TRUE
Capza1	chr3	FALSE	TRUE
Sec31b	chr19	TRUE	TRUE
Atp1a1	chr3	FALSE	TRUE
Spsb3	chr17	FALSE	TRUE
Alx1	chr10	TRUE	TRUE
Sh3bp4	chr1	TRUE	TRUE
Tbpl1	chr10	FALSE	TRUE
Ticam2	chr18	FALSE	TRUE
Tbc1d22b	chr17	FALSE	TRUE
Cul5	chr9	FALSE	TRUE
Cnn3	chr3	FALSE	TRUE
Rttn	chr18	FALSE	TRUE
Slc22a26	chr19	FALSE	TRUE
Ceacam20	chr7	FALSE	TRUE
Ifi214	chr1	FALSE	TRUE
Kdm5b	chr1	FALSE	TRUE
Pigu	chr2	FALSE	TRUE
Mettl8	chr2	FALSE	TRUE
Gpr18	chr14	FALSE	TRUE
Stx7	chr10	FALSE	TRUE
Rrn3	chr16	FALSE	TRUE
Gm1604b	chr17	TRUE	TRUE
Gstm1	chr3	FALSE	TRUE
Plcg1	chr2	FALSE	TRUE
Phlpp2	chr8	FALSE	TRUE
Trpc4	chr3	TRUE	TRUE
C130074G19Rik	chr1	TRUE	TRUE
Sema3g	chr14	FALSE	TRUE
Hdgf	chr3	FALSE	TRUE
Cyfip1	chr7	FALSE	TRUE
Atp13a5	chr16	TRUE	TRUE
Casp7	chr19	TRUE	TRUE
Fxyd6	chr9	FALSE	TRUE
Plpp7	chr2	FALSE	TRUE
Prkag2	chr5	TRUE	TRUE
Haus6	chr4	FALSE	TRUE
Wnt3a	chr11	TRUE	TRUE
Klf13	chr7	FALSE	TRUE
Polm	chr11	FALSE	TRUE
Susd3	chr13	TRUE	TRUE
Mug2	chr6	FALSE	TRUE
Stard9	chr2	FALSE	TRUE
Zfp974	chr7	FALSE	TRUE
Mapk6	chr9	FALSE	TRUE
Reck	chr4	FALSE	TRUE
Ppp6r2	chr15	FALSE	TRUE
Zc3h3	chr15	FALSE	TRUE
Cnst	chr1	FALSE	TRUE
Supv3l1	chr10	FALSE	TRUE
Fam180a	chr6	TRUE	TRUE
Stx1a	chr5	FALSE	TRUE
Map3k3	chr11	FALSE	TRUE
Tyms	chr5	FALSE	TRUE
Pik3c2g	chr6	FALSE	TRUE
Dact3	chr7	FALSE	TRUE
Pank3	chr11	FALSE	TRUE
Arel1	chr12	FALSE	TRUE
9330182L06Rik	chr5	FALSE	TRUE
Prox1	chr1	FALSE	TRUE
Tbcel	chr9	FALSE	TRUE
Nlrp6	chr7	TRUE	TRUE
Hoxc4	chr15	TRUE	TRUE
Gpr149	chr3	TRUE	TRUE
Marchf6	chr15	FALSE	TRUE
Flot2	chr11	FALSE	TRUE
Trhde	chr10	FALSE	TRUE
Olfr1504	chr19	FALSE	TRUE
Wdr62	chr7	FALSE	TRUE
Zcchc4	chr5	FALSE	TRUE
Pdss2	chr10	FALSE	TRUE
Trim67	chr8	FALSE	TRUE
Ndrg3	chr2	FALSE	TRUE
4933424G06Rik	chr1	FALSE	TRUE
Dtx3l	chr16	FALSE	TRUE
Csgalnact2	chr6	FALSE	TRUE
Dlgap2	chr8	TRUE	TRUE
Treh	chr9	FALSE	TRUE
Wwp1	chr4	FALSE	TRUE
Exoc4	chr6	FALSE	TRUE
Gsdma3	chr11	FALSE	TRUE
Ubr2	chr17	FALSE	TRUE
Stam2	chr2	FALSE	TRUE
Brsk2	chr7	FALSE	TRUE
Mrgprd	chr7	FALSE	TRUE
Car6	chr4	FALSE	TRUE
Havcr1	chr11	FALSE	TRUE
Cd2	chr3	TRUE	TRUE
Cept1	chr3	FALSE	TRUE
Liph	chr16	TRUE	TRUE
Sgk3	chr1	TRUE	TRUE
Abhd17c	chr7	FALSE	TRUE
Cnbp	chr6	FALSE	TRUE
Gimd1	chr3	FALSE	TRUE
Timp3	chr10	TRUE	TRUE
Ceacam16	chr7	TRUE	TRUE
Nmnat2	chr1	FALSE	TRUE
Itch	chr2	FALSE	TRUE
Abcf1	chr17	FALSE	TRUE
Xpc	chr6	FALSE	TRUE
1700012B09Rik	chr9	TRUE	TRUE
Slco1a1	chr6	FALSE	TRUE
Fig4	chr10	FALSE	TRUE
Cyp4a12a	chr4	FALSE	TRUE
Rhoj	chr12	TRUE	TRUE
Zc3h6	chr2	FALSE	TRUE
3110021N24Rik	chr4	FALSE	TRUE
Fam3c	chr6	FALSE	TRUE
Rad18	chr6	FALSE	TRUE
Adamtsl1	chr4	TRUE	TRUE
St3gal1	chr15	TRUE	TRUE
Acat1	chr9	FALSE	TRUE
Wdr37	chr13	FALSE	TRUE
Mup6	chr4	FALSE	TRUE
Fam181b	chr7	FALSE	TRUE
Acox1	chr11	FALSE	TRUE
Psmb2	chr4	FALSE	TRUE
Nanos3	chr8	FALSE	TRUE
B3gat1	chr9	TRUE	TRUE
Pdgfd	chr9	TRUE	TRUE
Smc5	chr19	FALSE	TRUE
Ppp6r1	chr7	FALSE	TRUE
Btg3	chr16	TRUE	TRUE
Chrm3	chr13	TRUE	TRUE
Cyp2c38	chr19	FALSE	TRUE
Smagp	chr15	TRUE	TRUE
Vmn2r77	chr7	FALSE	TRUE
B3gnt7	chr1	TRUE	TRUE
Ryr1	chr7	TRUE	TRUE
Gcnt2	chr13	TRUE	TRUE
Neurog1	chr13	TRUE	TRUE
Crocc2	chr1	TRUE	TRUE
Fopnl	chr16	FALSE	TRUE
Rhpn2	chr7	FALSE	TRUE
Olfr1247	chr2	FALSE	TRUE
Hmgn3	chr9	FALSE	TRUE
Tmem131	chr1	FALSE	TRUE
Eps8l1	chr7	TRUE	TRUE
Aox4	chr1	TRUE	TRUE
Ctps	chr4	FALSE	TRUE
Bco2	chr9	FALSE	TRUE
Pcdhga11	chr18	FALSE	TRUE
Zfp90	chr8	FALSE	TRUE
Hsd17b11	chr5	FALSE	TRUE
Qtrt2	chr16	FALSE	TRUE
Fmo5	chr3	FALSE	TRUE
Iglon5	chr7	FALSE	TRUE
Dab1	chr4	TRUE	TRUE
Fat2	chr11	FALSE	TRUE
Prrc2c	chr1	FALSE	TRUE
Olfr212	chr6	FALSE	TRUE
Ankrd36	chr11	FALSE	TRUE
S100a13	chr3	TRUE	TRUE
Phip	chr9	FALSE	TRUE
Tbc1d15	chr10	FALSE	TRUE
Lmo7	chr14	TRUE	TRUE
Sfmbt2	chr2	TRUE	TRUE
Cab39l	chr14	FALSE	TRUE
Cc2d1b	chr4	FALSE	TRUE
Smarcad1	chr6	FALSE	TRUE
Rcan3	chr4	FALSE	TRUE
Ankrd27	chr7	FALSE	TRUE
Sorbs3	chr14	TRUE	TRUE
Kitl	chr10	TRUE	TRUE
Tpd52l1	chr10	TRUE	TRUE
Pde8b	chr13	TRUE	TRUE
Crym	chr7	TRUE	TRUE
Postn	chr3	FALSE	TRUE
Prdm10	chr9	FALSE	TRUE
Itih5	chr2	TRUE	TRUE
Rhobtb3	chr13	FALSE	TRUE
Igll1	chr16	FALSE	TRUE
Uvssa	chr5	FALSE	TRUE
Gm4969	chr7	FALSE	TRUE
Ivns1abp	chr1	FALSE	TRUE
Stpg4	chr17	FALSE	TRUE
Dnah5	chr15	FALSE	TRUE
Ugcg	chr4	FALSE	TRUE
Plcg2	chr8	TRUE	TRUE
Lgsn	chr1	FALSE	TRUE
Armc6	chr8	FALSE	TRUE
A630010A05Rik	chr16	FALSE	TRUE
Add1	chr5	FALSE	TRUE
Phkb	chr8	FALSE	TRUE
Akip1	chr7	FALSE	TRUE
Terb2	chr2	FALSE	TRUE
Gprc5a	chr6	TRUE	TRUE
Kcnh4	chr11	TRUE	TRUE
Snx18	chr13	FALSE	TRUE
Plscr5	chr9	FALSE	TRUE
Ccnt1	chr15	FALSE	TRUE
Trp53inp2	chr2	FALSE	TRUE
Kif19a	chr11	FALSE	TRUE
Plekhb2	chr1	FALSE	TRUE
Kctd21	chr7	FALSE	TRUE
Mansc4	chr6	FALSE	TRUE
6430550D23Rik	chr2	FALSE	TRUE
Zfp207	chr11	FALSE	TRUE
Soga1	chr2	FALSE	TRUE
Klhl18	chr9	FALSE	TRUE
Htr4	chr18	TRUE	TRUE
Fam186b	chr15	FALSE	TRUE
Cebpg	chr7	FALSE	TRUE
Vmn2r102	chr17	FALSE	TRUE
Ctsz	chr2	FALSE	TRUE
Sptssb	chr3	FALSE	TRUE
Ncoa3	chr2	FALSE	TRUE
Rreb1	chr13	TRUE	TRUE
Sh3bp2	chr5	FALSE	TRUE
Adam7	chr14	FALSE	TRUE
Galntl6	chr8	TRUE	TRUE
Iqck	chr7	FALSE	TRUE
Herc6	chr6	FALSE	TRUE
Selenbp1	chr3	FALSE	TRUE
Gdpd1	chr11	FALSE	TRUE
Cacng8	chr7	FALSE	TRUE
Zc3h4	chr7	FALSE	TRUE
Abcc6	chr7	TRUE	TRUE
Adnp	chr2	FALSE	TRUE
Pptc7	chr5	FALSE	TRUE
Ccnd3	chr17	TRUE	TRUE
Traip	chr9	FALSE	TRUE
Tubal3	chr13	FALSE	TRUE
Serinc2	chr4	FALSE	TRUE
Igsf9b	chr9	FALSE	TRUE
4932414N04Rik	chr2	FALSE	TRUE
Rab18	chr18	FALSE	TRUE
Rab3ip	chr10	FALSE	TRUE
Zfp865	chr7	FALSE	TRUE
Hmmr	chr11	FALSE	TRUE
Tmem182	chr1	FALSE	TRUE
Cep295nl	chr11	FALSE	TRUE
Ptpn23	chr9	FALSE	TRUE
Cul1	chr6	FALSE	TRUE
Gm10220	chr5	FALSE	TRUE
Gm29609	chr5	FALSE	TRUE
Ttn	chr2	TRUE	TRUE
Zfp174	chr16	FALSE	TRUE
Mogat2	chr7	TRUE	TRUE
Cop1	chr1	FALSE	TRUE
Snx25	chr8	FALSE	TRUE
Mettl6	chr14	FALSE	TRUE
4930447C04Rik	chr12	TRUE	TRUE
Sacm1l	chr9	FALSE	TRUE
Sirt1	chr10	FALSE	TRUE
Zbtb44	chr9	FALSE	TRUE
Sez6l2	chr7	FALSE	TRUE
Cpe	chr8	FALSE	TRUE
Fbxo34	chr14	FALSE	TRUE
Plxnd1	chr6	FALSE	TRUE
Olfr288	chr15	FALSE	TRUE
Fam126b	chr1	FALSE	TRUE
Snx27	chr3	FALSE	TRUE
Grap2	chr15	FALSE	TRUE
Map4k5	chr12	FALSE	TRUE
Fbxw28	chr9	FALSE	TRUE
Pate2	chr9	TRUE	TRUE
Skint11	chr4	FALSE	TRUE
Ap3b2	chr7	FALSE	TRUE
Slco4a1	chr2	FALSE	TRUE
Catsper1	chr19	FALSE	TRUE
Slc36a2	chr11	FALSE	TRUE
Samd3	chr10	FALSE	TRUE
Lrrc72	chr12	FALSE	TRUE
Myo5c	chr9	TRUE	TRUE
Gm5108	chr5	FALSE	TRUE
Hp1bp3	chr4	FALSE	TRUE
Olfr1494	chr19	FALSE	TRUE
Senp6	chr9	FALSE	TRUE
Myom3	chr4	TRUE	TRUE
Aamdc	chr7	FALSE	TRUE
Gask1b	chr3	FALSE	TRUE
Lrrc52	chr1	FALSE	TRUE
Kras	chr6	FALSE	TRUE
Furin	chr7	FALSE	TRUE
Gm50364	chr18	FALSE	TRUE
Pi4k2a	chr19	FALSE	TRUE
Boll	chr1	TRUE	TRUE
Wdr74	chr19	FALSE	TRUE
Morc2a	chr11	FALSE	TRUE
Rsph9	chr17	FALSE	TRUE
Cfap65	chr1	TRUE	TRUE
Rhoa	chr9	FALSE	TRUE
Thoc2l	chr5	FALSE	TRUE
Gm13283	chr4	FALSE	TRUE
Lsm10	chr4	FALSE	TRUE
Ctxn2	chr2	FALSE	TRUE
Dennd6a	chr14	FALSE	TRUE
BC048562	chr9	FALSE	TRUE
Pbx4	chr8	FALSE	TRUE
Bmp10	chr6	TRUE	TRUE
H3c15	chr3	FALSE	TRUE
Cela2a	chr4	FALSE	TRUE
Atp13a3	chr16	FALSE	TRUE
Clec3a	chr8	FALSE	TRUE
AC147806.2	chr1	FALSE	TRUE
Atp8b3	chr10	TRUE	TRUE
Impdh1	chr6	FALSE	TRUE
Zer1	chr2	FALSE	TRUE
Epn3	chr11	FALSE	TRUE
Galnt14	chr17	TRUE	TRUE
Pgap1	chr1	FALSE	TRUE
4930470P17Rik	chr2	FALSE	TRUE
Urm1	chr2	TRUE	TRUE
Emc3	chr6	FALSE	TRUE
Kctd4	chr14	FALSE	TRUE
Dffa	chr4	FALSE	TRUE
Oacyl	chr18	FALSE	TRUE
Itpa	chr2	FALSE	TRUE
Acvr1	chr2	FALSE	TRUE
Tnfaip8l2	chr3	FALSE	TRUE
Plekhg5	chr4	TRUE	TRUE
Ak9	chr10	FALSE	TRUE
Pak1ip1	chr13	FALSE	TRUE
Apip	chr2	FALSE	TRUE
E130114P18Rik	chr4	TRUE	TRUE
Pramef6	chr4	FALSE	TRUE
Cdk17	chr10	FALSE	TRUE
D6Wsu163e	chr6	FALSE	TRUE
Phf20l1	chr15	FALSE	TRUE
Olfr106-ps	chr17	FALSE	TRUE
Abcb9	chr5	FALSE	TRUE
Sis	chr3	FALSE	TRUE
1700006A11Rik	chr3	FALSE	TRUE
Nppa	chr4	FALSE	TRUE
Drc7	chr8	FALSE	TRUE
Zdhhc3	chr9	FALSE	TRUE
Chst10	chr1	FALSE	TRUE
Psmd11	chr11	FALSE	TRUE
Ubn2	chr6	FALSE	TRUE
Rab7	chr6	FALSE	TRUE
Cpsf6	chr10	FALSE	TRUE
Mrs2	chr13	FALSE	TRUE
Gpd1l	chr9	FALSE	TRUE
Slc51b	chr9	FALSE	TRUE
Acsl3	chr1	FALSE	TRUE
Usp33	chr3	FALSE	TRUE
Crip1	chr12	TRUE	TRUE
Tent4a	chr13	FALSE	TRUE
Ttbk1	chr17	FALSE	TRUE
Kif27	chr13	TRUE	TRUE
Abcb5	chr12	FALSE	TRUE
Bend6	chr1	FALSE	TRUE
Wfdc5	chr2	FALSE	TRUE
Ephx1	chr1	FALSE	TRUE
Olfr410	chr11	FALSE	TRUE
D930020B18Rik	chr10	TRUE	TRUE
Tnfsfm13	chr11	FALSE	TRUE
Far1	chr7	FALSE	TRUE
Mpi	chr9	FALSE	TRUE
Gpat3	chr5	FALSE	TRUE
Clec4n	chr6	FALSE	TRUE
Cab39	chr1	FALSE	TRUE
