gene_name	gene_id	chr	start	end	gene_length	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_sig	mecp2_direction	group	k119ub_fold	k119ub_fdr	k119ub_min_fdr	k119ub_n_peaks	k119ub_n_sig	k119ub_has_sig	k27me3_fold	k27me3_fdr	k27me3_min_fdr	k27me3_n_peaks	k27me3_n_sig	k27me3_has_sig	k27ac_fold	k27ac_fdr	k27ac_min_fdr	k27ac_n_peaks	k27ac_n_sig	k27ac_has_sig	atac_fold	atac_fdr	atac_min_fdr	atac_n_peaks	atac_n_sig	atac_has_sig	k119ub_gb_ctrl_signal	k119ub_gb_mut_signal	k119ub_gb_log2fc	k119ub_gb_class
Soat1	ENSMUSG00000026600.12	chr1	156424524	156474331	49807	0.0157850608455814	0.0144817709166355	-0.00130328992894596	-0.263098872490525	0.0139651844334912	TRUE	-0.221520652154947	0.388923929791086	0.388923929791086	4	0	FALSE	FALSE	Unchanged	mCH_only	0.108035022	0.390413981	0.390413981	1	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.428208928461588	0.00793446668711972	0.00793446668711972	2	1	TRUE	0.957657	0.950693	-0.008554	quantifiable
Aldh1l2	ENSMUSG00000020256.14	chr10	83487449	83534140	46691	0.0159019920427597	0.0151421829054965	-0.000759809137263217	-0.258390223084175	0.0139688236458316	TRUE	-0.00991185825867295	0.967384965944481	0.967384965944481	5	0	FALSE	FALSE	Unchanged	mCH_only	0.471549902	0.000273779	0.000273779	1	1	TRUE	NA	NA	NA	NA	NA	NA	0.0987571428838988	0.60256180350835	0.60256180350835	1	0	FALSE	0.146674356756104	0.405774235373125	0.405774235373125	2	0	FALSE	0.670648	0.695216	0.039247	quantifiable
Vmn2r3	ENSMUSG00000091572.9	chr3	64257214	64289709	32495	0.0128165808429567	0.0121035628467237	-0.000713017996233056	-0.421904183194226	0.0139843153545452	TRUE	-0.012372307871051	1	1	1	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.446907	0.33812	-0.256811	quantifiable
Itgal	ENSMUSG00000030830.18	chr7	127296259	127335138	38879	0.0164679457677464	0.015562958002292	-0.000904987765454437	-0.298264253410023	0.0140329080638512	TRUE	0.0386737513204164	0.868069583541328	0.868069583541328	8	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.620187	0.456972	-0.311516	quantifiable
Gpr176	ENSMUSG00000040133.2	chr2	118277109	118373419	96310	0.0227750247956724	0.0226378711290233	-0.000137153666649133	-0.148110361161747	0.0140575277365557	TRUE	-0.0476261829833333	0.80955811807294	0.633711827342199	6	0	FALSE	FALSE	Unchanged	mCH_only	0.388958375	0.000305777	0.000305777	1	1	TRUE	NA	NA	NA	NA	NA	NA	-1.45990051920372	2.839870706663e-15	2.839870706663e-15	1	1	TRUE	-0.765088581335791	8.89474147684922e-06	8.89474147684922e-06	2	1	TRUE	1.302868	1.65806	0.302409	quantifiable
Ythdc2	ENSMUSG00000034653.11	chr18	44827745	44889724	61979	0.0140797309003406	0.0138615184358246	-0.00021821246451603	-0.2904246222334	0.014075101652223	TRUE	-0.120876455511446	0.554902991332656	0.309310416017858	6	0	FALSE	FALSE	Unchanged	mCH_only	0.558702699	0.000190827	0.000190827	2	2	TRUE	NA	NA	NA	NA	NA	NA	0.150448758314121	0.279498100404842	0.279498100404842	1	0	FALSE	0.0963513693628896	0.574288726266537	0.574288726266537	2	0	FALSE	0.656777	0.661633	0.007966	quantifiable
Edem3	ENSMUSG00000043019.12	chr1	151755370	151822051	66681	0.0146340832807998	0.0146296072771445	-4.47600365531368e-06	-0.247414950121938	0.0140823710584164	TRUE	-0.0996444638085609	0.638274480339317	0.0248518580383152	11	1	TRUE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0146254743952504	0.944138441398914	0.826892868367562	3	0	FALSE	0.822382	0.72029	-0.148672	quantifiable
Fbxl4	ENSMUSG00000040410.14	chr4	22357542	22434091	76549	0.0147791055982135	0.0145358419124576	-0.000243263685755878	-0.221274182166427	0.0140947780822189	TRUE	-0.105539501666683	0.607716341363038	0.152018553916809	8	0	FALSE	FALSE	Unchanged	mCH_only	0.957797682	4.07e-14	4.07e-14	1	1	TRUE	-1.19691339337757	5.37349774035835e-09	5.37349774035835e-09	1	1	TRUE	-0.113182729715902	0.535082763631448	0.535082763631448	1	0	FALSE	-0.0278806639569917	0.883127444260974	0.00100821173459613	2	1	TRUE	0.600059	0.712952	0.186024	quantifiable
Bcl11a	ENSMUSG00000000861.15	chr11	24078055	24174123	96068	0.0330436491499467	0.0372239761008282	0.00418032695088148	0.121634158029231	0.0140951862510807	TRUE	0.0559386367143986	0.753220999049195	0.00631294822665468	72	2	TRUE	FALSE	Unchanged	mCH_only	0.039666728	0.704357201	2.9e-07	15	7	TRUE	0.572094653027862	0.00483038604345223	4.79550854409845e-06	12	5	TRUE	NA	NA	NA	NA	NA	NA	0.811040906213839	0.0015212161488072	0.0015212161488072	5	3	TRUE	2.365525	3.088327	0.355616	quantifiable
Adgra3	ENSMUSG00000029090.12	chr5	49959955	50059006	99051	0.0303043994598607	0.0292761363341076	-0.00102826312575306	-0.128225790940719	0.0141445364144525	TRUE	0.00643002482439587	0.979653083364243	2.41143237141649e-10	43	10	TRUE	FALSE	Unchanged	mCH_only	0.15306658	0.160700243	2.78e-36	18	15	TRUE	-0.14805785080684	0.505889634673404	0.00425917419137855	6	2	TRUE	-1.5391374150339	2.75277567175521e-15	2.75277567175521e-15	2	2	TRUE	0.577545893908823	0.00331649320785954	8.51295231629008e-05	7	4	TRUE	2.175639	3.15521	0.494525	quantifiable
Aplp2	ENSMUSG00000031996.17	chr9	31149556	31211815	62259	0.0139207931676836	0.013925658772894	4.86560521033123e-06	-0.245571130347624	0.0141590827988903	TRUE	0.0465601269070325	0.850355543536443	0.721194028257341	7	0	FALSE	FALSE	Unchanged	mCH_only	0.264439985	0.114457001	0.114457001	1	0	FALSE	NA	NA	NA	NA	NA	NA	-0.0102051433953545	0.94199252736112	0.000991755437466817	7	4	TRUE	0.0239259150648637	0.901869187637891	0.169656397555877	6	0	FALSE	0.610482	0.498789	-0.208317	quantifiable
Tnfrsf8	ENSMUSG00000028602.12	chr4	145267136	145315164	48028	0.015016446232114	0.0144062773824493	-0.000610168849664715	-0.347843490185851	0.0142154260100865	TRUE	0.0466229729269922	0.85303440634343	0.593116392810616	5	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	-0.188336455146085	0.4237560508646	0.4237560508646	1	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.515002	0.333861	-0.408071	quantifiable
Ermp1	ENSMUSG00000046324.12	chr19	29608213	29648415	40202	0.0126496451789108	0.0125178063554107	-0.000131838823500065	-0.33358149389705	0.0142159695066979	TRUE	-0.00999924174393704	0.967348659474567	0.404987829577622	9	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.339001202365646	0.0297930052044494	0.0297930052044494	1	1	TRUE	0.0727262879469113	0.679123249930662	0.679123249930662	1	0	FALSE	0.625918	0.671268	0.075321	quantifiable
Tgs1	ENSMUSG00000028233.6	chr4	3574874	3616619	41745	0.0159566022743667	0.0156307717722507	-0.000325830502116035	-0.287158833535637	0.0142159695066979	TRUE	-0.242377198964189	0.386085892827532	0.386085892827532	4	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.392404901818167	0.0415397029871733	0.0415397029871733	1	1	TRUE	0.188652537532337	0.269799421911921	3.94973626004493e-11	3	1	TRUE	0.616932	0.568963	-0.085128	quantifiable
Emc2	ENSMUSG00000022337.7	chr15	43477228	43527763	50535	0.0165903415853393	0.0155174489501903	-0.00107289263514898	-0.305071642036651	0.0142228471009013	TRUE	-0.0168042785026797	0.926913761578794	0.926913761578794	2	0	FALSE	FALSE	Unchanged	mCH_only	0.475646259	0.056400263	0.056400263	1	0	FALSE	NA	NA	NA	NA	NA	NA	0.157533611905843	0.289513578311874	0.010299793142088	2	1	TRUE	0.123931775786127	0.63751845058057	0.63751845058057	1	0	FALSE	0.650141	0.92218	0.392375	quantifiable
Nell2	ENSMUSG00000022454.17	chr15	95075229	95528559	453330	0.0229130446277414	0.0233839106740597	0.000470866046318311	-0.0882458795538665	0.0142338885597221	TRUE	-0.0449456963885981	0.820332569750258	0.0948692664060646	27	0	FALSE	FALSE	Unchanged	mCH_only	0.171598644	0.186102303	0.004365679	7	4	TRUE	NA	NA	NA	NA	NA	NA	0.0592450241409813	0.696829300876668	1.32537635992697e-08	6	4	TRUE	-0.0807900876214259	0.652666309983466	0.0736797679110494	15	0	FALSE	1.087383	1.381936	0.293086	quantifiable
Hic1	ENSMUSG00000043099.4	chr11	75164564	75169519	4955	0.0345195063736659	0.0274129318866396	-0.00710657448702627	-0.671521259934716	0.0142338885597221	TRUE	-0.692058993742347	0.0440248098460377	0.0440248098460377	2	1	TRUE	TRUE	Lost	MeCP2_and_mCH	-0.283430141	0.000784873	0.000784873	1	1	TRUE	0.541795901782658	0.0298485074976462	0.0298485074976462	1	1	TRUE	-0.270586955455028	0.122362782162324	0.122362782162324	1	0	FALSE	-0.254871248202966	0.126836288767003	0.126836288767003	3	0	FALSE	4.704322	4.05117	-0.205283	quantifiable
Ptpre	ENSMUSG00000041836.10	chr7	135537480	135686293	148813	0.0379350662309373	0.0365787515444104	-0.0013563146865269	-0.0999628792463714	0.0142338885597221	TRUE	-0.0113828473241782	0.967709693433808	0.102828605617433	29	0	FALSE	FALSE	Unchanged	mCH_only	-0.058846096	0.659895445	0.006113418	8	2	TRUE	NA	NA	NA	NA	NA	NA	-0.169448248632486	0.309902522966004	0.309902522966004	1	0	FALSE	0.195472356947417	0.245040751807519	0.00176260919013811	10	2	TRUE	1.721441	1.69993	-0.016072	quantifiable
Ube2j2	ENSMUSG00000023286.16	chr4	155943830	155959604	15774	0.0145081051728252	0.0134411211328556	-0.00106698403996965	-0.463701695144269	0.0142359307079676	TRUE	-0.0227396197012565	0.908538102163238	0.895965624206424	2	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0537785613786044	0.71557116228016	0.71557116228016	1	0	FALSE	-0.00787017651061594	0.967496254732975	0.967496254732975	1	0	FALSE	0.484032	0.415853	-0.146894	quantifiable
Rims3	ENSMUSG00000032890.17	chr4	120854815	120896579	41764	0.020288357228747	0.0258906461487658	0.00560228892001877	0.244771288714609	0.0142381319085906	TRUE	0.082380402871767	0.749285421729571	0.534785319552029	17	0	FALSE	FALSE	Unchanged	mCH_only	0.184885026	0.202396663	2.97e-07	4	3	TRUE	NA	NA	NA	NA	NA	NA	-0.708654563570414	3.41878258122674e-06	3.88036177178808e-09	7	7	TRUE	-0.488101293132271	0.015829710131497	0.000124565528132952	11	5	TRUE	2.142775	3.090293	0.486435	quantifiable
Myh7	ENSMUSG00000053093.16	chr14	54970683	54994626	23943	0.0181224037243613	0.0167352592471205	-0.00138714447724074	-0.396261668061361	0.0142434284087433	TRUE	0.0393373017602607	0.847897062628897	0.836651078672555	3	0	FALSE	FALSE	Unchanged	mCH_only	-0.525750087	0.001343451	0.001343451	1	1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0479444685025365	0.835757703550917	0.835757703550917	1	0	FALSE	1.631031	1.270863	-0.312137	quantifiable
Gigyf1	ENSMUSG00000029714.11	chr5	137518547	137527935	9388	0.0195952809185979	0.0151051905774956	-0.00449009034110235	-0.594299266908367	0.0142521357440858	TRUE	-0.058395009573668	0.785058745679234	0.785058745679234	2	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0127170063193054	0.953177889379871	0.705416214585494	5	0	FALSE	1.152041	0.858558	-0.347152	quantifiable
Sptlc3	ENSMUSG00000039092.9	chr2	139493912	139637674	143762	0.0174865950846028	0.0177130997074627	0.000226504622859877	-0.164190898120767	0.0142521357440858	TRUE	-0.0398011231759562	1	7.80428767867741e-08	43	21	TRUE	FALSE	Unchanged	mCH_only	0.510986182	0.00096893	1.61e-36	16	16	TRUE	NA	NA	NA	NA	NA	NA	-1.64158050650875	3.16036988511481e-20	2.89951845043416e-41	11	9	TRUE	0.00913360947711461	0.964057280532623	0.001567901155914	9	3	TRUE	1.014913	1.060421	0.052199	quantifiable
Cdh9	ENSMUSG00000025370.7	chr15	16728755	16857094	128339	0.0132573439501545	0.0139583289810818	0.000700985030927293	-0.204293975830047	0.0142521357440858	TRUE	-0.00215939168511153	1	0.620363440026674	9	0	FALSE	FALSE	Unchanged	mCH_only	-0.127695579	0.501769795	0.501769795	1	0	FALSE	-0.253457276100609	0.308628125434962	0.308628125434962	2	0	FALSE	NA	NA	NA	NA	NA	NA	0.0647692922859942	0.789101965424747	0.789101965424747	1	0	FALSE	0.415579	0.312796	-0.254384	quantifiable
Eif5a	ENSMUSG00000078812.10	chr11	69916713	69921958	5245	0.0191660955312337	0.0126427765350839	-0.00652331899614981	-0.912841588325301	0.0142521357440858	TRUE	-0.0388918697602172	0.820518086217795	0.820518086217795	1	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.00422452154468485	0.97939522459698	0.97939522459698	1	0	FALSE	-0.0387372500509583	0.854631343264953	0.854631343264953	1	0	FALSE	1.253417	1.038877	-0.226989	quantifiable
Mgat4c	ENSMUSG00000019888.16	chr10	101681486	102391469	709983	0.0129036115028767	0.0140604910060558	0.0011568795031791	-0.111581312528228	0.0142521357440858	TRUE	-0.0412153795623	1	0.949915122617818	8	0	FALSE	FALSE	Unchanged	mCH_only	-0.37829774	0.048740717	0.048740717	1	1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.743401769818075	0.000672010728574599	0.000672010728574599	2	1	TRUE	0.417903	0.286729	-0.331984	quantifiable
Vmn2r97	ENSMUSG00000091491.2	chr17	18914299	18958087	43788	0.0124305809697827	0.0120014997091809	-0.000429081260601843	-0.33788140116608	0.0142540765021439	TRUE	0.0405947394303501	0.871422754887769	0.871422754887769	3	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.081307	0.049962	NA	no_signal
Glis3	ENSMUSG00000052942.13	chr19	28258850	28680077	421227	0.0183764000607565	0.0192305135142233	0.000854113453466858	-0.0941851926363428	0.0143380969909319	TRUE	0.140574071778744	0.546866776944746	0.0228943504376724	74	1	TRUE	FALSE	Unchanged	mCH_only	0.025918542	0.802218158	1.32e-10	6	4	TRUE	-0.0855369901335613	0.627445385789153	1.29529540803247e-05	9	4	TRUE	NA	NA	NA	NA	NA	NA	0.71002040818404	0.00990398952534185	1.00101270744373e-06	8	3	TRUE	1.16665	1.139732	-0.028276	quantifiable
Rcor3	ENSMUSG00000037395.15	chr1	192098545	192138062	39517	0.0139439449654811	0.0132399647816545	-0.000703980183826666	-0.322595950052816	0.0143497116544813	TRUE	-0.0552886773208558	0.80337596704183	0.80337596704183	3	0	FALSE	FALSE	Unchanged	mCH_only	0.010209328	0.962055934	0.962055934	1	0	FALSE	NA	NA	NA	NA	NA	NA	0.21710833801152	0.171067145227633	0.00273001093672123	2	1	TRUE	0.145466485105116	0.383924453988536	0.383924453988536	3	0	FALSE	0.89875	0.758115	-0.193768	quantifiable
Prlr	ENSMUSG00000005268.20	chr15	10177237	10349180	171943	0.0177301358824164	0.017973861376572	0.00024372549415556	-0.149884840019778	0.0143497116544813	TRUE	-0.0211256358938672	0.930495524777039	0.393282178648921	17	0	FALSE	FALSE	Unchanged	mCH_only	-0.30137592	0.038487943	0.004247742	2	2	TRUE	-0.39431671999685	0.0254310763013087	0.0254310763013087	4	1	TRUE	NA	NA	NA	NA	NA	NA	0.893476299281698	2.40485433096156e-05	2.40485433096156e-05	1	1	TRUE	0.817298	0.559142	-0.412763	quantifiable
Pde2a	ENSMUSG00000110195.1	chr7	101421690	101512827	91137	0.0311731687017615	0.029914308637917	-0.00125886006384448	-0.147310305289493	0.0143497116544813	TRUE	0.163412285900942	0.481059049695072	0.112156544061087	21	0	FALSE	FALSE	Unchanged	mCH_only	-0.157799881	0.227710914	0.009404556	8	1	TRUE	-0.180387626242548	0.368052534458984	1.24550557193253e-05	6	4	TRUE	NA	NA	NA	NA	NA	NA	0.419623332531699	0.0291519747721284	4.20180730966876e-06	11	6	TRUE	2.94789	2.985465	0.01701	quantifiable
Map3k5	ENSMUSG00000071369.11	chr10	19934471	20142753	208282	0.0224875705069167	0.0261049098596401	0.00361733935272335	0.111792694886558	0.0143497116544813	TRUE	-0.00996208532653743	0.969700330771391	3.74245627259516e-07	35	3	TRUE	FALSE	Unchanged	mCH_only	0.586652885	4.03e-11	1.74e-28	10	7	TRUE	NA	NA	NA	NA	NA	NA	-0.271951810503595	0.0664668288853526	7.57268540328753e-20	5	4	TRUE	0.127732435187552	0.466078677048743	0.00104960910368143	14	1	TRUE	1.397283	2.177541	0.567914	quantifiable
Tectb	ENSMUSG00000024979.13	chr19	55180732	55196313	15581	0.0175675472954719	0.01571917024765	-0.0018483770478219	-0.438693024185934	0.0143497116544813	TRUE	0.171413787874663	1	0.635001940644521	5	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25456911935079	0.220123328787898	0.148661085770472	3	0	FALSE	1.039462	0.846615	-0.239718	quantifiable
Szt2	ENSMUSG00000033253.18	chr4	118362742	118409273	46531	0.0147666567105907	0.0145721797086991	-0.000194477001891655	-0.28077089060125	0.0143497116544813	TRUE	-0.0270919857730552	0.913336148552966	0.818432407581183	13	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0429007633215926	0.842928547305906	0.842928547305906	2	0	FALSE	0.600043	0.387562	-0.432523	quantifiable
Zfp940	ENSMUSG00000050855.16	chr7	29833619	29853669	20050	0.0124968432357933	0.0111320641985466	-0.00136477903724669	-0.457021562635953	0.0143497116544813	TRUE	-0.0696950809131825	0.735158852527391	0.735158852527391	2	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.149207334971694	0.429319774143269	0.429319774143269	1	0	FALSE	0.166326	0.147051	NA	no_signal
Rpp14	ENSMUSG00000023156.4	chr14	8080366	8091834	11468	0.0147988125523037	0.0123880969065699	-0.00241071564573385	-0.590195128531024	0.0143497116544813	TRUE	-0.151225577278264	0.462952310358373	0.462952310358373	3	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27502097449143	0.0853484808215075	0.0853484808215075	1	0	FALSE	0.0746032985216268	0.690638540679152	0.33147949987518	2	0	FALSE	0.618894	0.799557	0.281309	quantifiable
Uba6	ENSMUSG00000035898.13	chr5	86109286	86172803	63517	0.0131315510630043	0.0126937668865725	-0.000437784176431784	-0.333487233434095	0.0143497116544813	TRUE	-0.0849883778755664	0.652159977235408	0.652159977235408	1	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00346148324825641	0.983790455606425	0.983790455606425	1	0	FALSE	0.0792834631725924	0.664698690958735	0.664698690958735	1	0	FALSE	0.478424	0.49441	0.032637	quantifiable
Otud1	ENSMUSG00000043415.5	chr2	19657751	19660583	2832	0.0275981224472695	0.045232490110565	0.0176343676632955	0.786126378442562	0.0143497116544813	TRUE	-0.0431420206805485	0.846590626239983	0.00255530280112965	13	2	TRUE	FALSE	Unchanged	mCH_only	0.580259587	2.16e-06	2.12e-10	2	2	TRUE	0.165021061585439	0.445523197985019	0.0745213486364668	5	0	FALSE	-0.13719965997369	0.443952883556382	0.443952883556382	1	0	FALSE	0.0401472956934759	0.842578569155584	0.00167962183697317	5	1	TRUE	3.081759	4.820611	0.610328	quantifiable
Ippk	ENSMUSG00000021385.10	chr13	49421248	49464573	43325	0.0144214860961781	0.0139606032241303	-0.000460882872047879	-0.282679337746038	0.0143497116544813	TRUE	-0.159084186205878	0.463866136060393	0.207783299242064	9	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.252418090930046	0.145953302389543	0.00071365293905712	3	1	TRUE	0.106599978972669	0.534532937882133	0.153533025015233	6	0	FALSE	0.709497	0.612919	-0.158232	quantifiable
Rab44	ENSMUSG00000064147.7	chr17	29114144	29148980	34836	0.0341242045773106	0.0304060019276028	-0.0037182026497078	-0.222151253620086	0.0143497116544813	TRUE	-0.0482793705250335	0.837318141928856	0.470307879463708	11	0	FALSE	FALSE	Unchanged	mCH_only	-0.017076507	0.921702853	0.198229663	2	0	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.225803425593857	0.238000268702794	0.238000268702794	4	0	FALSE	1.39574	1.282638	-0.104682	quantifiable
Dcdc2c	ENSMUSG00000020633.14	chr12	28437794	28552399	114605	0.0149101081825558	0.0147151541096907	-0.00019495407286506	-0.18708238211064	0.0143497116544813	TRUE	-0.022283059888197	0.912677976170116	0.255175798764004	57	0	FALSE	FALSE	Unchanged	mCH_only	0.192870745	0.433186469	0.001446227	2	1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.130125446765618	0.617373120609132	0.00256349154068999	3	1	TRUE	0.746047	0.517881	-0.388596	quantifiable
Camk1g	ENSMUSG00000016179.11	chr1	193346345	193370298	23953	0.0617294474708397	0.0563394670628371	-0.00538998040800268	-0.177392624756738	0.0143700064077965	TRUE	-0.0894116043231886	0.697162802043108	0.0153556958399954	30	1	TRUE	FALSE	Unchanged	mCH_only	-0.005495531	0.961079648	3.11e-10	21	14	TRUE	0.484004645560128	0.0109399097350302	6.89949139261347e-05	14	9	TRUE	-0.271420344605959	0.174813856102933	0.174813856102933	1	0	FALSE	0.0876015517664848	0.680916695607878	0.0764743116895991	14	0	FALSE	5.742202	7.653597	0.401164	quantifiable
Lyrm2	ENSMUSG00000045854.4	chr4	32800252	32801559	1307	0.0216982795479704	0.013507237098921	-0.00819104244904944	-1.80551567231607	0.0143869608367184	TRUE	-0.00813815286263677	0.972662098128561	0.960424658369673	3	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0608019718845665	0.70598710617059	0.70598710617059	1	0	FALSE	-0.0955383072202623	0.583607342585507	0.583607342585507	1	0	FALSE	2.806611	4.602632	0.672076	quantifiable
Dido1	ENSMUSG00000038914.15	chr2	180657963	180709999	52036	0.013089413559561	0.0133976339013124	0.000308220341751351	-0.262569498287583	0.0143869608367184	TRUE	-0.068336842624606	0.722723602230995	0.442401067153637	7	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.168483269192599	0.224116943063082	1.16785119028493e-07	3	1	TRUE	0.114490442225448	0.51380626092512	0.201350257517355	7	0	FALSE	0.684082	0.483896	-0.360982	quantifiable
Dhx33	ENSMUSG00000040620.15	chr11	70984090	71004437	20347	0.0138155168207726	0.0118458618659012	-0.00196965495487144	-0.484830596591659	0.014408289208938	TRUE	-0.020194558360126	0.927221744965855	0.435210238860865	3	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0718984304362325	0.692903027877259	0.692903027877259	1	0	FALSE	0.383261	0.389494	0.014824	quantifiable
Ppp5c	ENSMUSG00000003099.11	chr7	17004639	17027924	23285	0.0192701982435605	0.0175543411976125	-0.00171585704594803	-0.33303582567638	0.0144234454652728	TRUE	0.0324075637953414	0.876889887893137	0.218279461984266	10	0	FALSE	FALSE	Unchanged	mCH_only	-0.162807904	0.303227148	0.018534569	2	1	TRUE	NA	NA	NA	NA	NA	NA	-0.593470961068203	7.14189019552875e-05	7.14189019552875e-05	6	5	TRUE	0.00751090078141549	0.971848278419629	0.000513634417748957	7	2	TRUE	1.654748	1.928635	0.1967	quantifiable
Usp45	ENSMUSG00000040455.17	chr4	21767155	21837872	70717	0.0143146937193709	0.01387233413804	-0.000442359581330872	-0.260889826599347	0.0144591260115576	TRUE	-0.00784874248873857	0.973515319820465	0.973515319820465	3	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0944148963129631	0.574550333225878	0.0501119600078806	2	0	FALSE	0.153006267099865	0.358016569456491	0.358016569456491	2	0	FALSE	0.55832	0.637525	0.139774	quantifiable
Fads6	ENSMUSG00000044788.10	chr11	115279621	115297663	18042	0.0183366129167751	0.0161818432784094	-0.00215476963836568	-0.385362938133111	0.0144681248411519	TRUE	-0.00748730639554754	0.972977260131089	0.468823135259118	2	0	FALSE	FALSE	Unchanged	mCH_only	0.147514381	0.357072963	0.357072963	1	0	FALSE	NA	NA	NA	NA	NA	NA	-0.0599755767816885	0.671395833833387	0.671395833833387	1	0	FALSE	0.054441768150673	0.770101223236492	0.770101223236492	3	0	FALSE	0.849908	0.681931	-0.246338	quantifiable
Tph1	ENSMUSG00000040046.14	chr7	46644640	46672537	27897	0.0298933462692841	0.0362188424345298	0.00632549616524572	0.223231767574729	0.0144865324287435	TRUE	0.0103003697669667	0.968748366245193	0.00797353209816948	5	1	TRUE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.374237772984818	0.0594213920109838	0.0594213920109838	1	0	FALSE	-0.156708325080136	0.495756568955015	3.90890104421741e-06	6	2	TRUE	1.104575	1.435569	0.321746	quantifiable
Fam53b	ENSMUSG00000030956.15	chr7	132712081	132813886	101805	0.0188780525275148	0.0227640945915962	0.00388604206408138	0.151696847364605	0.0144865324287435	TRUE	-0.0711459202308351	0.74921328037921	0.620596896792366	29	0	FALSE	FALSE	Unchanged	mCH_only	-0.101669906	0.520640766	9.55e-07	8	2	TRUE	NA	NA	NA	NA	NA	NA	-0.455752600087093	0.00141826682306062	9.82688534029746e-10	17	12	TRUE	0.130995476167002	0.522743060308726	0.00517255175581462	29	2	TRUE	1.66813	1.86621	0.143908	quantifiable
Arglu1	ENSMUSG00000040459.11	chr8	8665074	8690521	25447	0.0141662461069591	0.0131563759490385	-0.00100987015792055	-0.413263132645622	0.0144969529753962	TRUE	-0.0998960925839321	0.641831159841494	0.522285386235494	33	0	FALSE	FALSE	Unchanged	mCH_only	NA	NA	NA	NA	NA	NA	-0.0864222515190707	0.654644243026458	0.654644243026458	1	0	FALSE	0.191566860604527	0.3159908659317	0.3159908659317	1	0	FALSE	0.151936139114004	0.389767919700626	0.389767919700626	2	0	FALSE	1.021145	0.901946	-0.145639	quantifiable
