gene_name	gene_id	chr	start	end	gene_length	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_direction	promoter_state	body_state	atac_fold	atac_fdr	atac_n_peaks	k27ac_fold	k27ac_fdr	k27ac_n_peaks	k27me3_fold	k27me3_fdr	k27me3_n_peaks	k119ub_fold	k119ub_fdr	k119ub_n_peaks
Map3k3	ENSMUSG00000020700.11	chr11	106084612	106155446	70834	0.0145601196087143	0.0147541322112189	0.000194012602504656	-0.21971505198479	0.0238964663342494	TRUE	Hypomethylated	Active_Promoter	Active	-1.21796529952399	1.85007325331165e-10	5	-0.0819694977032225	0.557506134127024	4	NA	NA	NA	NA	NA	NA
Tyms	ENSMUSG00000025747.12	chr5	30058201	30073617	15416	0.0172003383866928	0.0142108798185183	-0.00298945856817455	-0.443231934742699	0.0238964663342494	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.353704528411319	0.081782179205617	1	NA	NA	NA	NA	NA	NA	0.597810848	0.000238946	1
Hsf3	ENSMUSG00000045802.13	chrX	96306177	96456294	150117	0.0126579899962746	0.0129983196419965	0.000340329645721888	-0.25566998280583	0.0239338724857735	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pik3c2g	ENSMUSG00000030228.18	chr6	139587220	139969284	382064	0.01437895454643	0.015358548224217	0.000979593677786947	-0.115289568979699	0.02394436560846	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.0617866910805247	0.810501398865122	2	NA	NA	NA	0.208946639412305	0.366553640319856	1	NA	NA	NA
Dact3	ENSMUSG00000078794.4	chr7	16875316	16887462	12146	0.0313308797550175	0.0268924864051602	-0.00443839334985733	-0.352964117759295	0.0239912620862356	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.00797444148561028	0.973806021368303	1	0.0849336652536277	0.574994618649646	1	NA	NA	NA	NA	NA	NA
Pank3	ENSMUSG00000018846.8	chr11	35769483	35791285	21802	0.0135226189188213	0.0127264948279205	-0.000796124090900864	-0.378598788932802	0.0239915177158049	TRUE	Hypomethylated	Active_Promoter	Active	0.0457918754772197	0.79928810797741	3	0.197616618241406	0.192782227664399	1	NA	NA	NA	NA	NA	NA
Arel1	ENSMUSG00000042350.13	chr12	84918147	84970900	52753	0.0147641077490156	0.0143469435178649	-0.000417164231150782	-0.292944633088923	0.0239915177158049	TRUE	Hypomethylated	Unmarked_Promoter	Active	0.0966621901196781	0.605183266663653	4	-0.538342786995038	0.00263666137143786	1	NA	NA	NA	-0.524435214	0.003780743	1
9330182L06Rik	ENSMUSG00000056004.16	chr5	9266117	9481825	215708	0.0219365624874639	0.0221802746428166	0.00024371215535272	-0.106108285387475	0.0240288941541197	TRUE	Hypomethylated	Active_Promoter	Active	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Prox1	ENSMUSG00000010175.13	chr1	190118034	190170714	52680	0.0228256679334462	0.0217218344658365	-0.00110383346760976	-0.208287162372525	0.0240493745277385	TRUE	Hypomethylated	Active_Promoter	Active	0.222212515071258	0.267828598609407	14	-0.0484275604152326	0.728480422303676	3	0.0567319636390963	0.780167308826261	2	0.160421228	0.148597145	9
Il1rapl2	ENSMUSG00000059203.10	chrX	137570607	138846946	1276339	0.012184460210095	0.0134561027959818	0.00127164258588687	-0.100979939525688	0.0240873348558973	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	NA	NA	NA	NA	NA	NA	-0.466014486677634	0.0117622666990763	1	NA	NA	NA
Tbcel	ENSMUSG00000037287.15	chr9	42412315	42507809	95494	0.0182058306978922	0.0182897148153544	8.38841174621678e-05	-0.161999947003739	0.0240873348558973	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.310276218037673	0.0765557130747065	17	0.133784345524729	0.459319762073369	5	-0.379969173578954	0.0376927979232515	1	0.160880376	0.24300203	6
Nlrp6	ENSMUSG00000038745.15	chr7	140920901	140929192	8291	0.0345641642269541	0.0272228197009866	-0.00734134452596756	-0.38657536973467	0.0241209709788998	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	0.102458853402163	0.566231789635923	1	NA	NA	NA	0.0596084737946802	0.813765269871726	1	-0.142284905	0.197999819	1
Hoxc4	ENSMUSG00000075394.4	chr15	103018933	103036852	17919	0.0180368372177162	0.0143648089318341	-0.0036720282858821	-0.446928060832051	0.0241713008768536	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	NA	NA	NA	NA	NA	NA	-0.0676850420598717	0.760532619887134	11	-0.498653407	4.1e-07	5
Gpr149	ENSMUSG00000043441.5	chr3	62529076	62605140	76064	0.0140775820686823	0.0140759615252148	-1.62054346747667e-06	-0.234320388851868	0.0241713008768536	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	0.173223907619639	0.506391958540921	1	NA	NA	NA	-0.633908559382408	0.000380138459846747	1	-0.265026797	0.095822404	1
Marchf6	ENSMUSG00000039100.10	chr15	31455890	31531053	75163	0.0131879671324211	0.0133234681707866	0.000135501038365519	-0.214989411606772	0.0241722168143057	TRUE	Hypomethylated	Active_Promoter	Enhancer_Marked	-0.156024940953821	0.352186279718988	6	0.0747793567633096	0.648683589197202	3	NA	NA	NA	NA	NA	NA
Flot2	ENSMUSG00000061981.14	chr11	78037930	78060434	22504	0.0159937140982992	0.0153035005615266	-0.000690213536772557	-0.40036125130462	0.0241722168143057	TRUE	Hypomethylated	Unmarked_Promoter	Active	0.0850149000174225	0.651940033527528	2	-0.0220346836826535	0.88576236549531	1	NA	NA	NA	NA	NA	NA
Trhde	ENSMUSG00000050663.8	chr10	114398820	114802307	403487	0.0173533293922231	0.0181361470735108	0.000782817681287667	-0.0991099949126283	0.0242217911809562	TRUE	Hypomethylated	Active_Promoter	Active	0.132385514953563	0.479011559112166	11	-0.216256193332473	0.164544958375523	6	NA	NA	NA	0.447834765	4.63e-05	7
Olfr1504	ENSMUSG00000059105.4	chr19	13886919	13897928	11009	0.0149272968163592	0.0115373105288796	-0.00338998628747956	-0.622683307179282	0.0242372226366647	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wdr62	ENSMUSG00000037020.16	chr7	30240137	30280419	40282	0.0170549001461573	0.0165058294273068	-0.000549070718850492	-0.25595554501506	0.0242410159602669	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.117064738681769	0.48647186448451	1	0.0376957819771423	0.812170097527866	1	NA	NA	NA	NA	NA	NA
Zcchc4	ENSMUSG00000029179.14	chr5	52775408	52824665	49257	0.0138683123850282	0.0139177459255545	4.94335405263214e-05	-0.25230072996675	0.0242522078320124	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	-0.470280748153842	0.0815643725872464	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pdss2	ENSMUSG00000038240.13	chr10	43221485	43464882	243397	0.0211379538140864	0.0217937869485855	0.000655833134499038	-0.11036530420203	0.0242697864889438	TRUE	Hypomethylated	Active_Promoter	Active	0.215475828910531	0.220773944067815	9	0.136377294840092	0.371987057956969	3	NA	NA	NA	0.724637996	4.29e-13	5
Trim67	ENSMUSG00000036913.15	chr8	124793091	124834713	41622	0.0196594355886654	0.0188586208570523	-0.000800814731613021	-0.24214038041352	0.0242795639671071	TRUE	Hypomethylated	Active_Promoter	Active	-0.135514474573368	0.453588135828972	8	0.0473135607759394	0.756183079518813	1	NA	NA	NA	-0.109288549	0.387658425	3
Ndrg3	ENSMUSG00000027634.14	chr2	156927344	156992056	64712	0.0138547724841816	0.0137059976034444	-0.000148774880737192	-0.23496930704916	0.0242803561674722	TRUE	Hypomethylated	Active_Promoter	Active	0.0654405848513714	0.716615816552949	11	0.117367045627731	0.428040222900226	11	NA	NA	NA	NA	NA	NA
4933424G06Rik	ENSMUSG00000102416.4	chr1	36710148	36757953	47805	0.0182429813130562	0.0174166301956288	-0.000826351117427453	-0.24847197031487	0.0242861700422416	TRUE	Hypomethylated	Active_Promoter	Active	0.232351226221618	0.286393544362628	2	NA	NA	NA	NA	NA	NA	-0.112842956	0.484415297	1
Dtx3l	ENSMUSG00000049502.17	chr16	35926510	35939151	12641	0.0180449096654276	0.0165612838659253	-0.00148362579950233	-0.446943248004137	0.0242861700422416	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.54982761508927	0.013204553579874	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Csgalnact2	ENSMUSG00000042042.14	chr6	118107451	118139140	31689	0.0148069183168889	0.0149180684830979	0.000111150166209047	-0.30386872204184	0.0242861700422416	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.033441885566979	0.865396607071632	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dlgap2	ENSMUSG00000047495.15	chr8	14095864	14847680	751816	0.0318091896623242	0.0344789979794683	0.00266980831714408	0.0544037450826409	0.0243287476323463	TRUE	Hypermethylated	Repressed_Promoter	Polycomb	1.07916291872867	9.4619811021798e-06	23	1.18703001420602	1.27639391618032e-06	1	-0.10540310095111	0.6297586727294	101	0.319698384	5.9e-05	78
Adamtsl5	ENSMUSG00000043822.18	chr10	80339109	80348412	9303	0.0323292153153872	0.0253891779112624	-0.00694003740412487	-0.391349194354912	0.0243318424907592	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	0.530019187025715	0.00262065816899306	4	NA	NA	NA	-0.0181057387398162	0.95243291279346	2	-0.149546026	0.155347052	2
Treh	ENSMUSG00000032098.13	chr9	44673232	44686305	13073	0.0223236003576007	0.0176949364584794	-0.00462866389912127	-0.427106630741988	0.0243318424907592	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	-0.167507360991098	0.363416702524913	4	NA	NA	NA	NA	NA	NA	-0.515505071	9.4e-07	1
Wwp1	ENSMUSG00000041058.15	chr4	19608302	19708993	100691	0.0141714585601466	0.0148122413438456	0.00064078278369898	-0.184469894578821	0.0243318424907592	TRUE	Hypomethylated	Active_Promoter	Active	0.0477064931562426	0.812248582071802	2	-0.00456290235307556	0.98158263845872	2	NA	NA	NA	0.611685084	1.65e-08	1
Exoc4	ENSMUSG00000029763.17	chr6	33249084	33973979	724895	0.0258585132562356	0.0265333977390124	0.000674884482776788	-0.0684169558926945	0.0243318424907592	TRUE	Hypomethylated	Unmarked_Promoter	Active	0.0751983854959055	0.703735184749826	16	-0.0312529092537107	0.876501843838193	7	-0.256117999669453	0.17409089267722	1	0.593372508	5.14e-11	13
Gsdma3	ENSMUSG00000064224.10	chr11	98626359	98638226	11867	0.0162717207566835	0.0137344925668739	-0.00253722818980958	-0.580714207140984	0.024384098147691	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ubr2	ENSMUSG00000023977.15	chr17	46928294	47010556	82262	0.0126983761705673	0.0128558402900824	0.000157464119515087	-0.217690323862587	0.0244091751876095	TRUE	Hypomethylated	Active_Promoter	Active	0.0400583917455626	0.833324908790144	4	0.177191760965475	0.227304014427936	1	NA	NA	NA	NA	NA	NA
Stam2	ENSMUSG00000055371.17	chr2	52691663	52742281	50618	0.0187625166487391	0.0176765763342615	-0.00108594031447764	-0.230823782990619	0.0244183603362422	TRUE	Hypomethylated	Active_Promoter	Enhancer_Marked	0.377516353046537	0.029768629344726	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brsk2	ENSMUSG00000053046.16	chr7	141949750	142004247	54497	0.0177338351971692	0.0169338114524947	-0.00080002374467443	-0.235550518558807	0.0244377406167483	TRUE	Hypomethylated	Active_Promoter	Active	0.0734472505559096	0.689408022229598	14	-0.00688611735066425	0.963844973777434	7	NA	NA	NA	-0.203576615	0.243669133	6
Mrgprd	ENSMUSG00000051207.7	chr7	145314834	145324086	9252	0.0247242698470603	0.0362486968916674	0.0115244270446071	0.45002798583084	0.0244503918467188	TRUE	Hypermethylated	Unmarked_Promoter	Enhancer_Marked	-0.0924363902608115	0.675615924041952	6	0.133436776635327	0.400870003108523	4	NA	NA	NA	NA	NA	NA
Awat2	ENSMUSG00000031220.14	chrX	100402220	100442717	40497	0.0151309461538504	0.0139640023744208	-0.00116694377942955	-0.340302703160308	0.02446604803893	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Car6	ENSMUSG00000028972.11	chr4	150187014	150201332	14318	0.022453982240286	0.0200409481880793	-0.00241303405220677	-0.375197294221082	0.0244767238584309	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Havcr1	ENSMUSG00000040405.13	chr11	46735079	46779578	44499	0.0141591147269831	0.0138437758896774	-0.000315338837305758	-0.288222547389438	0.0244840033040259	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cd2	ENSMUSG00000027863.8	chr3	101275898	101287939	12041	0.0251744087353857	0.0229796140824259	-0.00219479465295972	-0.359538869381545	0.0245377542180192	TRUE	Hypomethylated	Unmarked_Promoter	Polycomb	0.123895257420228	0.597946483892466	7	NA	NA	NA	0.124971316855477	0.661369556394453	2	-0.417135398	0.003461247	8
Cept1	ENSMUSG00000040774.15	chr3	106502259	106547802	45543	0.0135807674164729	0.0132144094109361	-0.000366358005536763	-0.289808998732849	0.0245696529327435	TRUE	Hypomethylated	Active_Promoter	Active	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Liph	ENSMUSG00000044626.13	chr16	21953816	21995663	41847	0.0160023739055897	0.0152056095172848	-0.000796764388304895	-0.264773996431038	0.024570896258029	TRUE	Hypomethylated	Unmarked_Promoter	Polycomb	1.01589752063979	0.000729825726482422	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sgk3	ENSMUSG00000025915.14	chr1	9798106	9900845	102739	0.0158205178661153	0.0162083527431043	0.000387834876988961	-0.170346463723384	0.0245729805496979	TRUE	Hypomethylated	Unmarked_Promoter	Mixed	0.850968346789768	0.000429677911869174	2	0.0407046996633202	0.834779915910621	1	-0.58674846663302	0.0144687679909951	1	0.208585418	0.16371633	2
Abhd17c	ENSMUSG00000038459.10	chr7	84109355	84151893	42538	0.0241109769327103	0.0225811155948227	-0.00152986133788763	-0.198605909823737	0.0245926158727782	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.0947717660420802	0.595730237221786	3	-0.197140700055561	0.257037901872337	1	NA	NA	NA	NA	NA	NA
Cnbp	ENSMUSG00000030057.15	chr6	87842614	87851106	8492	0.0148213131328107	0.011449373074022	-0.00337194005878866	-0.707678961354042	0.0245926158727782	TRUE	Hypomethylated	Active_Promoter	Active	0.0897863742511339	0.599778182330157	2	0.00615828842449712	0.971044825805853	2	NA	NA	NA	NA	NA	NA
Gimd1	ENSMUSG00000091721.4	chr3	132629819	132645351	15532	0.0115158034897036	0.0112597899292415	-0.000256013560462041	-0.528211083009147	0.0245928504948869	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ammecr1	ENSMUSG00000042225.3	chrX	142851145	142966728	115583	0.0174943400475636	0.0166022472482487	-0.000892092799314882	-0.204023814111499	0.0246460921717076	TRUE	Hypomethylated	Active_Promoter	Active	0.106968801745606	0.543718151585379	1	0.459288104159661	0.00727857804409649	1	NA	NA	NA	NA	NA	NA
Timp3	ENSMUSG00000020044.13	chr10	86300371	86349506	49135	0.0502628594356031	0.0478553031325791	-0.00240755630302399	-0.129591113543694	0.0246460921717076	TRUE	Hypomethylated	Repressed_Promoter	Mixed	0.252695321113747	0.15224635741375	17	-0.0250381420509065	0.894337417997026	3	0.0248049383418607	0.911027327942904	1	-0.020260426	0.858352218	13
Ceacam16	ENSMUSG00000014686.8	chr7	19852096	19861299	9203	0.015702608254923	0.0137226845718257	-0.00197992368309728	-0.608679644192127	0.0246943457097384	TRUE	Hypomethylated	Unmarked_Promoter	Polycomb	0.127375649135123	0.480232715833234	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nmnat2	ENSMUSG00000042751.14	chr1	152954992	153119261	164269	0.0193358238354357	0.0196303432480973	0.000294519412661565	-0.129367820764613	0.024747235881381	TRUE	Hypomethylated	Active_Promoter	Active	0.0931846065161273	0.633697037134381	29	0.0574544959538773	0.685155629225514	24	NA	NA	NA	0.4381942	9.09e-05	6
Itch	ENSMUSG00000027598.16	chr2	155133508	155226855	93347	0.0135247771268158	0.0135797206696101	5.49435427942644e-05	-0.218723870961828	0.024747235881381	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.0466217055294198	0.814266079421775	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abcf1	ENSMUSG00000038762.15	chr17	35956818	35969761	12943	0.0160425925638563	0.0127564870278859	-0.00328610553597045	-0.488467053882376	0.0247484932975948	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.0700630643317029	0.706734957582262	2	-0.541333487564857	0.0124995106273701	1	NA	NA	NA	NA	NA	NA
Xpc	ENSMUSG00000030094.8	chr6	91489304	91515888	26584	0.0151973291637691	0.0147986047597467	-0.000398724404022359	-0.311319175401011	0.0247516248420869	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.176410718367407	0.311707723536805	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Maob	ENSMUSG00000040147.14	chrX	16709281	16817366	108085	0.0130215149480773	0.0135893385774741	0.000567823629396776	-0.204458778441908	0.0248256873579495	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1700012B09Rik	ENSMUSG00000031927.9	chr9	14756586	14771030	14444	0.0141625853237296	0.0131500024095177	-0.00101258291421189	-0.442852494490988	0.0248518001951608	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	NA	NA	NA	NA	NA	NA	0.0173434882984248	0.939834021016534	2	NA	NA	NA
Slco1a1	ENSMUSG00000041698.11	chr6	141907281	141946962	39681	0.0123577323374216	0.012489757279001	0.000132024941579486	-0.307535494366495	0.0248518001951608	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fig4	ENSMUSG00000038417.4	chr10	41188171	41303260	115089	0.0186613691876319	0.0192184778357133	0.000557108648081468	-0.142506190764558	0.0249055462134557	TRUE	Hypomethylated	Active_Promoter	Enhancer_Marked	0.189056838859528	0.264323961296444	2	-0.285827162785982	0.120463747537016	1	NA	NA	NA	NA	NA	NA
Cyp4a12a	ENSMUSG00000066071.6	chr4	115299045	115332815	33770	0.0125755357667608	0.0132073594969478	0.000631823730187034	-0.372898694847687	0.0249256133286177	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhoj	ENSMUSG00000046768.13	chr12	75308321	75401456	93135	0.0489269880570548	0.0474663381815967	-0.00146064987545812	-0.105383144254592	0.024949470029935	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	0.784943585172701	3.02705874491966e-05	6	0.714286265378947	0.0019066241831319	1	-0.714842668593849	5.56427593764048e-05	5	-0.035482867	0.708958365	8
Zc3h6	ENSMUSG00000042851.17	chr2	128967401	129018563	51162	0.0165833909028181	0.0154565789665016	-0.00112681193631651	-0.241974199982307	0.0249725210378746	TRUE	Hypomethylated	Unmarked_Promoter	Active	0.0340023554741799	0.859810396031193	1	0.0287257594609518	0.870531553222747	2	NA	NA	NA	NA	NA	NA
3110021N24Rik	ENSMUSG00000094958.1	chr4	108719648	108781904	62256	0.0140478730805965	0.0136744624373316	-0.000373410643264857	-0.233623907385165	0.0249750898659675	TRUE	Hypomethylated	Unmarked_Promoter	Active	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fam3c	ENSMUSG00000029672.16	chr6	22306519	22356243	49724	0.0207363839492486	0.0198108588980552	-0.000925525051193348	-0.202488923597141	0.0250018307631862	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	-0.00183203484182235	0.993225948377646	4	NA	NA	NA	NA	NA	NA	0.60412871	1.71e-08	1
Rad18	ENSMUSG00000030254.16	chr6	112619849	112696686	76837	0.0158052933475104	0.0157053866819776	-9.99066655328132e-05	-0.20085264051046	0.0250234865596392	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	0.257507256795403	0.218177909634479	3	1.03358165251597	5.17851359591633e-06	3	NA	NA	NA	NA	NA	NA
Adamtsl1	ENSMUSG00000066113.16	chr4	85514171	86428385	914214	0.0227219368777118	0.0238122910712227	0.00109035419351093	-0.0639041394212083	0.0250398855004721	TRUE	Hypomethylated	Active_Promoter	Mixed	-0.0936335243140744	0.692905012297721	20	0.368654145223499	0.0637467701582565	3	0.105904384692006	0.651473936062494	3	0.015676075	0.914779827	21
St3gal1	ENSMUSG00000013846.10	chr15	67102874	67176830	73956	0.0186426322126021	0.0183756956312421	-0.000266936581359942	-0.196481490721276	0.0250452955423005	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	0.603362724250326	0.00155002208293486	6	NA	NA	NA	-0.422167411088209	0.00679656937929623	3	0.083532525	0.445014026	3
Acat1	ENSMUSG00000032047.5	chr9	53580521	53610382	29861	0.0143197468010884	0.0132459124246242	-0.00107383437646425	-0.321539990911652	0.0250452955423005	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.220397403097069	0.190755772834073	3	0.308327064502127	0.0782713559823834	1	NA	NA	NA	NA	NA	NA
Wdr37	ENSMUSG00000021147.17	chr13	8802967	8871909	68942	0.0128072865042106	0.0130541574206841	0.000246870916473553	-0.228649656325222	0.0250862573800601	TRUE	Hypomethylated	Active_Promoter	Active	0.0540921439667367	0.764361830017472	8	0.057265460662327	0.718973190206344	5	-0.418291847399672	0.0324006893688281	4	-0.503077861	0.017111544	3
Mup6	ENSMUSG00000078689.8	chr4	59964293	60007274	42981	0.0120651618653196	0.0119834448089804	-8.17170563391905e-05	-0.339852748552961	0.025104839068416	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fam181b	ENSMUSG00000051515.9	chr7	93079864	93081867	2003	0.0262013880528054	0.0215632838359454	-0.00463810421685998	-1.52375345342326	0.025104839068416	TRUE	Hypomethylated	Active_Promoter	Active	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acox1	ENSMUSG00000020777.16	chr11	116171887	116199045	27158	0.0142131723361705	0.0137654058275516	-0.000447766508618929	-0.360712367874124	0.025104839068416	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.0985770770120542	0.548909081792207	1	0.0207751245597776	0.911851794273004	1	NA	NA	NA	NA	NA	NA
Psmb2	ENSMUSG00000028837.8	chr4	126677629	126709714	32085	0.0133769334641229	0.0132360220320545	-0.000140911432068373	-0.306414026027261	0.025104839068416	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.0212326891538419	0.916986116797127	2	-0.965499082390172	1.08740544999811e-05	1	0.18350897787227	0.413623197065923	1	-0.187048759	0.258495964	1
Nanos3	ENSMUSG00000056155.6	chr8	84173730	84185217	11487	0.0251571010299483	0.0221882927537725	-0.00296880827617576	-0.388951870648967	0.0251098852340622	TRUE	Hypomethylated	Unmarked_Promoter	Enhancer_Marked	0.26945438506623	0.165298937837245	5	NA	NA	NA	NA	NA	NA	-0.034806283	0.800909498	3
B3gat1	ENSMUSG00000045994.17	chr9	26733727	26763101	29374	0.041573297444964	0.0391234154336937	-0.00244988201127037	-0.172377786049863	0.0251197990054124	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	0.869248482218287	0.00103447030015106	14	-0.476628989607502	0.0211407538922524	1	-0.334441288147056	0.055747032483997	18	-0.092626872	0.344474595	9
Pdgfd	ENSMUSG00000032006.15	chr9	6168583	6378850	210267	0.0136013923339233	0.0145078443972015	0.000906452063278136	-0.131740888449513	0.0251590436631133	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	-0.0235523817459133	0.921723991424109	1	NA	NA	NA	-0.0744628914081261	0.800925899119735	1	NA	NA	NA
Smc5	ENSMUSG00000024943.9	chr19	23206450	23273897	67447	0.0165383288032725	0.0172845194819404	0.000746190678667918	-0.208280207785737	0.0251593759614193	TRUE	Hypomethylated	Active_Promoter	Enhancer_Marked	0.0793612263477113	0.653883150838594	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ppp6r1	ENSMUSG00000052296.7	chr7	4631494	4659019	27525	0.0144563112186307	0.0135851839622651	-0.000871127256365602	-0.329231066415675	0.0251800786673106	TRUE	Hypomethylated	Active_Promoter	Active	0.0551510825309371	0.759679027462015	2	0.126694387809714	0.363002842751369	1	NA	NA	NA	NA	NA	NA
Btg3	ENSMUSG00000022863.15	chr16	78332636	78377192	44556	0.0154643597177886	0.0149916418017523	-0.000472717916036303	-0.268262841657627	0.0252030166853553	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	0.603154274528344	0.00156719478678055	11	-1.15035523724344	1.53206629862109e-10	4	-0.119961252558989	0.608508611847534	1	0.205673163	0.060253165	10
Chrm3	ENSMUSG00000046159.16	chr13	9875485	10360847	485362	0.018371126567699	0.0211998424359583	0.00282871586825933	0.0893257016102499	0.0252030166853553	TRUE	Hypermethylated	Repressed_Promoter	Polycomb	1.41568972180156	4.96407178079814e-14	7	1.41210234452297	4.88107838441499e-10	3	-0.444695109439492	0.049098108270472	1	0.325033577	0.00049613	5
Cyp2c38	ENSMUSG00000032808.2	chr19	39389555	39463075	73520	0.013130383181225	0.0129919472478198	-0.000138435933405201	-0.268907838629875	0.0252077282876784	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Smagp	ENSMUSG00000053559.13	chr15	100621338	100636940	15602	0.0248086971161186	0.0218179174124357	-0.00299077970368297	-0.330175834191227	0.0252159149430941	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	NA	NA	NA	NA	NA	NA	-0.0851008409943388	0.717817258293092	1	-0.295548954	0.046088113	1
Vmn2r77	ENSMUSG00000090949.2	chr7	86795026	86815140	20114	0.0124529155456128	0.0125983992079275	0.000145483662314642	-0.482661800117812	0.0252405478286731	TRUE	Hypomethylated	Unmarked_Promoter	Unmarked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B3gnt7	ENSMUSG00000079445.3	chr1	86302831	86307305	4474	0.0255437507759972	0.0199849317552307	-0.00555881902076641	-0.658790746572738	0.0252405478286731	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	0.772004779115261	0.000935431931018266	3	1.196578086983	6.77196357156793e-06	1	NA	NA	NA	NA	NA	NA
Ryr1	ENSMUSG00000030592.18	chr7	29003343	29125179	121836	0.0148697797683559	0.0151519590830174	0.000282179314661495	-0.187794173736354	0.0252802574516057	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	-0.0976075359757222	0.673617900586227	3	NA	NA	NA	0.0672558994793363	0.829770736600386	4	NA	NA	NA
Gcnt2	ENSMUSG00000021360.16	chr13	40859753	40960892	101139	0.0147892693680449	0.0150198426567993	0.000230573288754398	-0.165837715006949	0.0253144693836693	TRUE	Hypomethylated	Unmarked_Promoter	Polycomb	0.469094268518255	0.0408289932023501	4	NA	NA	NA	-0.172680171350944	0.361725636814882	2	-0.068081381	0.640469859	2
