gene_name	chr	is_synapse_and_mecp2_up	atac_remodeled
Dock8	chr19	FALSE	FALSE
Glcci1	chr6	FALSE	FALSE
Gbp5	chr3	FALSE	FALSE
Usp3	chr9	FALSE	FALSE
Spata1	chr3	FALSE	FALSE
Kdm3a	chr6	FALSE	FALSE
Lims2	chr18	FALSE	FALSE
Pten	chr19	FALSE	FALSE
Pak3	chrX	FALSE	TRUE
Zfp346	chr13	FALSE	FALSE
Gabrp	chr11	FALSE	FALSE
Marchf7	chr2	FALSE	FALSE
Insrr	chr3	FALSE	TRUE
Trf	chr9	FALSE	FALSE
L3mbtl2	chr15	FALSE	FALSE
Enpep	chr3	FALSE	FALSE
Kcnh2	chr5	FALSE	TRUE
Cfap43	chr19	FALSE	FALSE
Slc25a15	chr8	FALSE	FALSE
Map7d2	chrX	FALSE	FALSE
Ppp4r1	chr17	FALSE	FALSE
Itih4	chr14	FALSE	FALSE
Mical3	chr6	FALSE	TRUE
Etnk1	chr6	FALSE	FALSE
Gbx1	chr5	FALSE	FALSE
Fbxw2	chr2	FALSE	FALSE
Xrn1	chr9	FALSE	FALSE
Fcrl5	chr3	FALSE	FALSE
Tbc1d9b	chr11	FALSE	FALSE
Pcdhac1	chr18	FALSE	FALSE
Rab8b	chr9	FALSE	FALSE
Lypd6b	chr2	FALSE	TRUE
Hmg20a	chr9	FALSE	FALSE
Calb2	chr8	TRUE	FALSE
Tent4b	chr8	FALSE	FALSE
Adamts16	chr13	FALSE	FALSE
Wdr89	chr12	FALSE	FALSE
Thada	chr17	FALSE	FALSE
Aqp7	chr4	FALSE	FALSE
Ccdc149	chr5	FALSE	FALSE
Soat1	chr1	FALSE	TRUE
Aldh1l2	chr10	FALSE	FALSE
Gpr176	chr2	FALSE	TRUE
Shoc2	chr19	FALSE	FALSE
Ythdc2	chr18	FALSE	FALSE
Edem3	chr1	FALSE	FALSE
Fbxl4	chr4	FALSE	FALSE
Bcl11a	chr11	FALSE	TRUE
Adgra3	chr5	FALSE	TRUE
Aplp2	chr9	FALSE	FALSE
Ermp1	chr19	FALSE	FALSE
Tgs1	chr4	FALSE	FALSE
Emc2	chr15	FALSE	FALSE
Nell2	chr15	FALSE	FALSE
Hic1	chr11	FALSE	FALSE
Ptpre	chr7	FALSE	FALSE
Ube2j2	chr4	FALSE	FALSE
Rims3	chr4	FALSE	TRUE
Myh7	chr14	FALSE	FALSE
Gigyf1	chr5	FALSE	FALSE
Sptlc3	chr2	FALSE	FALSE
Cdh9	chr15	FALSE	FALSE
Eif5a	chr11	FALSE	FALSE
Mgat4c	chr10	FALSE	TRUE
Glis3	chr19	FALSE	TRUE
Rcor3	chr1	FALSE	FALSE
Prlr	chr15	FALSE	TRUE
Pde2a	chr7	FALSE	TRUE
Map3k5	chr10	FALSE	FALSE
Tectb	chr19	FALSE	FALSE
Szt2	chr4	FALSE	FALSE
Zfp940	chr7	FALSE	FALSE
Rpp14	chr14	FALSE	FALSE
Uba6	chr5	FALSE	FALSE
Otud1	chr2	FALSE	FALSE
Ippk	chr13	FALSE	FALSE
Rab44	chr17	FALSE	FALSE
Dcdc2c	chr12	FALSE	FALSE
Camk1g	chr1	FALSE	FALSE
Lyrm2	chr4	FALSE	FALSE
Dido1	chr2	FALSE	FALSE
Dhx33	chr11	FALSE	FALSE
Ppp5c	chr7	FALSE	FALSE
Usp45	chr4	FALSE	FALSE
Fads6	chr11	FALSE	FALSE
Tph1	chr7	FALSE	FALSE
Fam53b	chr7	FALSE	FALSE
Arglu1	chr8	FALSE	FALSE
Rtn4	chr11	FALSE	FALSE
Lancl2	chr6	FALSE	FALSE
Sorcs3	chr19	FALSE	FALSE
Rab11fip5	chr6	FALSE	FALSE
Anapc4	chr5	FALSE	FALSE
Selplg	chr5	FALSE	FALSE
Map3k6	chr4	FALSE	FALSE
Col26a1	chr5	FALSE	TRUE
Grhpr	chr4	FALSE	FALSE
Ccdc62	chr5	FALSE	FALSE
Cdk12	chr11	FALSE	FALSE
Fam20b	chr1	FALSE	FALSE
Il1r2	chr1	FALSE	FALSE
4933428G20Rik	chr11	FALSE	TRUE
Asxl1	chr2	FALSE	FALSE
Elp3	chr14	FALSE	FALSE
Zbtb8a	chr4	FALSE	FALSE
Srebf1	chr11	FALSE	FALSE
Pcgf3	chr5	FALSE	FALSE
Upf3b	chrX	FALSE	FALSE
Jakmip1	chr5	FALSE	TRUE
Hivep1	chr13	FALSE	FALSE
Ptprh	chr7	FALSE	FALSE
Dhx34	chr7	FALSE	FALSE
1700102P08Rik	chr9	FALSE	FALSE
1110002E22Rik	chr3	FALSE	TRUE
Itpkb	chr1	FALSE	FALSE
Tug1	chr11	FALSE	FALSE
4930564D02Rik	chr3	FALSE	FALSE
Rprd1a	chr18	FALSE	FALSE
Gabrr3	chr16	FALSE	TRUE
Ccn5	chr2	FALSE	TRUE
Vps35l	chr7	FALSE	FALSE
Hikeshi	chr7	FALSE	FALSE
Fzd3	chr14	FALSE	FALSE
Limk2	chr11	FALSE	FALSE
Arf2	chr11	FALSE	FALSE
Pp2d1	chr17	FALSE	FALSE
Ttc13	chr8	FALSE	FALSE
Bmper	chr9	FALSE	TRUE
Iqcm	chr8	FALSE	FALSE
Ints4	chr7	FALSE	FALSE
Npy2r	chr3	FALSE	TRUE
Sbno1	chr5	FALSE	FALSE
Arhgef40	chr14	FALSE	TRUE
Btbd16	chr7	FALSE	FALSE
Prss23	chr7	FALSE	FALSE
Ttll8	chr15	FALSE	FALSE
Tecrl	chr5	FALSE	FALSE
Tnip3	chr6	FALSE	FALSE
Pls3	chrX	FALSE	TRUE
Mtrex	chr13	FALSE	FALSE
Lats2	chr14	FALSE	FALSE
Cxxc5	chr18	FALSE	FALSE
Tmem266	chr9	FALSE	FALSE
Kcnt2	chr1	FALSE	TRUE
Impa2	chr18	FALSE	FALSE
Mlc1	chr15	FALSE	FALSE
Ndufc1	chr3	FALSE	FALSE
Adck2	chr6	FALSE	FALSE
Xkr4	chr1	FALSE	TRUE
Tmem30a	chr9	FALSE	FALSE
Eif3l	chr15	FALSE	FALSE
Bin1	chr18	FALSE	FALSE
Ahr	chr12	FALSE	FALSE
Gart	chr16	FALSE	FALSE
Shisa6	chr11	FALSE	FALSE
Copb1	chr7	FALSE	FALSE
Lipo3	chr19	FALSE	FALSE
Ccdc158	chr5	FALSE	FALSE
Rab2a	chr4	FALSE	FALSE
Ttc9	chr12	FALSE	FALSE
Rnf122	chr8	FALSE	FALSE
Myh15	chr16	FALSE	TRUE
Mllt1	chr17	FALSE	FALSE
Ecpas	chr4	FALSE	FALSE
Gm12695	chr4	FALSE	FALSE
Plxna1	chr6	FALSE	FALSE
Corin	chr5	FALSE	FALSE
Kcnj15	chr16	FALSE	FALSE
Bbs9	chr9	FALSE	FALSE
Abhd15	chr11	FALSE	FALSE
H60c	chr10	FALSE	FALSE
Slc25a23	chr17	FALSE	FALSE
Agtpbp1	chr13	FALSE	FALSE
Slc16a10	chr10	FALSE	FALSE
Cfap161	chr7	FALSE	FALSE
Gpld1	chr13	FALSE	FALSE
Gtf2ird2	chr5	FALSE	FALSE
Pigg	chr5	FALSE	FALSE
Arhgap33os	chr7	FALSE	FALSE
Atp2b3	chrX	FALSE	FALSE
Tceanc2	chr4	FALSE	FALSE
Med13	chr11	FALSE	FALSE
Serpinb5	chr1	FALSE	FALSE
Mylk2	chr2	FALSE	FALSE
Ulbp1	chr10	FALSE	FALSE
Slc25a17	chr15	FALSE	FALSE
Dnajc13	chr9	FALSE	FALSE
Cntnap3	chr13	FALSE	FALSE
Tram2	chr1	FALSE	FALSE
Zc3h14	chr12	FALSE	FALSE
4930402K13Rik	chrX	FALSE	FALSE
Dsp	chr13	FALSE	TRUE
Mmgt2	chr11	FALSE	FALSE
Eftud2	chr11	FALSE	FALSE
Cyb5b	chr8	FALSE	FALSE
Septin7	chr9	FALSE	FALSE
Aven	chr2	FALSE	FALSE
Lrp1	chr10	FALSE	FALSE
Gch1	chr14	FALSE	FALSE
Snupn	chr9	FALSE	FALSE
Psd	chr19	FALSE	TRUE
Dpysl2	chr14	FALSE	FALSE
Mbnl1	chr3	FALSE	FALSE
Ptpn9	chr9	FALSE	FALSE
Nudt2	chr4	FALSE	FALSE
Gngt2	chr11	FALSE	FALSE
Stx11	chr10	FALSE	FALSE
Sacs	chr14	FALSE	FALSE
Snx3	chr10	FALSE	FALSE
Dnajc22	chr15	FALSE	FALSE
Il12rb2	chr6	FALSE	FALSE
Trim25	chr11	FALSE	FALSE
Oaf	chr9	FALSE	FALSE
Atp1a4	chr1	FALSE	FALSE
Spc24	chr9	FALSE	FALSE
Spns3	chr11	FALSE	FALSE
Ulk2	chr11	FALSE	FALSE
Gm2030	chrX	FALSE	FALSE
Ciz1	chr2	FALSE	FALSE
Gucy2c	chr6	FALSE	FALSE
Nrip3	chr7	FALSE	FALSE
Il12rb1	chr8	FALSE	FALSE
Prkcz	chr4	FALSE	FALSE
Fam81a	chr9	FALSE	FALSE
Dclre1c	chr2	FALSE	FALSE
Prrc1	chr18	FALSE	FALSE
Drosha	chr15	FALSE	FALSE
Psd4	chr2	FALSE	TRUE
Zfp507	chr7	FALSE	FALSE
Psmd1	chr1	FALSE	FALSE
Vcl	chr14	FALSE	FALSE
Ankrd35	chr3	FALSE	FALSE
Cables1	chr18	FALSE	FALSE
Nup214	chr2	FALSE	FALSE
Snx8	chr5	FALSE	FALSE
Nsun3	chr16	FALSE	FALSE
Fyco1	chr9	FALSE	FALSE
Hmgxb3	chr18	FALSE	FALSE
Foxo3	chr10	FALSE	FALSE
Parvg	chr15	FALSE	TRUE
Limk1	chr5	FALSE	FALSE
Dcbld2	chr16	FALSE	FALSE
Zfp326	chr5	FALSE	FALSE
Asb7	chr7	FALSE	FALSE
Gmps	chr3	FALSE	FALSE
Fkbp14	chr6	FALSE	FALSE
Muc15	chr2	FALSE	TRUE
Pir	chrX	FALSE	TRUE
Srfbp1	chr18	FALSE	FALSE
Herc4	chr10	FALSE	FALSE
Npr1	chr3	FALSE	FALSE
Daw1	chr1	TRUE	FALSE
Crtap	chr9	FALSE	FALSE
Ttll4	chr1	FALSE	FALSE
Rbm26	chr14	FALSE	FALSE
Mga	chr2	FALSE	TRUE
Kndc1	chr7	FALSE	FALSE
Plaat1	chr16	FALSE	TRUE
Synpo2	chr3	FALSE	FALSE
Timm23	chr14	FALSE	FALSE
Wdr43	chr17	FALSE	FALSE
Aif1l	chr2	FALSE	FALSE
Tnfrsf1b	chr4	FALSE	FALSE
Rbbp8	chr18	FALSE	FALSE
Vezf1	chr11	FALSE	FALSE
Gtf3c2	chr5	FALSE	FALSE
Slc43a2	chr11	FALSE	TRUE
Zfp65	chr13	FALSE	FALSE
Pibf1	chr14	FALSE	FALSE
Birc6	chr17	FALSE	FALSE
Jazf1	chr6	FALSE	FALSE
Ncdn	chr4	FALSE	FALSE
Ska3	chr14	FALSE	FALSE
Slc12a8	chr16	FALSE	FALSE
Myom2	chr8	FALSE	TRUE
Prpf6	chr2	FALSE	FALSE
Nup210	chr6	FALSE	FALSE
Madd	chr2	FALSE	FALSE
Fbln5	chr12	FALSE	TRUE
Mrrf	chr2	FALSE	FALSE
Rorb	chr19	FALSE	TRUE
Traf3ip1	chr1	FALSE	FALSE
Slc35a3	chr3	FALSE	FALSE
Rab39	chr9	FALSE	FALSE
Itpr1	chr6	FALSE	FALSE
Mier1	chr4	FALSE	FALSE
Cyp7b1	chr3	FALSE	TRUE
Rusc2	chr4	FALSE	TRUE
Cldn10	chr14	FALSE	FALSE
Kif28	chr1	FALSE	FALSE
Unc45b	chr11	FALSE	FALSE
Pla2g2f	chr4	FALSE	FALSE
Med1	chr11	FALSE	FALSE
Atrx	chrX	FALSE	FALSE
Phf24	chr4	FALSE	TRUE
Trpm1	chr7	FALSE	FALSE
Fnbp1l	chr3	FALSE	FALSE
Crlf1	chr8	FALSE	TRUE
Ccdc177	chr12	FALSE	FALSE
Zfp12	chr5	FALSE	FALSE
Gad1	chr2	FALSE	TRUE
Tent5d	chrX	FALSE	FALSE
Ubash3a	chr17	FALSE	FALSE
Sh3bgrl	chrX	FALSE	TRUE
Tnfrsf13b	chr11	FALSE	FALSE
Csf2rb2	chr15	FALSE	FALSE
Neurl1b	chr17	FALSE	FALSE
Sar1b	chr11	FALSE	FALSE
Impg2	chr16	FALSE	TRUE
Begain	chr12	FALSE	FALSE
Sertad2	chr11	FALSE	FALSE
Dzip1l	chr9	FALSE	FALSE
Tmprss6	chr15	FALSE	FALSE
Lcmt1	chr7	FALSE	FALSE
Gm12216	chr11	FALSE	FALSE
Sim1	chr10	FALSE	TRUE
Susd6	chr12	FALSE	FALSE
Cyp2d22	chr15	FALSE	FALSE
Dgkk	chrX	FALSE	TRUE
Ap4e1	chr2	FALSE	FALSE
Caps2	chr10	FALSE	FALSE
Eif2ak2	chr17	FALSE	FALSE
Eif2ak1	chr5	FALSE	FALSE
Mei1	chr15	FALSE	TRUE
Nnt	chr13	FALSE	FALSE
Ubxn7	chr16	FALSE	FALSE
Wnt1	chr15	FALSE	FALSE
Septin11	chr5	FALSE	TRUE
Disp1	chr1	FALSE	FALSE
Cpt1c	chr7	FALSE	FALSE
Usp8	chr2	FALSE	FALSE
Mia2	chr12	FALSE	FALSE
Slc25a40	chr5	FALSE	FALSE
Calca	chr7	FALSE	FALSE
Swap70	chr7	FALSE	FALSE
Stt3b	chr9	FALSE	FALSE
Akr1d1	chr6	FALSE	FALSE
Depdc1b	chr13	FALSE	FALSE
Knop1	chr7	FALSE	FALSE
Son	chr16	FALSE	FALSE
Scube2	chr7	FALSE	FALSE
Sugct	chr13	FALSE	TRUE
Ilvbl	chr10	FALSE	FALSE
Aldh2	chr5	FALSE	FALSE
Crybg3	chr16	FALSE	TRUE
Afg3l2	chr18	FALSE	FALSE
Blmh	chr11	FALSE	FALSE
Abcd2	chr15	FALSE	TRUE
Plod1	chr4	FALSE	FALSE
Slc38a1	chr15	FALSE	TRUE
Rab23	chr1	FALSE	FALSE
Shisa3	chr5	FALSE	FALSE
Tgm4	chr9	FALSE	FALSE
Me2	chr18	FALSE	FALSE
Micu3	chr8	TRUE	FALSE
Setd1b	chr5	FALSE	FALSE
Mybpc2	chr7	FALSE	FALSE
Bhlhe40	chr6	FALSE	FALSE
Brd7	chr8	FALSE	FALSE
Evi5l	chr8	FALSE	FALSE
N4bp2	chr5	FALSE	FALSE
Ergic2	chr6	FALSE	FALSE
Rab38	chr7	FALSE	FALSE
Xndc1	chr7	FALSE	FALSE
Dtd2	chr12	FALSE	FALSE
Ren1	chr1	FALSE	FALSE
Cd2ap	chr17	FALSE	FALSE
Tchp	chr5	FALSE	FALSE
Gtf2i	chr5	FALSE	FALSE
Wapl	chr14	FALSE	FALSE
Cxcl3	chr5	FALSE	FALSE
Nr4a3	chr4	FALSE	FALSE
Stxbp3	chr3	FALSE	FALSE
Pdcd1	chr1	FALSE	FALSE
Cnbd2	chr2	FALSE	FALSE
Rbm6	chr9	FALSE	FALSE
Igbp1	chrX	FALSE	FALSE
Sccpdh	chr1	FALSE	FALSE
Cmc2	chr8	FALSE	FALSE
Ubac1	chr2	FALSE	FALSE
Nmnat3	chr9	FALSE	TRUE
Relch	chr1	FALSE	FALSE
Adora2b	chr11	FALSE	FALSE
Cdca2	chr14	FALSE	FALSE
Rassf10	chr7	FALSE	FALSE
Tmx4	chr2	FALSE	FALSE
Lyrm7	chr11	FALSE	FALSE
Ppfia3	chr7	FALSE	FALSE
Lpo	chr11	FALSE	FALSE
Lats1	chr10	FALSE	FALSE
Gpsm2	chr3	FALSE	FALSE
Tjp3	chr10	FALSE	FALSE
Lrif1	chr3	FALSE	FALSE
Rarg	chr15	FALSE	FALSE
Gars	chr6	FALSE	FALSE
Tom1l2	chr11	FALSE	TRUE
Rsbn1	chr3	FALSE	FALSE
Ctnnd1	chr2	FALSE	FALSE
Tubd1	chr11	FALSE	FALSE
Acer2	chr4	FALSE	FALSE
Clic5	chr17	FALSE	FALSE
Mroh2b	chr15	FALSE	FALSE
P2ry2	chr7	FALSE	TRUE
Afg3l1	chr8	FALSE	FALSE
C2cd5	chr6	FALSE	FALSE
Nkd2	chr13	FALSE	TRUE
Stimate	chr14	FALSE	FALSE
Zfp469	chr8	FALSE	FALSE
Zswim4	chr8	FALSE	FALSE
Cntn6	chr6	TRUE	FALSE
P2ry12	chr3	FALSE	FALSE
Ube2e2	chr14	FALSE	FALSE
Iqce	chr5	FALSE	FALSE
Plscr1	chr9	FALSE	FALSE
Hepacam2	chr6	FALSE	FALSE
Stk11ip	chr1	FALSE	FALSE
Il31ra	chr13	FALSE	FALSE
Pdlim5	chr3	FALSE	TRUE
Sfswap	chr5	FALSE	FALSE
N4bp2l1	chr5	FALSE	FALSE
Zfp788	chr7	FALSE	FALSE
Ube2h	chr6	FALSE	FALSE
Eef1a1	chr9	FALSE	TRUE
Pde4c	chr8	FALSE	FALSE
Smyd5	chr6	FALSE	FALSE
Ak5	chr3	FALSE	TRUE
Slc25a34	chr4	FALSE	FALSE
Kit	chr5	FALSE	FALSE
Bag5	chr12	FALSE	FALSE
Slc12a5	chr2	FALSE	FALSE
Sgpp1	chr12	FALSE	FALSE
Sdhaf2	chr19	FALSE	FALSE
Als2	chr1	FALSE	FALSE
Rnf26	chr9	FALSE	FALSE
Cfap54	chr10	FALSE	FALSE
Stoml3	chr3	FALSE	FALSE
Filip1	chr9	FALSE	FALSE
Mki67	chr7	FALSE	TRUE
Ppp1r1b	chr11	FALSE	FALSE
Cdc14a	chr3	FALSE	FALSE
Tnfrsf9	chr4	FALSE	FALSE
Zfhx3	chr8	FALSE	TRUE
Cast	chr13	FALSE	TRUE
Kcmf1	chr6	FALSE	FALSE
Mtrf1	chr14	FALSE	FALSE
Ccl25	chr8	FALSE	FALSE
As3mt	chr19	FALSE	TRUE
Fsd1	chr17	FALSE	FALSE
Slc26a9	chr1	FALSE	FALSE
Tex10	chr4	FALSE	FALSE
Senp3	chr11	FALSE	FALSE
Stat4	chr1	FALSE	FALSE
Slc3a1	chr17	FALSE	FALSE
Cfap53	chr18	FALSE	FALSE
Pgbd5	chr8	FALSE	FALSE
Luc7l3	chr11	FALSE	FALSE
Cd28	chr1	FALSE	FALSE
Tnni3k	chr3	FALSE	TRUE
Commd9	chr2	FALSE	FALSE
St3gal4	chr9	FALSE	FALSE
Ldha	chr7	FALSE	FALSE
Pcm1	chr8	FALSE	FALSE
Fbln7	chr2	FALSE	TRUE
Tmem161b	chr13	FALSE	TRUE
Matr3	chr18	FALSE	FALSE
Pi4kb	chr3	FALSE	FALSE
Bak1	chr17	FALSE	FALSE
Sptan1	chr2	FALSE	FALSE
Rif1	chr2	FALSE	FALSE
Lef1	chr3	FALSE	TRUE
Cs	chr10	FALSE	FALSE
Dkk2	chr3	FALSE	TRUE
Rdh13	chr7	FALSE	FALSE
Zbtb11	chr16	FALSE	FALSE
Aco2	chr15	FALSE	FALSE
Zfp618	chr4	FALSE	FALSE
Ppp6r3	chr19	FALSE	FALSE
Mau2	chr8	FALSE	FALSE
Golga4	chr9	FALSE	FALSE
Slc38a6	chr12	FALSE	FALSE
Tcaf1	chr6	FALSE	FALSE
Atp6v1a	chr16	FALSE	FALSE
Ssr2	chr3	FALSE	FALSE
Ccdc157	chr11	FALSE	FALSE
Npdc1	chr2	FALSE	FALSE
Map1b	chr13	FALSE	TRUE
Numbl	chr7	FALSE	FALSE
Cap2	chr13	FALSE	FALSE
Sgce	chr6	FALSE	FALSE
Psmb4	chr3	FALSE	FALSE
Prrg2	chr7	FALSE	FALSE
Ceacam1	chr7	FALSE	FALSE
Amotl1	chr9	FALSE	TRUE
Plcd1	chr9	FALSE	TRUE
Dmxl2	chr9	FALSE	FALSE
Eml2	chr7	FALSE	FALSE
Zfp26	chr9	FALSE	FALSE
Dppa2	chr16	FALSE	FALSE
Mme	chr3	FALSE	TRUE
Gpr22	chr12	FALSE	FALSE
Pfkp	chr13	FALSE	FALSE
Arhgap21	chr2	FALSE	FALSE
Dop1a	chr9	FALSE	FALSE
Gpr37	chr6	FALSE	TRUE
Fip1l1	chr5	FALSE	FALSE
Cpox	chr16	FALSE	FALSE
Mat2b	chr11	FALSE	FALSE
Fgf4	chr7	FALSE	TRUE
Tmem237	chr1	FALSE	FALSE
Dnm1	chr2	FALSE	FALSE
Fgfr1op2	chr6	FALSE	FALSE
Nfe2l2	chr2	FALSE	FALSE
Capza1	chr3	FALSE	FALSE
Sec31b	chr19	FALSE	FALSE
Atp1a1	chr3	FALSE	FALSE
Spsb3	chr17	FALSE	FALSE
Sh3bp4	chr1	FALSE	FALSE
Tbpl1	chr10	FALSE	FALSE
Ticam2	chr18	FALSE	FALSE
Tbc1d22b	chr17	FALSE	FALSE
Cul5	chr9	FALSE	FALSE
Cnn3	chr3	FALSE	TRUE
Rttn	chr18	FALSE	FALSE
Kdm5b	chr1	FALSE	FALSE
Pigu	chr2	FALSE	FALSE
Mettl8	chr2	FALSE	FALSE
Stx7	chr10	FALSE	FALSE
Rrn3	chr16	FALSE	FALSE
Gm1604b	chr17	FALSE	FALSE
Gstm1	chr3	FALSE	FALSE
Plcg1	chr2	FALSE	TRUE
Phlpp2	chr8	FALSE	FALSE
Trpc4	chr3	FALSE	FALSE
C130074G19Rik	chr1	FALSE	FALSE
Sema3g	chr14	FALSE	FALSE
Hdgf	chr3	FALSE	FALSE
Cyfip1	chr7	FALSE	FALSE
Atp13a5	chr16	FALSE	FALSE
Casp7	chr19	FALSE	TRUE
Fxyd6	chr9	FALSE	FALSE
Plpp7	chr2	FALSE	FALSE
Prkag2	chr5	FALSE	FALSE
Haus6	chr4	FALSE	FALSE
Wnt3a	chr11	FALSE	FALSE
Klf13	chr7	FALSE	FALSE
Polm	chr11	FALSE	FALSE
Stard9	chr2	FALSE	FALSE
Zfp974	chr7	FALSE	FALSE
Mapk6	chr9	FALSE	FALSE
Reck	chr4	FALSE	FALSE
Ppp6r2	chr15	FALSE	FALSE
Zc3h3	chr15	FALSE	FALSE
Cnst	chr1	FALSE	FALSE
Supv3l1	chr10	FALSE	FALSE
Stx1a	chr5	FALSE	FALSE
Map3k3	chr11	FALSE	TRUE
Tyms	chr5	FALSE	FALSE
Pik3c2g	chr6	FALSE	FALSE
Dact3	chr7	FALSE	FALSE
Pank3	chr11	FALSE	FALSE
Arel1	chr12	FALSE	FALSE
Prox1	chr1	FALSE	FALSE
Tbcel	chr9	FALSE	FALSE
Nlrp6	chr7	FALSE	FALSE
Gpr149	chr3	FALSE	FALSE
Marchf6	chr15	FALSE	FALSE
Flot2	chr11	FALSE	FALSE
Trhde	chr10	FALSE	FALSE
Wdr62	chr7	FALSE	FALSE
Zcchc4	chr5	FALSE	FALSE
Pdss2	chr10	FALSE	FALSE
Trim67	chr8	FALSE	FALSE
Ndrg3	chr2	FALSE	FALSE
4933424G06Rik	chr1	FALSE	FALSE
Dtx3l	chr16	FALSE	TRUE
Csgalnact2	chr6	FALSE	FALSE
Dlgap2	chr8	FALSE	TRUE
Adamtsl5	chr10	FALSE	TRUE
Treh	chr9	FALSE	FALSE
Wwp1	chr4	FALSE	FALSE
Exoc4	chr6	FALSE	FALSE
Ubr2	chr17	FALSE	FALSE
Stam2	chr2	FALSE	TRUE
Brsk2	chr7	FALSE	FALSE
Mrgprd	chr7	FALSE	FALSE
Cd2	chr3	FALSE	FALSE
Liph	chr16	FALSE	TRUE
Sgk3	chr1	FALSE	TRUE
Abhd17c	chr7	FALSE	FALSE
Cnbp	chr6	FALSE	FALSE
Ammecr1	chrX	FALSE	FALSE
Timp3	chr10	FALSE	FALSE
Ceacam16	chr7	FALSE	FALSE
Nmnat2	chr1	FALSE	FALSE
Itch	chr2	FALSE	FALSE
Abcf1	chr17	FALSE	FALSE
Xpc	chr6	FALSE	FALSE
Fig4	chr10	FALSE	FALSE
Rhoj	chr12	FALSE	TRUE
Zc3h6	chr2	FALSE	FALSE
Fam3c	chr6	FALSE	FALSE
Rad18	chr6	FALSE	FALSE
Adamtsl1	chr4	FALSE	FALSE
St3gal1	chr15	FALSE	TRUE
Acat1	chr9	FALSE	FALSE
Wdr37	chr13	FALSE	FALSE
Acox1	chr11	FALSE	FALSE
Psmb2	chr4	FALSE	FALSE
Nanos3	chr8	FALSE	FALSE
B3gat1	chr9	FALSE	TRUE
Pdgfd	chr9	FALSE	FALSE
Smc5	chr19	FALSE	FALSE
Ppp6r1	chr7	FALSE	FALSE
Btg3	chr16	FALSE	TRUE
Chrm3	chr13	TRUE	TRUE
B3gnt7	chr1	FALSE	TRUE
Ryr1	chr7	FALSE	FALSE
Gcnt2	chr13	FALSE	TRUE
Neurog1	chr13	FALSE	FALSE
Crocc2	chr1	FALSE	FALSE
Rhpn2	chr7	FALSE	FALSE
Hmgn3	chr9	FALSE	FALSE
Tmem131	chr1	FALSE	FALSE
Eps8l1	chr7	FALSE	FALSE
Aox4	chr1	FALSE	FALSE
Pcdhga11	chr18	FALSE	FALSE
Zfp90	chr8	FALSE	FALSE
Hsd17b11	chr5	FALSE	FALSE
Smarca1	chrX	FALSE	FALSE
Qtrt2	chr16	FALSE	FALSE
Fmo5	chr3	FALSE	FALSE
Iglon5	chr7	FALSE	FALSE
Dab1	chr4	FALSE	TRUE
Fat2	chr11	FALSE	FALSE
Prrc2c	chr1	FALSE	FALSE
Ankrd36	chr11	FALSE	FALSE
Phip	chr9	FALSE	FALSE
Tbc1d15	chr10	FALSE	FALSE
Lmo7	chr14	FALSE	FALSE
Sfmbt2	chr2	FALSE	TRUE
Cab39l	chr14	FALSE	FALSE
Cc2d1b	chr4	FALSE	FALSE
Smarcad1	chr6	FALSE	FALSE
Rcan3	chr4	FALSE	FALSE
Ankrd27	chr7	FALSE	FALSE
Sorbs3	chr14	FALSE	FALSE
Kitl	chr10	FALSE	TRUE
Tpd52l1	chr10	FALSE	TRUE
Pde8b	chr13	FALSE	TRUE
Crym	chr7	FALSE	TRUE
Prdm10	chr9	FALSE	FALSE
Itih5	chr2	FALSE	FALSE
Rhobtb3	chr13	FALSE	FALSE
Uvssa	chr5	FALSE	FALSE
Ivns1abp	chr1	FALSE	FALSE
Dnah5	chr15	FALSE	FALSE
Ugcg	chr4	FALSE	FALSE
Plcg2	chr8	FALSE	FALSE
Lgsn	chr1	FALSE	FALSE
Armc6	chr8	FALSE	FALSE
Add1	chr5	FALSE	FALSE
Phkb	chr8	FALSE	TRUE
Akip1	chr7	FALSE	FALSE
Gprc5a	chr6	FALSE	FALSE
Kcnh4	chr11	FALSE	FALSE
Snx18	chr13	FALSE	FALSE
Plscr5	chr9	FALSE	FALSE
Ccnt1	chr15	FALSE	FALSE
Trp53inp2	chr2	FALSE	FALSE
Kif19a	chr11	FALSE	FALSE
Plekhb2	chr1	FALSE	FALSE
Kctd21	chr7	FALSE	FALSE
6430550D23Rik	chr2	FALSE	FALSE
Zfp207	chr11	FALSE	FALSE
Soga1	chr2	FALSE	FALSE
Klhl18	chr9	FALSE	FALSE
Cebpg	chr7	FALSE	FALSE
Ctsz	chr2	FALSE	TRUE
Sptssb	chr3	FALSE	FALSE
Ncoa3	chr2	FALSE	FALSE
Rreb1	chr13	FALSE	FALSE
Sh3bp2	chr5	FALSE	FALSE
Adam7	chr14	FALSE	FALSE
Galntl6	chr8	FALSE	FALSE
Iqck	chr7	FALSE	FALSE
Herc6	chr6	FALSE	FALSE
Selenbp1	chr3	FALSE	FALSE
Gdpd1	chr11	FALSE	FALSE
Cacng8	chr7	FALSE	FALSE
Zc3h4	chr7	FALSE	FALSE
Abcc6	chr7	FALSE	FALSE
Adnp	chr2	FALSE	FALSE
Pptc7	chr5	FALSE	FALSE
Ccnd3	chr17	FALSE	FALSE
Traip	chr9	FALSE	FALSE
