gene_name	chr	is_synapse_and_mecp2_up	k27me3_remodeled
Rtl9	chrX	FALSE	FALSE
Tekt1	chr11	FALSE	FALSE
Alpk1	chr3	FALSE	FALSE
4932438H23Rik	chr16	FALSE	FALSE
Rnf19a	chr15	TRUE	FALSE
Pex5l	chr3	FALSE	TRUE
Dcc	chr18	FALSE	FALSE
Gfra1	chr19	FALSE	FALSE
Padi1	chr4	FALSE	TRUE
Asic2	chr11	FALSE	FALSE
Slc6a12	chr6	FALSE	TRUE
Btrc	chr19	FALSE	FALSE
Bbx	chr16	FALSE	TRUE
Hmcn2	chr2	FALSE	FALSE
Fabp12	chr3	FALSE	FALSE
Disc1	chr8	FALSE	FALSE
Fam169b	chr7	FALSE	FALSE
Ccser2	chr14	FALSE	TRUE
Stat5a	chr11	FALSE	FALSE
Myh11	chr16	FALSE	TRUE
St8sia6	chr2	FALSE	TRUE
Lamc2	chr1	FALSE	TRUE
Tmem260	chr14	FALSE	FALSE
Cryzl2	chr1	FALSE	FALSE
Cdh11	chr8	FALSE	FALSE
Hapln3	chr7	FALSE	FALSE
Ncf1	chr5	FALSE	FALSE
Prdm1	chr10	FALSE	FALSE
Banp	chr8	FALSE	TRUE
Pygl	chr12	FALSE	FALSE
Slc7a7	chr14	FALSE	FALSE
Gpatch2l	chr12	FALSE	FALSE
Mlxipl	chr5	FALSE	FALSE
Galnt10	chr11	FALSE	FALSE
Ly75	chr2	FALSE	FALSE
Obscn	chr11	FALSE	FALSE
Rbm20	chr19	FALSE	FALSE
Steap3	chr1	FALSE	TRUE
Med15	chr16	FALSE	FALSE
Foxo1	chr3	FALSE	TRUE
Glb1l2	chr9	FALSE	TRUE
Skap2	chr6	FALSE	FALSE
Col8a2	chr4	FALSE	FALSE
Sh3tc1	chr5	FALSE	FALSE
Ankrd6	chr4	FALSE	TRUE
Anxa2	chr9	FALSE	FALSE
Gli2	chr1	FALSE	FALSE
Ninl	chr2	FALSE	FALSE
Prr5l	chr2	FALSE	FALSE
Grid1	chr14	FALSE	TRUE
5730522E02Rik	chr11	FALSE	FALSE
Cracr2a	chr6	FALSE	TRUE
Il17ra	chr6	FALSE	FALSE
Zc3hav1	chr6	FALSE	FALSE
Chst9	chr18	FALSE	TRUE
Plch1	chr3	FALSE	FALSE
Melk	chr4	FALSE	FALSE
Kl	chr5	FALSE	FALSE
Frmpd1	chr4	FALSE	TRUE
Wdr36	chr18	FALSE	FALSE
Mob3b	chr4	FALSE	FALSE
Rapgef5	chr12	FALSE	TRUE
Laptm4b	chr15	FALSE	FALSE
Igsf11	chr16	FALSE	FALSE
Pla2r1	chr2	FALSE	FALSE
Adcy2	chr13	FALSE	FALSE
Dlc1	chr8	FALSE	TRUE
Barhl1	chr2	FALSE	TRUE
Ly86	chr13	FALSE	TRUE
Pax7	chr4	FALSE	FALSE
Dcdc2a	chr13	FALSE	TRUE
Cdc42ep4	chr11	FALSE	TRUE
Rsu1	chr2	FALSE	FALSE
Tmc5	chr7	FALSE	TRUE
Hif1an	chr19	FALSE	FALSE
Bdkrb2	chr12	FALSE	FALSE
Ext2	chr2	FALSE	FALSE
Iqca1l	chr5	FALSE	TRUE
Zcchc24	chr14	FALSE	FALSE
Ube2u	chr4	FALSE	TRUE
Kctd3	chr1	FALSE	TRUE
Jarid2	chr13	FALSE	TRUE
Gnal	chr18	FALSE	FALSE
Fhad1	chr4	FALSE	FALSE
Bcar3	chr3	FALSE	TRUE
Lrig3	chr10	FALSE	TRUE
Gas6	chr8	FALSE	FALSE
Slc30a3	chr5	FALSE	FALSE
Cdc5l	chr17	FALSE	FALSE
Lrrc8c	chr5	FALSE	TRUE
Arhgap24	chr5	FALSE	FALSE
Gtf3c3	chr1	FALSE	FALSE
Ggta1	chr2	FALSE	FALSE
Stk32b	chr5	FALSE	TRUE
Sema3e	chr5	FALSE	FALSE
Nkain2	chr10	FALSE	TRUE
Hk2	chr6	FALSE	FALSE
Col6a5	chr9	FALSE	FALSE
Gm19935	chr8	FALSE	TRUE
Flt1	chr5	FALSE	FALSE
Spsb4	chr9	FALSE	FALSE
Podxl	chr6	FALSE	FALSE
Plcb2	chr2	FALSE	FALSE
Mr1	chr1	FALSE	TRUE
Galnt5	chr2	FALSE	TRUE
Lin28b	chr10	FALSE	FALSE
Unc5cl	chr17	FALSE	TRUE
Col4a6	chrX	FALSE	FALSE
Ctif	chr18	FALSE	FALSE
Epha7	chr4	FALSE	TRUE
0610040J01Rik	chr5	FALSE	FALSE
Tut7	chr13	FALSE	FALSE
Fign	chr2	FALSE	FALSE
Rasgrf1	chr9	FALSE	FALSE
Csnk1e	chr15	FALSE	FALSE
Gprin2	chr14	FALSE	FALSE
Ptprb	chr10	FALSE	FALSE
Top1	chr2	FALSE	FALSE
Trib2	chr12	FALSE	FALSE
Ptpn13	chr5	FALSE	TRUE
Kcnk5	chr14	FALSE	FALSE
Pdzd2	chr15	FALSE	FALSE
Kctd1	chr18	FALSE	FALSE
Nt5e	chr9	FALSE	TRUE
Papss2	chr19	FALSE	FALSE
Runx3	chr4	FALSE	FALSE
Vipr1	chr9	FALSE	TRUE
Slc12a3	chr8	FALSE	TRUE
Pear1	chr3	FALSE	FALSE
Pdzd8	chr19	FALSE	FALSE
Cdc14b	chr13	FALSE	TRUE
Col6a3	chr1	FALSE	FALSE
Tspear	chr10	FALSE	FALSE
Rassf3	chr10	FALSE	TRUE
Ada	chr2	FALSE	FALSE
Greb1	chr12	FALSE	FALSE
Stk31	chr6	FALSE	TRUE
Efs	chr14	FALSE	FALSE
Cacna2d3	chr14	FALSE	FALSE
Faah	chr4	FALSE	FALSE
Frmd4b	chr6	FALSE	FALSE
Osbpl3	chr6	FALSE	FALSE
Gbe1	chr16	FALSE	TRUE
Tnnt2	chr1	FALSE	FALSE
Col4a3	chr1	FALSE	FALSE
C1qtnf7	chr5	FALSE	FALSE
Chrna4	chr2	FALSE	TRUE
Erbb2	chr11	FALSE	FALSE
Fam20a	chr11	FALSE	FALSE
Cald1	chr6	FALSE	FALSE
Sh3rf3	chr10	FALSE	FALSE
Crb1	chr1	FALSE	FALSE
Tex26	chr5	FALSE	TRUE
Masp1	chr16	FALSE	TRUE
Socs2	chr10	FALSE	FALSE
Mylk	chr16	FALSE	FALSE
Acoxl	chr2	FALSE	FALSE
Nek11	chr9	FALSE	FALSE
Qrfprl	chr6	FALSE	FALSE
Pxdn	chr12	FALSE	FALSE
Asap3	chr4	FALSE	FALSE
Gpd2	chr2	FALSE	TRUE
Nxpe2	chr9	FALSE	FALSE
Kif6	chr17	FALSE	TRUE
Eepd1	chr9	FALSE	TRUE
Igfbp7	chr5	FALSE	FALSE
Paqr9	chr9	FALSE	TRUE
Suclg2	chr6	FALSE	FALSE
Exoc6	chr19	FALSE	FALSE
Anks6	chr4	FALSE	FALSE
Trim14	chr4	FALSE	FALSE
Smtnl1	chr2	FALSE	FALSE
Tacc2	chr7	FALSE	TRUE
Jam2	chr16	FALSE	FALSE
Pkhd1l1	chr15	FALSE	FALSE
Plppr5	chr3	FALSE	FALSE
Meis2	chr2	FALSE	TRUE
Sigirr	chr7	FALSE	FALSE
Spred2	chr11	FALSE	FALSE
Ankrd50	chr3	FALSE	TRUE
Tmem117	chr15	FALSE	TRUE
Agbl1	chr7	FALSE	FALSE
Shc4	chr2	FALSE	TRUE
Itga9	chr9	FALSE	TRUE
Tm6sf1	chr7	FALSE	FALSE
Ndfip2	chr14	FALSE	TRUE
Egf	chr3	FALSE	FALSE
Tmem154	chr3	FALSE	FALSE
Gli3	chr13	FALSE	FALSE
Gpr160	chr3	FALSE	TRUE
Brca1	chr11	FALSE	TRUE
Scn5a	chr9	FALSE	FALSE
Kcnh3	chr15	FALSE	TRUE
Otop1	chr5	FALSE	FALSE
Chrna5	chr9	FALSE	FALSE
Ostm1	chr10	FALSE	FALSE
Npas2	chr1	FALSE	FALSE
Tgif1	chr17	FALSE	FALSE
Mbnl3	chrX	FALSE	FALSE
Ric8b	chr10	FALSE	TRUE
Tead1	chr7	FALSE	TRUE
Slc4a7	chr14	FALSE	FALSE
Il6st	chr13	FALSE	FALSE
Chl1	chr6	TRUE	FALSE
BC034090	chr1	FALSE	FALSE
Nfatc1	chr18	FALSE	TRUE
H2-Ab1	chr17	FALSE	FALSE
Stab2	chr10	FALSE	TRUE
Wnt3	chr11	FALSE	FALSE
Otx2	chr14	FALSE	TRUE
Drd3	chr16	FALSE	TRUE
Wipf1	chr2	FALSE	FALSE
Scarf2	chr16	FALSE	FALSE
Ube2e3	chr2	FALSE	TRUE
Tspan11	chr6	FALSE	FALSE
Adgrd1	chr5	FALSE	FALSE
Cd247	chr1	FALSE	FALSE
Dynlrb2	chr8	FALSE	FALSE
Lrrn3	chr12	FALSE	TRUE
Casr	chr16	FALSE	TRUE
Scrg1	chr8	FALSE	TRUE
Lum	chr10	FALSE	TRUE
Ciita	chr16	FALSE	FALSE
Rapgef3	chr15	FALSE	FALSE
Ass1	chr2	FALSE	TRUE
Slc35f1	chr10	FALSE	TRUE
Ntm	chr9	FALSE	TRUE
Rab28	chr5	FALSE	FALSE
Zfp474	chr18	FALSE	TRUE
Acacb	chr5	FALSE	FALSE
Gap43	chr16	FALSE	FALSE
Zap70	chr1	FALSE	FALSE
Aff2	chrX	FALSE	TRUE
Hrh1	chr6	FALSE	FALSE
Acsf2	chr11	FALSE	FALSE
Mrgpre	chr7	FALSE	TRUE
Cttnbp2	chr6	FALSE	TRUE
Kcnq5	chr1	FALSE	FALSE
Asap1	chr15	TRUE	FALSE
Enpp2	chr15	FALSE	FALSE
Lekr1	chr3	FALSE	TRUE
Pik3r1	chr13	FALSE	FALSE
Loxl1	chr9	FALSE	FALSE
Pbx3	chr2	FALSE	TRUE
Mcf2	chrX	FALSE	TRUE
Nccrp1	chr7	FALSE	FALSE
Myo10	chr15	FALSE	TRUE
Scn9a	chr2	FALSE	FALSE
Slc26a4	chr12	FALSE	FALSE
Col14a1	chr15	FALSE	FALSE
Pced1b	chr15	FALSE	FALSE
Rimklb	chr6	FALSE	FALSE
Tnfsf8	chr4	FALSE	FALSE
Rnf217	chr10	FALSE	TRUE
Mal	chr2	FALSE	FALSE
Kcnk2	chr1	FALSE	FALSE
Fam163a	chr1	FALSE	FALSE
Prkd3	chr17	FALSE	FALSE
Ripor2	chr13	FALSE	TRUE
Ldb2	chr5	FALSE	FALSE
Jdp2	chr12	FALSE	FALSE
Kcnmb2	chr3	FALSE	FALSE
Kcnip1	chr11	FALSE	FALSE
Il27ra	chr8	FALSE	FALSE
P2ry6	chr7	FALSE	FALSE
Otop2	chr11	FALSE	TRUE
Ptpn14	chr1	FALSE	FALSE
Sox5	chr6	FALSE	TRUE
Rpia	chr6	FALSE	TRUE
Fat3	chr9	FALSE	TRUE
Heyl	chr4	FALSE	FALSE
Zfp521	chr18	FALSE	FALSE
Grm8	chr6	FALSE	FALSE
Foxk1	chr5	FALSE	TRUE
Cldn1	chr16	FALSE	FALSE
Stat6	chr10	FALSE	TRUE
Faxc	chr4	FALSE	FALSE
Gata3	chr2	FALSE	FALSE
Arhgap27	chr11	FALSE	TRUE
Atp6v0a4	chr6	FALSE	FALSE
Hes3	chr4	FALSE	TRUE
Trim29	chr9	FALSE	FALSE
A4galt	chr15	FALSE	FALSE
Fgfr3	chr5	FALSE	FALSE
Adamts2	chr11	FALSE	FALSE
Fam163b	chr2	FALSE	TRUE
Dchs2	chr3	FALSE	FALSE
Cacng3	chr7	FALSE	TRUE
Ptprz1	chr6	TRUE	FALSE
Edil3	chr13	FALSE	TRUE
Scn4b	chr9	FALSE	TRUE
Alx4	chr2	FALSE	FALSE
Tle4	chr19	FALSE	FALSE
Prss12	chr3	FALSE	FALSE
Xylt1	chr7	FALSE	TRUE
Neo1	chr9	FALSE	FALSE
Slc44a3	chr3	FALSE	FALSE
Ankrd55	chr13	FALSE	TRUE
Slc47a1	chr11	FALSE	FALSE
Ifnar2	chr16	FALSE	FALSE
Osmr	chr15	FALSE	FALSE
Col5a2	chr1	FALSE	FALSE
Dgkh	chr14	FALSE	FALSE
Pkd1l2	chr8	FALSE	TRUE
Atp6v1g3	chr1	FALSE	TRUE
Muc2	chr7	FALSE	FALSE
Wnt7b	chr15	FALSE	FALSE
Exog	chr9	FALSE	TRUE
Cdh1	chr8	FALSE	FALSE
Col15a1	chr4	FALSE	FALSE
Phldb2	chr16	FALSE	TRUE
Fgfr4	chr13	FALSE	FALSE
Magi3	chr3	FALSE	FALSE
Pdgfa	chr5	FALSE	FALSE
Sema6a	chr18	FALSE	FALSE
Ppp1r16b	chr2	FALSE	TRUE
Stx2	chr5	FALSE	TRUE
Dapp1	chr3	FALSE	TRUE
Ngf	chr3	FALSE	FALSE
Baiap3	chr17	FALSE	FALSE
Adcyap1r1	chr6	FALSE	FALSE
Hhipl1	chr12	FALSE	FALSE
Tph2	chr10	FALSE	TRUE
Dctn1	chr6	FALSE	TRUE
Smarcal1	chr1	FALSE	TRUE
Crybg1	chr10	FALSE	FALSE
Adra1b	chr11	FALSE	FALSE
Cabp7	chr11	FALSE	TRUE
Krt5	chr15	FALSE	FALSE
Grin3a	chr4	FALSE	FALSE
Blnk	chr19	FALSE	TRUE
Foxj1	chr11	FALSE	FALSE
Bahd1	chr2	FALSE	TRUE
Col8a1	chr16	FALSE	FALSE
Slc25a21	chr12	FALSE	FALSE
Agbl4	chr4	FALSE	FALSE
Ajuba	chr14	FALSE	FALSE
Olfm2	chr9	FALSE	FALSE
Pkd1l3	chr8	FALSE	FALSE
Evc2	chr5	FALSE	FALSE
Kcnh7	chr2	FALSE	TRUE
B4galt1	chr4	FALSE	TRUE
Ddah1	chr3	FALSE	FALSE
Gmds	chr13	FALSE	TRUE
Fzd6	chr15	FALSE	FALSE
Arhgap18	chr10	FALSE	FALSE
Qrich2	chr11	FALSE	FALSE
Car8	chr4	FALSE	TRUE
Slc28a3	chr13	FALSE	FALSE
Sgcg	chr14	FALSE	FALSE
Vwa5b1	chr4	FALSE	FALSE
Wnt10a	chr1	FALSE	TRUE
Vcan	chr13	FALSE	TRUE
Usp44	chr10	FALSE	TRUE
Mtx2	chr2	FALSE	FALSE
Tns1	chr1	FALSE	TRUE
Pax4	chr6	FALSE	FALSE
Cpne2	chr8	FALSE	FALSE
Gbp3	chr3	FALSE	TRUE
Cfap45	chr1	FALSE	TRUE
Mgarp	chr3	FALSE	TRUE
Shc3	chr13	FALSE	TRUE
Ntng1	chr3	FALSE	TRUE
Grem2	chr1	FALSE	FALSE
Rbpms2	chr9	FALSE	FALSE
Fam114a1	chr5	FALSE	TRUE
Nfatc2	chr2	FALSE	FALSE
Hmcn1	chr1	FALSE	FALSE
Tmem44	chr16	FALSE	TRUE
Ush1g	chr11	FALSE	FALSE
Sh3kbp1	chrX	FALSE	FALSE
Hs2st1	chr3	FALSE	TRUE
Wdr41	chr13	FALSE	FALSE
Acss3	chr10	FALSE	FALSE
Col25a1	chr3	FALSE	TRUE
Jcad	chr18	FALSE	TRUE
Tcf7l1	chr6	FALSE	TRUE
Plekhg6	chr6	FALSE	FALSE
Sik1	chr17	FALSE	TRUE
Dpy19l2	chr9	FALSE	FALSE
Arhgap42	chr9	FALSE	TRUE
Vegfa	chr17	FALSE	FALSE
Aox2	chr1	FALSE	FALSE
Bcas1	chr2	FALSE	FALSE
Sfrp5	chr19	FALSE	TRUE
Mbd2	chr18	FALSE	FALSE
Slc22a22	chr15	FALSE	FALSE
Srgn	chr10	FALSE	FALSE
F11r	chr1	FALSE	FALSE
Prkcq	chr2	FALSE	FALSE
Nid1	chr13	FALSE	FALSE
Cpt1a	chr19	FALSE	FALSE
G2e3	chr12	FALSE	FALSE
Pam	chr1	FALSE	FALSE
Dctn3	chr4	FALSE	FALSE
Spry2	chr14	FALSE	TRUE
Pros1	chr16	FALSE	TRUE
Zmym2	chr14	FALSE	FALSE
Prkcd	chr14	FALSE	FALSE
Ccdc85a	chr11	FALSE	TRUE
Dnajc24	chr2	FALSE	TRUE
Tiparp	chr3	FALSE	TRUE
Col6a1	chr10	FALSE	FALSE
Edem1	chr6	FALSE	FALSE
Atp6v1c2	chr12	FALSE	FALSE
Tbr1	chr2	FALSE	FALSE
Tmem38b	chr4	FALSE	FALSE
Dhh	chr15	FALSE	FALSE
Plag1	chr4	FALSE	FALSE
Gpam	chr19	FALSE	TRUE
Htra1	chr7	FALSE	FALSE
Ankrd63	chr2	FALSE	FALSE
Wdr95	chr5	FALSE	FALSE
Slc2a5	chr4	FALSE	FALSE
Epo	chr5	FALSE	FALSE
Fam107a	chr14	FALSE	FALSE
Kcnc2	chr10	FALSE	FALSE
Slc13a3	chr2	FALSE	FALSE
Eci3	chr13	FALSE	FALSE
Piwil1	chr5	FALSE	FALSE
Ell2	chr13	FALSE	TRUE
Abcd3	chr3	FALSE	FALSE
Cnga3	chr1	FALSE	FALSE
Tcf7l2	chr19	FALSE	FALSE
Rftn2	chr1	FALSE	FALSE
Prokr2	chr2	FALSE	FALSE
Epha10	chr4	FALSE	FALSE
Dnajb8	chr6	FALSE	FALSE
Arsj	chr3	FALSE	TRUE
Ccr9	chr9	FALSE	FALSE
Slc25a36	chr9	FALSE	TRUE
Mettl4	chr17	FALSE	TRUE
Vsx1	chr2	FALSE	FALSE
Uso1	chr5	FALSE	TRUE
Alox5	chr6	FALSE	FALSE
Spg11	chr2	FALSE	FALSE
Dhx58	chr11	FALSE	FALSE
Ap5m1	chr14	FALSE	FALSE
Wdr72	chr9	FALSE	FALSE
Ptp4a3	chr15	FALSE	TRUE
Vipr2	chr12	FALSE	FALSE
Fbxl8	chr8	FALSE	TRUE
Socs6	chr18	FALSE	TRUE
Rab3gap2	chr1	FALSE	FALSE
Tdrd5	chr1	FALSE	TRUE
P3h2	chr16	FALSE	TRUE
Dnah1	chr14	FALSE	FALSE
Krt19	chr11	FALSE	FALSE
Card10	chr15	FALSE	FALSE
Lrrc38	chr4	FALSE	FALSE
Cdon	chr9	FALSE	FALSE
Ikzf3	chr11	FALSE	FALSE
Blk	chr14	FALSE	FALSE
Otoa	chr7	FALSE	TRUE
Pcdh10	chr3	FALSE	TRUE
Cpne5	chr17	FALSE	TRUE
Wwox	chr8	FALSE	TRUE
Esyt3	chr9	FALSE	TRUE
Tpbg	chr9	FALSE	TRUE
Necab1	chr4	FALSE	TRUE
Slc15a1	chr14	FALSE	FALSE
Lama4	chr10	FALSE	FALSE
Pcolce2	chr9	FALSE	TRUE
Prnd	chr2	FALSE	TRUE
Lmod1	chr1	FALSE	FALSE
Nlgn1	chr3	FALSE	TRUE
Tgif2	chr2	FALSE	FALSE
Asic4	chr1	FALSE	TRUE
Llgl2	chr11	FALSE	FALSE
Adam12	chr7	FALSE	TRUE
Map3k15	chrX	FALSE	FALSE
Thsd4	chr9	FALSE	FALSE
Arhgap8	chr15	FALSE	FALSE
Gucy1a1	chr3	FALSE	FALSE
Ofcc1	chr13	FALSE	TRUE
Pik3r5	chr11	FALSE	FALSE
Gxylt1	chr15	FALSE	TRUE
Cd34	chr1	FALSE	FALSE
Dytn	chr1	FALSE	TRUE
Pik3cg	chr12	FALSE	FALSE
C8a	chr4	FALSE	FALSE
Tm2d1	chr4	FALSE	TRUE
Slc4a5	chr6	FALSE	FALSE
Smim15	chr13	FALSE	TRUE
Aebp2	chr6	FALSE	TRUE
Prdm13	chr4	FALSE	FALSE
Tnfsf18	chr1	FALSE	FALSE
Cnn1	chr9	FALSE	FALSE
Prss55	chr14	FALSE	FALSE
Magi1	chr6	FALSE	TRUE
Rbpj	chr5	FALSE	FALSE
Lhx6	chr2	FALSE	FALSE
Fscn2	chr11	FALSE	FALSE
Tgfbi	chr13	FALSE	TRUE
Rwdd3	chr3	FALSE	TRUE
Marchf3	chr18	FALSE	TRUE
Alx3	chr3	FALSE	FALSE
Npl	chr1	FALSE	FALSE
Tmc6	chr11	FALSE	FALSE
Dhrs1	chr14	FALSE	TRUE
Bend7	chr2	FALSE	TRUE
Vav3	chr3	FALSE	FALSE
Sostdc1	chr12	FALSE	FALSE
Glis1	chr4	FALSE	FALSE
Pkdcc	chr17	FALSE	TRUE
Pdzrn4	chr15	FALSE	TRUE
Nfe2l3	chr6	FALSE	FALSE
Basp1	chr15	FALSE	TRUE
Cd302	chr2	FALSE	FALSE
Col4a2	chr8	FALSE	FALSE
Prkn	chr17	FALSE	TRUE
Dock8	chr19	FALSE	FALSE
Gbp5	chr3	FALSE	FALSE
Lims2	chr18	FALSE	FALSE
Pten	chr19	FALSE	FALSE
Insrr	chr3	FALSE	FALSE
Enpep	chr3	FALSE	FALSE
Gbx1	chr5	FALSE	FALSE
Lypd6b	chr2	FALSE	TRUE
Adamts16	chr13	FALSE	FALSE
Aqp7	chr4	FALSE	FALSE
Fbxl4	chr4	FALSE	TRUE
Bcl11a	chr11	FALSE	TRUE
Adgra3	chr5	FALSE	FALSE
Tnfrsf8	chr4	FALSE	FALSE
Hic1	chr11	FALSE	TRUE
Cdh9	chr15	FALSE	FALSE
Glis3	chr19	FALSE	FALSE
Prlr	chr15	FALSE	TRUE
Pde2a	chr7	FALSE	FALSE
Otud1	chr2	FALSE	FALSE
Camk1g	chr1	FALSE	TRUE
Arglu1	chr8	FALSE	FALSE
Sorcs3	chr19	FALSE	TRUE
Col26a1	chr5	FALSE	FALSE
Jakmip1	chr5	FALSE	FALSE
1110002E22Rik	chr3	FALSE	TRUE
Tug1	chr11	FALSE	FALSE
Bmper	chr9	FALSE	TRUE
Npy2r	chr3	FALSE	FALSE
Prss23	chr7	FALSE	FALSE
Ttll8	chr15	FALSE	FALSE
Tecrl	chr5	FALSE	FALSE
Impa2	chr18	FALSE	TRUE
Tacr3	chr3	FALSE	TRUE
Shisa6	chr11	FALSE	FALSE
Ccdc158	chr5	FALSE	FALSE
Gm12695	chr4	FALSE	FALSE
Corin	chr5	FALSE	FALSE
Bbs9	chr9	FALSE	TRUE
Mylk2	chr2	FALSE	FALSE
Mmrn1	chr6	FALSE	TRUE
Ulbp1	chr10	FALSE	FALSE
Tram2	chr1	FALSE	TRUE
Dsp	chr13	FALSE	FALSE
Gch1	chr14	FALSE	FALSE
Dpysl2	chr14	FALSE	TRUE
Stx11	chr10	FALSE	FALSE
Sacs	chr14	FALSE	TRUE
Dnajc22	chr15	FALSE	FALSE
Il12rb2	chr6	FALSE	FALSE
Trim25	chr11	FALSE	FALSE
Oaf	chr9	FALSE	FALSE
Atp1a4	chr1	FALSE	FALSE
Il12rb1	chr8	FALSE	FALSE
Fam81a	chr9	FALSE	FALSE
Prrc1	chr18	FALSE	FALSE
Psd4	chr2	FALSE	FALSE
Zfp507	chr7	FALSE	FALSE
Nsun3	chr16	FALSE	TRUE
Parvg	chr15	FALSE	TRUE
Dcbld2	chr16	FALSE	TRUE
Srfbp1	chr18	FALSE	FALSE
Npr1	chr3	FALSE	FALSE
Rbm26	chr14	FALSE	TRUE
Synpo2	chr3	FALSE	FALSE
Aif1l	chr2	FALSE	FALSE
Tnfrsf1b	chr4	FALSE	FALSE
Rbbp8	chr18	FALSE	FALSE
Slc12a8	chr16	FALSE	TRUE
Myom2	chr8	FALSE	FALSE
Fbln5	chr12	FALSE	TRUE
Rorb	chr19	FALSE	FALSE
Itpr1	chr6	FALSE	FALSE
Cldn10	chr14	FALSE	FALSE
Fnbp1l	chr3	FALSE	FALSE
Crlf1	chr8	FALSE	TRUE
Gad1	chr2	FALSE	FALSE
Csf2rb2	chr15	FALSE	TRUE
Impg2	chr16	FALSE	TRUE
Begain	chr12	FALSE	TRUE
Sim1	chr10	FALSE	FALSE
Dgkk	chrX	FALSE	TRUE
Mei1	chr15	FALSE	FALSE
Wnt1	chr15	FALSE	FALSE
Disp1	chr1	FALSE	FALSE
Calca	chr7	FALSE	FALSE
Palm3	chr8	FALSE	FALSE
Depdc1b	chr13	FALSE	TRUE
Scube2	chr7	FALSE	FALSE
Crybg3	chr16	FALSE	FALSE
Shisa3	chr5	FALSE	FALSE
Brd7	chr8	FALSE	FALSE
Ergic2	chr6	FALSE	FALSE
Flt4	chr11	FALSE	FALSE
Rab38	chr7	FALSE	FALSE
Ren1	chr1	FALSE	FALSE
Wapl	chr14	FALSE	FALSE
Cxcl3	chr5	FALSE	FALSE
Nr4a3	chr4	FALSE	TRUE
Pdcd1	chr1	FALSE	FALSE
Nmnat3	chr9	FALSE	TRUE
Adora2b	chr11	FALSE	TRUE
Cdca2	chr14	FALSE	TRUE
Rassf10	chr7	FALSE	FALSE
Anpep	chr7	FALSE	FALSE
Tjp3	chr10	FALSE	FALSE
Tmem233	chr5	FALSE	FALSE
Acer2	chr4	FALSE	FALSE
Clic5	chr17	FALSE	FALSE
P2ry2	chr7	FALSE	FALSE
Nkd2	chr13	FALSE	TRUE
Hepacam2	chr6	FALSE	FALSE
Pdlim5	chr3	FALSE	FALSE
Sfswap	chr5	FALSE	TRUE
Ces1c	chr8	FALSE	TRUE
Pde4c	chr8	FALSE	FALSE
Ak5	chr3	FALSE	FALSE
Kit	chr5	FALSE	FALSE
Filip1	chr9	FALSE	FALSE
Mki67	chr7	FALSE	FALSE
Ttc6	chr12	FALSE	TRUE
Zfhx3	chr8	FALSE	FALSE
Cast	chr13	FALSE	FALSE
Stat4	chr1	FALSE	FALSE
St3gal4	chr9	FALSE	FALSE
Tmem161b	chr13	FALSE	TRUE
Lef1	chr3	FALSE	FALSE
Dkk2	chr3	FALSE	FALSE
Zfp618	chr4	FALSE	FALSE
Sgce	chr6	FALSE	FALSE
Nlrp10	chr7	FALSE	FALSE
Amotl1	chr9	FALSE	TRUE
Mme	chr3	FALSE	FALSE
Gpr37	chr6	FALSE	FALSE
Mat2b	chr11	FALSE	TRUE
Fgf4	chr7	FALSE	FALSE
Nfe2l2	chr2	FALSE	TRUE
Sec31b	chr19	FALSE	FALSE
Alx1	chr10	FALSE	FALSE
Sh3bp4	chr1	FALSE	TRUE
Rttn	chr18	FALSE	TRUE
Trpc4	chr3	FALSE	FALSE
C130074G19Rik	chr1	FALSE	FALSE
Atp13a5	chr16	FALSE	FALSE
Casp7	chr19	FALSE	TRUE
Wnt3a	chr11	FALSE	FALSE
Susd3	chr13	FALSE	FALSE
Fam180a	chr6	FALSE	FALSE
Pik3c2g	chr6	FALSE	FALSE
Prox1	chr1	FALSE	FALSE
Il1rapl2	chrX	FALSE	TRUE
Tbcel	chr9	FALSE	TRUE
Nlrp6	chr7	FALSE	FALSE
Hoxc4	chr15	FALSE	FALSE
Gpr149	chr3	FALSE	TRUE
Dlgap2	chr8	FALSE	FALSE
Adamtsl5	chr10	FALSE	FALSE
Exoc4	chr6	FALSE	FALSE
Cd2	chr3	FALSE	FALSE
Sgk3	chr1	FALSE	TRUE
Timp3	chr10	FALSE	FALSE
1700012B09Rik	chr9	FALSE	FALSE
Rhoj	chr12	FALSE	TRUE
Adamtsl1	chr4	FALSE	FALSE
St3gal1	chr15	FALSE	TRUE
Wdr37	chr13	FALSE	TRUE
Psmb2	chr4	FALSE	FALSE
B3gat1	chr9	FALSE	FALSE
Pdgfd	chr9	FALSE	FALSE
Btg3	chr16	FALSE	FALSE
Chrm3	chr13	TRUE	TRUE
Smagp	chr15	FALSE	FALSE
Ryr1	chr7	FALSE	FALSE
Gcnt2	chr13	FALSE	FALSE
Neurog1	chr13	FALSE	FALSE
Crocc2	chr1	FALSE	FALSE
Eps8l1	chr7	FALSE	FALSE
Aox4	chr1	FALSE	FALSE
Hsd17b11	chr5	FALSE	TRUE
Fmo5	chr3	FALSE	TRUE
Dab1	chr4	FALSE	FALSE
S100a13	chr3	FALSE	TRUE
Lmo7	chr14	FALSE	FALSE
Sfmbt2	chr2	FALSE	FALSE
Smarcad1	chr6	FALSE	FALSE
Sorbs3	chr14	FALSE	FALSE
Kitl	chr10	FALSE	FALSE
