gene_name	chr	is_neuronal_and_mecp2_up	k119ub_remodeled
Slc25a21	chr12	FALSE	FALSE
Agbl4	chr4	FALSE	TRUE
Ajuba	chr14	FALSE	TRUE
Rock2	chr12	FALSE	TRUE
Slc6a9	chr4	FALSE	FALSE
Kansl1l	chr1	FALSE	TRUE
Sesn1	chr10	FALSE	TRUE
Cttnbp2nl	chr3	FALSE	TRUE
Olfm2	chr9	FALSE	TRUE
Tll1	chr8	FALSE	TRUE
Pknox1	chr17	FALSE	TRUE
Klc1	chr12	FALSE	TRUE
Sidt1	chr16	FALSE	TRUE
Epb41l1	chr2	FALSE	TRUE
Map3k20	chr2	FALSE	FALSE
Rps6ka5	chr12	FALSE	TRUE
Evc2	chr5	FALSE	TRUE
Kcnh7	chr2	FALSE	FALSE
B4galt1	chr4	FALSE	TRUE
Ddah1	chr3	FALSE	FALSE
Trpc4ap	chr2	FALSE	TRUE
Dexi	chr16	FALSE	TRUE
Gmds	chr13	FALSE	TRUE
Napa	chr7	FALSE	FALSE
Fzd6	chr15	FALSE	FALSE
Ptprj	chr2	FALSE	FALSE
Lrrc3	chr10	FALSE	FALSE
Whamm	chr7	FALSE	TRUE
Arhgap18	chr10	FALSE	FALSE
Prorp	chr12	FALSE	TRUE
Trappc9	chr15	FALSE	FALSE
Qrich2	chr11	FALSE	TRUE
Slc12a6	chr2	FALSE	TRUE
Car8	chr4	FALSE	FALSE
Rpgrip1l	chr8	FALSE	FALSE
Phf3	chr1	FALSE	TRUE
Slc28a3	chr13	FALSE	FALSE
Sgcg	chr14	FALSE	FALSE
Vwa5b1	chr4	FALSE	TRUE
Wnt10a	chr1	FALSE	TRUE
Ablim3	chr18	FALSE	TRUE
Cbln3	chr14	FALSE	FALSE
Vcan	chr13	FALSE	FALSE
Usp44	chr10	FALSE	FALSE
Rap1gap	chr4	FALSE	TRUE
Mtx2	chr2	FALSE	FALSE
Olfml3	chr3	FALSE	FALSE
Tns1	chr1	FALSE	FALSE
Arfgap3	chr15	FALSE	FALSE
Pax4	chr6	FALSE	FALSE
Decr1	chr4	FALSE	TRUE
Cpne2	chr8	FALSE	FALSE
Gbp3	chr3	FALSE	FALSE
Tmem132e	chr11	FALSE	FALSE
Serp2	chr14	FALSE	TRUE
Cfap45	chr1	FALSE	FALSE
Rab40b	chr11	FALSE	FALSE
Etv3	chr3	FALSE	TRUE
Enpp7	chr11	FALSE	FALSE
Slc16a14	chr1	FALSE	FALSE
Ensa	chr3	FALSE	FALSE
Fam185a	chr5	FALSE	TRUE
Ppm1h	chr10	FALSE	TRUE
Slc4a8	chr15	FALSE	FALSE
Mgarp	chr3	FALSE	FALSE
Shc3	chr13	FALSE	FALSE
Ntng1	chr3	FALSE	FALSE
Ace	chr11	FALSE	FALSE
Bora	chr14	FALSE	TRUE
Nefm	chr14	FALSE	TRUE
Rbpms2	chr9	FALSE	TRUE
Sema7a	chr9	FALSE	FALSE
Adora3	chr3	FALSE	FALSE
Ccm2l	chr2	FALSE	FALSE
Kcnip2	chr19	FALSE	FALSE
Fam114a1	chr5	FALSE	FALSE
Nfatc2	chr2	FALSE	FALSE
Hmcn1	chr1	FALSE	TRUE
Tmem44	chr16	FALSE	FALSE
Slc41a3	chr6	FALSE	TRUE
Ralbp1	chr17	FALSE	FALSE
Ush1g	chr11	FALSE	FALSE
Capn5	chr7	FALSE	TRUE
Chst7	chrX	FALSE	TRUE
Sh3kbp1	chrX	FALSE	FALSE
Hs2st1	chr3	FALSE	TRUE
Ramp3	chr11	FALSE	FALSE
Acot3	chr12	FALSE	FALSE
Rapgef4	chr2	FALSE	FALSE
Slc18a1	chr8	FALSE	TRUE
Rasal1	chr5	FALSE	TRUE
Pfkfb2	chr1	FALSE	FALSE
Wdr41	chr13	FALSE	TRUE
Acss3	chr10	FALSE	FALSE
Col25a1	chr3	FALSE	TRUE
Jcad	chr18	FALSE	TRUE
Tcf7l1	chr6	FALSE	TRUE
Glrb	chr3	FALSE	TRUE
Ebf4	chr2	FALSE	FALSE
Plekhg6	chr6	FALSE	TRUE
Irak2	chr6	FALSE	FALSE
Sik1	chr17	FALSE	FALSE
Nxph4	chr10	FALSE	FALSE
Tnfsf13	chr11	FALSE	TRUE
Arhgap42	chr9	FALSE	FALSE
Ltbp2	chr12	FALSE	FALSE
Rnf180	chr13	FALSE	TRUE
Vegfa	chr17	FALSE	FALSE
Aox2	chr1	FALSE	FALSE
Ror1	chr4	FALSE	TRUE
Git2	chr5	FALSE	TRUE
Bcas1	chr2	FALSE	FALSE
Cryl1	chr14	FALSE	TRUE
Sfrp5	chr19	FALSE	FALSE
Mbd2	chr18	FALSE	TRUE
Tmem41a	chr16	FALSE	TRUE
Kif14	chr1	TRUE	TRUE
Sparc	chr11	FALSE	TRUE
Slc22a22	chr15	FALSE	FALSE
Srgn	chr10	FALSE	FALSE
F11r	chr1	FALSE	FALSE
Tulp4	chr17	FALSE	FALSE
Abi3	chr11	FALSE	TRUE
Prkcq	chr2	FALSE	FALSE
Sbno2	chr10	FALSE	FALSE
Nid1	chr13	FALSE	FALSE
Nr1d2	chr14	FALSE	FALSE
Yy1	chr12	FALSE	FALSE
Cpt1a	chr19	FALSE	FALSE
Ptar1	chr19	FALSE	TRUE
G2e3	chr12	FALSE	FALSE
Tmem52	chr4	FALSE	FALSE
Cxcl17	chr7	FALSE	TRUE
Rhof	chr5	FALSE	TRUE
Pam	chr1	FALSE	TRUE
Zfp853	chr5	FALSE	FALSE
Dctn3	chr4	FALSE	TRUE
Spry2	chr14	FALSE	TRUE
Pros1	chr16	FALSE	TRUE
Stim1	chr7	FALSE	TRUE
Prkcd	chr14	FALSE	FALSE
Clcn1	chr6	FALSE	TRUE
Vat1l	chr8	FALSE	TRUE
Arfip1	chr3	FALSE	TRUE
Ccdc85a	chr11	FALSE	FALSE
Zmiz1	chr14	TRUE	FALSE
Dnajc24	chr2	FALSE	FALSE
Tiparp	chr3	FALSE	TRUE
Col6a1	chr10	FALSE	TRUE
Colgalt1	chr8	FALSE	FALSE
Acer3	chr7	FALSE	TRUE
Mboat2	chr12	FALSE	FALSE
Mfsd4a	chr1	FALSE	TRUE
Edem1	chr6	FALSE	FALSE
Mapk8	chr14	FALSE	TRUE
Phyhd1	chr2	FALSE	FALSE
H1f6	chr13	FALSE	TRUE
Atp6v1c2	chr12	FALSE	TRUE
Nim1k	chr13	FALSE	TRUE
Tmem229b	chr12	FALSE	FALSE
Ankmy1	chr1	FALSE	FALSE
Lgals3bp	chr11	FALSE	FALSE
Otulin	chr15	FALSE	TRUE
Sema6c	chr3	FALSE	FALSE
Tbr1	chr2	FALSE	FALSE
Tmem38b	chr4	FALSE	TRUE
Krt71	chr15	FALSE	FALSE
Dhh	chr15	FALSE	FALSE
Pacrg	chr17	FALSE	TRUE
Snap91	chr9	FALSE	FALSE
Ctsb	chr14	FALSE	TRUE
Plag1	chr4	FALSE	TRUE
Sec22a	chr16	FALSE	FALSE
Gpam	chr19	FALSE	FALSE
St8sia5	chr18	FALSE	FALSE
Ctnna1	chr18	FALSE	TRUE
Htra1	chr7	FALSE	TRUE
Pdk1	chr2	FALSE	TRUE
Ankrd63	chr2	FALSE	TRUE
Ifi44l	chr3	FALSE	FALSE
Wdr95	chr5	FALSE	FALSE
Armh4	chr14	FALSE	TRUE
Zfhx2	chr14	FALSE	TRUE
Slc2a5	chr4	FALSE	FALSE
Zfyve27	chr19	FALSE	FALSE
Chmp4b	chr2	FALSE	FALSE
Slc1a4	chr11	FALSE	FALSE
Abhd3	chr18	FALSE	TRUE
Fam107a	chr14	FALSE	FALSE
Kcnc2	chr10	FALSE	FALSE
Slc13a3	chr2	FALSE	FALSE
Zc3h12c	chr9	FALSE	FALSE
Eci3	chr13	FALSE	FALSE
Tff3	chr17	FALSE	TRUE
Sult4a1	chr15	FALSE	TRUE
Ell2	chr13	FALSE	FALSE
Abcd3	chr3	FALSE	TRUE
Cnga3	chr1	FALSE	TRUE
Cabcoco1	chr10	FALSE	TRUE
Tcf7l2	chr19	FALSE	FALSE
Rftn2	chr1	FALSE	FALSE
Cul3	chr1	FALSE	FALSE
Prokr2	chr2	FALSE	FALSE
Epha10	chr4	FALSE	TRUE
Dnajb8	chr6	FALSE	TRUE
Arsj	chr3	FALSE	FALSE
Otog	chr7	FALSE	FALSE
Ccr9	chr9	FALSE	TRUE
Slc25a36	chr9	FALSE	TRUE
Vsx1	chr2	FALSE	TRUE
Uso1	chr5	FALSE	TRUE
Map4k3	chr17	FALSE	TRUE
Alox5	chr6	FALSE	TRUE
Dhx58	chr11	FALSE	TRUE
Cpne9	chr6	FALSE	FALSE
Sesn3	chr9	FALSE	FALSE
Traf7	chr17	FALSE	TRUE
Larp1	chr11	FALSE	FALSE
Adcy10	chr1	FALSE	TRUE
Ptp4a3	chr15	FALSE	TRUE
Vipr2	chr12	FALSE	TRUE
Arhgap25	chr6	FALSE	FALSE
Fbxl8	chr8	FALSE	FALSE
Socs6	chr18	FALSE	TRUE
Rab3gap2	chr1	FALSE	TRUE
Slc30a5	chr13	FALSE	TRUE
Adgra2	chr8	FALSE	FALSE
Pik3r3	chr4	FALSE	TRUE
Cog2	chr8	FALSE	FALSE
Tdrd5	chr1	FALSE	FALSE
Mcf2l	chr8	FALSE	FALSE
P3h2	chr16	FALSE	FALSE
Hectd1	chr12	FALSE	TRUE
Lrriq1	chr10	FALSE	TRUE
Dnah1	chr14	FALSE	TRUE
Zfp397	chr18	FALSE	FALSE
Krt19	chr11	FALSE	TRUE
Card10	chr15	FALSE	TRUE
Lrrc38	chr4	FALSE	TRUE
Cntfr	chr4	FALSE	FALSE
Pot1a	chr6	FALSE	TRUE
Herpud2	chr9	FALSE	TRUE
Cdon	chr9	FALSE	FALSE
Ikzf3	chr11	FALSE	TRUE
Dgat2	chr7	FALSE	TRUE
Sympk	chr7	FALSE	TRUE
Blk	chr14	FALSE	FALSE
Nisch	chr14	FALSE	TRUE
Lrpap1	chr5	FALSE	FALSE
Cpne5	chr17	FALSE	TRUE
Wwox	chr8	FALSE	TRUE
Esyt3	chr9	FALSE	FALSE
Sh3pxd2b	chr11	FALSE	FALSE
Tpbg	chr9	FALSE	FALSE
Necab1	chr4	FALSE	TRUE
Slc15a1	chr14	FALSE	TRUE
Lama4	chr10	FALSE	TRUE
Pcolce2	chr9	FALSE	FALSE
Hic2	chr16	FALSE	TRUE
Prnd	chr2	FALSE	FALSE
Heca	chr10	FALSE	FALSE
Nlgn1	chr3	FALSE	TRUE
Cry2	chr2	FALSE	TRUE
Tgif2	chr2	FALSE	TRUE
Asic4	chr1	FALSE	TRUE
Tmem232	chr17	FALSE	TRUE
Llgl2	chr11	FALSE	TRUE
Gabra1	chr11	FALSE	FALSE
Mab21l3	chr3	FALSE	TRUE
Zscan29	chr2	FALSE	TRUE
Sclt1	chr3	FALSE	TRUE
Ngef	chr1	FALSE	TRUE
Adam12	chr7	FALSE	FALSE
Ccdc113	chr8	FALSE	TRUE
Map3k15	chrX	FALSE	FALSE
Thsd4	chr9	FALSE	FALSE
Strc	chr2	FALSE	FALSE
Arhgap8	chr15	FALSE	TRUE
Rtp1	chr16	FALSE	FALSE
Gucy1a1	chr3	FALSE	FALSE
Ankrd10	chr8	FALSE	FALSE
Ofcc1	chr13	FALSE	FALSE
Pik3r5	chr11	FALSE	TRUE
Gxylt1	chr15	FALSE	FALSE
Cd34	chr1	FALSE	FALSE
Dytn	chr1	FALSE	TRUE
Pik3cg	chr12	FALSE	TRUE
C8a	chr4	FALSE	TRUE
Lingo3	chr10	FALSE	TRUE
Itgb7	chr15	FALSE	FALSE
Plekhh1	chr12	FALSE	FALSE
Slc37a3	chr6	FALSE	FALSE
Tm2d1	chr4	FALSE	TRUE
Sgms1	chr19	FALSE	TRUE
Crtc1	chr8	FALSE	FALSE
Tex52	chr6	FALSE	FALSE
Slc4a5	chr6	FALSE	TRUE
Acap2	chr16	FALSE	TRUE
Tsc2	chr17	FALSE	TRUE
Rtkn2	chr10	FALSE	TRUE
Cstad	chr2	FALSE	FALSE
Atl2	chr17	FALSE	TRUE
Smim15	chr13	FALSE	TRUE
Aebp2	chr6	FALSE	FALSE
Mark2	chr19	FALSE	FALSE
Prdm13	chr4	FALSE	TRUE
Tnfsf18	chr1	FALSE	TRUE
Cnn1	chr9	FALSE	FALSE
Prss55	chr14	FALSE	FALSE
Cep290	chr10	FALSE	TRUE
Slc16a2	chrX	FALSE	FALSE
Pald1	chr10	FALSE	FALSE
Magi1	chr6	FALSE	TRUE
Rbpj	chr5	FALSE	TRUE
Pex10	chr4	FALSE	FALSE
Lhx6	chr2	FALSE	TRUE
Smim14	chr5	FALSE	TRUE
Fscn2	chr11	FALSE	TRUE
C6	chr15	FALSE	TRUE
Tgfbi	chr13	FALSE	TRUE
Rwdd3	chr3	FALSE	TRUE
Ube2ql1	chr13	FALSE	TRUE
Abcb1b	chr5	FALSE	TRUE
Marchf3	chr18	FALSE	TRUE
Sptbn5	chr2	FALSE	FALSE
Ndst3	chr3	FALSE	TRUE
Alx3	chr3	FALSE	TRUE
Rab5c	chr11	FALSE	FALSE
Car10	chr11	FALSE	TRUE
Trrap	chr5	FALSE	FALSE
Npl	chr1	FALSE	FALSE
Limd1	chr9	FALSE	FALSE
Rhbg	chr3	FALSE	FALSE
Adcy6	chr15	FALSE	FALSE
Tmc6	chr11	FALSE	TRUE
Kcnip3	chr2	TRUE	TRUE
Fubp3	chr2	FALSE	TRUE
Snx9	chr17	FALSE	FALSE
Prkcg	chr7	FALSE	TRUE
Bend7	chr2	FALSE	FALSE
Vav3	chr3	FALSE	TRUE
Sostdc1	chr12	FALSE	FALSE
Glis1	chr4	FALSE	TRUE
Pkdcc	chr17	FALSE	FALSE
Pdzrn4	chr15	FALSE	FALSE
Nfe2l3	chr6	FALSE	TRUE
Basp1	chr15	FALSE	TRUE
Slc25a10	chr11	FALSE	TRUE
Tulp3	chr6	FALSE	TRUE
Hsbp1l1	chr18	FALSE	FALSE
Col4a2	chr8	FALSE	FALSE
Csf1r	chr18	FALSE	TRUE
Mpzl1	chr1	FALSE	TRUE
Med30	chr15	FALSE	TRUE
Cep170	chr1	FALSE	TRUE
Prkn	chr17	FALSE	TRUE
Nexmif	chrX	FALSE	FALSE
Ube2n	chr10	FALSE	FALSE
Dock8	chr19	FALSE	FALSE
Glcci1	chr6	FALSE	TRUE
Gbp5	chr3	FALSE	FALSE
Usp3	chr9	FALSE	FALSE
Kdm3a	chr6	FALSE	FALSE
Lims2	chr18	FALSE	TRUE
Pten	chr19	FALSE	TRUE
Pak3	chrX	FALSE	TRUE
Hgf	chr5	FALSE	FALSE
Insrr	chr3	FALSE	TRUE
Enpep	chr3	FALSE	FALSE
Kcnh2	chr5	FALSE	TRUE
Cfap43	chr19	FALSE	FALSE
Slc25a15	chr8	FALSE	TRUE
Itih4	chr14	FALSE	FALSE
Mical3	chr6	FALSE	FALSE
Etnk1	chr6	FALSE	TRUE
Gbx1	chr5	FALSE	FALSE
Tbc1d9b	chr11	FALSE	FALSE
Pcdhac1	chr18	FALSE	FALSE
Lypd6b	chr2	FALSE	FALSE
Hmg20a	chr9	FALSE	FALSE
Calb2	chr8	TRUE	TRUE
Adamts16	chr13	FALSE	TRUE
Wdr89	chr12	FALSE	FALSE
Thada	chr17	FALSE	TRUE
Aqp7	chr4	FALSE	TRUE
Ccdc149	chr5	FALSE	TRUE
Soat1	chr1	FALSE	FALSE
Aldh1l2	chr10	FALSE	TRUE
Gpr176	chr2	FALSE	TRUE
Ythdc2	chr18	FALSE	TRUE
Fbxl4	chr4	FALSE	TRUE
Bcl11a	chr11	FALSE	FALSE
Adgra3	chr5	FALSE	FALSE
Aplp2	chr9	FALSE	FALSE
Emc2	chr15	FALSE	FALSE
Nell2	chr15	FALSE	FALSE
Hic1	chr11	FALSE	TRUE
Ptpre	chr7	FALSE	FALSE
Rims3	chr4	FALSE	FALSE
Myh7	chr14	FALSE	TRUE
Sptlc3	chr2	FALSE	TRUE
Cdh9	chr15	FALSE	FALSE
Mgat4c	chr10	FALSE	TRUE
Glis3	chr19	FALSE	FALSE
Rcor3	chr1	FALSE	FALSE
Prlr	chr15	FALSE	TRUE
Pde2a	chr7	FALSE	FALSE
Map3k5	chr10	FALSE	TRUE
Otud1	chr2	FALSE	TRUE
Rab44	chr17	FALSE	FALSE
Dcdc2c	chr12	FALSE	FALSE
Camk1g	chr1	FALSE	FALSE
Ppp5c	chr7	FALSE	FALSE
Fads6	chr11	FALSE	FALSE
Fam53b	chr7	FALSE	FALSE
Rtn4	chr11	FALSE	FALSE
Sorcs3	chr19	FALSE	TRUE
Rab11fip5	chr6	FALSE	FALSE
Map3k6	chr4	FALSE	FALSE
Kera	chr10	FALSE	TRUE
Col26a1	chr5	FALSE	TRUE
Grhpr	chr4	FALSE	TRUE
Fam20b	chr1	FALSE	TRUE
Il1r2	chr1	FALSE	TRUE
Asxl1	chr2	FALSE	FALSE
Elp3	chr14	FALSE	TRUE
Srebf1	chr11	FALSE	FALSE
Jakmip1	chr5	FALSE	TRUE
Hivep1	chr13	FALSE	TRUE
Ptprh	chr7	FALSE	TRUE
1110002E22Rik	chr3	FALSE	TRUE
Itpkb	chr1	FALSE	FALSE
4930564D02Rik	chr3	FALSE	TRUE
Ccn5	chr2	FALSE	TRUE
Vps35l	chr7	FALSE	FALSE
Fzd3	chr14	FALSE	TRUE
Limk2	chr11	FALSE	FALSE
Ttc13	chr8	FALSE	FALSE
Bmper	chr9	FALSE	TRUE
Npy2r	chr3	FALSE	FALSE
Arhgef40	chr14	FALSE	FALSE
Btbd16	chr7	FALSE	TRUE
Prss23	chr7	FALSE	FALSE
Ttll8	chr15	FALSE	TRUE
Tecrl	chr5	FALSE	TRUE
Lats2	chr14	FALSE	TRUE
Cxxc5	chr18	FALSE	TRUE
Kcnt2	chr1	FALSE	TRUE
Impa2	chr18	FALSE	TRUE
Adck2	chr6	FALSE	TRUE
Xkr4	chr1	FALSE	FALSE
Bin1	chr18	FALSE	FALSE
Ahr	chr12	FALSE	TRUE
Shisa6	chr11	FALSE	TRUE
Ccdc158	chr5	FALSE	FALSE
Rab2a	chr4	FALSE	TRUE
Ttc9	chr12	FALSE	FALSE
Rnf122	chr8	FALSE	TRUE
Myh15	chr16	FALSE	FALSE
Gm12695	chr4	FALSE	TRUE
Plxna1	chr6	FALSE	TRUE
Corin	chr5	FALSE	FALSE
Kcnj15	chr16	FALSE	FALSE
Bbs9	chr9	FALSE	TRUE
Abhd15	chr11	FALSE	TRUE
Slc25a23	chr17	FALSE	FALSE
Agtpbp1	chr13	FALSE	FALSE
Slc16a10	chr10	FALSE	TRUE
Cfap161	chr7	FALSE	TRUE
Slfn9	chr11	FALSE	FALSE
Gpld1	chr13	FALSE	FALSE
Arhgap33os	chr7	FALSE	TRUE
Atp2b3	chrX	FALSE	TRUE
Mylk2	chr2	FALSE	FALSE
Mmrn1	chr6	FALSE	TRUE
Ulbp1	chr10	FALSE	TRUE
Dnajc13	chr9	FALSE	TRUE
Tram2	chr1	FALSE	TRUE
Dsp	chr13	FALSE	TRUE
Cyb5b	chr8	FALSE	TRUE
Septin7	chr9	FALSE	TRUE
Lrp1	chr10	FALSE	TRUE
Gch1	chr14	FALSE	FALSE
Psd	chr19	FALSE	FALSE
Dpysl2	chr14	FALSE	FALSE
Mbnl1	chr3	FALSE	TRUE
Nudt2	chr4	FALSE	FALSE
Stx11	chr10	FALSE	FALSE
Sacs	chr14	FALSE	TRUE
Dnajc22	chr15	FALSE	FALSE
Oaf	chr9	FALSE	TRUE
Atp1a4	chr1	FALSE	FALSE
Spns3	chr11	FALSE	TRUE
Nrip3	chr7	FALSE	FALSE
Il12rb1	chr8	FALSE	FALSE
Prkcz	chr4	FALSE	TRUE
Dclre1c	chr2	FALSE	TRUE
Prrc1	chr18	FALSE	TRUE
Psd4	chr2	FALSE	FALSE
Zfp507	chr7	FALSE	TRUE
Vcl	chr14	FALSE	FALSE
Ankrd35	chr3	FALSE	TRUE
Cables1	chr18	FALSE	FALSE
Nsun3	chr16	FALSE	TRUE
Fyco1	chr9	FALSE	TRUE
Foxo3	chr10	FALSE	FALSE
Parvg	chr15	FALSE	FALSE
Dcbld2	chr16	FALSE	TRUE
Zfp326	chr5	FALSE	TRUE
Gmps	chr3	FALSE	TRUE
Fkbp14	chr6	FALSE	TRUE
Muc15	chr2	FALSE	TRUE
Npr1	chr3	FALSE	TRUE
Daw1	chr1	TRUE	TRUE
Rbm26	chr14	FALSE	TRUE
Kndc1	chr7	FALSE	FALSE
Plaat1	chr16	FALSE	TRUE
Synpo2	chr3	FALSE	TRUE
Wdr43	chr17	FALSE	FALSE
Aif1l	chr2	FALSE	TRUE
Tnfrsf1b	chr4	FALSE	TRUE
Slc43a2	chr11	FALSE	TRUE
Pibf1	chr14	FALSE	TRUE
Jazf1	chr6	FALSE	FALSE
Ncdn	chr4	FALSE	TRUE
H2bc4	chr13	FALSE	TRUE
Slc12a8	chr16	FALSE	TRUE
Myom2	chr8	FALSE	TRUE
Nup210	chr6	FALSE	FALSE
Madd	chr2	FALSE	FALSE
Fbln5	chr12	FALSE	FALSE
Rorb	chr19	FALSE	FALSE
Traf3ip1	chr1	FALSE	FALSE
Slc35a3	chr3	FALSE	TRUE
Rab39	chr9	FALSE	FALSE
Itpr1	chr6	FALSE	TRUE
Mier1	chr4	FALSE	TRUE
Cyp7b1	chr3	FALSE	TRUE
Rusc2	chr4	FALSE	FALSE
Cldn10	chr14	FALSE	FALSE
Unc45b	chr11	FALSE	TRUE
Pla2g2f	chr4	FALSE	FALSE
Phf24	chr4	FALSE	FALSE
Trpm1	chr7	FALSE	FALSE
Fnbp1l	chr3	FALSE	TRUE
Crlf1	chr8	FALSE	TRUE
Ccdc177	chr12	FALSE	FALSE
Gad1	chr2	FALSE	FALSE
Tent5d	chrX	FALSE	TRUE
Spata31d1a	chr13	FALSE	FALSE
Ubash3a	chr17	FALSE	FALSE
Tnfrsf13b	chr11	FALSE	FALSE
Csf2rb2	chr15	FALSE	FALSE
Neurl1b	chr17	FALSE	TRUE
Begain	chr12	FALSE	TRUE
Sertad2	chr11	FALSE	FALSE
Tmprss6	chr15	FALSE	TRUE
Gm12216	chr11	FALSE	FALSE
Sim1	chr10	FALSE	TRUE
Susd6	chr12	FALSE	TRUE
Caps2	chr10	FALSE	TRUE
Eif2ak2	chr17	FALSE	TRUE
Mei1	chr15	FALSE	TRUE
Nnt	chr13	FALSE	TRUE
Wnt1	chr15	FALSE	TRUE
Septin11	chr5	FALSE	TRUE
Mia2	chr12	FALSE	TRUE
Calca	chr7	FALSE	FALSE
Swap70	chr7	FALSE	FALSE
Stt3b	chr9	FALSE	TRUE
Akr1d1	chr6	FALSE	TRUE
Palm3	chr8	FALSE	TRUE
Depdc1b	chr13	FALSE	TRUE
Scube2	chr7	FALSE	TRUE
Sugct	chr13	FALSE	TRUE
Ilvbl	chr10	FALSE	TRUE
Aldh2	chr5	FALSE	TRUE
Crybg3	chr16	FALSE	TRUE
Afg3l2	chr18	FALSE	TRUE
Abcd2	chr15	FALSE	TRUE
Slc38a1	chr15	FALSE	TRUE
Shisa3	chr5	FALSE	TRUE
Me2	chr18	FALSE	TRUE
Micu3	chr8	TRUE	TRUE
Bhlhe40	chr6	FALSE	TRUE
Brd7	chr8	FALSE	TRUE
Evi5l	chr8	FALSE	FALSE
N4bp2	chr5	FALSE	TRUE
Flt4	chr11	FALSE	TRUE
Dtd2	chr12	FALSE	TRUE
Ren1	chr1	FALSE	TRUE
Wapl	chr14	FALSE	FALSE
Cxcl3	chr5	FALSE	TRUE
Nr4a3	chr4	FALSE	FALSE
Pdcd1	chr1	FALSE	TRUE
Igbp1	chrX	FALSE	TRUE
Cmc2	chr8	FALSE	TRUE
Ubac1	chr2	FALSE	FALSE
Nmnat3	chr9	FALSE	FALSE
Adora2b	chr11	FALSE	TRUE
Cdca2	chr14	FALSE	FALSE
Rassf10	chr7	FALSE	TRUE
Tmx4	chr2	FALSE	TRUE
Ppfia3	chr7	FALSE	FALSE
Lpo	chr11	FALSE	FALSE
Gpsm2	chr3	FALSE	TRUE
Rarg	chr15	FALSE	FALSE
Gars	chr6	FALSE	FALSE
Tom1l2	chr11	FALSE	FALSE
Ctnnd1	chr2	FALSE	FALSE
Acer2	chr4	FALSE	FALSE
P2ry2	chr7	FALSE	TRUE
Nkd2	chr13	FALSE	TRUE
Stimate	chr14	FALSE	FALSE
Zfp469	chr8	FALSE	TRUE
Zswim4	chr8	FALSE	FALSE
Cntn6	chr6	TRUE	TRUE
Ube2e2	chr14	FALSE	FALSE
Iqce	chr5	FALSE	FALSE
Plscr1	chr9	FALSE	FALSE
Hepacam2	chr6	FALSE	TRUE
Il31ra	chr13	FALSE	FALSE
Pdlim5	chr3	FALSE	FALSE
Sfswap	chr5	FALSE	TRUE
N4bp2l1	chr5	FALSE	FALSE
Ube2h	chr6	FALSE	TRUE
Eef1a1	chr9	FALSE	FALSE
Pde4c	chr8	FALSE	FALSE
Ak5	chr3	FALSE	FALSE
Kit	chr5	FALSE	FALSE
Bag5	chr12	FALSE	TRUE
Slc12a5	chr2	FALSE	TRUE
Sgpp1	chr12	FALSE	TRUE
Als2	chr1	FALSE	FALSE
Cfap54	chr10	FALSE	TRUE
Stoml3	chr3	FALSE	TRUE
Mki67	chr7	FALSE	TRUE
Ppp1r1b	chr11	FALSE	TRUE
Cdc14a	chr3	FALSE	TRUE
Zfhx3	chr8	FALSE	FALSE
Cast	chr13	FALSE	TRUE
Kcmf1	chr6	FALSE	FALSE
Slc26a9	chr1	FALSE	TRUE
Tex10	chr4	FALSE	TRUE
Stat4	chr1	FALSE	TRUE
Pgbd5	chr8	FALSE	TRUE
Cd28	chr1	FALSE	TRUE
Tnni3k	chr3	FALSE	TRUE
Slc4a2	chr5	FALSE	TRUE
Commd9	chr2	FALSE	TRUE
St3gal4	chr9	FALSE	TRUE
Ldha	chr7	FALSE	FALSE
Fbln7	chr2	FALSE	FALSE
Tmem161b	chr13	FALSE	TRUE
Lef1	chr3	FALSE	FALSE
Dkk2	chr3	FALSE	FALSE
Zfp618	chr4	FALSE	FALSE
Golga4	chr9	FALSE	FALSE
Slc38a6	chr12	FALSE	TRUE
Tcaf1	chr6	FALSE	TRUE
Map1b	chr13	FALSE	FALSE
Cap2	chr13	FALSE	FALSE
Sgce	chr6	FALSE	TRUE
Amotl1	chr9	FALSE	TRUE
Plcd1	chr9	FALSE	FALSE
Eml2	chr7	FALSE	TRUE
Dppa2	chr16	FALSE	TRUE
Mme	chr3	FALSE	TRUE
Gpr22	chr12	FALSE	TRUE
Pfkp	chr13	FALSE	TRUE
Arhgap21	chr2	FALSE	FALSE
Gpr37	chr6	FALSE	FALSE
Fip1l1	chr5	FALSE	TRUE
Mat2b	chr11	FALSE	TRUE
Fgf4	chr7	FALSE	TRUE
Nfe2l2	chr2	FALSE	FALSE
Atp1a1	chr3	FALSE	FALSE
Alx1	chr10	FALSE	TRUE
Sh3bp4	chr1	FALSE	FALSE
Tbpl1	chr10	FALSE	TRUE
Ticam2	chr18	FALSE	TRUE
Tbc1d22b	chr17	FALSE	TRUE
Cnn3	chr3	FALSE	FALSE
Mettl8	chr2	FALSE	TRUE
Stx7	chr10	FALSE	TRUE
Gm1604b	chr17	FALSE	FALSE
Gstm1	chr3	FALSE	TRUE
Plcg1	chr2	FALSE	TRUE
Trpc4	chr3	FALSE	FALSE
C130074G19Rik	chr1	FALSE	FALSE
Sema3g	chr14	FALSE	TRUE
Atp13a5	chr16	FALSE	FALSE
Casp7	chr19	FALSE	FALSE
Fxyd6	chr9	FALSE	FALSE
Plpp7	chr2	FALSE	FALSE
Prkag2	chr5	FALSE	TRUE
