gene_name	chr	is_neuronal	three_plus_predicted
Meis1	chr11	TRUE	FALSE
Mex3c	chr18	FALSE	FALSE
Mfsd1	chr3	FALSE	FALSE
Mgat5b	chr11	FALSE	FALSE
Mgst3	chr1	FALSE	TRUE
Minar1	chr9	TRUE	FALSE
Mis18a	chr16	FALSE	FALSE
Mitf	chr6	FALSE	TRUE
Mkx	chr18	FALSE	FALSE
Mllt3	chr4	FALSE	FALSE
Mmp9	chr2	TRUE	FALSE
Mms22l	chr4	FALSE	FALSE
Mocs1	chr17	FALSE	FALSE
Mon1b	chr8	FALSE	FALSE
Mpdz	chr4	TRUE	TRUE
Mphosph6	chr8	FALSE	FALSE
Mpped2	chr2	FALSE	FALSE
Mrc2	chr11	FALSE	FALSE
Mroh5	chr15	FALSE	FALSE
Mst1r	chr9	TRUE	FALSE
Mt1	chr8	TRUE	TRUE
Mtch1	chr17	FALSE	TRUE
Mterf1b	chr5	FALSE	TRUE
Mtpn	chr6	TRUE	FALSE
Mtss1	chr15	TRUE	FALSE
Mtus1	chr8	FALSE	TRUE
Mtx2	chr2	FALSE	FALSE
Myc	chr15	TRUE	FALSE
Mycn	chr12	TRUE	FALSE
Myf5	chr10	FALSE	FALSE
Myl12b	chr17	FALSE	FALSE
Myl3	chr9	FALSE	FALSE
Mylip	chr13	TRUE	FALSE
Myo10	chr15	FALSE	TRUE
Myo16	chr8	TRUE	FALSE
Myo6	chr9	TRUE	TRUE
Myof	chr19	FALSE	TRUE
Myt1l	chr12	TRUE	TRUE
N4bp3	chr11	TRUE	TRUE
N6amt1	chr16	FALSE	TRUE
Naa11	chr5	FALSE	TRUE
Nampt	chr12	FALSE	TRUE
Nap1l1	chr10	TRUE	FALSE
Napg	chr18	FALSE	TRUE
Nars2	chr7	FALSE	FALSE
Nat8	chr6	FALSE	FALSE
Nav1	chr1	TRUE	FALSE
Nav3	chr10	TRUE	FALSE
Nbea	chr3	TRUE	TRUE
Nck2	chr1	TRUE	TRUE
Ndfip1	chr18	FALSE	FALSE
Ndfip2	chr14	FALSE	TRUE
Ndrg4	chr8	TRUE	FALSE
Ndufa10	chr1	FALSE	FALSE
Ndufa4	chr6	FALSE	FALSE
Ndufs2	chr1	TRUE	FALSE
Ndufs4	chr13	TRUE	FALSE
Ndufs6	chr13	FALSE	FALSE
Nebl	chr2	FALSE	FALSE
Necab1	chr4	FALSE	TRUE
Nectin1	chr9	TRUE	FALSE
Nectin3	chr16	TRUE	FALSE
Nedd9	chr13	TRUE	FALSE
Nefl	chr14	TRUE	FALSE
Neo1	chr9	TRUE	FALSE
Neurod6	chr6	TRUE	FALSE
Nfasc	chr1	TRUE	FALSE
Nfatc2	chr2	FALSE	FALSE
Nfe2l2	chr2	TRUE	TRUE
Nfia	chr4	TRUE	TRUE
Nfib	chr4	TRUE	TRUE
Nfic	chr10	FALSE	FALSE
Nfil3	chr13	FALSE	FALSE
Nfkb1	chr3	FALSE	FALSE
Nhlh2	chr3	TRUE	TRUE
Nhsl1	chr10	FALSE	TRUE
Nipal2	chr15	FALSE	TRUE
Nkain3	chr4	FALSE	FALSE
Nlgn1	chr3	TRUE	FALSE
Nln	chr13	FALSE	FALSE
Noct	chr3	FALSE	FALSE
Nol4	chr18	FALSE	FALSE
Nova1	chr12	TRUE	FALSE
Npas1	chr7	TRUE	FALSE
Npas2	chr1	FALSE	FALSE
Nphp4	chr4	TRUE	FALSE
Npm1	chr11	TRUE	FALSE
Npvf	chr6	FALSE	TRUE
Nr2f1	chr13	TRUE	FALSE
Nr3c1	chr18	TRUE	FALSE
Nr3c2	chr8	TRUE	FALSE
Nr4a2	chr2	TRUE	TRUE
Nr4a3	chr4	TRUE	TRUE
Nrbf2	chr10	FALSE	TRUE
Nrg3	chr14	TRUE	FALSE
Nrp1	chr8	TRUE	FALSE
Nrp2	chr1	TRUE	FALSE
Nrxn3	chr12	TRUE	FALSE
Nsun3	chr16	FALSE	FALSE
Nt5e	chr9	FALSE	TRUE
Ntf3	chr6	TRUE	TRUE
Ntm	chr9	TRUE	FALSE
Ntng1	chr3	TRUE	FALSE
Ntrk2	chr13	TRUE	FALSE
Nuf2	chr1	FALSE	FALSE
Nufip1	chr14	FALSE	FALSE
Nup153	chr13	FALSE	FALSE
Nxph1	chr6	TRUE	FALSE
Nxph3	chr11	FALSE	TRUE
Ofcc1	chr13	FALSE	FALSE
Olfm4	chr14	FALSE	FALSE
Opa1	chr16	TRUE	FALSE
Opcml	chr9	FALSE	FALSE
Optc	chr1	FALSE	TRUE
Optn	chr2	TRUE	FALSE
Osbpl1a	chr18	FALSE	TRUE
Osbpl3	chr6	FALSE	TRUE
Otol1	chr3	FALSE	FALSE
Otos	chr1	TRUE	TRUE
Otud1	chr2	FALSE	TRUE
Otx2	chr14	TRUE	TRUE
Oxgr1	chr14	FALSE	TRUE
P2rx5	chr11	FALSE	FALSE
Pag1	chr3	FALSE	FALSE
Palld	chr8	TRUE	FALSE
Pam	chr1	FALSE	FALSE
Papola	chr12	FALSE	FALSE
Pappa	chr4	FALSE	FALSE
Pappa2	chr1	FALSE	FALSE
Paqr9	chr9	FALSE	TRUE
Pard3	chr8	TRUE	FALSE
Parvg	chr15	FALSE	FALSE
Pax6	chr2	TRUE	TRUE
Pbx1	chr1	TRUE	FALSE
Pbx3	chr2	TRUE	TRUE
Pcdh8	chr14	TRUE	FALSE
Pcdh9	chr14	FALSE	FALSE
Pcgf5	chr19	FALSE	FALSE
Pcnx4	chr12	FALSE	TRUE
Pcsk1	chr13	TRUE	FALSE
Pcsk6	chr7	FALSE	FALSE
Pdcd1	chr1	FALSE	TRUE
Pde11a	chr2	FALSE	FALSE
Pde1c	chr6	TRUE	FALSE
Pde4a	chr9	TRUE	FALSE
Pde4d	chr13	TRUE	TRUE
Pdgfa	chr5	FALSE	FALSE
Pdia6	chr12	FALSE	FALSE
Pdlim4	chr11	TRUE	FALSE
Pdzd2	chr15	FALSE	FALSE
Pdzd8	chr19	FALSE	FALSE
Pdzrn4	chr15	FALSE	FALSE
Peli1	chr11	FALSE	FALSE
Peli2	chr14	FALSE	TRUE
Pepd	chr7	FALSE	FALSE
Pfkfb3	chr2	TRUE	FALSE
Pgr	chr9	FALSE	FALSE
Pgrmc2	chr3	FALSE	FALSE
Phactr1	chr13	TRUE	FALSE
Phactr2	chr10	FALSE	FALSE
Phlda1	chr10	FALSE	TRUE
Phldb2	chr16	FALSE	TRUE
Phospho1	chr11	FALSE	FALSE
Pid1	chr1	FALSE	FALSE
Piezo2	chr18	TRUE	FALSE
Pik3c3	chr18	TRUE	FALSE
Pik3r1	chr13	TRUE	FALSE
Pim1	chr17	FALSE	TRUE
Pip4p2	chr4	FALSE	FALSE
Pitrm1	chr13	FALSE	FALSE
Pja2	chr17	TRUE	TRUE
Pknox2	chr9	FALSE	FALSE
Pla2g2c	chr4	FALSE	FALSE
Pla2g4a	chr1	FALSE	TRUE
Pla2r1	chr2	FALSE	TRUE
Plagl1	chr10	FALSE	FALSE
Plcb1	chr2	TRUE	FALSE
Plcl1	chr1	TRUE	FALSE
Plcl2	chr17	TRUE	TRUE
Pld1	chr3	TRUE	FALSE
Plekha5	chr6	FALSE	TRUE
Plekha6	chr1	FALSE	FALSE
Plekhb2	chr1	FALSE	FALSE
Plekho1	chr3	FALSE	TRUE
Plk2	chr13	TRUE	TRUE
Plppr1	chr4	TRUE	FALSE
Plppr5	chr3	TRUE	FALSE
Plxna4	chr6	TRUE	FALSE
Plxnc1	chr10	TRUE	TRUE
Pmp22	chr11	TRUE	FALSE
Pmvk	chr3	FALSE	TRUE
Poc1b	chr10	FALSE	FALSE
Podxl	chr6	TRUE	FALSE
Poll	chr19	FALSE	FALSE
Polr2b	chr5	FALSE	FALSE
Pom121l2	chr13	FALSE	FALSE
Pomc	chr12	FALSE	TRUE
Pou2f1	chr1	FALSE	FALSE
Pou3f1	chr4	TRUE	FALSE
Pou4f1	chr14	TRUE	FALSE
Ppa1	chr10	FALSE	FALSE
Ppargc1a	chr5	TRUE	FALSE
Ppic	chr18	FALSE	FALSE
Ppm1a	chr12	FALSE	FALSE
Ppp1r16b	chr2	FALSE	FALSE
Ppp1r3b	chr8	FALSE	FALSE
Ppp2r2b	chr18	TRUE	FALSE
Ppp2r5a	chr1	FALSE	TRUE
Ppp2r5c	chr12	FALSE	FALSE
Prdm5	chr6	FALSE	FALSE
Prdm6	chr18	TRUE	FALSE
Prdm8	chr5	TRUE	TRUE
Prdm9	chr17	FALSE	FALSE
Prelp	chr1	FALSE	TRUE
Prep	chr10	FALSE	FALSE
Prickle1	chr15	TRUE	FALSE
Prickle2	chr6	TRUE	FALSE
Prima1	chr12	FALSE	FALSE
Prkca	chr11	TRUE	FALSE
Prkcd	chr14	FALSE	FALSE
Prkd1	chr12	TRUE	FALSE
Prkn	chr17	TRUE	TRUE
Prnd	chr2	FALSE	FALSE
Prok2	chr6	FALSE	FALSE
Pros1	chr16	FALSE	TRUE
Prox1	chr1	TRUE	TRUE
Prrc1	chr18	FALSE	FALSE
Prune2	chr19	FALSE	TRUE
Psmb1	chr17	FALSE	FALSE
Psmb2	chr4	FALSE	FALSE
Psmb7	chr2	FALSE	TRUE
Psmd7	chr8	FALSE	FALSE
Ptbp2	chr3	FALSE	FALSE
Ptcd2	chr13	FALSE	FALSE
Pten	chr19	TRUE	TRUE
Ptk2	chr15	TRUE	FALSE
Ptk2b	chr14	TRUE	FALSE
Ptn	chr6	TRUE	FALSE
Ptp4a3	chr15	FALSE	FALSE
Ptpn1	chr2	TRUE	FALSE
Ptpn18	chr1	FALSE	TRUE
Ptpn21	chr12	FALSE	TRUE
Ptpn3	chr4	FALSE	TRUE
Ptprd	chr4	TRUE	TRUE
Ptprk	chr10	TRUE	FALSE
Ptprm	chr17	TRUE	FALSE
Ptprt	chr2	TRUE	FALSE
Ptpru	chr4	TRUE	FALSE
Ptprz1	chr6	TRUE	FALSE
Pum3	chr19	FALSE	FALSE
Pyroxd2	chr19	FALSE	TRUE
Qsox1	chr1	FALSE	FALSE
R3hcc1l	chr19	FALSE	TRUE
Rab28	chr5	FALSE	FALSE
Rab37	chr11	FALSE	FALSE
Rab3gap2	chr1	TRUE	FALSE
Rad23b	chr4	FALSE	FALSE
Rad51b	chr12	FALSE	TRUE
Ralb	chr1	FALSE	FALSE
Ralgps2	chr1	FALSE	FALSE
Ranbp3	chr17	FALSE	FALSE
Ranbp3l	chr15	FALSE	TRUE
Rapgef1	chr2	TRUE	FALSE
Rapgef2	chr3	TRUE	FALSE
Rapgef5	chr12	FALSE	FALSE
Rarb	chr14	TRUE	FALSE
Rasgef1b	chr5	FALSE	FALSE
Rasgrf1	chr9	TRUE	FALSE
Rasl11b	chr5	FALSE	TRUE
Rassf1	chr9	FALSE	TRUE
Rassf10	chr7	TRUE	FALSE
Rassf3	chr10	FALSE	FALSE
Rassf8	chr6	FALSE	TRUE
Rbfox1	chr16	TRUE	FALSE
Rbm19	chr5	FALSE	FALSE
Rbm20	chr19	FALSE	FALSE
Rbm26	chr14	FALSE	FALSE
Rbm43	chr2	FALSE	FALSE
Rbm46	chr3	FALSE	TRUE
Rbms1	chr2	FALSE	FALSE
Rbpj	chr5	TRUE	TRUE
Rfk	chr19	FALSE	TRUE
Rflna	chr5	FALSE	FALSE
Rfng	chr11	TRUE	FALSE
Rftn1	chr17	FALSE	FALSE
Rfx3	chr19	FALSE	FALSE
Rgcc	chr14	FALSE	TRUE
Rgma	chr7	TRUE	FALSE
Rgmb	chr17	FALSE	TRUE
Rgs20	chr1	FALSE	FALSE
Rgs3	chr4	FALSE	FALSE
Rgs6	chr12	TRUE	FALSE
Rgs8	chr1	TRUE	FALSE
Rhbdd1	chr1	FALSE	FALSE
Rhebl1	chr15	FALSE	TRUE
Rhob	chr12	TRUE	FALSE
Rhoj	chr12	FALSE	FALSE
Ric8b	chr10	TRUE	FALSE
Rictor	chr15	FALSE	FALSE
Rims1	chr1	TRUE	TRUE
Rin2	chr2	FALSE	FALSE
Rit2	chr18	TRUE	TRUE
Rmdn2	chr17	FALSE	FALSE
Rnd3	chr2	FALSE	FALSE
Rnf144b	chr13	FALSE	TRUE
Rnf19a	chr15	TRUE	TRUE
Rnf217	chr10	FALSE	FALSE
Rnf220	chr4	TRUE	FALSE
Robo1	chr16	TRUE	TRUE
Robo2	chr16	TRUE	FALSE
Robo3	chr9	TRUE	FALSE
Rpa1	chr11	FALSE	TRUE
Rpap3	chr15	FALSE	FALSE
Rpia	chr6	FALSE	FALSE
Rpl29	chr9	TRUE	FALSE
Rpl31	chr1	FALSE	TRUE
Rplp1	chr9	FALSE	FALSE
Rps29	chr12	FALSE	FALSE
Rps6kc1	chr1	FALSE	FALSE
Rragc	chr4	FALSE	FALSE
Rreb1	chr13	FALSE	FALSE
Rrp15	chr1	FALSE	FALSE
Rspo3	chr10	FALSE	FALSE
Rtl6	chr15	FALSE	FALSE
Rtraf	chr14	FALSE	TRUE
Runx1t1	chr4	TRUE	TRUE
Runx2	chr17	TRUE	FALSE
Rwdd3	chr3	FALSE	TRUE
Rxra	chr2	TRUE	FALSE
Rybp	chr6	FALSE	FALSE
Ryr3	chr2	FALSE	FALSE
S100a10	chr3	TRUE	FALSE
Sacs	chr14	FALSE	TRUE
Sall2	chr14	TRUE	FALSE
Sap130	chr18	FALSE	FALSE
Saxo1	chr4	FALSE	FALSE
Scaf4	chr16	FALSE	TRUE
Scarb1	chr5	FALSE	FALSE
Scarf2	chr16	FALSE	FALSE
Scel	chr14	FALSE	TRUE
Scg2	chr1	FALSE	TRUE
Schip1	chr3	FALSE	TRUE
Scml4	chr10	FALSE	FALSE
Scn1a	chr2	TRUE	FALSE
Scnn1b	chr7	TRUE	FALSE
Scrt2	chr2	TRUE	FALSE
Scube2	chr7	FALSE	TRUE
Sdk1	chr5	TRUE	FALSE
Sdk2	chr11	TRUE	FALSE
Sec31a	chr5	FALSE	TRUE
Sec61a1	chr6	FALSE	TRUE
Sec61b	chr4	FALSE	FALSE
Sema3a	chr5	TRUE	TRUE
Sema3b	chr9	TRUE	FALSE
Sema5a	chr15	TRUE	TRUE
Sema5b	chr16	TRUE	FALSE
Sema6a	chr18	TRUE	TRUE
Sema6b	chr17	TRUE	FALSE
Sema6d	chr2	TRUE	TRUE
Serinc1	chr10	FALSE	FALSE
Serpini1	chr3	TRUE	TRUE
Setbp1	chr18	FALSE	FALSE
Sfrp5	chr19	TRUE	TRUE
Sfswap	chr5	FALSE	FALSE
Sgcd	chr11	FALSE	FALSE
Sgce	chr6	FALSE	FALSE
Sgk3	chr1	FALSE	FALSE
Sh3bgr	chr16	FALSE	TRUE
Sh3rf1	chr8	TRUE	FALSE
Sh3tc1	chr5	FALSE	FALSE
Shank2	chr7	TRUE	FALSE
Shb	chr4	FALSE	FALSE
Shc3	chr13	TRUE	FALSE
Shc4	chr2	FALSE	FALSE
Shh	chr5	TRUE	FALSE
Shisa2	chr14	FALSE	FALSE
Shisa9	chr16	TRUE	FALSE
Shisal1	chr15	FALSE	FALSE
Shroom3	chr5	TRUE	FALSE
Siae	chr9	FALSE	TRUE
Sik1	chr17	FALSE	FALSE
Sipa1l1	chr12	TRUE	FALSE
Sipa1l2	chr8	TRUE	FALSE
Sipa1l3	chr7	FALSE	FALSE
Skap1	chr11	FALSE	TRUE
Skap2	chr6	FALSE	FALSE
Skor1	chr9	FALSE	FALSE
Slc10a2	chr8	FALSE	FALSE
Slc12a7	chr13	TRUE	FALSE
Slc12a8	chr16	FALSE	TRUE
Slc14a2	chr18	FALSE	FALSE
Slc16a3	chr11	FALSE	TRUE
Slc19a2	chr1	FALSE	TRUE
Slc1a1	chr19	TRUE	FALSE
Slc1a3	chr15	TRUE	TRUE
Slc22a1	chr17	FALSE	TRUE
Slc22a22	chr15	FALSE	FALSE
Slc22a23	chr13	FALSE	FALSE
Slc24a2	chr4	TRUE	FALSE
Slc24a3	chr2	FALSE	FALSE
Slc24a5	chr2	FALSE	TRUE
Slc25a13	chr6	FALSE	TRUE
Slc25a26	chr6	FALSE	TRUE
Slc25a36	chr9	FALSE	FALSE
Slc25a48	chr13	FALSE	FALSE
Slc25a51	chr4	FALSE	FALSE
Slc29a3	chr10	FALSE	FALSE
Slc30a8	chr15	FALSE	TRUE
Slc35b3	chr13	FALSE	TRUE
Slc35f5	chr1	FALSE	TRUE
Slc39a10	chr1	FALSE	FALSE
Slc40a1	chr1	FALSE	FALSE
Slc45a1	chr4	FALSE	FALSE
Slc4a3	chr1	FALSE	FALSE
Slc6a1	chr6	TRUE	FALSE
Slc6a6	chr6	TRUE	FALSE
Slc6a7	chr18	FALSE	FALSE
Slc7a11	chr3	TRUE	FALSE
Slc8a1	chr17	FALSE	FALSE
Slc9a9	chr9	FALSE	TRUE
Slco4a1	chr2	FALSE	FALSE
Slf2	chr19	FALSE	FALSE
Slitrk1	chr14	TRUE	FALSE
Smad2	chr18	FALSE	FALSE
Smad3	chr9	FALSE	FALSE
Smad4	chr18	TRUE	FALSE
Smad5	chr13	FALSE	FALSE
Smarcal1	chr1	FALSE	FALSE
Smim15	chr13	FALSE	TRUE
Smim20	chr5	FALSE	TRUE
Smim23	chr11	FALSE	FALSE
Smyd2	chr1	FALSE	TRUE
Sncaip	chr18	TRUE	FALSE
Snph	chr2	TRUE	FALSE
Snx10	chr6	FALSE	TRUE
Snx16	chr3	FALSE	FALSE
Snx19	chr9	FALSE	TRUE
Socs3	chr11	FALSE	FALSE
Socs6	chr18	FALSE	FALSE
Sorbs2	chr8	TRUE	FALSE
Sorbs3	chr14	FALSE	FALSE
Sorcs1	chr19	FALSE	FALSE
Sorl1	chr9	TRUE	FALSE
Sox18	chr2	FALSE	FALSE
Sox5	chr6	TRUE	TRUE
Sp2	chr11	FALSE	TRUE
Spag6	chr2	TRUE	FALSE
Spata13	chr14	FALSE	TRUE
Speer3	chr5	FALSE	FALSE
Spr	chr6	TRUE	TRUE
Spred2	chr11	FALSE	TRUE
Spry1	chr3	FALSE	FALSE
Spry2	chr14	TRUE	TRUE
Spry4	chr18	FALSE	TRUE
Spsb1	chr4	FALSE	FALSE
Sptssb	chr3	FALSE	TRUE
Src	chr2	TRUE	FALSE
Srek1	chr13	FALSE	FALSE
Srek1ip1	chr13	FALSE	TRUE
Srp9	chr1	FALSE	FALSE
Srsf6	chr2	FALSE	FALSE
St3gal6	chr16	FALSE	FALSE
St6galnac3	chr3	FALSE	FALSE
St8sia2	chr7	TRUE	FALSE
Stac2	chr11	TRUE	TRUE
Stat1	chr1	FALSE	TRUE
Stat4	chr1	FALSE	FALSE
Stim2	chr5	FALSE	FALSE
Stk39	chr2	FALSE	TRUE
Stmn4	chr14	TRUE	FALSE
Stox2	chr8	FALSE	FALSE
Stpg2	chr3	FALSE	FALSE
Stum	chr1	FALSE	TRUE
Stx18	chr5	FALSE	TRUE
Susd4	chr1	TRUE	FALSE
Sv2c	chr13	TRUE	TRUE
Svil	chr18	FALSE	FALSE
Syf2	chr4	FALSE	TRUE
Syne3	chr12	FALSE	FALSE
Synpo2l	chr14	FALSE	FALSE
Syt1	chr10	TRUE	TRUE
Syt6	chr3	TRUE	TRUE
Sytl2	chr7	FALSE	TRUE
Tacc2	chr7	TRUE	FALSE
Tacc3	chr5	TRUE	FALSE
Tafa5	chr15	FALSE	FALSE
Tank	chr2	FALSE	FALSE
Tapt1	chr5	FALSE	TRUE
Tas2r119	chr15	TRUE	TRUE
Tbc1d1	chr5	FALSE	FALSE
Tbc1d22a	chr15	FALSE	FALSE
Tbc1d30	chr10	FALSE	FALSE
Tbc1d4	chr14	FALSE	FALSE
Tbca	chr13	FALSE	FALSE
Tbcel	chr9	FALSE	FALSE
Tbr1	chr2	TRUE	FALSE
Tbxas1	chr6	FALSE	FALSE
Tcf20	chr15	FALSE	FALSE
Tchh	chr3	FALSE	FALSE
Tdrd3	chr14	FALSE	FALSE
Tead1	chr7	FALSE	FALSE
Tenm2	chr11	TRUE	TRUE
Tenm4	chr7	TRUE	FALSE
Tent4a	chr13	FALSE	FALSE
Terf1	chr1	FALSE	FALSE
Terf2ip	chr8	FALSE	FALSE
Tet2	chr3	FALSE	FALSE
Tex26	chr5	FALSE	TRUE
Tex29	chr8	FALSE	FALSE
Tfap2d	chr1	TRUE	FALSE
Tfcp2l1	chr1	FALSE	FALSE
Tgfbr3	chr5	FALSE	FALSE
Tgif2	chr2	TRUE	FALSE
Tha1	chr11	FALSE	TRUE
Thap1	chr8	FALSE	FALSE
Thnsl2	chr6	FALSE	TRUE
Thrb	chr14	TRUE	FALSE
Thsd4	chr9	FALSE	FALSE
Thsd7a	chr6	FALSE	FALSE
Thsd7b	chr1	FALSE	FALSE
Thy1	chr9	TRUE	FALSE
Tiam2	chr17	TRUE	TRUE
Tifa	chr3	FALSE	FALSE
Timp3	chr10	FALSE	FALSE
Tiparp	chr3	FALSE	TRUE
Tjp1	chr7	TRUE	FALSE
Tjp2	chr19	FALSE	FALSE
Tle1	chr4	FALSE	FALSE
Tle3	chr9	FALSE	FALSE
Tle4	chr19	FALSE	FALSE
Tlx3	chr11	TRUE	TRUE
Tm2d1	chr4	FALSE	FALSE
Tm4sf1	chr3	FALSE	FALSE
Tmc3	chr7	FALSE	TRUE
Tmc6	chr11	FALSE	FALSE
Tmeff2	chr1	FALSE	TRUE
Tmem117	chr15	FALSE	FALSE
Tmem121	chr12	FALSE	FALSE
Tmem132c	chr5	FALSE	TRUE
Tmem14a	chr1	FALSE	FALSE
Tmem161b	chr13	FALSE	TRUE
Tmem17	chr11	FALSE	TRUE
Tmem247	chr17	FALSE	FALSE
Tmem260	chr14	FALSE	FALSE
Tmem33	chr5	FALSE	FALSE
Tmem38b	chr4	FALSE	FALSE
Tmem44	chr16	FALSE	FALSE
Tmem64	chr4	FALSE	TRUE
Tmem9	chr1	FALSE	TRUE
Tmprss2	chr16	FALSE	FALSE
Tmx1	chr12	FALSE	TRUE
Tnr	chr1	TRUE	FALSE
Tns2	chr15	FALSE	FALSE
Tns3	chr11	FALSE	FALSE
Top1	chr2	FALSE	FALSE
Tox2	chr2	FALSE	FALSE
Tpd52	chr3	FALSE	TRUE
Tph2	chr10	FALSE	TRUE
Tpk1	chr6	FALSE	TRUE
Tpm1	chr9	FALSE	TRUE
Trib1	chr15	FALSE	TRUE
Tril	chr6	FALSE	FALSE
Trim33	chr3	FALSE	FALSE
Trim36	chr18	FALSE	FALSE
Trio	chr15	TRUE	FALSE
Triqk	chr4	FALSE	TRUE
Trp73	chr4	TRUE	TRUE
Trpc7	chr13	FALSE	FALSE
Trpm3	chr19	FALSE	TRUE
Trps1	chr15	FALSE	TRUE
Tsen15	chr1	FALSE	TRUE
Tsen2	chr6	FALSE	FALSE
Tshz1	chr18	FALSE	TRUE
Tshz3	chr7	TRUE	FALSE
Tspan12	chr6	FALSE	FALSE
Tspan14	chr14	FALSE	TRUE
Ttc22	chr4	FALSE	FALSE
Ttc32	chr12	FALSE	TRUE
Ttc34	chr4	FALSE	FALSE
Ttc39b	chr4	FALSE	TRUE
Ttc41	chr10	FALSE	FALSE
Ttc8	chr12	TRUE	FALSE
Ttll7	chr3	TRUE	FALSE
Tubb6	chr18	FALSE	FALSE
Tyw5	chr1	FALSE	FALSE
Ube2e1	chr14	FALSE	FALSE
Ube2e3	chr2	FALSE	FALSE
Ube2u	chr4	FALSE	TRUE
Ube2v1	chr2	FALSE	FALSE
Ubl4b	chr3	FALSE	FALSE
Uck2	chr1	FALSE	FALSE
Ucp2	chr7	TRUE	FALSE
Ufm1	chr3	TRUE	FALSE
Ulk4	chr9	TRUE	FALSE
Unc5cl	chr17	FALSE	TRUE
Unc5d	chr8	TRUE	FALSE
Upp2	chr2	FALSE	TRUE
Uso1	chr5	FALSE	TRUE
Usp25	chr16	FALSE	TRUE
Usp44	chr10	FALSE	TRUE
Usp46	chr5	TRUE	TRUE
Usp6nl	chr2	FALSE	TRUE
Utrn	chr10	TRUE	TRUE
Vegfa	chr17	TRUE	FALSE
Vipr1	chr9	FALSE	FALSE
Vipr2	chr12	FALSE	FALSE
Vrk1	chr12	TRUE	FALSE
Vstm2a	chr11	FALSE	FALSE
Wapl	chr14	FALSE	FALSE
Wdr11	chr7	FALSE	FALSE
Wdr25	chr12	FALSE	FALSE
Wdr26	chr1	FALSE	FALSE
Wdr37	chr13	TRUE	FALSE
Wdr41	chr13	FALSE	FALSE
Wdr5	chr2	TRUE	FALSE
Wnt10a	chr1	TRUE	FALSE
Wnt11	chr7	TRUE	FALSE
Wnt3	chr11	TRUE	FALSE
Wnt5b	chr6	TRUE	FALSE
Wnt7b	chr15	TRUE	FALSE
Wwc1	chr11	FALSE	FALSE
Wwox	chr8	FALSE	TRUE
Xirp2	chr2	FALSE	FALSE
Xpa	chr4	FALSE	TRUE
Xpr1	chr1	FALSE	TRUE
Xxylt1	chr16	FALSE	FALSE
Ybx3	chr6	FALSE	TRUE
Ypel5	chr17	FALSE	FALSE
Ythdf3	chr3	FALSE	FALSE
Zbtb10	chr3	FALSE	FALSE
Zbtb16	chr9	TRUE	FALSE
Zbtb18	chr1	TRUE	FALSE
Zbtb20	chr16	FALSE	TRUE
Zbtb42	chr12	FALSE	FALSE
Zc2hc1c	chr12	FALSE	FALSE
Zc3h12a	chr4	TRUE	FALSE
Zcchc7	chr4	FALSE	FALSE
Zdhhc25	chr15	FALSE	TRUE
Zfat	chr15	FALSE	FALSE
Zfp120	chr2	FALSE	FALSE
Zfp24	chr18	TRUE	FALSE
Zfp281	chr1	FALSE	FALSE
Zfp322a	chr13	FALSE	FALSE
Zfp36	chr7	FALSE	FALSE
Zfp36l1	chr12	TRUE	FALSE
Zfp385a	chr15	TRUE	FALSE
Zfp423	chr8	TRUE	FALSE
Zfp462	chr4	FALSE	FALSE
Zfp488	chr14	TRUE	FALSE
Zfp507	chr7	FALSE	FALSE
Zfp516	chr18	FALSE	TRUE
Zfp521	chr18	TRUE	FALSE
Zfp608	chr18	FALSE	TRUE
Zfp637	chr6	FALSE	FALSE
Zfp64	chr2	FALSE	FALSE
Zfp704	chr3	FALSE	FALSE
Zfp800	chr6	FALSE	TRUE
Zfp950	chr19	FALSE	FALSE
Zfpm1	chr8	FALSE	FALSE
Zhx1	chr15	FALSE	TRUE
Zic3	chrX	TRUE	TRUE
Zic4	chr9	TRUE	TRUE
Zswim6	chr13	TRUE	FALSE
