gene_name	chr	is_synapse_and_mecp2_up	in_k119ub_top_decile
Fzd7	chr1	FALSE	FALSE
Acacb	chr5	FALSE	FALSE
Gap43	chr16	FALSE	FALSE
Zap70	chr1	FALSE	FALSE
Hdlbp	chr1	FALSE	FALSE
Spink10	chr18	FALSE	FALSE
Aff2	chrX	FALSE	FALSE
Hrh1	chr6	FALSE	FALSE
Sin3a	chr9	FALSE	FALSE
Fam171a1	chr2	FALSE	FALSE
Cand1	chr10	FALSE	FALSE
Cps1	chr1	FALSE	FALSE
Lars2	chr9	FALSE	FALSE
Ltk	chr2	FALSE	FALSE
Rock1	chr18	FALSE	TRUE
Pkn1	chr8	FALSE	FALSE
Ppp1r21	chr17	FALSE	FALSE
Mlec	chr5	FALSE	FALSE
Krt80	chr15	FALSE	FALSE
Uox	chr3	FALSE	FALSE
Mrgpre	chr7	FALSE	FALSE
Cttnbp2	chr6	FALSE	FALSE
Ptpn2	chr18	FALSE	FALSE
A630023A22Rik	chr14	FALSE	FALSE
Ackr1	chr1	FALSE	FALSE
Ccdc187	chr2	FALSE	FALSE
Arhgef33	chr17	FALSE	FALSE
Arl13b	chr16	FALSE	TRUE
Kcnq5	chr1	FALSE	FALSE
Asap1	chr15	TRUE	FALSE
Clec18a	chr8	FALSE	FALSE
Enpp2	chr15	FALSE	FALSE
Kdm2b	chr5	FALSE	FALSE
Lekr1	chr3	FALSE	TRUE
Rft1	chr14	FALSE	FALSE
Cog4	chr8	FALSE	FALSE
Pik3r1	chr13	FALSE	FALSE
P3h4	chr11	FALSE	FALSE
Ankhd1	chr18	FALSE	FALSE
Chrna2	chr14	FALSE	FALSE
Loxl1	chr9	FALSE	FALSE
Pbx3	chr2	FALSE	FALSE
Fosl2	chr5	FALSE	FALSE
Mcf2	chrX	FALSE	FALSE
Nccrp1	chr7	FALSE	FALSE
Lmbrd1	chr1	FALSE	TRUE
Fbxo41	chr6	FALSE	FALSE
E2f1	chr2	FALSE	FALSE
Myo10	chr15	FALSE	FALSE
Itpk1	chr12	FALSE	FALSE
Plekhg3	chr12	FALSE	FALSE
Ercc6l2	chr13	FALSE	FALSE
Mctp1	chr13	FALSE	TRUE
Crmp1	chr5	FALSE	FALSE
Gabrr2	chr4	TRUE	FALSE
Popdc3	chr10	FALSE	FALSE
Mgat3	chr15	FALSE	FALSE
Scn9a	chr2	FALSE	FALSE
Slc26a4	chr12	FALSE	FALSE
Ndc1	chr4	FALSE	FALSE
Eml6	chr11	FALSE	FALSE
Col14a1	chr15	FALSE	FALSE
Mindy4	chr6	FALSE	FALSE
Pced1b	chr15	FALSE	FALSE
Cdc42bpg	chr19	FALSE	FALSE
Rimklb	chr6	FALSE	FALSE
Tnfsf8	chr4	FALSE	FALSE
Rnf217	chr10	FALSE	FALSE
Mal	chr2	FALSE	FALSE
Rsph6a	chr7	FALSE	FALSE
Kcnk2	chr1	FALSE	FALSE
Vsig10	chr5	FALSE	FALSE
Cdk19	chr10	FALSE	TRUE
Fam163a	chr1	FALSE	FALSE
Prkd3	chr17	FALSE	FALSE
Kcnk10	chr12	FALSE	FALSE
Acot7	chr4	FALSE	FALSE
Ripor2	chr13	FALSE	FALSE
Elovl5	chr9	FALSE	FALSE
Pcnt	chr10	FALSE	FALSE
Ldb2	chr5	FALSE	FALSE
3110082I17Rik	chr5	FALSE	FALSE
Shc2	chr10	FALSE	FALSE
Jdp2	chr12	FALSE	FALSE
Kcnmb2	chr3	FALSE	FALSE
Kcnip1	chr11	FALSE	FALSE
Smim5	chr11	FALSE	FALSE
Il27ra	chr8	FALSE	FALSE
P2ry6	chr7	FALSE	FALSE
Ptpn14	chr1	FALSE	FALSE
Sox5	chr6	FALSE	FALSE
Rpia	chr6	FALSE	FALSE
Fat3	chr9	FALSE	FALSE
Ankib1	chr5	FALSE	FALSE
Cntn1	chr15	FALSE	FALSE
Heyl	chr4	FALSE	FALSE
Cdc42bpb	chr12	FALSE	FALSE
Zeb1	chr18	FALSE	FALSE
Rap2a	chr14	FALSE	FALSE
Foxn2	chr17	FALSE	TRUE
Zfp521	chr18	FALSE	FALSE
Umad1	chr6	FALSE	TRUE
Grm8	chr6	FALSE	FALSE
Foxk1	chr5	FALSE	FALSE
Cldn1	chr16	FALSE	FALSE
Stat6	chr10	FALSE	FALSE
Faxc	chr4	FALSE	FALSE
Gata3	chr2	FALSE	FALSE
Cpa2	chr6	FALSE	TRUE
Arhgap27	chr11	FALSE	FALSE
Hes3	chr4	FALSE	FALSE
Trim29	chr9	FALSE	FALSE
Eif4b	chr15	FALSE	FALSE
Ush1c	chr7	FALSE	FALSE
A4galt	chr15	FALSE	FALSE
Fgfr3	chr5	FALSE	FALSE
Adamts2	chr11	FALSE	FALSE
Pstpip1	chr9	FALSE	FALSE
Fam163b	chr2	FALSE	FALSE
Dchs2	chr3	FALSE	FALSE
Trmt9b	chr8	FALSE	FALSE
Hspbap1	chr16	FALSE	FALSE
Ptprz1	chr6	TRUE	FALSE
Edil3	chr13	FALSE	FALSE
Klhl3	chr13	FALSE	FALSE
Pwwp2b	chr7	FALSE	FALSE
Scn4b	chr9	FALSE	FALSE
Nek1	chr8	FALSE	TRUE
Capn7	chr14	FALSE	FALSE
Alx4	chr2	FALSE	FALSE
Rfx8	chr1	FALSE	FALSE
Tle4	chr19	FALSE	FALSE
Prss12	chr3	FALSE	FALSE
Xylt1	chr7	FALSE	FALSE
Trim55	chr3	FALSE	FALSE
Ago2	chr15	FALSE	FALSE
Lims1	chr10	FALSE	FALSE
Neo1	chr9	FALSE	FALSE
Slc44a3	chr3	FALSE	FALSE
Kif21b	chr1	FALSE	FALSE
Hs3st1	chr5	FALSE	FALSE
Cystm1	chr18	FALSE	FALSE
Tmem184b	chr15	FALSE	FALSE
Ankrd55	chr13	FALSE	FALSE
Itgb3bp	chr4	FALSE	TRUE
Extl3	chr14	FALSE	FALSE
Nudt3	chr17	FALSE	FALSE
Ifnar2	chr16	FALSE	FALSE
Osmr	chr15	FALSE	FALSE
Eif4e3	chr6	FALSE	TRUE
Dgkh	chr14	FALSE	FALSE
Pkd1l2	chr8	FALSE	FALSE
Fgd4	chr16	FALSE	TRUE
Atp6v1g3	chr1	FALSE	FALSE
Muc2	chr7	FALSE	FALSE
Ehhadh	chr16	FALSE	TRUE
Gnai3	chr3	FALSE	TRUE
Snx24	chr18	FALSE	FALSE
Tacc1	chr8	FALSE	FALSE
Slc6a17	chr3	FALSE	FALSE
Ano10	chr9	FALSE	FALSE
Wnt7b	chr15	FALSE	FALSE
Pdgfc	chr3	FALSE	FALSE
Exog	chr9	FALSE	FALSE
Lcp2	chr11	FALSE	FALSE
Ak1	chr2	FALSE	FALSE
Hadh	chr3	FALSE	FALSE
Cdh1	chr8	FALSE	FALSE
Col15a1	chr4	FALSE	FALSE
Wscd2	chr5	FALSE	FALSE
Lonrf3	chrX	FALSE	FALSE
Phldb2	chr16	FALSE	TRUE
Fgfr4	chr13	FALSE	FALSE
Crem	chr18	FALSE	TRUE
Magi3	chr3	FALSE	FALSE
Pdgfa	chr5	FALSE	FALSE
Sema6a	chr18	FALSE	FALSE
Ppp1r16b	chr2	FALSE	FALSE
Stx2	chr5	FALSE	FALSE
Cmas	chr6	FALSE	FALSE
Kbtbd11	chr8	FALSE	FALSE
Ngf	chr3	FALSE	FALSE
Hpca	chr4	FALSE	FALSE
Pla2g4e	chr2	FALSE	FALSE
Baiap3	chr17	FALSE	FALSE
Sptb	chr12	FALSE	FALSE
Adcyap1r1	chr6	FALSE	FALSE
Immp2l	chr12	FALSE	TRUE
Prim2	chr1	FALSE	FALSE
Hhipl1	chr12	FALSE	FALSE
Onecut2	chr18	FALSE	FALSE
Wwp2	chr8	FALSE	FALSE
Fer	chr17	FALSE	FALSE
P2ry14	chr3	FALSE	FALSE
Tph2	chr10	FALSE	FALSE
Agap2	chr10	FALSE	FALSE
Dctn1	chr6	FALSE	FALSE
Smarcal1	chr1	FALSE	FALSE
Sult2b1	chr7	FALSE	FALSE
Crybg1	chr10	FALSE	FALSE
Adra1b	chr11	FALSE	FALSE
Nck1	chr9	FALSE	FALSE
Sertad4	chr1	FALSE	FALSE
Cabp7	chr11	FALSE	FALSE
Slit3	chr11	FALSE	FALSE
Coro2a	chr4	FALSE	FALSE
Krt5	chr15	FALSE	FALSE
Sesn2	chr4	FALSE	FALSE
Grin3a	chr4	FALSE	FALSE
Blnk	chr19	FALSE	FALSE
Foxj1	chr11	FALSE	FALSE
Phf12	chr11	FALSE	FALSE
Papln	chr12	FALSE	FALSE
Bahd1	chr2	FALSE	FALSE
Cc2d2a	chr5	FALSE	TRUE
Depdc7	chr2	FALSE	FALSE
Tbc1d10a	chr11	FALSE	FALSE
Nyx	chrX	FALSE	FALSE
Col8a1	chr16	FALSE	FALSE
Slc25a21	chr12	FALSE	FALSE
Agbl4	chr4	FALSE	FALSE
Ajuba	chr14	FALSE	FALSE
Rock2	chr12	FALSE	TRUE
Slc6a9	chr4	FALSE	FALSE
Kansl1l	chr1	FALSE	FALSE
Sesn1	chr10	FALSE	TRUE
Cttnbp2nl	chr3	FALSE	FALSE
Olfm2	chr9	FALSE	FALSE
Tll1	chr8	FALSE	FALSE
Pknox1	chr17	FALSE	FALSE
Klc1	chr12	FALSE	FALSE
Sidt1	chr16	FALSE	TRUE
Epb41l1	chr2	FALSE	FALSE
Map3k20	chr2	FALSE	FALSE
Rps6ka5	chr12	FALSE	FALSE
Evc2	chr5	FALSE	FALSE
Kcnh7	chr2	FALSE	FALSE
B4galt1	chr4	FALSE	FALSE
Ddah1	chr3	FALSE	FALSE
Trpc4ap	chr2	FALSE	FALSE
Dexi	chr16	FALSE	FALSE
Gmds	chr13	FALSE	TRUE
Napa	chr7	FALSE	FALSE
Fzd6	chr15	FALSE	FALSE
Ptprj	chr2	FALSE	FALSE
Lrrc3	chr10	FALSE	FALSE
Whamm	chr7	FALSE	FALSE
Arhgap18	chr10	FALSE	FALSE
Prorp	chr12	FALSE	TRUE
Trappc9	chr15	FALSE	FALSE
Qrich2	chr11	FALSE	FALSE
Slc12a6	chr2	FALSE	FALSE
Car8	chr4	FALSE	FALSE
Rpgrip1l	chr8	FALSE	FALSE
Phf3	chr1	FALSE	FALSE
Slc28a3	chr13	FALSE	FALSE
Sgcg	chr14	FALSE	FALSE
Vwa5b1	chr4	FALSE	FALSE
Wnt10a	chr1	FALSE	FALSE
Ablim3	chr18	FALSE	FALSE
Cbln3	chr14	FALSE	FALSE
Vcan	chr13	FALSE	FALSE
Usp44	chr10	FALSE	FALSE
Rap1gap	chr4	FALSE	FALSE
Mtx2	chr2	FALSE	FALSE
Olfml3	chr3	FALSE	FALSE
Tns1	chr1	FALSE	FALSE
Arfgap3	chr15	FALSE	FALSE
Pax4	chr6	FALSE	FALSE
Decr1	chr4	FALSE	FALSE
Cpne2	chr8	FALSE	FALSE
Gbp3	chr3	FALSE	FALSE
Tmem132e	chr11	FALSE	FALSE
Serp2	chr14	FALSE	FALSE
Cfap45	chr1	FALSE	FALSE
Rab40b	chr11	FALSE	FALSE
Etv3	chr3	FALSE	FALSE
Enpp7	chr11	FALSE	FALSE
Slc16a14	chr1	FALSE	FALSE
Ensa	chr3	FALSE	FALSE
Fam185a	chr5	FALSE	FALSE
Ppm1h	chr10	FALSE	FALSE
Slc4a8	chr15	FALSE	FALSE
Mgarp	chr3	FALSE	FALSE
Shc3	chr13	FALSE	FALSE
Ntng1	chr3	FALSE	FALSE
Ace	chr11	FALSE	FALSE
Bora	chr14	FALSE	TRUE
Nefm	chr14	FALSE	FALSE
Rbpms2	chr9	FALSE	FALSE
Sema7a	chr9	FALSE	FALSE
Adora3	chr3	FALSE	FALSE
Ccm2l	chr2	FALSE	FALSE
Kcnip2	chr19	FALSE	FALSE
Fam114a1	chr5	FALSE	FALSE
Nfatc2	chr2	FALSE	FALSE
Hmcn1	chr1	FALSE	FALSE
Tmem44	chr16	FALSE	FALSE
Slc41a3	chr6	FALSE	FALSE
Ralbp1	chr17	FALSE	FALSE
Ush1g	chr11	FALSE	FALSE
Capn5	chr7	FALSE	FALSE
Chst7	chrX	FALSE	FALSE
Sh3kbp1	chrX	FALSE	FALSE
Hs2st1	chr3	FALSE	FALSE
Ramp3	chr11	FALSE	FALSE
Acot3	chr12	FALSE	FALSE
Rapgef4	chr2	FALSE	FALSE
Slc18a1	chr8	FALSE	FALSE
Rasal1	chr5	FALSE	FALSE
Pfkfb2	chr1	FALSE	FALSE
Wdr41	chr13	FALSE	TRUE
Acss3	chr10	FALSE	FALSE
Col25a1	chr3	FALSE	FALSE
Jcad	chr18	FALSE	FALSE
Tcf7l1	chr6	FALSE	FALSE
Glrb	chr3	FALSE	FALSE
Ebf4	chr2	FALSE	FALSE
Plekhg6	chr6	FALSE	FALSE
Irak2	chr6	FALSE	FALSE
Sik1	chr17	FALSE	FALSE
Nxph4	chr10	FALSE	FALSE
Tnfsf13	chr11	FALSE	FALSE
Arhgap42	chr9	FALSE	FALSE
Ltbp2	chr12	FALSE	FALSE
Rnf180	chr13	FALSE	FALSE
Vegfa	chr17	FALSE	FALSE
Aox2	chr1	FALSE	FALSE
Ror1	chr4	FALSE	FALSE
Git2	chr5	FALSE	FALSE
Bcas1	chr2	FALSE	FALSE
Cryl1	chr14	FALSE	FALSE
Sfrp5	chr19	FALSE	FALSE
Mbd2	chr18	FALSE	TRUE
Tmem41a	chr16	FALSE	FALSE
Kif14	chr1	TRUE	FALSE
Sparc	chr11	FALSE	FALSE
Slc22a22	chr15	FALSE	FALSE
Srgn	chr10	FALSE	FALSE
F11r	chr1	FALSE	FALSE
Tulp4	chr17	FALSE	FALSE
Abi3	chr11	FALSE	FALSE
Prkcq	chr2	FALSE	FALSE
Sbno2	chr10	FALSE	FALSE
Nid1	chr13	FALSE	FALSE
Nr1d2	chr14	FALSE	FALSE
Yy1	chr12	FALSE	FALSE
Cpt1a	chr19	FALSE	FALSE
Ptar1	chr19	FALSE	TRUE
G2e3	chr12	FALSE	FALSE
Tmem52	chr4	FALSE	FALSE
Cxcl17	chr7	FALSE	FALSE
Rhof	chr5	FALSE	FALSE
Pam	chr1	FALSE	FALSE
Zfp853	chr5	FALSE	FALSE
Dctn3	chr4	FALSE	TRUE
Spry2	chr14	FALSE	FALSE
Pros1	chr16	FALSE	FALSE
Stim1	chr7	FALSE	FALSE
Prkcd	chr14	FALSE	FALSE
Clcn1	chr6	FALSE	FALSE
Vat1l	chr8	FALSE	FALSE
Arfip1	chr3	FALSE	FALSE
Ccdc85a	chr11	FALSE	FALSE
Zmiz1	chr14	FALSE	FALSE
Dnajc24	chr2	FALSE	FALSE
Tiparp	chr3	FALSE	FALSE
Col6a1	chr10	FALSE	FALSE
Colgalt1	chr8	FALSE	FALSE
Acer3	chr7	FALSE	FALSE
Mboat2	chr12	FALSE	FALSE
Mfsd4a	chr1	FALSE	FALSE
Edem1	chr6	FALSE	FALSE
Mapk8	chr14	FALSE	TRUE
Phyhd1	chr2	FALSE	FALSE
H1f6	chr13	FALSE	FALSE
Atp6v1c2	chr12	FALSE	FALSE
Nim1k	chr13	FALSE	FALSE
Tmem229b	chr12	FALSE	FALSE
Ankmy1	chr1	FALSE	FALSE
Lgals3bp	chr11	FALSE	FALSE
Otulin	chr15	FALSE	TRUE
Sema6c	chr3	FALSE	FALSE
Tbr1	chr2	FALSE	FALSE
Tmem38b	chr4	FALSE	TRUE
Krt71	chr15	FALSE	FALSE
Dhh	chr15	FALSE	FALSE
Pacrg	chr17	FALSE	FALSE
Snap91	chr9	FALSE	FALSE
Ctsb	chr14	FALSE	FALSE
Plag1	chr4	FALSE	FALSE
Sec22a	chr16	FALSE	FALSE
Gpam	chr19	FALSE	FALSE
St8sia5	chr18	FALSE	FALSE
Ctnna1	chr18	FALSE	FALSE
Htra1	chr7	FALSE	FALSE
Pdk1	chr2	FALSE	FALSE
Ankrd63	chr2	FALSE	FALSE
Ifi44l	chr3	FALSE	FALSE
Wdr95	chr5	FALSE	FALSE
Armh4	chr14	FALSE	TRUE
Zfhx2	chr14	FALSE	FALSE
Slc2a5	chr4	FALSE	FALSE
Zfyve27	chr19	FALSE	FALSE
Chmp4b	chr2	FALSE	FALSE
Slc1a4	chr11	FALSE	FALSE
Abhd3	chr18	FALSE	FALSE
Fam107a	chr14	FALSE	FALSE
Kcnc2	chr10	FALSE	FALSE
Slc13a3	chr2	FALSE	FALSE
Zc3h12c	chr9	FALSE	FALSE
Eci3	chr13	FALSE	FALSE
Tff3	chr17	FALSE	FALSE
Sult4a1	chr15	FALSE	FALSE
Ell2	chr13	FALSE	FALSE
Abcd3	chr3	FALSE	FALSE
Cnga3	chr1	FALSE	FALSE
Cabcoco1	chr10	FALSE	FALSE
Tcf7l2	chr19	FALSE	FALSE
Rftn2	chr1	FALSE	FALSE
Cul3	chr1	FALSE	FALSE
Prokr2	chr2	FALSE	FALSE
Epha10	chr4	FALSE	FALSE
Dnajb8	chr6	FALSE	FALSE
Arsj	chr3	FALSE	FALSE
Otog	chr7	FALSE	FALSE
Ccr9	chr9	FALSE	FALSE
Slc25a36	chr9	FALSE	FALSE
Vsx1	chr2	FALSE	FALSE
Uso1	chr5	FALSE	FALSE
Map4k3	chr17	FALSE	TRUE
Alox5	chr6	FALSE	FALSE
Dhx58	chr11	FALSE	FALSE
Cpne9	chr6	FALSE	FALSE
Sesn3	chr9	FALSE	FALSE
Traf7	chr17	FALSE	FALSE
Larp1	chr11	FALSE	FALSE
Adcy10	chr1	FALSE	FALSE
Ptp4a3	chr15	FALSE	FALSE
Vipr2	chr12	FALSE	FALSE
Arhgap25	chr6	FALSE	FALSE
Fbxl8	chr8	FALSE	FALSE
Socs6	chr18	FALSE	TRUE
Rab3gap2	chr1	FALSE	TRUE
Slc30a5	chr13	FALSE	FALSE
Adgra2	chr8	FALSE	FALSE
Pik3r3	chr4	FALSE	FALSE
Cog2	chr8	FALSE	FALSE
Tdrd5	chr1	FALSE	FALSE
Mcf2l	chr8	FALSE	FALSE
P3h2	chr16	FALSE	FALSE
Hectd1	chr12	FALSE	FALSE
Lrriq1	chr10	FALSE	FALSE
Dnah1	chr14	FALSE	FALSE
Zfp397	chr18	FALSE	FALSE
Krt19	chr11	FALSE	FALSE
Card10	chr15	FALSE	FALSE
Lrrc38	chr4	FALSE	FALSE
Cntfr	chr4	FALSE	FALSE
Pot1a	chr6	FALSE	TRUE
Herpud2	chr9	FALSE	FALSE
Cdon	chr9	FALSE	FALSE
Ikzf3	chr11	FALSE	FALSE
Dgat2	chr7	FALSE	FALSE
Sympk	chr7	FALSE	FALSE
Blk	chr14	FALSE	FALSE
Nisch	chr14	FALSE	FALSE
Lrpap1	chr5	FALSE	FALSE
Cpne5	chr17	FALSE	FALSE
Wwox	chr8	FALSE	FALSE
Esyt3	chr9	FALSE	FALSE
Sh3pxd2b	chr11	FALSE	FALSE
Tpbg	chr9	FALSE	FALSE
Necab1	chr4	FALSE	TRUE
Slc15a1	chr14	FALSE	FALSE
Lama4	chr10	FALSE	FALSE
Pcolce2	chr9	FALSE	FALSE
Hic2	chr16	FALSE	FALSE
Prnd	chr2	FALSE	FALSE
Heca	chr10	FALSE	FALSE
Nlgn1	chr3	FALSE	FALSE
Cry2	chr2	FALSE	FALSE
Tgif2	chr2	FALSE	FALSE
Asic4	chr1	FALSE	FALSE
Tmem232	chr17	FALSE	FALSE
Llgl2	chr11	FALSE	FALSE
Gabra1	chr11	FALSE	FALSE
Mab21l3	chr3	FALSE	FALSE
Zscan29	chr2	FALSE	FALSE
Sclt1	chr3	FALSE	TRUE
Ngef	chr1	FALSE	FALSE
Adam12	chr7	FALSE	FALSE
Ccdc113	chr8	FALSE	FALSE
Map3k15	chrX	FALSE	FALSE
Thsd4	chr9	FALSE	FALSE
Strc	chr2	FALSE	FALSE
Arhgap8	chr15	FALSE	FALSE
Rtp1	chr16	FALSE	FALSE
Gucy1a1	chr3	FALSE	FALSE
Ankrd10	chr8	FALSE	FALSE
Ofcc1	chr13	FALSE	FALSE
Pik3r5	chr11	FALSE	FALSE
Gxylt1	chr15	FALSE	FALSE
Cd34	chr1	FALSE	FALSE
Dytn	chr1	FALSE	FALSE
Pik3cg	chr12	FALSE	FALSE
C8a	chr4	FALSE	FALSE
Lingo3	chr10	FALSE	FALSE
Itgb7	chr15	FALSE	FALSE
Plekhh1	chr12	FALSE	FALSE
Slc37a3	chr6	FALSE	FALSE
Tm2d1	chr4	FALSE	TRUE
Sgms1	chr19	FALSE	FALSE
Crtc1	chr8	FALSE	FALSE
Tex52	chr6	FALSE	FALSE
Slc4a5	chr6	FALSE	FALSE
Acap2	chr16	FALSE	FALSE
Tsc2	chr17	FALSE	FALSE
Rtkn2	chr10	FALSE	FALSE
Cstad	chr2	FALSE	FALSE
Atl2	chr17	FALSE	FALSE
Smim15	chr13	FALSE	TRUE
Aebp2	chr6	FALSE	FALSE
Mark2	chr19	FALSE	FALSE
Prdm13	chr4	FALSE	FALSE
Tnfsf18	chr1	FALSE	FALSE
Cnn1	chr9	FALSE	FALSE
Prss55	chr14	FALSE	FALSE
Cep290	chr10	FALSE	FALSE
Slc16a2	chrX	FALSE	FALSE
Pald1	chr10	FALSE	FALSE
Magi1	chr6	FALSE	FALSE
Rbpj	chr5	FALSE	TRUE
Pex10	chr4	FALSE	FALSE
Lhx6	chr2	FALSE	FALSE
Smim14	chr5	FALSE	FALSE
Fscn2	chr11	FALSE	FALSE
C6	chr15	FALSE	TRUE
Tgfbi	chr13	FALSE	FALSE
Rwdd3	chr3	FALSE	FALSE
Ube2ql1	chr13	FALSE	FALSE
Abcb1b	chr5	FALSE	FALSE
Marchf3	chr18	FALSE	FALSE
Sptbn5	chr2	FALSE	FALSE
Ndst3	chr3	FALSE	FALSE
Alx3	chr3	FALSE	FALSE
Rab5c	chr11	FALSE	FALSE
Car10	chr11	FALSE	FALSE
Trrap	chr5	FALSE	FALSE
Npl	chr1	FALSE	FALSE
Limd1	chr9	FALSE	FALSE
Rhbg	chr3	FALSE	FALSE
Adcy6	chr15	FALSE	FALSE
Tmc6	chr11	FALSE	FALSE
Kcnip3	chr2	FALSE	FALSE
Fubp3	chr2	FALSE	FALSE
Snx9	chr17	FALSE	FALSE
Prkcg	chr7	FALSE	FALSE
Bend7	chr2	FALSE	FALSE
Vav3	chr3	FALSE	FALSE
Sostdc1	chr12	FALSE	FALSE
Glis1	chr4	FALSE	FALSE
Pkdcc	chr17	FALSE	FALSE
Pdzrn4	chr15	FALSE	FALSE
Nfe2l3	chr6	FALSE	FALSE
Basp1	chr15	FALSE	FALSE
Slc25a10	chr11	FALSE	FALSE
Tulp3	chr6	FALSE	FALSE
Hsbp1l1	chr18	FALSE	FALSE
Col4a2	chr8	FALSE	FALSE
Csf1r	chr18	FALSE	FALSE
Mpzl1	chr1	FALSE	FALSE
Med30	chr15	FALSE	TRUE
Cep170	chr1	FALSE	TRUE
Prkn	chr17	FALSE	FALSE
Nexmif	chrX	FALSE	FALSE
Ube2n	chr10	FALSE	FALSE
Dock8	chr19	FALSE	FALSE
Glcci1	chr6	FALSE	FALSE
Gbp5	chr3	FALSE	FALSE
Usp3	chr9	FALSE	FALSE
Kdm3a	chr6	FALSE	FALSE
Lims2	chr18	FALSE	FALSE
Pten	chr19	FALSE	TRUE
Pak3	chrX	FALSE	FALSE
Hgf	chr5	FALSE	FALSE
Insrr	chr3	FALSE	FALSE
Enpep	chr3	FALSE	FALSE
Kcnh2	chr5	FALSE	FALSE
Cfap43	chr19	FALSE	FALSE
Slc25a15	chr8	FALSE	FALSE
Itih4	chr14	FALSE	FALSE
Mical3	chr6	FALSE	FALSE
Etnk1	chr6	FALSE	FALSE
Gbx1	chr5	FALSE	FALSE
Tbc1d9b	chr11	FALSE	FALSE
Pcdhac1	chr18	FALSE	FALSE
Lypd6b	chr2	FALSE	FALSE
Hmg20a	chr9	FALSE	FALSE
Calb2	chr8	TRUE	FALSE
Adamts16	chr13	FALSE	FALSE
Wdr89	chr12	FALSE	FALSE
Thada	chr17	FALSE	FALSE
Aqp7	chr4	FALSE	FALSE
Ccdc149	chr5	FALSE	TRUE
Soat1	chr1	FALSE	FALSE
Aldh1l2	chr10	FALSE	FALSE
Gpr176	chr2	FALSE	FALSE
Ythdc2	chr18	FALSE	FALSE
Fbxl4	chr4	FALSE	TRUE
Bcl11a	chr11	FALSE	FALSE
Adgra3	chr5	FALSE	FALSE
Aplp2	chr9	FALSE	FALSE
Emc2	chr15	FALSE	FALSE
Nell2	chr15	FALSE	FALSE
Hic1	chr11	FALSE	FALSE
Ptpre	chr7	FALSE	FALSE
Rims3	chr4	FALSE	FALSE
Myh7	chr14	FALSE	FALSE
Sptlc3	chr2	FALSE	FALSE
Cdh9	chr15	FALSE	FALSE
Mgat4c	chr10	FALSE	FALSE
Glis3	chr19	FALSE	FALSE
Rcor3	chr1	FALSE	FALSE
Prlr	chr15	FALSE	FALSE
Pde2a	chr7	FALSE	FALSE
Map3k5	chr10	FALSE	FALSE
Otud1	chr2	FALSE	FALSE
Rab44	chr17	FALSE	FALSE
Dcdc2c	chr12	FALSE	FALSE
Camk1g	chr1	FALSE	FALSE
Ppp5c	chr7	FALSE	FALSE
Fads6	chr11	FALSE	FALSE
Fam53b	chr7	FALSE	FALSE
Rtn4	chr11	FALSE	FALSE
Sorcs3	chr19	FALSE	FALSE
Rab11fip5	chr6	FALSE	FALSE
Map3k6	chr4	FALSE	FALSE
Kera	chr10	FALSE	TRUE
Col26a1	chr5	FALSE	FALSE
Grhpr	chr4	FALSE	FALSE
Fam20b	chr1	FALSE	TRUE
Il1r2	chr1	FALSE	FALSE
Asxl1	chr2	FALSE	FALSE
Elp3	chr14	FALSE	FALSE
Srebf1	chr11	FALSE	FALSE
Jakmip1	chr5	FALSE	FALSE
Hivep1	chr13	FALSE	FALSE
Ptprh	chr7	FALSE	TRUE
1110002E22Rik	chr3	FALSE	FALSE
Itpkb	chr1	FALSE	FALSE
4930564D02Rik	chr3	FALSE	FALSE
Ccn5	chr2	FALSE	FALSE
Vps35l	chr7	FALSE	FALSE
Fzd3	chr14	FALSE	FALSE
Limk2	chr11	FALSE	FALSE
Ttc13	chr8	FALSE	FALSE
Bmper	chr9	FALSE	FALSE
Npy2r	chr3	FALSE	FALSE
Arhgef40	chr14	FALSE	FALSE
Btbd16	chr7	FALSE	FALSE
Prss23	chr7	FALSE	FALSE
Ttll8	chr15	FALSE	FALSE
Tecrl	chr5	FALSE	FALSE
Lats2	chr14	FALSE	TRUE
Cxxc5	chr18	FALSE	FALSE
Kcnt2	chr1	FALSE	FALSE
Impa2	chr18	FALSE	FALSE
Adck2	chr6	FALSE	FALSE
Xkr4	chr1	FALSE	FALSE
Bin1	chr18	FALSE	FALSE
Ahr	chr12	FALSE	FALSE
Shisa6	chr11	FALSE	FALSE
Ccdc158	chr5	FALSE	FALSE
Rab2a	chr4	FALSE	TRUE
Ttc9	chr12	FALSE	FALSE
Rnf122	chr8	FALSE	TRUE
Myh15	chr16	FALSE	FALSE
Gm12695	chr4	FALSE	FALSE
Plxna1	chr6	FALSE	FALSE
Corin	chr5	FALSE	FALSE
Kcnj15	chr16	FALSE	FALSE
Bbs9	chr9	FALSE	FALSE
Abhd15	chr11	FALSE	FALSE
Slc25a23	chr17	FALSE	FALSE
Agtpbp1	chr13	FALSE	FALSE
Slc16a10	chr10	FALSE	FALSE
Cfap161	chr7	FALSE	FALSE
Slfn9	chr11	FALSE	FALSE
Gpld1	chr13	FALSE	FALSE
Arhgap33os	chr7	FALSE	FALSE
Atp2b3	chrX	FALSE	FALSE
Mylk2	chr2	FALSE	FALSE
Mmrn1	chr6	FALSE	FALSE
Ulbp1	chr10	FALSE	FALSE
Dnajc13	chr9	FALSE	TRUE
